measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other - Internal Combustion Engine (diesel, piston, reciprocating) - Other - Generation","Other - Internal Combustion Engine (diesel, piston, reciprocating) - Other - Quantity Consumed For Electricity","Other - Internal Combustion Engine (diesel, piston, reciprocating) - Other - Total Fuel Consumed","Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2013-12-01,9.469,87.0,87.0,0.0,0.0,0.0,,,,715.275,6824.0,6824.0
2014-01-01,14.348,139.0,139.0,0.0,0.0,0.0,,,,1087.67,10344.0,10344.0
2014-02-01,8.066,75.0,75.0,0.0,0.0,0.0,,,,900.92,8568.0,8568.0
2014-03-01,15.401,145.0,145.0,0.0,0.0,0.0,,,,950.453,9039.0,9039.0
2014-04-01,2.179,23.0,23.0,0.0,0.0,0.0,,,,993.622,9449.0,9449.0
2014-05-01,2.087,17.0,17.0,0.0,0.0,0.0,,,,757.172,7201.0,7201.0
2014-06-01,2.465,23.0,23.0,0.0,0.0,0.0,,,,614.368,5843.0,5843.0
2014-07-01,1.967,17.0,17.0,0.0,0.0,0.0,,,,616.885,5867.0,5867.0
2014-08-01,0.985,12.0,12.0,0.0,0.0,0.0,,,,294.075,2797.0,2797.0
2014-09-01,0.605,6.0,6.0,0.0,0.0,0.0,,,,635.629,6045.0,6045.0
2014-10-01,1.669,17.0,17.0,0.0,0.0,0.0,,,,849.485,8079.0,8079.0
2014-11-01,1.145,12.0,12.0,0.0,0.0,0.0,,,,1064.219,10121.0,10121.0
2014-12-01,2.083,17.0,17.0,0.0,0.0,0.0,,,,836.502,7955.0,7955.0
2015-01-01,2.706,35.0,35.0,0.0,0.0,0.0,,,,889.089,8285.0,8285.0
2015-02-01,9.04,87.0,87.0,0.0,0.0,0.0,,,,810.808,7556.0,7556.0
2015-03-01,13.92,139.0,139.0,0.0,0.0,0.0,,,,886.335,8260.0,8260.0
2015-04-01,1.895,17.0,17.0,0.0,0.0,0.0,,,,919.871,8572.0,8572.0
2015-05-01,8.683,87.0,87.0,0.0,0.0,0.0,,,,844.667,7871.0,7871.0
2015-06-01,3.624,35.0,35.0,0.0,0.0,0.0,,,,472.02,4399.0,4399.0
2015-07-01,3.81,35.0,35.0,0.0,0.0,0.0,,,,418.4,3899.0,3899.0
2015-08-01,4.378,41.0,41.0,0.0,0.0,0.0,,,,555.403,5176.0,5176.0
2015-09-01,6.486,64.0,64.0,0.0,0.0,0.0,,,,628.486,5857.0,5857.0
2015-10-01,3.215,29.0,29.0,0.0,0.0,0.0,,,,848.216,7905.0,7905.0
2015-11-01,4.22,41.0,41.0,0.0,0.0,0.0,,,,1032.06,9618.0,9618.0
2015-12-01,4.023,41.0,41.0,0.0,0.0,0.0,,,,849.645,7918.0,7918.0
2016-01-01,3.797,58.0,58.0,0.0,0.0,0.0,,,,744.59,6874.0,6874.0
2016-02-01,3.117,29.0,29.0,0.0,0.0,0.0,,,,802.065,7405.0,7405.0
2016-03-01,1.381,12.0,12.0,0.0,0.0,0.0,,,,766.72,7078.0,7078.0
2016-04-01,2.508,23.0,23.0,0.0,0.0,0.0,,,,969.036,8946.0,8946.0
2016-05-01,2.989,29.0,29.0,0.0,0.0,0.0,,,,591.037,5456.0,5456.0
2016-06-01,6.499,64.0,64.0,0.0,0.0,0.0,,,,570.288,5265.0,5265.0
2016-07-01,9.847,99.0,99.0,0.0,0.0,0.0,,,,450.071,4155.0,4155.0
2016-08-01,5.251,52.0,52.0,0.0,0.0,0.0,,,,373.726,3450.0,3450.0
2016-09-01,1.876,17.0,17.0,0.0,0.0,0.0,,,,709.26,6548.0,6548.0
2016-10-01,8.697,87.0,87.0,0.0,0.0,0.0,,,,810.979,7487.0,7487.0
2016-11-01,2.789,29.0,29.0,0.0,0.0,0.0,,,,844.344,7795.0,7795.0
2016-12-01,8.249,81.0,81.0,0.0,0.0,0.0,,,,1127.884,10413.0,10413.0
2017-01-01,4.239,35.0,35.0,0.0,0.0,0.0,,,,697.163,6423.0,6423.0
2017-02-01,1.577,17.0,17.0,0.0,0.0,0.0,,,,823.536,7587.0,7587.0
2017-03-01,0.553,6.0,6.0,0.0,0.0,0.0,,,,831.532,7661.0,7661.0
2017-04-01,3.913,41.0,41.0,0.0,0.0,0.0,,,,746.653,6879.0,6879.0
2017-05-01,2.746,29.0,29.0,0.0,0.0,0.0,,,,685.55,6316.0,6316.0
2017-06-01,10.469,104.0,104.0,0.0,0.0,0.0,,,,541.077,4985.0,4985.0
2017-07-01,7.119,70.0,70.0,0.0,0.0,0.0,,,,367.133,3382.0,3382.0
2017-08-01,3.616,35.0,35.0,0.0,0.0,0.0,,,,310.752,2863.0,2863.0
2017-09-01,3.082,29.0,29.0,0.0,0.0,0.0,,,,579.572,5340.0,5340.0
2017-10-01,6.793,70.0,70.0,0.0,0.0,0.0,,,,848.809,7820.0,7820.0
2017-11-01,3.287,35.0,35.0,0.0,0.0,0.0,,,,821.158,7565.0,7565.0
2017-12-01,1.606,17.0,17.0,0.0,0.0,0.0,,,,816.065,7518.0,7518.0
2018-01-01,3.198,29.0,29.0,0.0,0.0,0.0,,,,889.934,8102.0,8102.0
2018-02-01,2.059,17.0,17.0,0.0,0.0,0.0,,,,761.621,6934.0,6934.0
2018-03-01,2.279,17.0,17.0,0.0,0.0,0.0,,,,822.217,7485.0,7485.0
2018-04-01,3.045,29.0,29.0,0.0,0.0,0.0,,,,738.002,6719.0,6719.0
2018-05-01,8.03,70.0,70.0,0.0,0.0,0.0,,,,582.682,5305.0,5305.0
2018-06-01,12.301,110.0,110.0,0.0,0.0,0.0,,,,682.04,6209.0,6209.0
2018-07-01,2.679,23.0,23.0,0.0,0.0,0.0,,,,460.555,4193.0,4193.0
2018-08-01,7.191,64.0,64.0,0.0,0.0,0.0,,,,470.102,4280.0,4280.0
2018-09-01,5.789,52.0,52.0,0.0,0.0,0.0,,,,682.21,6211.0,6211.0
2018-10-01,8.159,75.0,75.0,0.0,0.0,0.0,,,,728.663,6634.0,6634.0
2018-11-01,3.459,29.0,29.0,0.0,0.0,0.0,,,,721.875,6572.0,6572.0
2018-12-01,1.811,17.0,17.0,0.0,0.0,0.0,,,,718.099,6538.0,6538.0
2019-01-01,1.59,23.0,23.0,0.0,0.0,0.0,,,,768.824,6846.0,6846.0
2019-02-01,5.074,46.0,46.0,0.0,0.0,0.0,,,,624.743,5563.0,5563.0
2019-03-01,1.196,12.0,12.0,0.0,0.0,0.0,,,,784.193,6983.0,6983.0
2019-04-01,3.902,35.0,35.0,0.0,0.0,0.0,,,,645.365,5747.0,5747.0
2019-05-01,6.6,58.0,58.0,0.0,0.0,0.0,,,,700.678,6240.0,6240.0
2019-06-01,3.079,29.0,29.0,0.0,0.0,0.0,,,,514.569,4582.0,4582.0
2019-07-01,1.775,17.0,17.0,0.0,0.0,0.0,,,,456.043,4061.0,4061.0
2019-08-01,2.182,17.0,17.0,0.0,0.0,0.0,,,,413.124,3679.0,3679.0
2019-09-01,4.095,35.0,35.0,0.0,0.0,0.0,,,,716.463,6380.0,6380.0
2019-10-01,7.11,64.0,64.0,0.0,0.0,0.0,,,,923.026,8220.0,8220.0
2019-11-01,5.118,46.0,46.0,0.0,0.0,0.0,,,,811.078,7223.0,7223.0
2019-12-01,3.279,29.0,29.0,0.0,0.0,0.0,,,,718.894,6402.0,6402.0
2020-01-01,1.255,17.0,17.0,0.0,0.0,0.0,,,,625.324,5482.0,5482.0
2020-02-01,1.649,17.0,17.0,0.0,0.0,0.0,,,,806.947,7075.0,7075.0
2020-03-01,0.148,0.0,0.0,0.0,0.0,0.0,,,,802.073,7032.0,7032.0
2020-04-01,0.681,6.0,6.0,0.0,0.0,0.0,,,,669.536,5870.0,5870.0
2020-05-01,4.337,52.0,52.0,0.0,0.0,0.0,,,,576.783,5057.0,5057.0
2020-06-01,2.873,35.0,35.0,0.0,0.0,0.0,,,,626.875,5496.0,5496.0
2020-07-01,1.201,12.0,12.0,0.0,0.0,0.0,,,,424.954,3726.0,3726.0
2020-08-01,5.07,58.0,58.0,0.0,0.0,0.0,,,,568.946,4988.0,4988.0
2020-09-01,1.251,17.0,17.0,0.0,0.0,0.0,,,,599.748,5258.0,5258.0
2020-10-01,1.54,17.0,17.0,0.0,0.0,0.0,,,,610.586,5353.0,5353.0
2020-11-01,0.879,12.0,12.0,0.0,0.0,0.0,,,,720.809,6319.0,6319.0
2020-12-01,3.116,35.0,35.0,0.0,0.0,0.0,,,,658.419,5772.0,5772.0
2021-01-01,4.922,46.0,46.0,0.0,0.0,0.0,,,,533.69,4720.0,4720.0
2021-02-01,4.285,35.0,35.0,0.0,0.0,0.0,,,,423.146,3742.0,3742.0
2021-03-01,1.417,12.0,12.0,0.0,0.0,0.0,,,,656.353,5805.0,5805.0
2021-04-01,10.026,81.0,81.0,0.0,0.0,0.0,,,,706.83,6251.0,6251.0
2021-05-01,2.239,17.0,17.0,0.0,0.0,0.0,,,,583.846,5164.0,5164.0
2021-06-01,9.467,75.0,75.0,0.0,0.0,0.0,,,,452.444,4001.0,4001.0
2021-07-01,2.967,23.0,23.0,0.0,0.0,0.0,,,,366.923,3245.0,3245.0
2021-08-01,2.704,23.0,23.0,0.0,0.0,0.0,,,,491.716,4349.0,4349.0
2021-09-01,2.392,17.0,17.0,0.0,0.0,0.0,,,,545.508,4824.0,4824.0
2021-10-01,5.315,46.0,46.0,0.0,0.0,0.0,,,,556.371,4921.0,4921.0
2021-11-01,4.516,35.0,35.0,0.0,0.0,0.0,,,,717.797,6348.0,6348.0
2021-12-01,6.75,58.0,58.0,0.0,0.0,0.0,,,,768.376,6796.0,6796.0
2022-01-01,1.933,19.0,19.0,0.0,0.0,0.0,,,,501.034,1710.0,1710.0
2022-02-01,3.091,37.0,37.0,0.0,0.0,0.0,,,,429.975,1467.0,1467.0
2022-03-01,2.802,31.0,31.0,0.0,0.0,0.0,,,,450.081,1536.0,1536.0
2022-04-01,1.521,19.0,19.0,0.0,0.0,0.0,,,,453.311,1547.0,1547.0
2022-05-01,2.433,25.0,25.0,0.0,0.0,0.0,,,,362.22,1236.0,1236.0
2022-06-01,5.018,56.0,56.0,0.0,0.0,0.0,,,,327.177,1116.0,1116.0
2022-07-01,1.917,25.0,25.0,0.0,0.0,0.0,,,,272.359,929.0,929.0
2022-08-01,5.358,62.0,62.0,0.0,0.0,0.0,,,,271.055,925.0,925.0
2022-09-01,8.045,93.0,93.0,0.0,0.0,0.0,,,,326.743,1115.0,1115.0
2022-10-01,6.937,81.0,81.0,0.0,0.0,0.0,,,,427.42,1458.0,1458.0
2022-11-01,4.435,50.0,50.0,0.0,0.0,0.0,,,,477.303,1629.0,1629.0
2022-12-01,4.51,50.0,50.0,0.0,0.0,0.0,,,,462.322,1577.0,1577.0
2023-01-01,4.329,56.0,56.0,0.0,0.0,0.0,,,,253.0,863.0,863.0
2023-02-01,3.014,50.0,50.0,0.0,0.0,0.0,,,,469.0,1600.0,1600.0
2023-03-01,3.015,50.0,50.0,0.0,0.0,0.0,,,,381.0,1300.0,1300.0
2023-04-01,3.502,56.0,56.0,0.0,0.0,0.0,,,,566.0,1931.0,1931.0
2023-05-01,2.204,37.0,37.0,0.0,0.0,0.0,,,,368.0,1256.0,1256.0
2023-06-01,5.58,87.0,87.0,0.0,0.0,0.0,,,,135.0,461.0,461.0
2023-07-01,3.299,50.0,50.0,0.0,0.0,0.0,,,,189.0,645.0,645.0
2023-08-01,5.128,81.0,81.0,0.0,0.0,0.0,,,,216.0,737.0,737.0
2023-09-01,2.268,37.0,37.0,0.0,0.0,0.0,,,,283.0,966.0,966.0
2023-10-01,2.38,37.0,37.0,0.0,0.0,0.0,,,,398.0,1358.0,1358.0
2023-11-01,4.732,74.0,74.0,0.0,0.0,0.0,,,,405.0,1382.0,1382.0
2023-12-01,1.549,25.0,25.0,0.0,0.0,0.0,,,,377.0,1286.0,1286.0
2024-01-01,2.172,31.0,31.0,0.0,0.0,0.0,,,,555.0,1894.0,1894.0
2024-02-01,0.929,12.0,12.0,0.0,0.0,0.0,,,,806.0,2750.0,2750.0
2024-03-01,1.023,19.0,19.0,0.0,0.0,0.0,,,,896.0,3057.0,3057.0
2024-04-01,1.749,25.0,25.0,0.0,0.0,0.0,,,,915.0,3122.0,3122.0
2024-05-01,2.373,37.0,37.0,0.0,0.0,0.0,,,,666.0,2272.0,2272.0
2024-06-01,0.834,12.0,12.0,0.0,0.0,0.0,,,,721.0,2460.0,2460.0
2024-07-01,2.231,37.0,37.0,0.0,0.0,0.0,,,,342.0,1167.0,1167.0
2024-08-01,2.651,43.0,43.0,0.0,0.0,0.0,,,,384.0,1310.0,1310.0
2024-09-01,1.527,25.0,25.0,0.0,0.0,0.0,,,,690.0,2354.0,2354.0
2024-10-01,0.744,12.0,12.0,0.0,0.0,0.0,,,,947.0,3231.0,3231.0
2024-11-01,1.799,25.0,25.0,0.0,0.0,0.0,,,,866.0,2955.0,2955.0
2024-12-01,1.968,31.0,31.0,0.0,0.0,0.0,,,,666.0,2272.0,2272.0
