measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2013-08-01,,,,37659.0,591231.0,591231.0,24521.0,74346.0,74346.0,446.0,10677.0,10677.0
2013-09-01,,,,27250.0,427260.0,427260.0,17071.0,45386.0,45386.0,2998.0,40794.0,40794.0
2013-10-01,,,,-364.0,0.0,0.0,-185.0,0.0,0.0,-198.0,0.0,0.0
2013-11-01,,,,-327.0,0.0,0.0,-164.0,0.0,0.0,-240.0,0.0,0.0
2013-12-01,,,,14105.0,222482.0,222482.0,7644.0,17160.0,17160.0,264.0,8640.0,8640.0
2014-01-01,,,,40399.0,705529.0,705529.0,19490.0,11489.0,11489.0,-490.0,0.0,0.0
2014-02-01,,,,29118.0,517405.0,517405.0,13213.0,6158.0,6158.0,-556.0,0.0,0.0
2014-03-01,,,,31832.0,549881.0,549881.0,14209.0,7382.0,7382.0,-580.0,0.0,0.0
2014-04-01,,,,398.0,13135.0,13135.0,36.0,0.0,0.0,101.0,4410.0,4410.0
2014-05-01,0.0,0.0,0.0,16193.0,266000.0,266000.0,8762.0,16799.0,16799.0,-286.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,1815.0,42635.0,42635.0,838.0,706.0,706.0,-266.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,26096.0,427473.0,427473.0,16240.0,42402.0,42402.0,-378.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,21537.0,360337.0,360337.0,12794.0,26013.0,26013.0,-394.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,277.0,11033.0,11033.0,140.0,11.0,11.0,-308.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,-386.0,0.0,0.0,-193.0,0.0,0.0,-222.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,-356.0,0.0,0.0,-178.0,0.0,0.0,-188.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,-282.0,0.0,0.0,-141.0,0.0,0.0,-2.0,2555.0,2555.0
