measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-04-01,87.22,918.4,918.4,6156.62091,31422.8,220612.8,0.0,0.0,0.0,48.837089999999996,249.26,1750.0
2004-05-01,0.0,0.0,0.0,5662.04455,28898.53,189131.0,0.0,0.0,0.0,47.899449999999995,244.47,1600.0
2004-06-01,343.0,4479.11,4827.2,5110.48922,26083.44,162083.5,0.0,0.0,0.0,27.115779999999997,138.4,860.0
2004-07-01,29.4,235.2,235.2,5536.31487,28256.81,167136.5,0.0,0.0,0.0,42.06813,214.71,1270.0
2004-08-01,197.96,2357.6,2357.6,5534.99622,28250.09,165480.0,0.0,0.0,0.0,4.01378,20.49,120.0
2004-09-01,239.12,3122.58,3488.8,5564.939,28402.91,193980.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,80.36,700.0,700.0,6645.21266,33916.52,220710.0,0.0,0.0,0.0,19.26934,98.35,640.0
2004-11-01,0.98,12.8,28.0,7437.04021,37957.93,262560.0,0.0,0.0,0.0,11.04679,56.38,390.0
2004-12-01,146.02,1906.82,2060.8,8398.11878,42863.18,294435.0,0.0,0.0,0.0,10.26822,52.41,360.0
2005-01-01,204.82,2674.67,2805.6,7970.62483,40681.3,305430.0,0.0,0.0,0.0,13.30917,67.93,510.0
2005-02-01,133.28,1556.8,1556.8,7099.58153,36235.58,270990.0,0.0,0.0,0.0,10.47947,53.49,400.0
2005-03-01,88.2,840.0,840.0,7034.37892,35902.79,261435.0,0.0,0.0,0.0,16.14408,82.4,600.0
2005-04-01,31.36,280.0,280.0,6256.04871,31930.27,225015.0,0.0,0.0,0.0,12.78929,65.28,460.0
2005-05-01,7.84,102.38,123.2,5713.23852,29159.81,179415.0,0.0,0.0,0.0,17.83248,91.02,560.0
2005-06-01,173.46,1711.0,1711.0,5227.64298,26681.38,179991.07,0.0,0.0,0.0,16.55502,84.5,570.0
2005-07-01,27.44,319.0,319.0,5692.32362,29053.07,181765.91,0.0,0.0,0.0,13.77938,70.33,440.0
2005-08-01,104.86,951.2,951.2,5521.21796,28179.76,184087.21,0.0,0.0,0.0,59.08504,301.56,1970.0
2005-09-01,11.76,153.57,875.8,5631.83273,28744.33,184880.71,0.0,0.0,0.0,50.26227,256.53,1650.0
2005-10-01,21.56,281.54,725.0,7777.47326,39695.47,239746.79,0.0,0.0,0.0,48.011739999999996,245.05,1480.0
2005-11-01,17.64,230.35,295.8,8452.84569,43142.5,290170.43,0.0,0.0,0.0,61.17431,312.23,2100.0
2005-12-01,25.48,261.0,261.0,9392.92933,47940.6,297505.08,0.0,0.0,0.0,63.14467,322.28,2000.0
2006-01-01,15.68,204.76,272.6,9180.02239,46853.95,338402.16,0.0,0.0,0.0,33.09561,168.92,1220.0
2006-02-01,3.92,51.19,81.2,8028.04908,40974.38,263346.78,0.0,0.0,0.0,49.99492,255.17,1640.0
2006-03-01,41.16,537.49,1183.2,7012.06631,35788.91,299215.91,0.0,0.0,0.0,37.495689999999996,191.37,1600.0
2006-04-01,13.72,179.16,446.6,6910.06754,35268.32,229098.67,0.0,0.0,0.0,37.702459999999995,192.43,1250.0
2006-05-01,1.96,25.59,145.0,6100.81853,31137.98,193558.04,0.0,0.0,0.0,43.18147,220.39,1370.0
2006-06-01,4.9,63.99,371.2,6343.67716,32377.51,175873.73,0.0,0.0,0.0,40.397839999999995,206.19,1120.0
2006-07-01,0.0,0.0,0.0,5880.93089,30015.7,160784.99,0.0,0.0,0.0,43.160109999999996,220.29,1180.0
2006-08-01,0.0,0.0,0.0,5981.95768,30531.33,173841.05,0.0,0.0,0.0,69.85332,356.52,2030.0
2006-09-01,0.0,0.0,0.0,6049.78616,30877.52,181799.77,0.0,0.0,0.0,27.95284,142.67,840.0
2006-10-01,0.98,12.8,145.0,6902.657300000001,35230.49,224314.06,0.0,0.0,0.0,40.3117,205.75,1310.0
2006-11-01,153.86,2009.2,4268.8,7900.42594,40323.01,320412.91,0.0,0.0,0.0,44.13606,225.27,1790.0
2006-12-01,40.18,524.7,1096.2,8207.47223,41890.14,294420.0,0.0,0.0,0.0,48.226769999999995,246.14,1730.0
2007-01-01,62.72,818.0,1172.0,8225.301000000001,41983.0,317598.0,0.0,0.0,0.0,21.755,110.0,840.0
2007-02-01,17.64,232.0,1056.0,7370.302000000001,37620.0,281526.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,18.62,244.0,406.0,8041.552000000001,41045.0,316660.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,6371.59,32525.0,208237.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,5900.082,30119.0,171912.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,607.6,7934.0,9257.0,2489.098,12696.0,71973.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,4.9,64.0,122.0,5597.588000000001,28567.0,159284.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,3.92,52.0,186.0,5808.8550000000005,29646.0,176781.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.98,12.0,23.0,5687.856000000001,29026.0,179101.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,93.1,1218.0,1699.0,6791.243,34657.0,241813.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,61.74,806.0,1311.0,6975.619000000001,35609.0,252919.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,41.0,7832.207,39976.0,297464.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,29.0,7190.0,41195.0,309617.0,,,,,,
2008-02-01,0.0,0.0,0.0,6572.0,37804.0,278922.0,,,,0.0,0.0,0.0
2008-03-01,14.0,203.0,203.0,6285.0,36157.0,267297.0,,,,,,
2008-04-01,120.0,592.0,592.0,5873.0,33912.0,232697.0,,,,,,
2008-05-01,31.0,429.0,429.0,5341.0,30535.0,190406.0,,,,,,
2008-06-01,19.0,282.0,528.0,4751.0,26972.0,191636.0,,,,,,
2008-07-01,0.0,0.0,0.0,4885.0,27800.0,169095.0,,,,,,
2008-08-01,14.0,209.0,209.0,5046.0,28717.0,185872.0,,,,,,
2008-09-01,0.0,0.0,0.0,5265.0,29957.0,191513.0,,,,,,
2008-10-01,21.0,333.0,348.0,6511.0,37054.0,257850.0,,,,,,
2008-11-01,0.0,0.0,0.0,6823.0,38828.0,283440.0,,,,,,
2008-12-01,14.0,192.0,203.0,6035.0,34343.0,294860.0,,,,,,
2009-01-01,0.0,0.0,0.0,8720.0,49625.0,302185.0,,,,,,
2009-02-01,77.0,951.0,951.0,6442.0,36593.0,262990.0,,,,,,
2009-03-01,0.0,0.0,0.0,6471.0,36750.0,271114.0,,,,,,
2009-04-01,3.0,35.0,35.0,5430.0,31157.0,211699.0,,,,,,
2009-05-01,31.0,331.0,331.0,5578.0,31182.0,168195.0,,,,,,
2009-06-01,0.0,0.0,0.0,4892.0,27354.0,153806.0,,,,,,
2009-07-01,0.0,0.0,0.0,4938.0,27731.0,152077.0,,,,,,
2009-08-01,3.0,12.0,12.0,5110.0,28849.0,160404.0,,,,,,
2009-09-01,2.0,17.0,17.0,5204.0,29359.0,173399.0,,,,,,
2009-10-01,0.0,0.0,0.0,6092.0,34363.0,220129.0,,,,,,
2009-11-01,2.0,26.0,58.0,6885.0,38838.0,273154.0,,,,,,
2009-12-01,0.0,0.0,0.0,7401.0,41744.0,302691.0,,,,,,
2010-01-01,5.0,70.0,70.0,7532.0,42881.0,305071.0,,,,,,
2010-02-01,0.0,0.0,0.0,4843.0,28584.0,245365.0,,,,,,
2010-03-01,0.0,13.0,41.0,6607.0,37397.0,253643.0,,,,,,
2010-04-01,19.0,232.0,232.0,6959.0,38524.0,203324.0,,,,,,
2010-05-01,7.0,102.0,104.0,4891.0,27075.0,168575.0,,,,,,
2010-06-01,731.0,8259.0,8259.0,2457.0,13611.0,47223.0,,,,,,
2010-07-01,473.0,5330.0,5330.0,3239.0,18845.0,98008.0,,,,,,
2010-08-01,0.0,0.0,0.0,5347.0,29780.0,157825.0,,,,,,
2010-09-01,0.0,0.0,0.0,5374.0,30172.0,178064.0,,,,,,
2010-10-01,8.0,81.0,81.0,6396.0,35907.0,219034.0,,,,,,
2010-11-01,0.0,0.0,0.0,5183.0,30359.0,241770.0,,,,,,
2010-12-01,6.0,90.0,93.0,9570.0,52904.0,329748.0,,,,,,
2011-01-01,18.0,232.0,232.0,5937.0,34701.0,296019.0,,,,,,
2011-02-01,3.0,51.0,64.0,8278.0,45611.0,264505.0,,,,,,
2011-03-01,0.0,0.0,0.0,6956.0,39196.0,266466.0,,,,,,
2011-04-01,6.0,46.0,46.0,5455.0,31182.0,217202.0,,,,,,
2011-05-01,0.0,0.0,0.0,5108.0,28707.0,170200.0,,,,,,
2011-06-01,0.0,0.0,0.0,5132.0,28810.0,142377.0,,,,,,
2011-07-01,1.0,12.0,12.0,6311.0,34799.0,162159.0,,,,,,
2011-08-01,83.0,1044.0,1044.0,5525.0,30643.0,164640.0,,,,,,
2011-09-01,89.0,1009.0,1009.0,5997.0,32986.0,165606.0,,,,,,
2011-10-01,33.0,423.0,423.0,5406.0,31094.0,231576.0,,,,,,
2011-11-01,16.0,203.0,203.0,6979.0,39372.0,273760.0,,,,,,
2011-12-01,0.0,0.0,0.0,7030.0,39759.0,269902.0,,,,,,
2012-01-01,0.0,0.0,0.0,7476.0,42617.0,326097.0,,,,,,
2012-02-01,0.0,0.0,17.0,6204.0,35436.0,250660.0,,,,,,
2012-03-01,2.0,162.0,162.0,6480.0,37093.0,264600.0,,,,,,
2012-04-01,0.0,0.0,0.0,5499.0,31148.0,189720.0,,,,,,
2012-05-01,55.0,563.0,563.0,5156.0,28883.0,175126.0,,,,,,
2012-06-01,16.0,191.0,191.0,5080.0,28202.0,129191.0,,,,,,
2012-07-01,17.0,110.0,110.0,5235.0,28967.0,152401.0,,,,,,
2012-08-01,0.0,0.0,0.0,5510.0,30437.0,149123.0,,,,,,
2012-09-01,36.0,441.0,441.0,5282.0,29359.0,168376.0,,,,,,
2012-10-01,36.0,400.0,400.0,6364.0,35995.0,226301.0,,,,,,
2012-11-01,8.0,99.0,99.0,6847.0,39019.0,275365.0,,,,,,
2012-12-01,4.0,64.0,64.0,7312.0,41729.0,309712.0,,,,,,
2013-01-01,9.0,141.0,151.0,6909.0,39548.0,279469.0,,,,,,
2013-02-01,0.0,0.0,0.0,6020.0,34397.0,245411.0,,,,,,
2013-03-01,2.0,23.0,23.0,6335.0,36098.0,236278.0,,,,,,
2013-04-01,0.0,0.0,6.0,7877.0,43430.0,188906.0,,,,,,
2013-05-01,14.0,162.0,162.0,5360.0,30432.0,197190.0,,,,,,
2013-06-01,47.0,644.0,644.0,4735.0,26496.0,152133.0,,,,,,
2013-07-01,58.0,800.0,800.0,4778.0,26736.0,154886.0,,,,,,
2013-08-01,230.0,2929.0,2929.0,4927.0,27717.0,173877.0,,,,,,
2013-09-01,7.0,58.0,58.0,5326.0,29074.0,178641.0,,,,,,
2013-10-01,31.0,348.0,348.0,5674.0,32290.0,205675.0,,,,,,
2013-11-01,10.0,154.0,157.0,6383.0,36387.0,254225.0,,,,,,
2013-12-01,2.0,26.0,29.0,7086.0,40146.0,284675.0,,,,,,
2014-01-01,4.0,58.0,58.0,6609.0,37539.0,262563.0,,,,,,
2014-02-01,0.0,0.0,0.0,6080.0,34716.0,257484.0,,,,,,
2014-03-01,3.0,51.0,58.0,6057.0,34799.0,238337.0,,,,,,
2014-04-01,1.0,12.0,12.0,5466.0,31157.0,207398.0,,,,,,
2014-05-01,5.0,70.0,70.0,5267.0,29868.0,184343.0,,,,,,
2014-06-01,0.0,0.0,0.0,4977.0,28119.0,162946.0,,,,,,
2014-07-01,0.0,0.0,0.0,5107.0,29202.0,162540.0,,,,,,
2014-08-01,17.0,203.0,203.0,5361.0,30373.0,175392.0,,,,,,
2014-09-01,1.0,13.0,29.0,5284.0,29672.0,181880.0,,,,,,
2014-10-01,24.0,296.0,296.0,6076.0,34088.0,181230.0,,,,,,
2014-11-01,0.0,0.0,0.0,5783.0,33486.0,197015.0,,,,,,
2014-12-01,0.0,0.0,0.0,6142.0,35466.0,265024.0,,,,,,
2015-01-01,30.0,394.0,394.0,6326.0,36421.0,267944.0,,,,,,
2015-02-01,3.0,38.0,41.0,5515.0,31780.0,210158.0,,,,,,
2015-03-01,0.0,0.0,0.0,5692.0,32677.0,240226.0,,,,,,
2015-04-01,89.0,1015.0,1015.0,4335.0,25256.0,212905.0,,,,,,
2015-05-01,7.0,87.0,87.0,5330.0,30035.0,183454.0,,,,,,
2015-06-01,0.0,0.0,0.0,5069.0,28423.0,154976.0,,,,,,
2015-07-01,0.0,0.0,0.0,5048.0,28570.0,151902.0,,,,,,
2015-08-01,66.0,800.0,800.0,5290.0,30123.0,185037.0,,,,,,
2015-09-01,0.0,0.0,0.0,5375.0,30760.0,195168.0,,,,,,
2015-10-01,21.0,255.0,255.0,5905.0,33672.0,220314.0,,,,,,
2015-11-01,10.0,104.0,104.0,6398.0,36171.0,244820.0,,,,,,
2015-12-01,10.0,133.0,133.0,7003.0,39578.0,285193.0,,,,,,
2016-01-01,8.0,37.0,116.0,7130.564,31852.0,264241.0,,,,,,
2016-02-01,20.0,96.0,244.0,6025.0,28994.0,248301.0,,,,,,
2016-03-01,68.0,325.0,824.0,6014.0,28885.0,239828.0,,,,,,
2016-04-01,22.0,104.0,273.0,5441.0,25844.0,196705.0,,,,,,
2016-05-01,1.0,4.0,17.0,5406.0,25482.0,176092.0,,,,,,
2016-06-01,0.0,0.0,0.0,5032.0,23884.0,159559.0,,,,,,
2016-07-01,0.0,0.0,0.0,5073.0,23951.0,157467.0,,,,,,
2016-08-01,40.0,187.0,458.0,5300.0,24995.0,161548.0,,,,,,
2016-09-01,34.0,162.0,360.0,5183.0,24600.0,172438.0,,,,,,
2016-10-01,0.0,0.0,17.0,6106.0,29327.0,234032.0,,,,,,
2016-11-01,2.0,8.0,23.0,6228.0,30076.0,248962.0,,,,,,
2016-12-01,21.0,100.0,290.0,6740.0,32639.0,289014.0,,,,,,
2017-01-01,6.168,30.0,81.0,6594.0,32139.0,289402.0,,,,,,
2017-02-01,4.981,24.0,64.0,5581.0,27134.0,233861.0,,,,,,
2017-03-01,5.736,28.0,70.0,6168.0,30009.0,282006.0,,,,,,
2017-04-01,5.288,26.0,64.0,5153.0,24712.0,195664.0,,,,,,
2017-05-01,5.283,26.0,64.0,5129.0,24475.0,178608.0,,,,,,
2017-06-01,5.572,27.0,70.0,4912.0,23276.0,154067.0,,,,,,
2017-07-01,5.678,28.0,70.0,4994.0,23697.0,154736.0,,,,,,
2017-08-01,5.865,28.0,75.0,5039.0,24084.0,165710.0,,,,,,
2017-09-01,5.834,28.0,70.0,5019.0,23921.0,176198.0,,,,,,
2017-10-01,5.954,29.0,75.0,5658.0,27371.0,226682.0,,,,,,
2017-11-01,5.274,26.0,64.0,6073.0,29347.0,252657.0,,,,,,
2017-12-01,5.367,26.0,64.0,6452.0,31116.0,262839.0,,,,,,
2018-01-01,10.495,50.0,133.0,6797.0,32718.0,282054.0,,,,,,
2018-02-01,9.789,47.0,116.0,5878.0,28224.0,243390.0,,,,,,
2018-03-01,9.791,47.0,116.0,5965.0,28765.0,236378.0,,,,,,
2018-04-01,9.89,47.0,116.0,5369.0,25865.0,198286.0,,,,,,
2018-05-01,11.316,54.0,133.0,5121.0,24591.0,188379.0,,,,,,
2018-06-01,10.564,50.0,128.0,4807.0,22840.0,148554.0,,,,,,
2018-07-01,11.384,54.0,139.0,4956.0,23597.0,154592.0,,,,,,
2018-08-01,11.625,55.0,139.0,5166.0,24591.0,163461.0,,,,,,
2018-09-01,11.833,56.0,139.0,4975.0,23809.0,173165.0,,,,,,
2018-10-01,12.425,59.0,151.0,5783.0,27833.0,215654.0,,,,,,
2018-11-01,11.179,53.0,133.0,6164.0,29826.0,250461.0,,,,,,
2018-12-01,10.709,51.0,128.0,6638.0,32160.0,275623.0,,,,,,
2019-01-01,19.654,94.0,238.0,6875.0,33279.0,288187.0,,,,,,
2019-02-01,21.844,105.0,261.0,5728.0,27812.0,249514.0,,,,,,
2019-03-01,21.648,104.0,261.0,5698.0,27700.0,226713.0,,,,,,
2019-04-01,19.894,96.0,238.0,5244.0,25511.0,203840.0,,,,,,
2019-05-01,21.652,104.0,261.0,5207.0,25170.0,183451.0,,,,,,
2019-06-01,18.604,89.0,220.0,4973.0,24138.0,157440.0,,,,,,
2019-07-01,21.191,102.0,255.0,5282.0,25003.0,170055.0,,,,,,
2019-08-01,23.462,113.0,278.0,5368.0,25498.0,181230.0,,,,,,
2019-09-01,27.86,134.0,331.0,5206.0,24970.0,190138.0,,,,,,
2019-10-01,29.28,141.0,348.0,6017.0,28906.0,231136.0,,,,,,
2019-11-01,22.241,107.0,267.0,6252.0,30130.0,245776.0,,,,,,
2019-12-01,29.67,143.0,354.0,7231.0,34648.0,301544.0,,,,,,
2020-01-01,22.683,108.0,261.0,7065.0,34311.0,321772.0,,,,,,
2020-02-01,14.706,70.0,168.0,6533.0,31469.0,279664.0,,,,,,
2020-03-01,14.847,71.0,168.0,6588.0,31719.0,273244.0,,,,,,
2020-04-01,14.247,68.0,162.0,5671.0,27284.0,220817.0,,,,,,
2020-05-01,12.064,57.0,139.0,5442.0,25910.0,183181.0,,,,,,
2020-06-01,15.189,72.0,174.0,5224.0,24704.0,164640.0,,,,,,
2020-07-01,19.799,94.0,226.0,5436.0,25682.0,167177.0,,,,,,
2020-08-01,20.286,97.0,232.0,5503.0,26035.0,171201.0,,,,,,
2020-09-01,12.899,61.0,151.0,5417.0,25640.0,192199.0,,,,,,
2020-10-01,15.439,74.0,180.0,6350.0,30175.0,234863.0,,,,,,
2020-11-01,11.973,57.0,139.0,6664.0,31890.0,279106.0,,,,,,
2020-12-01,11.868,57.0,133.0,6985.0,33550.0,294781.0,,,,,,
2021-01-01,22.346,106.0,244.0,6923.0,33188.0,294727.0,,,,,,
2021-02-01,24.744,118.0,267.0,6425.0,30820.0,286139.0,,,,,,
2021-03-01,26.76,127.0,290.0,6629.0,32160.0,286632.0,,,,,,
2021-04-01,25.723,122.0,278.0,6069.0,29110.0,238796.0,,,,,,
2021-05-01,13.322,63.0,145.0,5571.0,26718.0,195539.0,,,,,,
2021-06-01,17.883,85.0,191.0,5359.0,25415.0,167980.0,,,,,,
2021-07-01,17.476,83.0,191.0,5413.0,25690.0,165580.0,,,,,,
2021-08-01,25.202,120.0,273.0,5632.0,26572.0,186020.0,,,,,,
2021-09-01,32.642,155.0,354.0,5607.0,26693.0,202500.0,,,,,,
2021-10-01,32.431,154.0,348.0,5992.0,28723.0,232206.0,,,,,,
2021-11-01,25.322,121.0,273.0,6903.0,33163.0,298203.0,,,,,,
2021-12-01,28.149,134.0,302.0,7137.0,34249.0,309350.0,,,,,,
2022-01-01,18.032,87.0,185.0,7119.0,34124.0,326466.0,,,,,,
2022-02-01,14.87,71.0,156.0,6341.0,30413.0,354699.0,,,,,,
2022-03-01,17.22,83.0,179.0,6471.0,31386.0,277512.0,,,,,,
2022-04-01,15.309,73.0,162.0,5941.0,28499.0,231386.0,,,,,,
2022-05-01,14.347,69.0,150.0,5710.0,27388.0,208739.0,,,,,,
2022-06-01,17.472,84.0,185.0,6660.0,31586.0,170464.0,,,,,,
2022-07-01,15.914,76.0,167.0,6358.0,30171.0,173397.0,,,,,,
2022-08-01,10.703,51.0,110.0,4668.0,22028.0,175794.0,,,,,,
2022-09-01,12.538,60.0,133.0,5401.0,25707.0,198639.0,,,,,,
2022-10-01,14.068,68.0,150.0,6164.0,29547.0,240927.0,,,,,,
2022-11-01,13.356,64.0,138.0,6471.0,31087.0,311553.0,,,,,,
2022-12-01,18.171,87.0,190.0,7185.0,34482.0,305917.0,,,,,,
2023-01-01,43.317,210.0,357.0,8003.0,33300.0,231000.0,,,,,,
2023-02-01,33.629,163.0,282.0,7373.0,30679.0,224023.0,,,,,,
2023-03-01,31.736,154.0,265.0,7685.0,31977.0,256135.0,,,,,,
2023-04-01,37.515,182.0,316.0,6948.0,28910.0,219762.0,,,,,,
2023-05-01,37.07,179.0,311.0,6396.0,26614.0,172875.0,,,,,,
2023-06-01,31.918,154.0,270.0,7549.0,31411.0,181214.0,,,,,,
2023-07-01,30.224,146.0,253.0,6472.0,26930.0,189697.0,,,,,,
2023-08-01,31.459,152.0,265.0,6635.0,27608.0,186610.0,,,,,,
2023-09-01,27.284,132.0,230.0,6427.0,26743.0,175560.0,,,,,,
2023-10-01,30.95,150.0,259.0,7332.0,30508.0,147450.0,,,,,,
2023-11-01,39.032,189.0,328.0,7375.0,30687.0,231830.0,,,,,,
2023-12-01,42.866,207.0,362.0,8268.0,34403.0,239932.0,,,,,,
2024-01-01,42.933,206.0,489.0,8278.0,34445.0,322938.0,,,,,,
2024-02-01,38.663,186.0,437.0,7451.0,31003.0,285200.0,,,,,,
2024-03-01,46.599,224.0,523.0,7644.0,31806.0,259011.0,,,,,,
2024-04-01,49.094,236.0,552.0,6775.0,28191.0,214636.0,,,,,,
2024-05-01,28.78,138.0,322.0,6463.0,26892.0,204369.0,,,,,,
2024-06-01,51.382,247.0,581.0,6292.0,26181.0,173448.0,,,,,,
2024-07-01,30.141,145.0,339.0,6514.0,27105.0,174600.0,,,,,,
2024-08-01,43.526,209.0,489.0,6411.0,26676.0,195426.0,,,,,,
2024-09-01,28.906,139.0,328.0,6329.0,26335.0,193764.0,,,,,,
2024-10-01,45.896,221.0,518.0,7044.0,29310.0,244672.0,,,,,,
2024-11-01,44.898,216.0,506.0,7573.0,31511.0,283232.0,,,,,,
2024-12-01,38.182,184.0,431.0,8005.0,33309.0,298297.0,,,,,,
