measured_on,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2019-06-01,12382.112,110263.0,110263.0
2019-07-01,12806.886,114045.0,114045.0
2019-08-01,12931.087,115151.0,115151.0
2019-09-01,12679.658,112912.0,112912.0
2019-10-01,10818.559,96339.0,96339.0
2019-11-01,9879.037,87973.0,87973.0
2019-12-01,11635.466,103614.0,103614.0
2020-01-01,10753.005,94272.0,94272.0
2020-02-01,11447.203,100358.0,100358.0
2020-03-01,11955.547,104814.0,104814.0
2020-04-01,11299.078,99059.0,99059.0
2020-05-01,10790.893,94604.0,94604.0
2020-06-01,9933.177,87084.0,87084.0
2020-07-01,9381.281,82246.0,82246.0
2020-08-01,9126.909,80016.0,80016.0
2020-09-01,9851.338,86367.0,86367.0
2020-10-01,10935.907,95875.0,95875.0
2020-11-01,11667.275,102287.0,102287.0
2020-12-01,12227.387,107198.0,107198.0
2021-01-01,11582.453,102435.0,102435.0
2021-02-01,10148.376,89752.0,89752.0
2021-03-01,9010.818,79692.0,79692.0
2021-04-01,10334.077,91395.0,91395.0
2021-05-01,11429.297,101081.0,101081.0
2021-06-01,9914.235,87681.0,87681.0
2021-07-01,9800.78,86678.0,86678.0
2021-08-01,9953.409,88028.0,88028.0
2021-09-01,10323.078,91297.0,91297.0
2021-10-01,11288.948,99839.0,99839.0
2021-11-01,11608.895,102669.0,102669.0
2021-12-01,13000.634,114978.0,114978.0
2022-01-01,12109.38,41317.0,41317.0
2022-02-01,10614.314,36216.0,36216.0
2022-03-01,9556.009,32605.0,32605.0
2022-04-01,8856.901,30220.0,30220.0
2022-05-01,9565.339,32637.0,32637.0
2022-06-01,9373.451,31982.0,31982.0
2022-07-01,9013.767,30755.0,30755.0
2022-08-01,9522.241,32490.0,32490.0
2022-09-01,9765.164,33319.0,33319.0
2022-10-01,8492.969,28978.0,28978.0
2022-11-01,12081.947,41224.0,41224.0
2022-12-01,12702.518,43341.0,43341.0
2023-01-01,13197.0,45028.0,45028.0
2023-02-01,11635.0,39699.0,39699.0
2023-03-01,12124.0,41367.0,41367.0
2023-04-01,10376.0,35403.0,35403.0
2023-05-01,9354.0,31916.0,31916.0
2023-06-01,8064.0,27514.0,27514.0
2023-07-01,5586.0,19059.0,19059.0
2023-08-01,6457.0,22031.0,22031.0
2023-09-01,8006.0,27316.0,27316.0
2023-10-01,10169.0,34697.0,34697.0
2023-11-01,11466.0,39122.0,39122.0
2023-12-01,12338.0,42097.0,42097.0
2024-01-01,12154.0,41469.0,41469.0
2024-02-01,11031.0,37638.0,37638.0
2024-03-01,11072.0,37778.0,37778.0
2024-04-01,9597.0,32745.0,32745.0
2024-05-01,8825.0,30111.0,30111.0
2024-06-01,6181.0,21090.0,21090.0
2024-07-01,5318.0,18145.0,18145.0
2024-08-01,6152.0,20991.0,20991.0
2024-09-01,7343.0,25054.0,25054.0
2024-10-01,9185.0,31339.0,31339.0
2024-11-01,11391.0,38866.0,38866.0
2024-12-01,11717.0,39978.0,39978.0
