measured_on,"Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2007-09-01,3600.64,35589.0,35589.0
2007-10-01,4138.99,40910.0,40910.0
2007-11-01,4462.97,44112.0,44112.0
2007-12-01,4770.46,47151.0,47151.0
2008-01-01,4129.392,40691.0,40691.0
2008-02-01,3760.398,37055.0,37055.0
2008-03-01,3398.4840000000004,33489.0,33489.0
2008-04-01,4117.832,40577.0,40577.0
2008-05-01,4749.22,46799.0,46799.0
2008-06-01,4231.441,41697.0,41697.0
2008-07-01,4238.414,41765.0,41765.0
2008-08-01,4410.292,43459.0,43459.0
2008-09-01,4213.705,41522.0,41522.0
2008-10-01,4411.444,43470.0,43470.0
2008-11-01,4352.365,42888.0,42888.0
2008-12-01,3905.0130000000004,38480.0,38480.0
2009-01-01,3930.88,38365.0,38365.0
2009-02-01,3152.21,30766.0,30766.0
2009-03-01,4318.47,42148.0,42148.0
2009-04-01,4558.812,44494.0,44494.0
2009-05-01,4888.915,47716.0,47716.0
2009-06-01,4440.952,43344.0,43344.0
2009-07-01,4515.956,44076.0,44076.0
2009-08-01,4183.097,40827.0,40827.0
2009-09-01,2465.186,24060.0,24060.0
2009-10-01,2291.067,22361.0,22361.0
2009-11-01,4090.288,39921.0,39921.0
2009-12-01,3577.1670000000004,34913.0,34913.0
2010-01-01,557.3960000000001,5438.0,5438.0
2010-02-01,552.7570000000001,5393.0,5393.0
2010-03-01,679.359,6628.0,6628.0
2010-04-01,581.313,5671.0,5671.0
2010-05-01,670.731,6544.0,6544.0
2010-06-01,650.418,6345.0,6345.0
2010-07-01,646.864,6311.0,6311.0
2010-08-01,707.235,6900.0,6900.0
2010-09-01,548.419,5350.0,5350.0
2010-10-01,726.5120000000001,7088.0,7088.0
2010-11-01,658.065,6420.0,6420.0
2010-12-01,615.931,6009.0,6009.0
2011-01-01,2482.488,24120.0,24120.0
2011-02-01,2354.601,22877.0,22877.0
2011-03-01,2811.078,27312.0,27312.0
2011-04-01,2674.056,25981.0,25981.0
2011-05-01,3325.323,32309.0,32309.0
2011-06-01,3317.178,32230.0,32230.0
2011-07-01,2914.32,28316.0,28316.0
2011-08-01,3060.136,29732.0,29732.0
2011-09-01,3049.203,29626.0,29626.0
2011-10-01,3234.619,31428.0,31428.0
2011-11-01,3004.011,29187.0,29187.0
2011-12-01,3031.987,29459.0,29459.0
2012-01-01,3963.631,37718.0,37718.0
2012-02-01,4024.334,38296.0,38296.0
2012-03-01,3985.603,37927.0,37927.0
2012-04-01,4681.445,44549.0,44549.0
2012-05-01,4615.698,43923.0,43923.0
2012-06-01,4063.435,38668.0,38668.0
2012-07-01,4236.321,40313.0,40313.0
2012-08-01,4382.372,41703.0,41703.0
2012-09-01,4706.73,44789.0,44789.0
2012-10-01,4640.442,44158.0,44158.0
2012-11-01,4686.667,44598.0,44598.0
2012-12-01,4322.322,41131.0,41131.0
2013-01-01,4169.37,39780.0,39780.0
2013-02-01,3768.272,35953.0,35953.0
2013-03-01,2814.629,26854.0,26854.0
2013-04-01,3356.763,32027.0,32027.0
2013-05-01,3591.992,34271.0,34271.0
2013-06-01,3439.964,32821.0,32821.0
2013-07-01,5225.706,49858.0,49858.0
2013-08-01,5272.631,50306.0,50306.0
2013-09-01,4782.34,45628.0,45628.0
2013-10-01,5435.92,51864.0,51864.0
2013-11-01,5243.769,50031.0,50031.0
2013-12-01,4392.644,41910.0,41910.0
2014-01-01,5947.988,56565.0,56565.0
2014-02-01,3104.73,29526.0,29526.0
2014-03-01,3946.33,37530.0,37530.0
2014-04-01,4817.26,45812.0,45812.0
2014-05-01,4811.954,45762.0,45762.0
2014-06-01,4346.452,41335.0,41335.0
2014-07-01,4999.553,47546.0,47546.0
2014-08-01,4256.318,40478.0,40478.0
2014-09-01,4324.367,41125.0,41125.0
2014-10-01,4560.379,43369.0,43369.0
2014-11-01,4535.362,43131.0,43131.0
2014-12-01,4280.307,40706.0,40706.0
2015-01-01,3371.005,31414.0,31414.0
2015-02-01,3354.901,31264.0,31264.0
2015-03-01,3295.778,30713.0,30713.0
2015-04-01,4417.352,41165.0,41165.0
2015-05-01,4688.1,43688.0,43688.0
2015-06-01,4673.902,43556.0,43556.0
2015-07-01,4794.464,44680.0,44680.0
2015-08-01,4880.149,45478.0,45478.0
2015-09-01,4159.527,38763.0,38763.0
2015-10-01,4732.545,44103.0,44103.0
2015-11-01,4493.982,41879.0,41879.0
2015-12-01,4292.295,40000.0,40000.0
2016-01-01,4220.183,38961.0,38961.0
2016-02-01,3811.24,35185.0,35185.0
2016-03-01,4482.329,41381.0,41381.0
2016-04-01,3946.408,36433.0,36433.0
2016-05-01,4726.242,43633.0,43633.0
2016-06-01,4805.621,44365.0,44365.0
2016-07-01,4419.849,40804.0,40804.0
2016-08-01,4512.198,41657.0,41657.0
2016-09-01,4229.775,39049.0,39049.0
2016-10-01,4843.422,44714.0,44714.0
2016-11-01,4493.894,41488.0,41488.0
2016-12-01,4667.839,43093.0,43093.0
2017-01-01,5138.0,47336.0,47336.0
2017-02-01,2254.28,20769.0,20769.0
2017-03-01,4699.0,43292.0,43292.0
2017-04-01,4233.0,38999.0,38999.0
2017-05-01,3478.0,32043.0,32043.0
2017-06-01,3469.0,31960.0,31960.0
2017-07-01,3792.0,34936.0,34936.0
2017-08-01,3968.0,36557.0,36557.0
2017-09-01,3911.0,36032.0,36032.0
2017-10-01,4160.0,38326.0,38326.0
2017-11-01,4208.0,38768.0,38768.0
2017-12-01,5103.0,47014.0,47014.0
2018-01-01,5342.0,48634.0,48634.0
2018-02-01,5245.0,47750.0,47750.0
2018-03-01,5418.0,49325.0,49325.0
2018-04-01,4958.0,45138.0,45138.0
2018-05-01,4678.0,42589.0,42589.0
2018-06-01,4327.0,39393.0,39393.0
2018-07-01,2128.0,19373.0,19373.0
2018-08-01,3254.0,29624.0,29624.0
2018-09-01,3616.0,32920.0,32920.0
2018-10-01,3985.0,36279.0,36279.0
2018-11-01,4213.0,38355.0,38355.0
2018-12-01,4504.0,41004.0,41004.0
2019-01-01,5084.0,45273.0,45273.0
2019-02-01,4395.0,39137.0,39137.0
2019-03-01,4610.0,41052.0,41052.0
2019-04-01,3926.0,34961.0,34961.0
2019-05-01,4124.0,36724.0,36724.0
2019-06-01,3678.0,32753.0,32753.0
2019-07-01,2641.0,23518.0,23518.0
2019-08-01,3758.0,33465.0,33465.0
2019-09-01,3704.0,32984.0,32984.0
2019-10-01,4001.0,35629.0,35629.0
2019-11-01,4139.0,36858.0,36858.0
2019-12-01,4032.0,35905.0,35905.0
2020-01-01,4194.0,36769.0,36769.0
2020-02-01,4656.0,40819.0,40819.0
2020-03-01,4421.0,38759.0,38759.0
2020-04-01,2892.0,25354.0,25354.0
2020-05-01,4182.0,36664.0,36664.0
2020-06-01,3849.0,33744.0,33744.0
2020-07-01,96.0,842.0,842.0
2020-08-01,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0
