measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2007-12-01,240.04600000000002,1054.0,11712.0,1802.448,7920.0,87947.0,626.698,2754.0,30580.0
2008-01-01,446.84900000000005,1962.0,21872.0,1750.231,7686.0,85677.0,753.109,3307.0,36872.0
2008-02-01,493.925,2169.0,24175.0,1545.32,6786.0,75627.0,755.264,3317.0,36969.0
2008-03-01,469.87600000000003,2063.0,22998.0,1501.059,6591.0,73462.0,708.403,3111.0,34672.0
2008-04-01,226.734,996.0,11097.0,1608.178,7062.0,78707.0,707.395,3106.0,34619.0
2008-05-01,147.132,646.0,7201.0,1438.854,6318.0,70418.0,780.378,3427.0,38192.0
2008-06-01,254.429,1117.0,12453.0,1582.229,6948.0,77440.0,774.0980000000001,3399.0,37884.0
2008-07-01,492.776,2164.0,24119.0,1971.134,8656.0,96483.0,827.277,3633.0,40489.0
2008-08-01,424.295,1863.0,20767.0,1996.221,8766.0,97698.0,858.6170000000001,3770.0,42029.0
2008-09-01,257.736,1132.0,12615.0,1602.211,7036.0,78426.0,751.8520000000001,3302.0,36802.0
2008-10-01,446.439,1960.0,21851.0,1543.0140000000001,6776.0,75522.0,793.265,3483.0,38826.0
2008-11-01,176.13,773.0,8621.0,1597.1270000000002,7013.0,78179.0,835.561,3669.0,40894.0
2008-12-01,288.591,1267.0,14125.0,1844.5110000000002,8100.0,90288.0,665.78,2924.0,32586.0
2009-01-01,395.875,1738.0,20795.0,1791.902,7869.0,94144.0,593.183,2605.0,31161.0
2009-02-01,300.647,1320.0,15792.0,1359.393,5969.0,71396.0,701.437,3080.0,36846.0
2009-03-01,291.744,1281.0,15324.0,1278.22,5613.0,67142.0,659.219,2895.0,34628.0
2009-04-01,358.57300000000004,1575.0,18835.0,1048.065,4602.0,55055.0,640.145,2811.0,33625.0
2009-05-01,185.865,816.0,9763.0,1243.987,5463.0,65344.0,578.5310000000001,2540.0,30386.0
2009-06-01,322.911,1418.0,16962.0,1347.805,5919.0,70791.0,726.925,3192.0,38183.0
2009-07-01,169.765,745.0,8917.0,1620.18,7115.0,85102.0,816.425,3585.0,42882.0
2009-08-01,361.195,1586.0,18972.0,1529.729,6717.0,80349.0,774.8140000000001,3402.0,40700.0
2009-09-01,315.832,1387.0,16590.0,1434.95,6301.0,75365.0,698.969,3069.0,36714.0
2009-10-01,237.598,1043.0,12480.0,1636.765,7187.0,85974.0,684.385,3005.0,35948.0
2009-11-01,231.52300000000002,1017.0,12161.0,1580.9260000000002,6942.0,83037.0,760.633,3340.0,39952.0
2009-12-01,309.718,1360.0,16268.0,1861.6960000000001,8175.0,97793.0,672.47,2953.0,35323.0
2010-01-01,336.122,1476.0,17329.0,1834.611,8056.0,94597.0,646.152,2837.0,33308.0
2010-02-01,287.68100000000004,1263.0,14830.0,1598.7910000000002,7021.0,82412.0,642.238,2820.0,33106.0
2010-03-01,203.81400000000002,895.0,10507.0,1579.2810000000002,6935.0,81416.0,675.951,2968.0,34848.0
2010-04-01,103.03,452.0,5311.0,1585.207,6961.0,81718.0,677.5500000000001,2975.0,34927.0
2010-05-01,173.989,764.0,8969.0,1824.3410000000001,8011.0,94045.0,705.701,3099.0,36379.0
2010-06-01,268.762,1180.0,13855.0,1900.602,8346.0,97976.0,597.975,2626.0,30826.0
2010-07-01,478.983,2103.0,24692.0,2121.444,9316.0,109361.0,743.647,3266.0,38333.0
2010-08-01,477.87600000000003,2098.0,24635.0,1997.172,8770.0,102957.0,707.52,3107.0,36476.0
2010-09-01,140.37300000000002,616.0,7236.0,1542.394,6773.0,79512.0,668.928,2937.0,34487.0
2010-10-01,110.893,487.0,5717.0,1473.7830000000001,6472.0,75973.0,823.0110000000001,3614.0,42425.0
2010-11-01,90.08200000000001,396.0,4644.0,1543.222,6777.0,79548.0,811.339,3563.0,41826.0
2010-12-01,129.609,569.0,6681.0,1991.943,8747.0,102690.0,889.9830000000001,3908.0,45883.0
2011-01-01,69.8,307.0,4030.0,233.715,1026.0,13500.0,80.813,355.0,4673.0
2011-02-01,71.42,314.0,4124.0,183.719,807.0,10600.0,74.548,327.0,4303.0
2011-03-01,101.372,445.0,5853.0,218.763,961.0,12635.0,80.379,353.0,4638.0
2011-04-01,64.64,284.0,3732.0,177.618,780.0,10261.0,77.537,340.0,4479.0
2011-05-01,106.969,470.0,6177.0,162.718,715.0,9396.0,78.708,346.0,4541.0
2011-06-01,85.281,374.0,4924.0,206.188,905.0,11906.0,87.013,382.0,5025.0
2011-07-01,193.381,849.0,11166.0,257.017,1129.0,14840.0,84.121,369.0,4858.0
2011-08-01,136.099,598.0,7859.0,242.052,1063.0,13975.0,90.192,396.0,5210.0
2011-09-01,37.694,166.0,2177.0,195.414,858.0,11278.0,85.256,374.0,4919.0
2011-10-01,84.761,372.0,4894.0,189.341,831.0,10939.0,89.482,393.0,5166.0
2011-11-01,95.752,420.0,5529.0,161.635,710.0,9328.0,90.504,397.0,5227.0
2011-12-01,114.076,501.0,6587.0,205.902,904.0,11889.0,91.12,400.0,5262.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
