measured_on,"Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Generation Unit 2","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Generation Unit 3","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Quantity Consumed For Electricity Unit 2","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Quantity Consumed For Electricity Unit 3","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Total Fuel Consumed Unit 2","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Total Fuel Consumed Unit 3"
2005-12-01,818747.0,822634.0,8543624.95,8584185.79,8543624.95,8584185.79
2006-01-01,52862.0,837730.0,551562.0,8740875.0,551562.0,8740875.0
2006-02-01,-3940.0,754393.0,0.0,7871337.0,0.0,7871337.0
2006-03-01,-14753.0,755514.0,0.0,7883033.0,0.0,7883033.0
2006-04-01,141748.0,-7376.0,1478999.0,0.0,1478999.0,0.0
2006-05-01,820213.0,566163.0,8558102.0,5907345.0,8558102.0,5907345.0
2006-06-01,804331.0,807492.0,8392390.0,8425372.0,8392390.0,8425372.0
2006-07-01,826713.0,828197.0,8625923.0,8641407.0,8625923.0,8641407.0
2006-08-01,832707.0,835310.0,8688465.0,8715625.0,8688465.0,8715625.0
2006-09-01,806707.0,807408.0,8417181.0,8424495.0,8417181.0,8424495.0
2006-10-01,835285.0,402880.0,8715364.0,4203650.0,8715364.0,4203650.0
2006-11-01,809927.0,-3197.0,8450778.0,0.0,8450778.0,0.0
2006-12-01,838777.0,232535.0,8751799.0,2426270.0,8751799.0,2426270.0
2007-01-01,829290.0,814290.0,8695106.0,8537831.0,8695106.0,8537831.0
2007-02-01,757406.0,762276.0,7941402.0,7992464.0,7941402.0,7992464.0
2007-03-01,839354.0,842384.0,8800627.0,8832396.0,8800627.0,8832396.0
2007-04-01,812414.0,813741.0,8518161.0,8532074.0,8518161.0,8532074.0
2007-05-01,833622.0,770388.0,8740527.0,8077518.0,8740527.0,8077518.0
2007-06-01,483259.0,809469.0,5066971.0,8487282.0,5066971.0,8487282.0
2007-07-01,807062.0,837432.0,8462045.0,8780475.0,8462045.0,8780475.0
2007-08-01,821143.0,833146.0,8609684.0,8735536.0,8609684.0,8735536.0
2007-09-01,803817.0,812519.0,8428021.0,8519262.0,8428021.0,8519262.0
2007-10-01,649922.0,218649.0,6814432.0,2292535.0,6814432.0,2292535.0
2007-11-01,666774.0,551381.0,6991125.0,5781230.0,6991125.0,5781230.0
2007-12-01,-5634.0,839896.0,-59072.0,8806310.0,-59072.0,8806310.0
2008-01-01,279469.0,841069.0,2931071.0,8821132.0,2931071.0,8821132.0
2008-02-01,774549.0,745227.0,8123470.0,7815941.0,8123470.0,7815941.0
2008-03-01,836115.0,842513.0,8769174.0,8836276.0,8769174.0,8836276.0
2008-04-01,771719.0,403042.0,8093789.0,4227104.0,8093789.0,4227104.0
2008-05-01,832160.0,380725.0,8727694.0,3993044.0,8727694.0,3993044.0
2008-06-01,568025.0,805917.0,5957446.0,8452457.0,5957446.0,8452457.0
2008-07-01,825170.0,837056.0,8654383.0,8779043.0,8654383.0,8779043.0
2008-08-01,830768.0,802786.0,8713095.0,8419620.0,8713095.0,8419620.0
2008-09-01,777218.0,399030.0,8151462.0,4185027.0,8151462.0,4185027.0
2008-10-01,834558.0,219043.0,8752844.0,2297323.0,8752844.0,2297323.0
2008-11-01,806269.0,-6282.0,8456149.0,0.0,8456149.0,0.0
2008-12-01,720793.0,264885.0,7559677.0,2778114.0,7559677.0,2778114.0
2009-01-01,-22232.0,841913.0,0.0,8829984.0,0.0,8829984.0
2009-02-01,240087.0,759344.0,2518032.0,7964000.0,2518032.0,7964000.0
2009-03-01,819649.0,840502.0,8596479.0,8815185.0,8596479.0,8815185.0
2009-04-01,803692.0,812766.0,8429122.0,8524290.0,8429122.0,8524290.0
2009-05-01,822560.0,826399.0,8627009.0,8667273.0,8627009.0,8667273.0
2009-06-01,804298.0,813689.0,8435477.0,8533970.0,8435477.0,8533970.0
2009-07-01,808307.0,832748.0,8477524.0,8733861.0,8477524.0,8733861.0
2009-08-01,828409.0,838362.0,8688354.0,8792741.0,8688354.0,8792741.0
2009-09-01,582845.0,802565.0,6112878.0,8417302.0,6112878.0,8417302.0
2009-10-01,-6022.0,834424.0,0.0,8751439.0,0.0,8751439.0
2009-11-01,-8875.0,810492.0,0.0,8500440.0,0.0,8500440.0
2009-12-01,-8336.0,821360.0,0.0,8614424.0,0.0,8614424.0
2010-01-01,-15165.0,839495.0,0.0,8780278.0,0.0,8780278.0
2010-02-01,-9053.0,759409.0,0.0,7942659.0,0.0,7942659.0
2010-03-01,-25253.0,466852.0,0.0,4882805.0,0.0,4882805.0
2010-04-01,437988.0,418867.0,4580916.0,4380930.0,4580916.0,4380930.0
2010-05-01,818646.0,836554.0,8562219.0,8749518.0,8562219.0,8749518.0
2010-06-01,814272.0,809119.0,8516471.0,8462576.0,8516471.0,8462576.0
2010-07-01,845417.0,836894.0,8842216.0,8753074.0,8842216.0,8753074.0
2010-08-01,847142.0,838891.0,8860258.0,8773961.0,8860258.0,8773961.0
2010-09-01,810862.0,789630.0,8480806.0,8258740.0,8480806.0,8258740.0
2010-10-01,804638.0,196398.0,8415709.0,2054127.0,8415709.0,2054127.0
2010-11-01,819723.0,-4041.0,8573483.0,0.0,8573483.0,0.0
2010-12-01,839933.0,-6386.0,8784859.0,0.0,8784859.0,0.0
2011-01-01,845148.0,-9516.0,8843629.0,0.0,8843629.0,0.0
2011-02-01,764175.0,203985.0,7996327.0,2134499.0,7996327.0,2134499.0
2011-03-01,847780.0,833138.0,8871170.0,8717956.0,8871170.0,8717956.0
2011-04-01,816933.0,811815.0,8548387.0,8494832.0,8548387.0,8494832.0
2011-05-01,844044.0,830119.0,8832076.0,8686365.0,8832076.0,8686365.0
2011-06-01,816447.0,815561.0,8543301.0,8534030.0,8543301.0,8534030.0
2011-07-01,841821.0,839185.0,8808815.0,8781232.0,8808815.0,8781232.0
2011-08-01,843963.0,758936.0,8831229.0,7941506.0,8831229.0,7941506.0
2011-09-01,735059.0,699991.0,7691657.0,7324706.0,7691657.0,7324706.0
2011-10-01,845275.0,841392.0,8844958.0,8804326.0,8844958.0,8804326.0
2011-11-01,818270.0,815400.0,8562377.0,8532346.0,8562377.0,8532346.0
2011-12-01,797093.0,841159.0,8340781.0,8801888.0,8340781.0,8801888.0
2012-01-01,185230.0,826421.0,1940950.0,8659729.0,1940950.0,8659729.0
2012-02-01,-13351.0,-11223.0,0.0,0.0,0.0,0.0
2012-03-01,-10154.0,-9927.0,0.0,0.0,0.0,0.0
2012-04-01,-11143.0,-7933.0,0.0,0.0,0.0,0.0
2012-05-01,-10058.0,-8151.0,0.0,0.0,0.0,0.0
2012-06-01,-10059.0,-8674.0,0.0,0.0,0.0,0.0
2012-07-01,-10251.0,-8831.0,0.0,0.0,0.0,0.0
2012-08-01,-10155.0,-9673.0,0.0,0.0,0.0,0.0
2012-09-01,-9104.0,-8944.0,0.0,0.0,0.0,0.0
2012-10-01,-15881.0,-8875.0,0.0,0.0,0.0,0.0
2012-11-01,-8726.0,-8009.0,0.0,0.0,0.0,0.0
2012-12-01,-10100.0,-7489.0,0.0,0.0,0.0,0.0
2013-01-01,-9955.0,-8271.0,0.0,0.0,0.0,0.0
2013-02-01,-9875.0,-7752.0,0.0,0.0,0.0,0.0
2013-03-01,-10353.0,-8724.0,0.0,0.0,0.0,0.0
2013-04-01,-9035.0,-7062.0,0.0,0.0,0.0,0.0
2013-05-01,-7168.0,-7335.0,0.0,0.0,0.0,0.0
2013-06-01,-7966.0,-7000.0,0.0,0.0,0.0,0.0
