measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2014-07-01,0.772,9.0,12.0,0.0,0.0,0.0,1541.315,18648.0,20131.0
2014-08-01,0.577,6.0,6.0,0.0,0.0,0.0,1411.065,17072.0,18431.0
2014-09-01,0.417,5.0,6.0,0.0,0.0,0.0,1315.254,15913.0,17179.0
2014-10-01,0.374,5.0,6.0,0.0,0.0,0.0,1108.243,13409.0,14476.0
2014-11-01,0.555,6.0,6.0,0.0,0.0,0.0,1043.762,12628.0,13633.0
2014-12-01,0.645,6.0,6.0,0.0,0.0,0.0,1136.186,13747.0,14840.0
2015-01-01,6.379,75.0,75.0,0.0,0.0,0.0,1091.063,13201.0,14213.0
2015-02-01,23.044,279.0,302.0,0.0,0.0,0.0,912.488,11040.0,11885.0
2015-03-01,1.774,21.0,23.0,0.0,0.0,0.0,1252.849,15158.0,16318.0
2015-04-01,0.218,0.0,0.0,0.0,0.0,0.0,911.173,11024.0,11869.0
2015-05-01,0.31,4.0,6.0,0.0,0.0,0.0,1245.096,15064.0,16217.0
2015-06-01,0.266,3.0,6.0,0.0,0.0,0.0,1228.732,14866.0,16004.0
2015-07-01,0.681,8.0,12.0,0.0,0.0,0.0,1626.814,19682.0,21190.0
2015-08-01,0.758,9.0,12.0,0.0,0.0,0.0,1638.074,19819.0,21336.0
2015-09-01,0.644,6.0,6.0,0.0,0.0,0.0,1481.917,17929.0,19302.0
2015-10-01,0.247,3.0,6.0,0.0,0.0,0.0,1233.422,14923.0,16066.0
2015-11-01,0.113,0.0,0.0,0.0,0.0,0.0,1002.573,12130.0,13058.0
2015-12-01,0.298,4.0,6.0,0.0,0.0,0.0,968.067,11712.0,12609.0
2016-01-01,6.582,80.0,93.0,0.0,0.0,0.0,989.745,11975.0,13699.0
2016-02-01,16.05,194.0,220.0,0.0,0.0,0.0,939.188,11364.0,13001.0
2016-03-01,1.133,14.0,17.0,0.0,0.0,0.0,1027.608,12433.0,14224.0
2016-04-01,1.132,14.0,17.0,0.0,0.0,0.0,1081.947,13091.0,14977.0
2016-05-01,0.561,6.0,6.0,0.0,0.0,0.0,1222.942,14797.0,16929.0
2016-06-01,0.699,8.0,12.0,0.0,0.0,0.0,1388.263,16797.0,19217.0
2016-07-01,4.274,52.0,58.0,0.0,0.0,0.0,1801.03,21791.0,24931.0
2016-08-01,6.692,81.0,93.0,0.0,0.0,0.0,1944.118,23522.0,26912.0
2016-09-01,1.873,23.0,23.0,0.0,0.0,0.0,1407.883,17034.0,19489.0
2016-10-01,0.674,8.0,12.0,0.0,0.0,0.0,1027.137,12428.0,14218.0
2016-11-01,0.766,9.0,12.0,0.0,0.0,0.0,935.955,11324.0,12956.0
2016-12-01,4.397,53.0,58.0,0.0,0.0,0.0,1088.351,13168.0,15066.0
2017-01-01,6.019,73.0,87.0,0.0,0.0,0.0,1079.177,13057.0,15566.0
2017-02-01,5.013,61.0,70.0,0.0,0.0,0.0,937.184,11339.0,13519.0
2017-03-01,7.642,92.0,110.0,0.0,0.0,0.0,1022.444,12371.0,14749.0
2017-04-01,7.23,87.0,104.0,0.0,0.0,0.0,886.961,10731.0,12795.0
2017-05-01,3.719,45.0,52.0,0.0,0.0,0.0,960.228,11618.0,13851.0
2017-06-01,2.868,35.0,41.0,0.0,0.0,0.0,1201.498,14537.0,17332.0
2017-07-01,2.711,33.0,41.0,0.0,0.0,0.0,1529.145,18501.0,22058.0
2017-08-01,2.08,25.0,29.0,0.0,0.0,0.0,1446.799,17505.0,20870.0
2017-09-01,2.259,27.0,35.0,0.0,0.0,0.0,1198.419,14500.0,17288.0
2017-10-01,4.068,49.0,58.0,0.0,0.0,0.0,959.579,11610.0,13842.0
2017-11-01,4.721,57.0,70.0,0.0,0.0,0.0,868.813,10512.0,12533.0
2017-12-01,72.293,875.0,1044.0,0.0,0.0,0.0,1047.13,12669.0,15105.0
2018-01-01,77.778,941.0,1009.0,0.0,0.0,0.0,872.575,10558.0,11423.0
2018-02-01,1.632,20.0,23.0,0.0,0.0,0.0,759.236,9186.0,9940.0
2018-03-01,1.626,20.0,23.0,0.0,0.0,0.0,843.944,10211.0,11048.0
2018-04-01,1.293,16.0,17.0,0.0,0.0,0.0,872.631,10558.0,11424.0
2018-05-01,0.307,4.0,6.0,0.0,0.0,0.0,968.752,11721.0,12681.0
2018-06-01,0.791,10.0,12.0,0.0,0.0,0.0,1125.525,13618.0,14734.0
2018-07-01,0.728,9.0,12.0,0.0,0.0,0.0,1596.297,19314.0,20897.0
2018-08-01,0.627,6.0,6.0,0.0,0.0,0.0,1665.228,20148.0,21799.0
2018-09-01,0.72,9.0,12.0,0.0,0.0,0.0,1243.079,15040.0,16273.0
2018-10-01,0.779,9.0,12.0,0.0,0.0,0.0,1035.495,12529.0,13556.0
2018-11-01,0.818,10.0,12.0,0.0,0.0,0.0,891.921,10792.0,11676.0
2018-12-01,1.512,17.0,17.0,0.0,0.0,0.0,883.706,10692.0,11569.0
2019-01-01,8.048,97.0,104.0,0.0,0.0,0.0,989.447,11929.0,12981.0
2019-02-01,1.665,20.0,23.0,0.0,0.0,0.0,945.829,11403.0,12409.0
2019-03-01,0.027,0.0,0.0,0.0,0.0,0.0,880.52,10616.0,11552.0
2019-04-01,0.014,0.0,0.0,0.0,0.0,0.0,774.79,9341.0,10165.0
2019-05-01,0.022,0.0,0.0,0.0,0.0,0.0,751.107,9055.0,9854.0
2019-06-01,0.014,0.0,0.0,0.0,0.0,0.0,1000.596,12063.0,13127.0
2019-07-01,0.007,0.0,0.0,0.0,0.0,0.0,1702.831,20530.0,22341.0
2019-08-01,0.013,0.0,0.0,0.0,0.0,0.0,1488.629,17947.0,19531.0
2019-09-01,0.058,0.0,0.0,0.0,0.0,0.0,1063.467,12821.0,13952.0
2019-10-01,0.015,0.0,0.0,0.0,0.0,0.0,896.709,10811.0,11765.0
2019-11-01,0.03,0.0,0.0,0.0,0.0,0.0,946.805,11415.0,12422.0
2019-12-01,1.139,14.0,17.0,0.0,0.0,0.0,1056.218,12734.0,13858.0
2020-01-01,1.677,20.0,29.0,0.0,0.0,0.0,867.614,10498.0,10880.0
2020-02-01,1.257,15.0,17.0,0.0,0.0,0.0,815.169,9863.0,10222.0
2020-03-01,1.065,12.0,12.0,0.0,0.0,0.0,798.015,9656.0,10006.0
2020-04-01,0.757,9.0,12.0,0.0,0.0,0.0,569.428,6890.0,7140.0
2020-05-01,1.6,17.0,17.0,0.0,0.0,0.0,665.372,8051.0,8343.0
2020-06-01,0.663,6.0,6.0,0.0,0.0,0.0,1058.446,12807.0,13272.0
2020-07-01,1.103,12.0,12.0,0.0,0.0,0.0,1524.058,18441.0,19111.0
2020-08-01,0.446,5.0,6.0,0.0,0.0,0.0,1357.518,16426.0,17022.0
2020-09-01,1.16,14.0,17.0,0.0,0.0,0.0,1065.223,12889.0,13357.0
2020-10-01,0.663,6.0,6.0,0.0,0.0,0.0,797.746,9653.0,10003.0
2020-11-01,1.605,17.0,17.0,0.0,0.0,0.0,822.355,9950.0,10311.0
2020-12-01,1.881,23.0,23.0,0.0,0.0,0.0,838.179,10142.0,10510.0
2021-01-01,0.469,6.0,6.0,0.0,0.0,0.0,989.113,11968.0,14713.0
2021-02-01,3.849,47.0,67.0,0.0,0.0,0.0,831.28,10058.0,12363.0
2021-03-01,0.577,6.0,6.0,0.0,0.0,0.0,819.591,9917.0,12189.0
2021-04-01,4.585,55.0,67.0,0.0,0.0,0.0,697.079,8434.0,10367.0
2021-05-01,0.179,0.0,0.0,0.0,0.0,0.0,881.587,10667.0,13111.0
2021-06-01,0.163,0.0,0.0,0.0,0.0,0.0,1252.783,15158.0,18632.0
2021-07-01,0.147,0.0,0.0,0.0,0.0,0.0,1393.87,16865.0,20730.0
2021-08-01,0.025,0.0,0.0,0.0,0.0,0.0,1516.597,18350.0,22556.0
2021-09-01,0.331,4.0,6.0,0.0,0.0,0.0,1031.434,12480.0,15340.0
2021-10-01,0.419,5.0,6.0,0.0,0.0,0.0,1020.496,12348.0,15177.0
2021-11-01,0.616,7.0,12.0,0.0,0.0,0.0,1028.219,12441.0,15292.0
2021-12-01,1.765,21.0,24.0,0.0,0.0,0.0,1018.826,12328.0,15152.0
2022-01-01,10.489,122.0,143.0,0.0,0.0,0.0,884.988,10271.0,11355.0
2022-02-01,1.184,12.0,12.0,0.0,0.0,0.0,813.399,9440.0,10437.0
2022-03-01,0.084,0.0,0.0,0.0,0.0,0.0,890.854,10339.0,11431.0
2022-04-01,0.052,0.0,0.0,0.0,0.0,0.0,975.397,11320.0,12516.0
2022-05-01,0.153,0.0,0.0,0.0,0.0,0.0,1143.758,13274.0,14675.0
2022-06-01,0.018,0.0,0.0,0.0,0.0,0.0,1198.389,13908.0,15377.0
2022-07-01,0.025,0.0,0.0,0.0,0.0,0.0,1617.562,18773.0,20756.0
2022-08-01,0.017,0.0,0.0,0.0,0.0,0.0,1611.259,18699.0,20674.0
2022-09-01,0.027,0.0,0.0,0.0,0.0,0.0,1093.118,12686.0,14027.0
2022-10-01,0.064,0.0,0.0,0.0,0.0,0.0,1027.706,11927.0,13187.0
2022-11-01,0.194,0.0,0.0,0.0,0.0,0.0,950.222,11028.0,12192.0
2022-12-01,6.538,76.0,87.0,0.0,0.0,0.0,1014.303,11771.0,13015.0
2024-01-01,37.764,395.0,395.0,0.0,0.0,0.0,1138.033,11839.0,11839.0
2024-02-01,1.782,18.0,18.0,0.0,0.0,0.0,1032.772,10743.0,10743.0
2024-03-01,11.257,118.0,118.0,0.0,0.0,0.0,992.34,10323.0,10323.0
2024-04-01,2.716,30.0,30.0,0.0,0.0,0.0,853.282,8877.0,8877.0
2024-05-01,1.367,12.0,12.0,0.0,0.0,0.0,1009.347,10500.0,10500.0
2024-06-01,1.107,12.0,12.0,0.0,0.0,0.0,1252.596,13030.0,13030.0
2024-07-01,2.209,24.0,24.0,0.0,0.0,0.0,1600.581,16651.0,16651.0
2024-08-01,1.459,17.0,18.0,0.0,0.0,0.0,1424.294,14817.0,14817.0
2024-09-01,1.368,12.0,12.0,0.0,0.0,0.0,1174.973,12223.0,12223.0
2024-10-01,2.473,24.0,24.0,0.0,0.0,0.0,999.462,10397.0,10397.0
2024-11-01,3.469,35.0,35.0,0.0,0.0,0.0,1045.117,10872.0,10872.0
2024-12-01,26.043,271.0,271.0,0.0,0.0,0.0,1229.189,12787.0,12787.0
