measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Other Gases-Combined Cycle Combustion Turbine Part Generation,Other Gases-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other Gases-Combined Cycle Steam Part Generation,Other Gases-Combined Cycle Steam Part Quantity Consumed For Electricity,Other Gases-Combined Cycle Steam Part Total Fuel Consumed,Other-Combined Cycle Combustion Turbine Part Generation,Other-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other-Combined Cycle Steam Part Generation,Other-Combined Cycle Steam Part Quantity Consumed For Electricity,Other-Combined Cycle Steam Part Total Fuel Consumed
2005-08-01,103667.78,638908.4,1245315.33,10770.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-09-01,81854.42,499871.17,994479.11,7680.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-10-01,98658.7,603290.74,1193685.42,9400.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-11-01,67112.36,382961.62,817801.14,1482.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-12-01,49735.78,288158.1,599906.38,1877.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-01-01,6734.71,25509.04,25509.04,272.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-04-01,2871.2,21250.37,35567.9,935.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-05-01,13272.51,86479.92,169050.1,2217.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-06-01,33981.04,212184.22,430012.36,4024.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-07-01,34575.65,231425.45,436853.32,6876.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-08-01,72115.62,473129.49,906945.36,12629.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-09-01,18615.27,118642.5,232900.08,2635.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-10-01,23719.41,155695.27,282715.91,4168.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-11-01,4279.64,27906.01,53483.68,718.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-12-01,3265.99,22598.83,39255.1,781.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-01-01,7031.53,44461.0,85222.0,932.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-02-01,22517.58,145584.0,268306.0,3558.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-03-01,45898.46,298523.0,552652.0,7571.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-04-01,16693.7,102234.0,202788.0,1617.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-05-01,31083.65,200779.0,385502.0,4879.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-06-01,44334.82,293509.0,559854.0,8237.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-07-01,47091.56,316411.0,588511.0,9582.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-08-01,68358.81,452339.0,850355.0,12662.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-09-01,57300.81,381164.0,707631.0,10971.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-10-01,50657.28,331666.0,516344.0,8749.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-11-01,22779.48,153567.0,275625.0,4726.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2007-12-01,43814.9,285185.0,525005.0,7266.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-01-01,16878.0,98698.0,201941.0,1245.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,15042.0,89545.0,166865.0,1352.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,61087.0,388279.0,735591.0,9502.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,62594.0,420009.0,742541.0,13667.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,109964.0,722551.0,1318167.0,21387.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,108970.0,727387.0,1315717.0,23091.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,106882.0,713372.0,1299365.0,22495.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,96242.0,643208.0,1160073.0,20598.0,0.0,0.0,,,,,,,,,,,,
2008-09-01,42161.0,282207.0,508640.0,9126.0,0.0,0.0,,,,,,,,,,,,
2008-10-01,4790.0,157747.0,287717.0,23918.0,0.0,0.0,,,,,,,,,,,,
2008-11-01,4639.0,28940.0,56144.0,636.0,0.0,0.0,,,,,,,,,,,,
2008-12-01,21480.0,145774.0,250625.0,5110.0,0.0,0.0,,,,,,,,,,,,
2009-01-01,1169.0,7311.0,13840.0,161.0,0.0,0.0,,,,,,,,,,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2009-03-01,1634.0,9325.0,19022.0,51.0,0.0,0.0,,,,,,,,,,,,
2009-04-01,5179.0,36749.0,63812.0,1466.0,0.0,0.0,,,,,,,,,,,,
2009-05-01,24585.0,166391.0,300030.0,5632.0,0.0,0.0,,,,,,,,,,,,
2009-06-01,86434.0,563162.0,1059206.0,15622.0,0.0,0.0,,,,,,,,,,,,
2009-07-01,97058.0,641085.0,1175795.0,19022.0,0.0,0.0,,,,,,,,,,,,
2009-08-01,90113.0,591902.0,1137548.0,17638.0,0.0,0.0,,,,,,,,,,,,
2009-09-01,54567.0,356621.0,698164.0,10454.0,0.0,0.0,,,,,,,,,,,,
2009-10-01,29327.0,193052.0,374814.0,5712.0,0.0,0.0,,,,,,,,,,,,
2009-11-01,29798.0,65850.0,65850.0,5793.0,0.0,0.0,,,,,,,,,,,,
2009-12-01,30245.0,196225.0,374155.0,5518.0,0.0,0.0,,,,,,,,,,,,
2010-01-01,30157.0,198164.0,380196.0,5945.0,0.0,0.0,,,,,,,,,,,,
2010-02-01,35353.0,233737.0,437394.0,7086.0,0.0,0.0,,,,,,,,,,,,
2010-03-01,6228.0,40476.0,74659.0,1116.0,0.0,0.0,,,,,,,,,,,,
2010-04-01,50952.0,342958.0,653191.0,11377.0,0.0,0.0,,,,,,,,,,,,
2010-05-01,42808.0,291272.0,558291.0,10015.0,0.0,0.0,,,,,,,,,,,,
2010-06-01,67435.0,453748.0,890611.0,15693.0,0.0,0.0,,,,,,,,,,,,
2010-07-01,95735.0,628570.0,1232405.0,18264.0,0.0,0.0,,,,,,,,,,,,
2010-08-01,69686.0,448116.0,918890.0,11606.0,0.0,0.0,,,,,,,,,,,,
2010-09-01,40673.0,277614.0,537583.0,9708.0,0.0,0.0,,,,,,,,,,,,
2010-10-01,17620.0,117635.0,235464.0,3759.0,0.0,0.0,,,,,,,,,,,,
2010-11-01,20761.0,134965.0,249492.0,2456.0,0.0,0.0,,,,,,,,,,,,
2010-12-01,2999.0,17612.0,28491.0,2.0,0.0,0.0,,,,,,,,,,,,
2011-01-01,10264.0,63865.0,131581.0,1396.0,0.0,0.0,,,,,,,,,,,,
2011-02-01,22300.0,146078.0,280411.0,4481.0,0.0,0.0,,,,,,,,,,,,
2011-03-01,13379.0,88342.0,158458.0,2042.0,0.0,0.0,,,,,,,,,,,,
2011-04-01,41058.0,293790.0,523914.0,12654.0,0.0,0.0,,,,,,,,,,,,
2011-05-01,61358.0,419039.0,784139.0,15336.0,0.0,0.0,,,,,,,,,,,,
2011-06-01,93025.0,626637.0,1191905.0,21668.0,0.0,0.0,,,,,,,,,,,,
2011-07-01,99159.0,654055.0,1267287.0,19819.0,0.0,0.0,,,,,,,,,,,,
2011-08-01,131353.0,872857.0,1689303.0,27977.0,0.0,0.0,,,,,,,,,,,,
2011-09-01,78428.0,519026.0,1020882.0,16596.0,0.0,0.0,,,,,,,,,,,,
2011-10-01,58841.0,392775.0,748175.0,13058.0,0.0,0.0,,,,,,,,,,,,
2011-11-01,33949.0,218196.0,439657.0,6056.0,0.0,0.0,,,,,,,,,,,,
2011-12-01,32040.0,214052.0,411609.0,6977.0,0.0,0.0,,,,,,,,,,,,
2012-01-01,53705.0,353139.0,683918.0,10766.0,0.0,0.0,,,,,,,,,,,,
2012-02-01,39639.0,251376.0,510817.0,6153.0,0.0,0.0,,,,,,,,,,,,
2012-03-01,25207.0,163526.0,348341.0,4643.0,0.0,0.0,,,,,,,,,,,,
2012-04-01,46983.0,309885.0,605300.0,9614.0,0.0,0.0,,,,,,,,,,,,
2012-05-01,47950.0,285710.0,621204.0,3724.0,0.0,0.0,,,,,,,,,,,,
2012-06-01,38567.0,248880.0,491433.0,6756.0,0.0,0.0,,,,,,,,,,,,
2012-07-01,46969.0,321832.0,582573.0,11570.0,0.0,0.0,,,,,,,,,,,,
2012-08-01,57886.0,387630.0,737288.0,12807.0,0.0,0.0,,,,,,,,,,,,
2012-09-01,38740.0,262402.0,499200.0,9209.0,0.0,0.0,,,,,,,,,,,,
2012-10-01,24594.0,164707.0,316596.0,4892.0,0.0,0.0,,,,,,,,,,,,
2012-11-01,12257.0,81552.0,158700.0,1918.0,0.0,0.0,,,,,,,,,,,,
2012-12-01,434.0,2897.0,5423.0,51.0,0.0,0.0,,,,,,,,,,,,
2013-01-01,8048.0,55693.0,101832.0,1419.0,0.0,0.0,,,,,,,,,,,,
2013-02-01,10394.0,60534.0,131902.0,464.0,0.0,0.0,,,,,,,,,,,,
2013-03-01,15699.0,100311.0,162870.0,2327.0,0.0,0.0,,,,,,,,,,,,
2013-04-01,15513.0,131012.0,196789.0,4610.0,0.0,0.0,,,,,,,,,,,,
2013-05-01,34732.0,239061.0,455148.0,6862.0,0.0,0.0,,,,,,,,,,,,
2013-06-01,58001.0,387332.0,705048.0,12731.0,0.0,0.0,,,,,,,,,,,,
2013-07-01,54557.0,346494.0,707505.0,7438.0,0.0,0.0,,,,,,,,,,,,
2013-08-01,79994.0,498918.0,999366.0,9886.0,0.0,0.0,,,,,,,,,,,,
2013-09-01,40456.0,257469.0,526236.0,5000.0,0.0,0.0,,,,,,,,,,,,
2013-10-01,19375.0,122320.0,246855.0,2394.0,0.0,0.0,,,,,,,,,,,,
2013-11-01,18082.0,111066.0,227487.0,2008.0,0.0,0.0,,,,,,,,,,,,
2013-12-01,10594.0,65836.0,134091.0,858.0,0.0,0.0,,,,,,,,,,,,
2014-01-01,25017.0,154016.0,302753.0,2934.0,0.0,0.0,,,,,,,,,,,,
2014-02-01,22832.0,149164.0,279881.0,4348.0,0.0,0.0,,,,,,,,,,,,
2014-03-01,16711.0,109485.0,202053.0,3182.0,0.0,0.0,,,,,,,,,,,,
2014-04-01,24416.0,156426.0,320413.0,3843.0,0.0,0.0,,,,,,,,,,,,
2014-05-01,47752.0,290248.0,620389.0,4435.0,0.0,0.0,,,,,,,,,,,,
2014-06-01,43080.0,253851.0,557152.0,2362.0,0.0,0.0,,,,,,,,,,,,
2014-07-01,44276.0,283425.0,565308.0,6909.0,0.0,0.0,,,,,,,,,,,,
2014-08-01,48737.0,326711.0,621880.0,10266.0,0.0,0.0,,,,,,,,,,,,
2014-09-01,26201.0,163283.0,334415.0,3304.0,0.0,0.0,,,,,,,,,,,,
2014-10-01,28569.0,175094.0,375518.0,3139.0,0.0,0.0,,,,,,,,,,,,
2014-11-01,18320.0,122796.0,217158.0,4070.0,0.0,0.0,,,,,,,,,,,,
2014-12-01,15872.0,93439.0,192070.0,1090.0,0.0,0.0,,,,,,,,,,,,
2015-01-01,32065.0,183390.0,377189.0,1240.0,0.0,0.0,,,,,,,,,,,,
2015-02-01,31199.0,199485.0,370490.0,5019.0,0.0,0.0,,,,,,,,,,,,
2015-03-01,11419.0,71322.0,139896.0,1509.0,0.0,0.0,,,,,,,,,,,,
2015-04-01,25365.0,146548.0,320593.0,725.0,0.0,0.0,,,,,,,,,,,,
2015-05-01,28049.0,168432.0,340534.0,2057.0,0.0,0.0,,,,,,,,,,,,
2015-06-01,13361.0,81405.0,171217.0,1330.0,0.0,0.0,,,,,,,,,,,,
2015-07-01,55057.0,366314.0,707096.0,10862.0,0.0,0.0,,,,,,,,,,,,
2015-08-01,52977.0,367971.0,678457.0,13423.0,0.0,0.0,,,,,,,,,,,,
2015-09-01,43769.0,261476.0,572206.0,2857.0,0.0,0.0,,,,,,,,,,,,
2015-10-01,45655.0,273763.0,575648.0,3614.0,0.0,0.0,,,,,,,,,,,,
2015-11-01,41215.0,263403.0,493325.0,6447.0,0.0,0.0,,,,,,,,,,,,
2015-12-01,27914.0,190192.0,352650.0,6230.0,0.0,0.0,,,,,,,,,,,,
2016-01-01,10063.0,68138.0,128862.0,3036.0,0.0,0.0,,,,,,,,,,,,
2016-02-01,7586.0,45375.0,99523.0,1129.0,0.0,0.0,,,,,,,,,,,,
2016-03-01,37074.0,247767.0,467773.0,10744.0,0.0,0.0,,,,,,,,,,,,
2016-04-01,18679.0,125068.0,243877.0,5392.0,0.0,0.0,,,,,,,,,,,,
2016-05-01,20287.0,133200.0,259504.0,5404.0,0.0,0.0,,,,,,,,,,,,
2016-06-01,30191.0,163974.0,260674.0,1474.0,0.0,0.0,,,,,,,,,,,,
2016-07-01,7147.0,49550.0,92803.0,2318.0,0.0,0.0,,,,,,,,,,,,
2016-08-01,40149.0,268438.0,521856.0,11277.0,0.0,0.0,,,,,,,,,,,,
2016-09-01,49575.0,312570.0,666418.0,10365.0,0.0,0.0,,,,,,,,,,,,
2016-10-01,27791.0,193445.0,363436.0,9313.0,0.0,0.0,,,,,,,,,,,,
2016-11-01,21536.0,137036.0,282296.0,4098.0,0.0,0.0,,,,,,,,,,,,
2016-12-01,4822.0,33173.0,78998.0,1537.0,0.0,0.0,,,,,,,,,,,,
2017-01-01,8648.0,58269.0,106143.0,2557.0,0.0,0.0,,,,,,,,,,,,
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
