measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2023-01-01,0.0,0.0,0.0,48.0,164.0,164.0
2023-02-01,0.0,0.0,0.0,82.0,280.0,280.0
2023-03-01,0.0,0.0,0.0,111.0,379.0,379.0
2023-04-01,0.0,0.0,0.0,99.0,338.0,338.0
2023-05-01,0.0,0.0,0.0,110.0,375.0,375.0
2023-06-01,0.0,0.0,0.0,90.0,307.0,307.0
2023-07-01,0.0,0.0,0.0,102.0,348.0,348.0
2023-08-01,0.0,0.0,0.0,96.0,328.0,328.0
2023-09-01,0.0,0.0,0.0,76.0,259.0,259.0
2023-10-01,0.0,0.0,0.0,76.0,259.0,259.0
2023-11-01,0.0,0.0,0.0,52.0,177.0,177.0
2023-12-01,0.0,0.0,0.0,41.0,140.0,140.0
2024-01-01,0.0,0.0,0.0,12.0,41.0,41.0
2024-02-01,0.0,0.0,0.0,30.0,102.0,102.0
2024-03-01,0.0,0.0,0.0,36.0,123.0,123.0
2024-04-01,0.0,0.0,0.0,37.0,126.0,126.0
2024-05-01,0.0,0.0,0.0,37.0,126.0,126.0
2024-06-01,0.0,0.0,0.0,46.0,157.0,157.0
2024-07-01,0.0,0.0,0.0,52.0,177.0,177.0
2024-08-01,0.0,0.0,0.0,92.0,314.0,314.0
2024-09-01,0.0,0.0,0.0,80.0,273.0,273.0
2024-10-01,0.0,0.0,0.0,79.0,270.0,270.0
2024-11-01,0.0,0.0,0.0,51.0,174.0,174.0
2024-12-01,0.0,0.0,0.0,42.0,143.0,143.0
