measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2007-07-01,18415.0,252945.0,252945.0,,,,0.0,0.0,0.0,,,
2007-08-01,17689.0,264333.0,264333.0,,,,0.0,0.0,0.0,,,
2007-09-01,17045.0,206025.0,206025.0,,,,0.0,0.0,0.0,,,
2007-10-01,1650.0,24730.0,24730.0,,,,0.0,0.0,0.0,,,
2007-11-01,10912.0,153761.0,153761.0,,,,0.0,0.0,0.0,,,
2007-12-01,10917.0,163567.0,163567.0,,,,0.0,0.0,0.0,,,
2008-01-01,16391.0,253543.0,253543.0,,,,0.865,3.0,3.0,,,
2008-02-01,18067.0,260370.0,260370.0,,,,0.8340000000000001,3.0,3.0,,,
2008-03-01,18901.0,246901.0,246901.0,,,,0.632,3.0,3.0,,,
2008-04-01,206.0,3298.0,3298.0,,,,0.465,2.0,2.0,,,
2008-05-01,18709.0,244316.0,244316.0,,,,0.23800000000000002,1.0,1.0,,,
2008-06-01,18920.0,250792.0,250792.0,,,,1.024,4.0,4.0,,,
2008-07-01,19090.0,293181.0,293181.0,,,,1.516,6.0,6.0,,,
2008-08-01,18069.0,261835.0,261835.0,,,,1.129,5.0,5.0,,,
2008-09-01,18069.0,279367.0,279367.0,,,,0.662,3.0,3.0,,,
2008-10-01,131.0,4559.0,4559.0,,,,0.463,2.0,2.0,,,
2008-11-01,3524.0,46394.0,46394.0,,,,0.521,2.0,2.0,,,
2008-12-01,8343.0,114321.0,114321.0,,,,0.651,3.0,3.0,,,
2009-01-01,16746.0,230237.0,230237.0,,,,0.0,0.0,0.0,,,
2009-02-01,17114.0,244352.0,244352.0,,,,0.0,0.0,0.0,,,
2009-03-01,13702.0,192488.0,192488.0,,,,0.0,0.0,0.0,,,
2009-04-01,4.0,24.0,24.0,,,,0.0,0.0,0.0,,,
2009-05-01,1077.0,14850.0,14850.0,,,,0.0,0.0,0.0,,,
2009-06-01,13374.0,194119.0,194119.0,,,,0.0,0.0,0.0,,,
2009-07-01,16787.0,252259.0,252259.0,,,,0.0,0.0,0.0,,,
2009-08-01,17094.0,254944.0,254944.0,,,,0.0,0.0,0.0,,,
2009-09-01,16273.0,239190.0,239190.0,,,,0.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2009-11-01,1071.0,18523.0,18523.0,,,,0.0,0.0,0.0,,,
2009-12-01,15470.0,209174.0,209174.0,,,,0.0,0.0,0.0,,,
2010-01-01,15842.0,227853.0,227853.0,,,,0.0,0.0,0.0,,,
2010-02-01,15476.0,227809.0,227809.0,,,,0.0,0.0,0.0,,,
2010-03-01,12892.0,181915.0,181915.0,,,,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2010-05-01,4282.0,56709.0,56709.0,,,,0.0,0.0,0.0,,,
2010-06-01,13269.0,179599.0,179599.0,,,,0.0,0.0,0.0,,,
2010-07-01,17762.0,231447.0,231447.0,,,,0.0,0.0,0.0,,,
2010-08-01,15514.0,215161.0,215161.0,,,,0.0,0.0,0.0,,,
2010-09-01,15256.0,228922.0,228922.0,,,,0.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2010-11-01,3571.0,58852.0,58852.0,,,,0.0,0.0,0.0,,,
2010-12-01,15062.0,215827.0,215827.0,,,,0.0,0.0,0.0,,,
2011-01-01,18039.0,233971.0,233971.0,,,,0.0,0.0,0.0,,,
2011-02-01,14822.0,225814.0,225814.0,,,,0.0,0.0,0.0,,,
2011-03-01,16744.0,231504.0,231504.0,,,,0.0,0.0,0.0,,,
2011-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-05-01,4563.0,73046.0,73046.0,,,,0.0,0.0,0.0,,,
2011-06-01,15560.0,231675.0,231675.0,,,,0.0,0.0,0.0,,,
2011-07-01,16411.0,253025.0,253025.0,,,,0.0,0.0,0.0,,,
2011-08-01,16403.0,268379.0,268379.0,,,,0.0,0.0,0.0,,,
2011-09-01,11211.0,165681.0,165681.0,,,,0.0,0.0,0.0,,,
2011-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-11-01,1914.0,32308.0,32308.0,,,,0.0,0.0,0.0,,,
2011-12-01,8742.0,151280.0,151280.0,,,,0.0,0.0,0.0,,,
2012-01-01,12702.0,178886.0,178886.0,,,,0.0,0.0,0.0,,,
2012-02-01,14526.0,219878.0,219878.0,,,,0.0,0.0,0.0,,,
2012-03-01,16617.0,265005.0,265005.0,,,,0.0,0.0,0.0,,,
2012-04-01,391.0,5968.0,5968.0,,,,0.0,0.0,0.0,,,
2012-05-01,9658.0,145417.0,145417.0,,,,0.0,0.0,0.0,,,
2012-06-01,14364.0,232960.0,232960.0,,,,0.0,0.0,0.0,,,
2012-07-01,17000.0,279026.0,279026.0,,,,0.0,0.0,0.0,,,
2012-08-01,16016.0,244854.0,244854.0,,,,0.0,0.0,0.0,,,
2012-09-01,13410.0,203942.0,203942.0,,,,0.0,0.0,0.0,,,
2012-10-01,568.0,8612.0,8612.0,,,,0.0,0.0,0.0,,,
2012-11-01,9179.0,136348.0,136348.0,,,,0.0,0.0,0.0,,,
2012-12-01,14961.0,231641.0,231641.0,,,,0.0,0.0,0.0,,,
2013-01-01,17109.0,272698.0,272698.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,13138.0,184470.0,184470.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,7871.0,117749.0,117749.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,1173.0,18777.0,18777.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,7819.0,112906.0,112906.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,13904.0,197758.0,197758.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,14915.0,227000.0,227000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,15796.0,241248.0,241248.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,13900.0,215280.0,215280.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,2006.0,28890.0,28890.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,9363.0,141081.0,141081.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,8106.0,124667.0,124667.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,8099.0,129548.0,129548.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,8332.0,149385.0,149385.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,76.0,1415.0,1415.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,8444.0,138713.0,138713.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,15421.0,239335.0,239335.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,10470.0,175708.0,175708.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,17489.0,297128.0,297128.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,5628.0,93708.0,93708.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,126.0,2813.0,2813.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,15095.0,236269.0,236269.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,17503.0,295348.0,295348.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,13087.0,216716.0,216716.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,15676.0,242149.0,242149.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,15432.0,264899.0,264899.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,1625.0,25704.0,25704.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,13140.0,217500.0,217500.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,15554.0,265186.0,265186.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,10407.0,190375.0,190375.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,16266.0,254884.0,254884.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,8844.0,141134.0,141134.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,3723.0,58704.0,58704.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2288.0,38704.0,38704.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,5348.0,93672.0,93672.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,12321.0,161839.0,161839.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
