measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2009-09-01,,,,,,,27843.076,371305.0,371305.0,2629.0,17271.0,38837.0
2009-10-01,,,,,,,24832.904000000002,331163.0,331163.0,3321.0,20395.0,49735.0
2009-11-01,,,,,,,21529.644,287111.0,287111.0,3011.0,18778.0,46176.0
2009-12-01,,,,,,,24489.368000000002,326581.0,326581.0,2340.0,16655.0,46732.0
2010-01-01,,,,,,,22837.484,283752.0,283752.0,1632.0,7837.0,7837.0
2010-02-01,,,,,,,17119.841,212711.0,212711.0,3340.0,20227.0,49645.0
2010-03-01,,,,,,,18434.478000000003,229045.0,229045.0,3000.0,18937.0,47801.0
2010-04-01,,,,,,,20354.917,252906.0,252906.0,2843.0,18190.0,22313.0
2010-05-01,,,,,,,24938.398,309855.0,309855.0,4521.0,25960.0,70818.0
2010-06-01,,,,,,,28891.732,358975.0,358975.0,3364.0,19464.0,53173.0
2010-07-01,,,,,,,31700.21,393869.0,393869.0,2816.0,18492.0,31432.0
2010-08-01,,,,,,,35968.913,446907.0,446907.0,3121.0,19901.0,38643.0
2010-09-01,,,,,,,28340.746,352128.0,352128.0,2829.0,18214.0,32199.0
2010-10-01,,,,,,,21428.329,266242.0,266242.0,7568.0,37691.0,48800.0
2010-11-01,,,,,,,18105.894,224962.0,224962.0,7605.0,37621.0,55538.0
2010-12-01,,,,,,,23401.058,290754.0,290754.0,7144.0,36033.0,43289.0
2011-01-01,,,,,,,21383.008,256836.0,256836.0,4821.0,23351.0,25812.0
2011-02-01,,,,,,,20647.126,247996.0,247996.0,5106.0,25740.0,50431.0
2011-03-01,,,,,,,19066.895,229016.0,229016.0,6467.0,32717.0,61135.0
2011-04-01,,,,,,,23215.638,278847.0,278847.0,5169.0,27034.0,38060.0
2011-05-01,,,,,,,24006.005,288340.0,288340.0,6360.0,32432.0,46773.0
2011-06-01,,,,,,,24095.708,289418.0,289418.0,5749.0,30137.0,47536.0
2011-07-01,,,,,,,26388.041,316951.0,316951.0,7162.0,36502.0,58102.0
2011-08-01,,,,,,,28405.004,341177.0,341177.0,7613.0,38209.0,62483.0
2011-09-01,,,,,,,20608.083,247527.0,247527.0,7591.0,37719.0,59267.0
2011-10-01,,,,,,,18799.929,225809.0,225809.0,7866.0,38916.0,77451.0
2011-11-01,,,,,,,19374.818,232714.0,232714.0,8094.0,39520.0,81016.0
2011-12-01,,,,,,,19100.745,229422.0,229422.0,7034.0,35363.0,63915.0
2012-01-01,,,,,,,18849.223,216714.0,216714.0,5592.0,28830.0,70117.0
2012-02-01,,,,,,,18607.913,213938.0,213938.0,7810.0,38532.0,76684.0
2012-03-01,,,,,,,21520.873,247429.0,247429.0,5182.0,39765.0,84151.0
2012-04-01,,,,,,,22921.869,263536.0,263536.0,4076.0,22485.0,73382.0
2012-05-01,,,,,,,28293.354,325294.0,325294.0,7340.0,36633.0,46149.0
2012-06-01,,,,,,,29739.223,341917.0,341917.0,6476.0,33220.0,54221.0
2012-07-01,,,,,,,30536.459,351083.0,351083.0,5997.0,32644.0,54854.0
2012-08-01,,,,,,,29532.736,339543.0,339543.0,7392.0,36343.0,55328.0
2012-09-01,,,,,,,25642.333,294814.0,294814.0,8133.0,35020.0,41663.0
2012-10-01,,,,,,,22783.568,261947.0,261947.0,8895.0,39152.0,57762.0
2012-11-01,,,,,,,18418.417,211760.0,211760.0,8349.0,37572.0,60306.0
2012-12-01,,,,,,,22812.032,262274.0,262274.0,8833.0,40153.0,70760.0
2013-01-01,,,,,,,23339.527,298174.0,298174.0,9203.0,42415.0,83444.0
2013-02-01,,,,,,,18196.701,232470.0,232470.0,7776.0,35890.0,62722.0
2013-03-01,,,,,,,20315.829,259542.0,259542.0,8508.0,39177.0,58757.0
2013-04-01,,,,,,,22450.681,286816.0,286816.0,8099.0,38226.0,66645.0
2013-05-01,,,,,,,21753.093,277904.0,277904.0,8359.0,39210.0,60755.0
2013-06-01,,,,,,,26453.689,337955.0,337955.0,7565.0,35482.0,45310.0
2013-07-01,,,,,,,28711.492,366800.0,366800.0,6485.0,28071.0,28071.0
2013-08-01,,,,,,,28832.326,368344.0,368344.0,8464.0,39430.0,64923.0
2013-09-01,,,,,,,24512.542,313157.0,313157.0,8330.0,38993.0,72715.0
2013-10-01,,,,,,,21798.762,278487.0,278487.0,4039.0,20811.0,58437.0
2013-11-01,,,,,,,23200.022,296389.0,296389.0,8642.0,40038.0,70310.0
2013-12-01,,,,,,,26214.336,334898.0,334898.0,9091.0,42464.0,71408.0
2014-01-01,,,,,,,24686.502,314029.0,314029.0,8639.0,40042.0,73135.0
2014-02-01,,,,,,,20396.125,259453.0,259453.0,7626.0,35216.0,77803.0
2014-03-01,,,,,,,19057.128,242420.0,242420.0,9520.0,43244.0,82979.0
2014-04-01,,,,,,,21295.893,270899.0,270899.0,6823.0,33236.0,49853.0
2014-05-01,,,,,,,25233.076,320983.0,320983.0,8375.0,39459.0,65132.0
2014-06-01,,,,,,,24524.921,311975.0,311975.0,8171.0,38311.0,71236.0
2014-07-01,,,,,,,25365.352,322666.0,322666.0,8420.0,39344.0,74468.0
2014-08-01,,,,,,,28411.343,361413.0,361413.0,7357.0,34779.0,44749.0
2014-09-01,,,,,,,23088.879,293708.0,293708.0,6742.0,32424.0,51667.0
2014-10-01,,,,,,,22736.161,289221.0,289221.0,7577.0,36151.0,49926.0
2014-11-01,,,,,,,22112.171,281283.0,281283.0,7287.0,34400.0,62290.0
2014-12-01,,,,,,,21534.449,273934.0,273934.0,7463.0,35265.0,49129.0
2015-01-01,,,,,,,20454.105,253656.0,253656.0,5416.0,26409.0,31057.0
2015-02-01,,,,,,,19145.022,237422.0,237422.0,7596.0,35698.0,72010.0
2015-03-01,,,,,,,18664.658,231465.0,231465.0,7379.0,34926.0,67526.0
2015-04-01,,,,,,,19382.618,240368.0,240368.0,7976.0,37576.0,67705.0
2015-05-01,,,,,,,21590.023,267742.0,267742.0,7831.0,37834.0,60884.0
2015-06-01,,,,,,,25483.044,316020.0,316020.0,7333.0,34759.0,57404.0
2015-07-01,,,,,,,27616.385,342477.0,342477.0,6317.0,30913.0,55226.0
2015-08-01,,,,,,,25628.767,317828.0,317828.0,6344.0,30831.0,48270.0
2015-09-01,,,,,,,21347.224,264732.0,264732.0,5215.0,27806.0,32657.0
2015-10-01,,,,,,,23588.482,292526.0,292526.0,969.0,8256.0,54468.0
2015-11-01,,,,,,,23960.721,297142.0,297142.0,6686.0,31623.0,60440.0
2015-12-01,,,,,,,24851.951,308195.0,308195.0,5968.0,29549.0,54982.0
2016-01-01,,,,,,,26041.8,178213.0,318451.0,6757.0,47804.0,77005.0
2016-02-01,,,,,,,23592.26,161450.0,288496.0,6766.0,46361.0,68107.0
2016-03-01,,,,,,,24115.097,165028.0,294890.0,6870.0,58567.0,62410.0
2016-04-01,,,,,,,23012.882,157485.0,281412.0,7302.0,48194.0,48194.0
2016-05-01,,,,,,,26127.697,178801.0,319501.0,8641.0,58387.0,77854.0
2016-06-01,,,,,,,27526.172,188371.0,336602.0,7431.0,39031.0,39031.0
2016-07-01,,,,,,,28194.095,192942.0,344770.0,7713.0,47341.0,47341.0
2016-08-01,,,,,,,27224.452,186307.0,332912.0,8040.0,54406.0,63635.0
2016-09-01,,,,,,,25135.914,172014.0,307373.0,7362.0,50557.0,50757.0
2016-10-01,,,,,,,21483.144,147017.0,262705.0,7957.0,52585.0,52585.0
2016-11-01,,,,,,,21066.133,144163.0,257606.0,7743.0,52946.0,53888.0
2016-12-01,,,,,,,20349.354,139258.0,248840.0,7462.0,50492.0,56790.0
2017-01-01,,,,,,,21619.381,147967.0,253484.0,4733.0,34808.0,39669.0
2017-02-01,,,,,,,20556.158,140690.0,241018.0,7388.0,49354.0,64613.0
2017-03-01,,,,,,,23149.057,158436.0,271419.0,8427.0,52131.0,52131.0
2017-04-01,,,,,,,24535.605,167926.0,287676.0,8170.0,54610.0,62285.0
2017-05-01,,,,,,,25918.041,177388.0,303885.0,8479.0,51414.0,51414.0
2017-06-01,,,,,,,26658.54,182456.0,312567.0,7834.0,49691.0,49691.0
2017-07-01,,,,,,,28928.832,197994.0,339186.0,7626.0,39733.0,39733.0
2017-08-01,,,,,,,27323.737,187008.0,320366.0,7529.0,38070.0,38070.0
2017-09-01,,,,,,,25391.104,173781.0,297706.0,7085.0,34111.0,34111.0
2017-10-01,,,,,,,24819.702,169870.0,291007.0,7724.0,44454.0,44454.0
2017-11-01,,,,,,,20311.436,139015.0,238148.0,7823.0,48411.0,48411.0
2017-12-01,,,,,,,24622.407,168520.0,288693.0,8698.0,58429.0,67018.0
2018-01-01,,,,,,,24639.245,165304.0,280735.0,3618.0,27027.0,27368.0
2018-02-01,,,,,,,20146.936,135165.0,229550.0,7980.0,51222.0,58135.0
2018-03-01,,,,,,,19212.782,128898.0,218907.0,7711.0,51683.0,71374.0
2018-04-01,,,,,,,20853.572,139906.0,237602.0,6125.0,41833.0,41833.0
2018-05-01,,,,,,,23699.016,158996.0,270022.0,6976.0,45389.0,45389.0
2018-06-01,,,,,,,25755.363,172792.0,293453.0,6946.0,40447.0,40447.0
2018-07-01,,,,,,,28743.442,192839.0,327498.0,6997.0,48031.0,65662.0
2018-08-01,,,,,,,27138.225,182070.0,309209.0,5650.0,41297.0,43564.0
2018-09-01,,,,,,,25442.748,170695.0,289890.0,6930.0,48019.0,48019.0
2018-10-01,,,,,,,24950.498,167392.0,284282.0,3945.0,30259.0,52052.0
2018-11-01,,,,,,,18818.251,126251.0,214412.0,6501.0,45032.0,67136.0
2018-12-01,,,,,,,19247.922,129134.0,219308.0,9335.0,62805.0,81707.0
2019-01-01,,,,,,,22642.563,136371.0,276302.0,8807.0,59512.0,81910.0
2019-02-01,,,,,,,18207.984,109663.0,222188.0,6813.0,46960.0,66056.0
2019-03-01,,,,,,,20655.535,124404.0,252055.0,7134.0,49336.0,70477.0
2019-04-01,,,,,,,23914.406,144031.0,291821.0,4513.0,30217.0,34214.0
2019-05-01,,,,,,,25921.9,156122.0,316319.0,8467.0,57537.0,70536.0
2019-06-01,,,,,,,27597.151,166212.0,336761.0,7069.0,48528.0,57246.0
2019-07-01,,,,,,,29088.391,175193.0,354958.0,7638.0,47173.0,47173.0
2019-08-01,,,,,,,29291.613,176417.0,357439.0,6944.0,48492.0,49421.0
2019-09-01,,,,,,,25655.181,154516.0,313064.0,6453.0,45769.0,69662.0
2019-10-01,,,,,,,22067.945,132911.0,269290.0,7927.0,54778.0,76736.0
2019-11-01,,,,,,,19950.918,120160.0,243456.0,7458.0,52018.0,68097.0
2019-12-01,,,,,,,20270.413,122084.0,247355.0,8160.0,55634.0,62504.0
2020-01-01,,,,,,,23779.213,143104.0,297831.0,8545.0,59231.0,76573.0
2020-02-01,,,,,,,23654.522,142354.0,296268.0,7671.0,53329.0,74002.0
2020-03-01,,,,,,,24835.575,149461.0,311060.0,9305.0,63080.0,78071.0
2020-04-01,,,,,,,22836.428,137430.0,286022.0,6633.0,46691.0,51104.0
2020-05-01,,,,,,,23949.032,144126.0,299957.0,5502.0,40148.0,58706.0
2020-06-01,,,,,,,26441.593,159126.0,331176.0,6140.0,43847.0,58182.0
2020-07-01,,,,,,,30838.032,185584.0,386240.0,4820.0,36688.0,39742.0
2020-08-01,,,,,,,27961.072,168271.0,350207.0,4364.0,33240.0,33714.0
2020-09-01,,,,,,,23491.96,141375.0,294232.0,6083.0,44188.0,50916.0
2020-10-01,,,,,,,25342.782,152514.0,317413.0,6314.0,45350.0,69569.0
2020-11-01,,,,,,,23683.989,142531.0,296637.0,6325.0,45380.0,69667.0
2020-12-01,,,,,,,24852.802,149565.0,311276.0,6732.0,48079.0,86943.0
2021-01-01,,,,,,,22969.47,150356.0,317008.0,6500.0,48379.0,88459.0
2021-02-01,,,,,,,21040.528,137730.0,290384.0,4892.0,37239.0,65711.0
2021-03-01,,,,,,,20905.388,136845.0,288520.0,7495.0,52467.0,72680.0
2021-04-01,,,,,,,20765.409,135929.0,286588.0,7394.0,51372.0,83729.0
2021-05-01,,,,,,,23053.832,150909.0,318170.0,1028.0,5451.0,5451.0
2021-06-01,,,,,,,26982.245,176624.0,372387.0,6761.0,47409.0,79366.0
2021-07-01,,,,,,,29789.95,195003.0,411137.0,7091.0,50132.0,77297.0
2021-08-01,,,,,,,28399.669,185902.0,391950.0,6731.0,47181.0,71741.0
2021-09-01,,,,,,,18957.159,124092.0,261631.0,6152.0,44314.0,78138.0
2021-10-01,,,,,,,24976.829,163496.0,344710.0,6115.0,43745.0,61360.0
2021-11-01,,,,,,,21576.513,141238.0,297781.0,6284.0,45733.0,72628.0
2021-12-01,,,,,,,21239.008,139029.0,293124.0,6845.0,48899.0,90101.0
2022-01-01,,,,,,,20727.862,124416.0,252835.0,6366.0,46601.0,78383.0
2022-02-01,,,,,,,17297.381,103825.0,210990.0,6700.0,46984.0,70680.0
2022-03-01,,,,,,,16546.973,99321.0,201837.0,7448.0,51868.0,85698.0
2022-04-01,,,,,,,18586.804,111565.0,226718.0,7530.0,52084.0,65774.0
2022-05-01,,,,,,,21374.368,128297.0,260720.0,4576.0,34294.0,69975.0
2022-06-01,,,,,,,23125.629,138808.0,282082.0,5061.0,37460.0,75956.0
2022-07-01,,,,,,,25885.675,155375.0,315748.0,6252.0,44146.0,65747.0
2022-08-01,,,,,,,23508.705,141108.0,286754.0,6850.0,46942.0,67280.0
2022-09-01,,,,,,,18971.061,113871.0,231406.0,7941.0,52766.0,77839.0
2022-10-01,,,,,,,17805.436,106875.0,217187.0,7093.0,48073.0,64875.0
2022-11-01,,,,,,,17129.423,102817.0,208941.0,2931.0,0.0,0.0
2022-12-01,,,,,,,19201.683,115256.0,234218.0,2735.0,0.0,0.0
2023-01-01,,,,,,,17922.837,107583.0,206562.0,3360.0,5514.0,5514.0
2023-02-01,,,,,,,21390.19,128396.0,246524.0,8792.0,57723.0,75862.0
2023-03-01,,,,,,,21893.223,131415.0,252321.0,9545.0,62230.0,71747.0
2023-04-01,,,,,,,19462.417,116824.0,224307.0,9188.0,59902.0,73159.0
2023-05-01,,,,,,,23560.337,141422.0,271536.0,8511.0,51582.0,51582.0
2023-06-01,,,,,,,25869.847,155285.0,298153.0,8059.0,42776.0,42776.0
2023-07-01,,,,,,,27011.424,162137.0,311310.0,7393.0,38709.0,38709.0
2023-08-01,,,,,,,27491.272,165018.0,316840.0,7280.0,33070.0,33070.0
2023-09-01,,,,,,,24393.382,146423.0,281137.0,4268.0,10781.0,10781.0
2023-10-01,,,,,,,23172.797,139096.0,267069.0,7411.0,39719.0,39719.0
2023-11-01,,,,,,,25398.847,152458.0,292724.0,7342.0,41555.0,41555.0
2023-12-01,,,,,,,23587.427,141585.0,271847.0,7261.0,49510.0,64019.0
2024-01-01,,,,,,,28618.714,171317.0,327799.0,6952.0,48816.0,62071.0
2024-02-01,,,,,,,21402.823,128121.0,245147.0,5525.0,38436.0,74712.0
2024-03-01,,,,,,,22965.213,137474.0,263044.0,9166.0,61614.0,73604.0
2024-04-01,,,,,,,24989.122,149589.0,286225.0,9465.0,62859.0,77267.0
2024-05-01,,,,,,,27133.248,162424.0,310783.0,8450.0,57794.0,58643.0
2024-06-01,,,,,,,28946.772,173280.0,331556.0,6215.0,45433.0,47503.0
2024-07-01,,,,,,,32631.674,195339.0,373762.0,7430.0,46846.0,46846.0
2024-08-01,,,,,,,29832.066,178580.0,341696.0,7285.0,37539.0,37539.0
2024-09-01,,,,,,,26464.901,158423.0,303128.0,7149.0,50899.0,53703.0
2024-10-01,,,,,,,25271.878,151282.0,289463.0,2773.0,19691.0,19691.0
2024-11-01,,,,,,,24545.187,146932.0,281140.0,7759.0,51849.0,51849.0
2024-12-01,,,,,,,24473.402,146502.0,280318.0,6921.0,49582.0,53352.0
