measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2005-02-01,20.731,195.01,195.01,131.06,1310.47,1310.47,65.128,598.37,598.37
2005-03-01,22.978,216.15,216.15,143.571,1435.56,1435.56,90.37700000000001,830.34,830.34
2005-04-01,27.833000000000002,261.81,261.81,137.139,1371.26,1371.26,85.79100000000001,788.21,788.21
2005-05-01,25.85,243.16,243.16,124.055,1240.42,1240.42,82.037,753.72,753.72
2005-06-01,33.551,315.6,315.6,139.73600000000002,1397.22,1397.22,154.862,1422.8,1422.8
2005-07-01,34.15,321.24,321.24,149.989,1499.74,1499.74,203.86800000000002,1873.05,1873.05
2005-08-01,40.118,377.38,377.38,126.91,1268.97,1268.97,202.523,1860.69,1860.69
2005-09-01,26.262,247.03,247.03,105.01100000000001,1050.0,1050.0,122.615,1126.53,1126.53
2005-10-01,29.164,274.33,274.33,89.625,896.16,896.16,86.941,798.77,798.77
2005-11-01,23.446,220.55,220.55,95.917,959.07,959.07,76.197,700.06,700.06
2005-12-01,49.575,466.33,466.33,117.40400000000001,1173.92,1173.92,95.253,875.14,875.14
2006-01-01,26.56,269.0,269.0,116.84,1159.0,1159.0,39.941,360.0,360.0
2006-02-01,13.898000000000001,141.0,141.0,105.355,1045.0,1045.0,45.15,407.0,407.0
2006-03-01,11.675,118.0,118.0,92.82,921.0,921.0,59.497,536.0,536.0
2006-04-01,22.363,226.0,226.0,101.031,1002.0,1002.0,49.236000000000004,444.0,444.0
2006-05-01,20.904,211.0,211.0,119.45200000000001,1185.0,1185.0,64.85600000000001,584.0,584.0
2006-06-01,19.0,192.0,192.0,117.37,1164.0,1164.0,83.542,753.0,753.0
2006-07-01,27.522000000000002,278.0,278.0,123.078,1221.0,1221.0,149.495,1347.0,1347.0
2006-08-01,26.697000000000003,270.0,270.0,122.18900000000001,1212.0,1212.0,132.839,1197.0,1197.0
2006-09-01,12.265,124.0,124.0,79.315,787.0,787.0,78.13900000000001,704.0,704.0
2006-10-01,12.956000000000001,131.0,131.0,69.922,694.0,694.0,84.64,762.0,762.0
2006-11-01,15.256,154.0,154.0,81.90100000000001,812.0,812.0,56.903000000000006,513.0,513.0
2006-12-01,16.904,171.0,171.0,86.727,860.0,860.0,57.763000000000005,520.0,520.0
2007-01-01,44.729,410.0,410.0,61.043000000000006,603.0,603.0,62.425,575.0,575.0
2007-02-01,95.958,884.0,884.0,36.418,360.0,360.0,114.601,1055.0,1055.0
2007-03-01,15.629000000000001,143.0,143.0,78.408,775.0,775.0,65.571,604.0,604.0
2007-04-01,11.085,103.0,103.0,131.866,1303.0,1303.0,83.62700000000001,770.0,770.0
2007-05-01,13.673,125.0,125.0,143.47400000000002,1418.0,1418.0,42.837,394.0,394.0
2007-06-01,14.588000000000001,137.0,137.0,134.24800000000002,1327.0,1327.0,81.598,752.0,752.0
2007-07-01,11.552000000000001,108.0,108.0,39.747,393.0,393.0,82.443,760.0,760.0
2007-08-01,1.0230000000000001,11.0,11.0,38.337,379.0,379.0,93.13600000000001,858.0,858.0
2007-09-01,3.713,34.0,34.0,73.182,723.0,723.0,51.596000000000004,475.0,475.0
2007-10-01,3.2590000000000003,29.0,29.0,129.924,1284.0,1284.0,54.112,498.0,498.0
2007-11-01,12.664000000000001,114.0,114.0,207.638,2052.0,2052.0,54.89,506.0,506.0
2007-12-01,20.365,188.0,188.0,141.716,1401.0,1401.0,92.926,856.0,856.0
2008-01-01,13.757000000000001,125.0,125.0,143.935,1418.0,1418.0,15.35,146.0,146.0
2008-02-01,17.584,171.0,171.0,80.628,795.0,795.0,15.187000000000001,145.0,145.0
2008-03-01,6.954000000000001,68.0,68.0,132.011,1301.0,1301.0,24.594,235.0,235.0
2008-04-01,7.785,74.0,74.0,145.799,1437.0,1437.0,8.059000000000001,77.0,77.0
2008-05-01,3.216,29.0,29.0,157.29500000000002,1550.0,1550.0,17.769000000000002,171.0,171.0
2008-06-01,3.189,29.0,29.0,236.56400000000002,2331.0,2331.0,11.469000000000001,110.0,110.0
2008-07-01,1.512,17.0,17.0,129.681,1278.0,1278.0,25.330000000000002,243.0,243.0
2008-08-01,1.842,17.0,17.0,54.762,540.0,540.0,20.936,201.0,201.0
2008-09-01,2.6790000000000003,29.0,29.0,51.81,511.0,511.0,12.232000000000001,118.0,118.0
2008-10-01,2.07,17.0,17.0,119.19500000000001,1175.0,1175.0,9.067,87.0,87.0
2008-11-01,6.925000000000001,68.0,68.0,90.33800000000001,890.0,890.0,15.627,150.0,150.0
2008-12-01,17.578,171.0,171.0,132.982,1310.0,1310.0,33.289,319.0,319.0
2009-01-01,99.849,2383.0,2383.0,54.93,536.0,536.0,15.909,379.0,379.0
2009-02-01,17.07,405.0,405.0,56.661,553.0,553.0,10.042,239.0,239.0
2009-03-01,10.088000000000001,239.0,239.0,113.116,1104.0,1104.0,9.1,217.0,217.0
2009-04-01,14.339,342.0,342.0,104.23,1017.0,1017.0,9.127,218.0,218.0
2009-05-01,10.038,239.0,239.0,148.925,1454.0,1454.0,7.2,172.0,172.0
2009-06-01,9.787,234.0,234.0,110.271,1076.0,1076.0,16.153000000000002,385.0,385.0
2009-07-01,7.614000000000001,182.0,182.0,62.702000000000005,612.0,612.0,7.134,171.0,171.0
2009-08-01,9.597000000000001,228.0,228.0,48.185,470.0,470.0,14.669,350.0,350.0
2009-09-01,7.659000000000001,182.0,182.0,46.367000000000004,453.0,453.0,19.394000000000002,463.0,463.0
2009-10-01,11.255,268.0,268.0,46.455,453.0,453.0,11.801,281.0,281.0
2009-11-01,5.537,131.0,131.0,128.513,1254.0,1254.0,8.16,195.0,195.0
2009-12-01,15.197000000000001,365.0,365.0,82.645,807.0,807.0,16.281000000000002,388.0,388.0
2010-01-01,10.873000000000001,114.0,114.0,49.410000000000004,482.0,482.0,22.18,218.0,218.0
2010-02-01,6.899,68.0,68.0,49.257000000000005,481.0,481.0,15.925,156.0,156.0
2010-03-01,1.826,17.0,17.0,86.60600000000001,845.0,845.0,8.571,83.0,83.0
2010-04-01,4.851,46.0,46.0,64.048,625.0,625.0,11.033000000000001,108.0,108.0
2010-05-01,7.213,68.0,68.0,56.109,547.0,547.0,31.855,311.0,311.0
2010-06-01,4.025,40.0,40.0,67.388,657.0,657.0,22.855,223.0,223.0
2010-07-01,4.2250000000000005,40.0,40.0,72.083,703.0,703.0,50.926,497.0,497.0
2010-08-01,5.327,51.0,51.0,65.288,637.0,637.0,53.457,522.0,522.0
2010-09-01,5.431,51.0,51.0,69.35300000000001,677.0,677.0,11.838000000000001,116.0,116.0
2010-10-01,8.088000000000001,80.0,80.0,74.315,725.0,725.0,20.924,204.0,204.0
2010-11-01,3.6950000000000003,34.0,34.0,87.751,856.0,856.0,16.489,161.0,161.0
2010-12-01,4.101,40.0,40.0,74.39200000000001,726.0,726.0,15.393,150.0,150.0
2011-01-01,2.511,46.0,46.0,,,,18.162,326.0,326.0
2011-02-01,2.767,51.0,51.0,,,,12.113,218.0,218.0
2011-03-01,4.453,80.0,80.0,,,,15.074,271.0,271.0
2011-04-01,4.432,80.0,80.0,,,,11.122,200.0,200.0
2011-05-01,2.093,40.0,40.0,,,,6.207,112.0,112.0
2011-06-01,1.405,23.0,23.0,,,,13.628,245.0,245.0
2011-07-01,3.388,63.0,63.0,,,,54.324,977.0,977.0
2011-08-01,1.778,34.0,34.0,,,,30.513,548.0,548.0
2011-09-01,2.271,40.0,40.0,,,,10.024,180.0,180.0
2011-10-01,0.707,11.0,11.0,,,,10.548,190.0,190.0
2011-11-01,3.889,68.0,68.0,,,,6.337,114.0,114.0
2011-12-01,24.518,439.0,439.0,,,,15.736,283.0,283.0
2012-01-01,1.189,6.0,6.0,,,,21.055,209.0,209.0
2012-02-01,11.873,120.0,120.0,,,,41.213,411.0,411.0
2012-03-01,2.818,29.0,29.0,,,,44.024,439.0,439.0
2012-04-01,2.963,29.0,29.0,,,,53.105,530.0,530.0
2012-05-01,37.525,376.0,376.0,,,,66.173,660.0,660.0
2012-06-01,19.277,194.0,194.0,,,,73.948,738.0,738.0
2012-07-01,46.89,467.0,467.0,,,,125.29,1249.0,1249.0
2012-08-01,4.543,46.0,46.0,,,,60.032,599.0,599.0
2012-09-01,3.178,34.0,34.0,,,,26.474,264.0,264.0
2012-10-01,10.026,103.0,103.0,,,,20.653,206.0,206.0
2012-11-01,4.166,40.0,40.0,,,,33.907,339.0,339.0
2012-12-01,2.454,23.0,23.0,,,,53.224,531.0,531.0
2013-01-01,4.602,40.0,40.0,,,,13.95,132.0,132.0
2013-02-01,0.463,6.0,6.0,,,,10.191,97.0,97.0
2013-03-01,1.231,11.0,11.0,,,,15.105,144.0,144.0
2013-04-01,1.326,11.0,11.0,,,,15.268,146.0,146.0
2013-05-01,4.606,46.0,46.0,,,,11.584,111.0,111.0
2013-06-01,3.497,34.0,34.0,,,,9.562,91.0,91.0
2013-07-01,4.015,40.0,40.0,,,,19.193,183.0,183.0
2013-08-01,1.25,11.0,11.0,,,,18.01,172.0,172.0
2013-09-01,10.026,97.0,97.0,,,,15.019,143.0,143.0
2013-10-01,6.184,57.0,57.0,5.341,51.0,51.0,8.963,85.0,85.0
2013-11-01,4.648,46.0,46.0,5.951,57.0,57.0,12.334,118.0,118.0
2013-12-01,12.566,120.0,120.0,8.508,81.0,81.0,15.927,152.0,152.0
2014-01-01,39.323,570.0,570.0,0.0,0.0,0.0,31.157,444.0,444.0
2014-02-01,22.104,314.0,314.0,0.0,0.0,0.0,15.293,218.0,218.0
2014-03-01,42.207,599.0,599.0,0.0,0.0,0.0,14.678,209.0,209.0
2014-04-01,5.97,86.0,86.0,0.0,0.0,0.0,12.763,182.0,182.0
2014-05-01,5.719,80.0,80.0,0.0,0.0,0.0,38.445,548.0,548.0
2014-06-01,6.756,97.0,97.0,0.0,0.0,0.0,28.132,401.0,401.0
2014-07-01,5.391,74.0,74.0,0.0,0.0,0.0,19.072,271.0,271.0
2014-08-01,2.698,40.0,40.0,0.0,0.0,0.0,34.502,492.0,492.0
2014-09-01,1.657,23.0,23.0,0.0,0.0,0.0,16.427,234.0,234.0
2014-10-01,4.573,63.0,63.0,0.0,0.0,0.0,48.803,695.0,695.0
2014-11-01,3.139,46.0,46.0,0.0,0.0,0.0,22.618,322.0,322.0
2014-12-01,5.71,80.0,80.0,0.0,0.0,0.0,37.383,532.0,532.0
2015-01-01,2.787,34.0,34.0,54.259,506.0,506.0,14.267,138.0,138.0
2015-02-01,9.31,91.0,91.0,39.674,370.0,370.0,19.655,191.0,191.0
2015-03-01,14.335,137.0,137.0,81.032,755.0,755.0,26.968,263.0,263.0
2015-04-01,1.952,17.0,17.0,102.31,953.0,953.0,25.63,249.0,249.0
2015-05-01,8.942,86.0,86.0,128.021,1193.0,1193.0,11.891,116.0,116.0
2015-06-01,3.732,34.0,34.0,164.946,1537.0,1537.0,25.862,252.0,252.0
2015-07-01,3.923,40.0,40.0,134.714,1255.0,1255.0,40.351,393.0,393.0
2015-08-01,4.508,46.0,46.0,85.82,800.0,800.0,34.276,333.0,333.0
2015-09-01,6.679,63.0,63.0,176.604,1646.0,1646.0,34.77,338.0,338.0
2015-10-01,3.311,34.0,34.0,141.142,1315.0,1315.0,19.001,185.0,185.0
2015-11-01,4.345,40.0,40.0,159.582,1487.0,1487.0,17.322,169.0,169.0
2015-12-01,4.143,40.0,40.0,200.896,1872.0,1872.0,35.04,341.0,341.0
2016-01-01,7.846,80.0,80.0,65.557,605.0,605.0,39.879,371.0,371.0
2016-02-01,6.44,57.0,57.0,43.336,400.0,400.0,39.044,363.0,363.0
2016-03-01,2.853,29.0,29.0,99.515,919.0,919.0,38.25,356.0,356.0
2016-04-01,5.182,46.0,46.0,74.324,686.0,686.0,42.7,397.0,397.0
2016-05-01,6.176,57.0,57.0,59.977,554.0,554.0,43.251,402.0,402.0
2016-06-01,13.428,125.0,125.0,62.252,575.0,575.0,42.946,399.0,399.0
2016-07-01,20.346,188.0,188.0,89.644,828.0,828.0,56.225,522.0,522.0
2016-08-01,10.849,103.0,103.0,86.562,799.0,799.0,68.161,633.0,633.0
2016-09-01,3.876,34.0,34.0,92.231,851.0,851.0,22.704,211.0,211.0
2016-10-01,17.97,165.0,165.0,103.588,956.0,956.0,22.637,211.0,211.0
2016-11-01,5.762,51.0,51.0,71.462,660.0,660.0,24.399,226.0,226.0
2016-12-01,17.043,160.0,160.0,95.552,882.0,882.0,20.033,186.0,186.0
2017-01-01,8.106,78.0,78.0,190.644,1756.0,1756.0,30.46,279.0,279.0
2017-02-01,3.017,28.0,28.0,175.626,1618.0,1618.0,13.622,125.0,125.0
2017-03-01,1.058,11.0,11.0,179.741,1656.0,1656.0,39.395,363.0,363.0
2017-04-01,7.485,67.0,67.0,198.256,1827.0,1827.0,34.808,320.0,320.0
2017-05-01,5.252,50.0,50.0,371.134,3419.0,3419.0,27.159,250.0,250.0
2017-06-01,20.026,185.0,185.0,213.735,1969.0,1969.0,36.221,334.0,334.0
2017-07-01,13.618,123.0,123.0,252.088,2322.0,2322.0,47.537,437.0,437.0
2017-08-01,6.917,62.0,62.0,183.74,1693.0,1693.0,29.724,274.0,274.0
2017-09-01,5.896,56.0,56.0,139.963,1289.0,1289.0,22.105,204.0,204.0
2017-10-01,12.994,118.0,118.0,203.262,1873.0,1873.0,18.96,175.0,175.0
2017-11-01,6.287,56.0,56.0,174.461,1607.0,1607.0,20.791,191.0,191.0
2017-12-01,3.073,28.0,28.0,193.35,1781.0,1781.0,30.489,280.0,280.0
2018-01-01,4.003,51.0,51.0,96.779,881.0,881.0,12.518,123.0,123.0
2018-02-01,2.576,23.0,23.0,87.294,795.0,795.0,16.955,165.0,165.0
2018-03-01,2.851,29.0,29.0,99.566,906.0,906.0,22.044,215.0,215.0
2018-04-01,3.811,34.0,34.0,118.854,1082.0,1082.0,20.002,194.0,194.0
2018-05-01,10.047,97.0,97.0,100.899,919.0,919.0,23.775,231.0,231.0
2018-06-01,15.392,148.0,148.0,108.055,984.0,984.0,27.07,263.0,263.0
2018-07-01,3.352,34.0,34.0,178.29,1623.0,1623.0,37.227,362.0,362.0
2018-08-01,8.998,86.0,86.0,83.87,764.0,764.0,34.343,334.0,334.0
2018-09-01,7.244,68.0,68.0,100.332,913.0,913.0,24.518,238.0,238.0
2018-10-01,10.209,97.0,97.0,172.05,1566.0,1566.0,10.824,105.0,105.0
2018-11-01,4.328,40.0,40.0,168.099,1530.0,1530.0,13.311,129.0,129.0
2018-12-01,2.266,23.0,23.0,156.912,1429.0,1429.0,11.336,110.0,110.0
2019-01-01,7.346,75.0,75.0,406.463,3620.0,3620.0,11.427,98.0,98.0
2019-02-01,23.453,201.0,201.0,236.237,2104.0,2104.0,18.694,161.0,161.0
2019-03-01,5.53,46.0,46.0,409.634,3648.0,3648.0,17.311,149.0,149.0
2019-04-01,18.033,155.0,155.0,411.383,3663.0,3663.0,19.31,167.0,167.0
2019-05-01,30.506,265.0,265.0,477.042,4248.0,4248.0,15.869,137.0,137.0
2019-06-01,14.232,121.0,121.0,397.205,3537.0,3537.0,21.206,183.0,183.0
2019-07-01,8.205,69.0,69.0,275.599,2454.0,2454.0,27.286,236.0,236.0
2019-08-01,10.085,86.0,86.0,205.599,1831.0,1831.0,27.995,242.0,242.0
2019-09-01,18.928,161.0,161.0,232.492,2070.0,2070.0,21.487,185.0,185.0
2019-10-01,32.862,282.0,282.0,250.188,2228.0,2228.0,20.744,178.0,178.0
2019-11-01,23.654,201.0,201.0,249.262,2220.0,2220.0,17.569,151.0,151.0
2019-12-01,15.156,132.0,132.0,276.896,2466.0,2466.0,23.112,200.0,200.0
2020-01-01,5.829,46.0,46.0,369.405,3239.0,3239.0,42.767,372.0,372.0
2020-02-01,7.66,69.0,69.0,334.877,2936.0,2936.0,30.077,262.0,262.0
2020-03-01,0.689,6.0,6.0,272.419,2388.0,2388.0,29.179,254.0,254.0
2020-04-01,3.165,29.0,29.0,361.848,3172.0,3172.0,26.373,230.0,230.0
2020-05-01,20.144,178.0,178.0,274.987,2411.0,2411.0,20.93,182.0,182.0
2020-06-01,13.346,115.0,115.0,291.29,2554.0,2554.0,31.043,271.0,271.0
2020-07-01,5.579,46.0,46.0,244.113,2140.0,2140.0,41.015,358.0,358.0
2020-08-01,23.549,207.0,207.0,192.363,1686.0,1686.0,30.572,267.0,267.0
2020-09-01,5.809,52.0,52.0,120.407,1056.0,1056.0,18.767,164.0,164.0
2020-10-01,7.151,63.0,63.0,134.79,1182.0,1182.0,26.224,229.0,229.0
2020-11-01,4.084,35.0,35.0,180.298,1581.0,1581.0,20.383,178.0,178.0
2020-12-01,14.473,127.0,127.0,185.203,1624.0,1624.0,32.192,280.0,280.0
2021-01-01,23.057,224.0,224.0,99.099,876.0,876.0,25.386,241.0,241.0
2021-02-01,20.072,190.0,190.0,82.457,729.0,729.0,17.557,168.0,168.0
2021-03-01,6.637,63.0,63.0,79.08,699.0,699.0,17.229,165.0,165.0
2021-04-01,46.958,449.0,449.0,69.755,617.0,617.0,16.442,157.0,157.0
2021-05-01,10.485,98.0,98.0,86.419,764.0,764.0,21.465,206.0,206.0
2021-06-01,44.344,426.0,426.0,93.047,823.0,823.0,25.52,244.0,244.0
2021-07-01,13.896,132.0,132.0,82.847,733.0,733.0,32.519,311.0,311.0
2021-08-01,12.663,121.0,121.0,78.174,691.0,691.0,29.495,282.0,282.0
2021-09-01,11.203,109.0,109.0,64.12,567.0,567.0,19.328,185.0,185.0
2021-10-01,24.894,236.0,236.0,65.797,582.0,582.0,27.549,264.0,264.0
2021-11-01,21.154,201.0,201.0,77.116,682.0,682.0,28.045,268.0,268.0
2021-12-01,31.615,305.0,305.0,99.089,876.0,876.0,30.487,292.0,292.0
2022-01-01,3.727,35.0,35.0,0.0,0.0,0.0,21.4,211.0,211.0
2022-02-01,5.954,58.0,58.0,0.0,0.0,0.0,16.252,161.0,161.0
2022-03-01,5.398,52.0,52.0,0.0,0.0,0.0,11.258,112.0,112.0
2022-04-01,2.93,29.0,29.0,0.0,0.0,0.0,12.362,122.0,122.0
2022-05-01,4.685,46.0,46.0,0.0,0.0,0.0,11.555,114.0,114.0
2022-06-01,9.666,98.0,98.0,0.0,0.0,0.0,17.897,177.0,177.0
2022-07-01,3.692,35.0,35.0,0.0,0.0,0.0,24.695,244.0,244.0
2022-08-01,10.32,104.0,104.0,0.0,0.0,0.0,25.528,252.0,252.0
2022-09-01,15.495,155.0,155.0,0.0,0.0,0.0,20.549,203.0,203.0
2022-10-01,13.361,132.0,132.0,0.0,0.0,0.0,14.529,144.0,144.0
2022-11-01,8.542,86.0,86.0,0.0,0.0,0.0,8.583,85.0,85.0
2022-12-01,8.687,86.0,86.0,0.0,0.0,0.0,13.935,138.0,138.0
2023-01-01,15.401,132.0,132.0,0.0,0.0,0.0,19.03,174.0,174.0
2023-02-01,10.719,98.0,98.0,0.0,0.0,0.0,10.815,98.0,98.0
2023-03-01,10.722,98.0,98.0,0.0,0.0,0.0,26.854,243.0,243.0
2023-04-01,12.455,115.0,115.0,0.0,0.0,0.0,17.803,161.0,161.0
2023-05-01,7.837,69.0,69.0,0.0,0.0,0.0,15.363,140.0,140.0
2023-06-01,19.845,178.0,178.0,142.0,485.0,485.0,37.299,339.0,339.0
2023-07-01,11.734,109.0,109.0,93.0,317.0,317.0,40.446,367.0,367.0
2023-08-01,18.24,167.0,167.0,24.0,82.0,82.0,35.709,324.0,324.0
2023-09-01,8.065,75.0,75.0,1.0,3.0,3.0,25.332,230.0,230.0
2023-10-01,8.464,75.0,75.0,62.0,212.0,212.0,17.269,156.0,156.0
2023-11-01,16.831,155.0,155.0,40.0,136.0,136.0,24.966,226.0,226.0
2023-12-01,5.509,52.0,52.0,68.0,232.0,232.0,33.292,302.0,302.0
2024-01-01,14.31,138.0,138.0,89.0,304.0,304.0,31.891,298.0,298.0
2024-02-01,6.116,58.0,58.0,235.0,802.0,802.0,28.736,269.0,269.0
2024-03-01,6.741,63.0,63.0,176.0,601.0,601.0,29.349,275.0,275.0
2024-04-01,11.522,109.0,109.0,324.0,1105.0,1105.0,18.883,177.0,177.0
2024-05-01,15.633,144.0,144.0,394.0,1344.0,1344.0,22.244,208.0,208.0
2024-06-01,5.494,52.0,52.0,325.0,1109.0,1109.0,26.546,248.0,248.0
2024-07-01,14.695,138.0,138.0,317.0,1082.0,1082.0,44.488,415.0,415.0
2024-08-01,17.462,161.0,161.0,316.0,1078.0,1078.0,41.589,388.0,388.0
2024-09-01,10.059,92.0,92.0,73.0,249.0,249.0,26.817,250.0,250.0
2024-10-01,4.903,46.0,46.0,4.0,14.0,14.0,19.058,178.0,178.0
2024-11-01,11.849,109.0,109.0,51.0,174.0,174.0,30.815,288.0,288.0
2024-12-01,12.963,121.0,121.0,9.0,31.0,31.0,33.837,316.0,316.0
