measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2020-09-01,,,,266.682,2338.0,2338.0
2020-10-01,,,,383.393,3361.0,3361.0
2020-11-01,,,,523.666,4591.0,4591.0
2020-12-01,,,,385.734,3382.0,3382.0
2021-01-01,,,,394.719,3491.0,3491.0
2021-02-01,,,,419.24,3708.0,3708.0
2021-03-01,,,,547.036,4838.0,4838.0
2021-04-01,,,,447.777,3960.0,3960.0
2021-05-01,,,,397.121,3512.0,3512.0
2021-06-01,,,,274.072,2424.0,2424.0
2021-07-01,,,,175.827,1555.0,1555.0
2021-08-01,,,,199.941,1768.0,1768.0
2021-09-01,,,,355.958,3148.0,3148.0
2021-10-01,,,,388.383,3435.0,3435.0
2021-11-01,,,,518.633,4587.0,4587.0
2021-12-01,,,,534.293,4725.0,4725.0
2022-01-01,,,,479.167,1635.0,1635.0
2022-02-01,,,,480.037,1638.0,1638.0
2022-03-01,,,,472.088,1611.0,1611.0
2022-04-01,,,,528.539,1803.0,1803.0
2022-05-01,,,,459.805,1569.0,1569.0
2022-06-01,,,,276.226,942.0,942.0
2022-07-01,,,,220.835,753.0,753.0
2022-08-01,,,,196.35,670.0,670.0
2022-09-01,,,,239.819,818.0,818.0
2022-10-01,,,,432.965,1477.0,1477.0
2022-11-01,,,,522.65,1783.0,1783.0
2022-12-01,,,,431.519,1472.0,1472.0
2023-01-01,,,,162.0,553.0,553.0
2023-02-01,,,,79.0,270.0,270.0
2023-03-01,,,,181.0,618.0,618.0
2023-04-01,,,,151.0,515.0,515.0
2023-05-01,,,,30.0,102.0,102.0
2023-06-01,,,,8.0,27.0,27.0
2023-07-01,,,,48.0,164.0,164.0
2023-08-01,,,,0.0,0.0,0.0
2023-09-01,,,,75.0,256.0,256.0
2023-10-01,,,,0.0,0.0,0.0
2023-11-01,,,,0.0,0.0,0.0
2023-12-01,,,,209.0,713.0,713.0
2024-01-01,0.0,0.0,0.0,423.0,1443.0,1443.0
2024-02-01,0.0,0.0,0.0,467.0,1593.0,1593.0
2024-03-01,0.0,0.0,0.0,621.0,2119.0,2119.0
2024-04-01,0.0,0.0,0.0,210.0,717.0,717.0
2024-05-01,0.0,0.0,0.0,324.0,1105.0,1105.0
2024-06-01,0.0,0.0,0.0,356.0,1215.0,1215.0
2024-07-01,0.0,0.0,0.0,60.0,205.0,205.0
2024-08-01,0.0,0.0,0.0,52.0,177.0,177.0
2024-09-01,0.0,0.0,0.0,214.0,730.0,730.0
2024-10-01,0.0,0.0,0.0,268.0,914.0,914.0
2024-11-01,0.0,0.0,0.0,398.0,1358.0,1358.0
2024-12-01,0.0,0.0,0.0,464.0,1583.0,1583.0
