measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2009-04-01,,,,298.046,2909.0,2909.0
2009-05-01,,,,264.55,2582.0,2582.0
2009-06-01,,,,133.411,1302.0,1302.0
2009-07-01,,,,144.305,1408.0,1408.0
2009-08-01,,,,212.912,2078.0,2078.0
2009-09-01,,,,247.26,2413.0,2413.0
2009-10-01,,,,268.38300000000004,2619.0,2619.0
2009-11-01,,,,281.72,2750.0,2750.0
2009-12-01,,,,228.079,2226.0,2226.0
2010-01-01,,,,200.348,1955.0,1955.0
2010-02-01,,,,156.842,1530.0,1530.0
2010-03-01,,,,226.226,2207.0,2207.0
2010-04-01,,,,230.18800000000002,2246.0,2246.0
2010-05-01,,,,215.631,2104.0,2104.0
2010-06-01,,,,134.741,1315.0,1315.0
2010-07-01,,,,151.684,1480.0,1480.0
2010-08-01,,,,164.215,1602.0,1602.0
2010-09-01,,,,165.92100000000002,1619.0,1619.0
2010-10-01,,,,199.505,1946.0,1946.0
2010-11-01,,,,209.401,2043.0,2043.0
2010-12-01,,,,269.298,2627.0,2627.0
2011-01-01,,,,136.975,1331.0,1331.0
2011-02-01,,,,219.903,2137.0,2137.0
2011-03-01,,,,205.32,1995.0,1995.0
2011-04-01,,,,231.197,2246.0,2246.0
2011-05-01,,,,234.984,2283.0,2283.0
2011-06-01,,,,194.368,1888.0,1888.0
2011-07-01,,,,145.502,1414.0,1414.0
2011-08-01,,,,120.695,1173.0,1173.0
2011-09-01,,,,135.36,1315.0,1315.0
2011-10-01,,,,222.014,2157.0,2157.0
2011-11-01,,,,245.461,2385.0,2385.0
2011-12-01,,,,241.221,2344.0,2344.0
2012-01-01,,,,268.363,2554.0,2554.0
2012-02-01,,,,212.66,2024.0,2024.0
2012-03-01,,,,234.177,2228.0,2228.0
2012-04-01,,,,212.317,2020.0,2020.0
2012-05-01,,,,212.666,2024.0,2024.0
2012-06-01,,,,208.422,1983.0,1983.0
2012-07-01,,,,167.367,1593.0,1593.0
2012-08-01,,,,171.498,1632.0,1632.0
2012-09-01,,,,162.542,1547.0,1547.0
2012-10-01,,,,231.101,2199.0,2199.0
2012-11-01,,,,227.374,2164.0,2164.0
2012-12-01,,,,289.513,2755.0,2755.0
2013-01-01,,,,238.064,2271.0,2271.0
2013-02-01,,,,225.771,2154.0,2154.0
2013-03-01,,,,250.627,2391.0,2391.0
2013-04-01,,,,247.262,2359.0,2359.0
2013-05-01,,,,244.891,2337.0,2337.0
2013-06-01,,,,184.901,1764.0,1764.0
2013-07-01,,,,158.395,1511.0,1511.0
2013-08-01,,,,168.62,1609.0,1609.0
2013-09-01,,,,235.786,2250.0,2250.0
2013-10-01,,,,266.731,2545.0,2545.0
2013-11-01,,,,330.835,3156.0,3156.0
2013-12-01,,,,282.117,2692.0,2692.0
2014-01-01,,,,223.807,2128.0,2128.0
2014-02-01,,,,168.421,1602.0,1602.0
2014-03-01,,,,209.327,1991.0,1991.0
2014-04-01,,,,222.246,2114.0,2114.0
2014-05-01,,,,223.875,2129.0,2129.0
2014-06-01,,,,199.244,1895.0,1895.0
2014-07-01,,,,183.619,1746.0,1746.0
2014-08-01,,,,125.488,1193.0,1193.0
2014-09-01,,,,223.856,2129.0,2129.0
2014-10-01,,,,279.09,2654.0,2654.0
2014-11-01,,,,372.468,3542.0,3542.0
2014-12-01,,,,291.559,2773.0,2773.0
2015-01-01,,,,243.729,2271.0,2271.0
2015-02-01,,,,210.223,1959.0,1959.0
2015-03-01,,,,210.145,1958.0,1958.0
2015-04-01,,,,209.651,1954.0,1954.0
2015-05-01,,,,193.688,1805.0,1805.0
2015-06-01,,,,138.723,1293.0,1293.0
2015-07-01,,,,125.85,1173.0,1173.0
2015-08-01,,,,159.575,1487.0,1487.0
2015-09-01,,,,201.661,1879.0,1879.0
2015-10-01,,,,199.738,1861.0,1861.0
2015-11-01,,,,234.939,2189.0,2189.0
2015-12-01,,,,232.078,2163.0,2163.0
2016-01-01,,,,180.091,1663.0,1663.0
2016-02-01,,,,179.773,1660.0,1660.0
2016-03-01,,,,200.082,1847.0,1847.0
2016-04-01,,,,225.148,2079.0,2079.0
2016-05-01,,,,152.928,1412.0,1412.0
2016-06-01,,,,151.367,1397.0,1397.0
2016-07-01,,,,125.068,1155.0,1155.0
2016-08-01,,,,121.662,1123.0,1123.0
2016-09-01,,,,171.029,1579.0,1579.0
2016-10-01,,,,195.171,1802.0,1802.0
2016-11-01,,,,195.304,1803.0,1803.0
2016-12-01,,,,314.377,2902.0,2902.0
2017-01-01,,,,205.211,1891.0,1891.0
2017-02-01,,,,222.396,2049.0,2049.0
2017-03-01,,,,247.611,2281.0,2281.0
2017-04-01,,,,232.155,2139.0,2139.0
2017-05-01,,,,209.848,1933.0,1933.0
2017-06-01,,,,181.469,1672.0,1672.0
2017-07-01,,,,131.191,1209.0,1209.0
2017-08-01,,,,107.911,994.0,994.0
2017-09-01,,,,182.583,1682.0,1682.0
2017-10-01,,,,240.08,2212.0,2212.0
2017-11-01,,,,216.105,1991.0,1991.0
2017-12-01,,,,230.44,2123.0,2123.0
2018-01-01,,,,240.75,2192.0,2192.0
2018-02-01,,,,198.318,1805.0,1805.0
2018-03-01,,,,233.042,2122.0,2122.0
2018-04-01,,,,223.145,2032.0,2032.0
2018-05-01,,,,170.264,1550.0,1550.0
2018-06-01,,,,204.078,1858.0,1858.0
2018-07-01,,,,119.4,1087.0,1087.0
2018-08-01,,,,151.747,1382.0,1382.0
2018-09-01,,,,191.55,1744.0,1744.0
2018-10-01,,,,189.403,1724.0,1724.0
2018-11-01,,,,192.334,1751.0,1751.0
2018-12-01,,,,215.969,1966.0,1966.0
2019-01-01,,,,196.088,1746.0,1746.0
2019-02-01,,,,166.875,1486.0,1486.0
2019-03-01,,,,226.912,2021.0,2021.0
2019-04-01,,,,228.996,2039.0,2039.0
2019-05-01,,,,186.191,1658.0,1658.0
2019-06-01,,,,158.253,1409.0,1409.0
2019-07-01,,,,161.153,1435.0,1435.0
2019-08-01,,,,132.106,1176.0,1176.0
2019-09-01,,,,217.923,1941.0,1941.0
2019-10-01,,,,242.213,2157.0,2157.0
2019-11-01,,,,225.468,2008.0,2008.0
2019-12-01,,,,220.822,1966.0,1966.0
2020-01-01,,,,206.648,1812.0,1812.0
2020-02-01,,,,217.539,1907.0,1907.0
2020-03-01,,,,210.556,1846.0,1846.0
2020-04-01,,,,203.719,1786.0,1786.0
2020-05-01,,,,175.943,1542.0,1542.0
2020-06-01,,,,221.675,1943.0,1943.0
2020-07-01,,,,160.213,1405.0,1405.0
2020-08-01,,,,190.33,1669.0,1669.0
2020-09-01,,,,206.674,1812.0,1812.0
2020-10-01,,,,211.217,1852.0,1852.0
2020-11-01,,,,224.276,1966.0,1966.0
2020-12-01,,,,222.21,1948.0,1948.0
2021-01-01,,,,168.653,1492.0,1492.0
2021-02-01,,,,119.825,1060.0,1060.0
2021-03-01,,,,208.909,1848.0,1848.0
2021-04-01,,,,224.701,1987.0,1987.0
2021-05-01,,,,187.834,1661.0,1661.0
2021-06-01,,,,141.696,1253.0,1253.0
2021-07-01,,,,136.885,1211.0,1211.0
2021-08-01,,,,179.384,1586.0,1586.0
2021-09-01,,,,183.827,1626.0,1626.0
2021-10-01,,,,205.181,1815.0,1815.0
2021-11-01,,,,227.882,2015.0,2015.0
2021-12-01,,,,259.223,2293.0,2293.0
2022-01-01,,,,254.755,869.0,869.0
2022-02-01,,,,252.629,862.0,862.0
2022-03-01,,,,286.263,977.0,977.0
2022-04-01,,,,274.732,937.0,937.0
2022-05-01,,,,200.454,684.0,684.0
2022-06-01,,,,189.599,647.0,647.0
2022-07-01,,,,164.402,561.0,561.0
2022-08-01,,,,172.49,589.0,589.0
2022-09-01,,,,204.055,696.0,696.0
2022-10-01,,,,231.707,791.0,791.0
2022-11-01,,,,291.568,995.0,995.0
2022-12-01,,,,244.346,834.0,834.0
2023-01-01,,,,176.0,601.0,601.0
2023-02-01,,,,204.0,696.0,696.0
2023-03-01,,,,262.0,894.0,894.0
2023-04-01,,,,365.0,1245.0,1245.0
2023-05-01,,,,80.0,273.0,273.0
2023-06-01,,,,49.0,167.0,167.0
2023-07-01,,,,62.0,212.0,212.0
2023-08-01,,,,103.0,351.0,351.0
2023-09-01,,,,110.0,375.0,375.0
2023-10-01,,,,249.0,850.0,850.0
2023-11-01,,,,215.0,734.0,734.0
2023-12-01,,,,151.0,515.0,515.0
2024-01-01,,,,190.0,648.0,648.0
2024-02-01,,,,241.0,822.0,822.0
2024-03-01,,,,286.0,976.0,976.0
2024-04-01,,,,188.0,641.0,641.0
2024-05-01,,,,75.0,256.0,256.0
2024-06-01,,,,0.0,0.0,0.0
2024-07-01,,,,0.0,0.0,0.0
2024-08-01,,,,0.0,0.0,0.0
2024-09-01,,,,0.0,0.0,0.0
2024-10-01,,,,0.0,0.0,0.0
2024-11-01,,,,0.0,0.0,0.0
2024-12-01,,,,0.0,0.0,0.0
