measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2015-09-01,430.274,4431.0,4431.0,154.422,1439.0,1439.0
2015-10-01,470.476,4845.0,4845.0,134.905,1257.0,1257.0
2015-11-01,436.989,4500.0,4500.0,96.955,904.0,904.0
2015-12-01,467.06,4810.0,4810.0,54.034,504.0,504.0
2016-01-01,0.0,0.0,0.0,104.004,960.0,960.0
2016-02-01,0.0,0.0,0.0,90.48,835.0,835.0
2016-03-01,0.0,0.0,0.0,146.106,1349.0,1349.0
2016-04-01,0.0,0.0,0.0,161.073,1487.0,1487.0
2016-05-01,0.0,0.0,0.0,142.512,1316.0,1316.0
2016-06-01,0.0,0.0,0.0,183.524,1694.0,1694.0
2016-07-01,0.0,0.0,0.0,173.506,1602.0,1602.0
2016-08-01,0.0,0.0,0.0,168.468,1555.0,1555.0
2016-09-01,0.0,0.0,0.0,126.631,1169.0,1169.0
2016-10-01,0.0,0.0,0.0,124.127,1146.0,1146.0
2016-11-01,0.0,0.0,0.0,111.487,1029.0,1029.0
2016-12-01,0.0,0.0,0.0,81.082,749.0,749.0
2017-01-01,,,,58.154,536.0,536.0
2017-02-01,,,,106.583,982.0,982.0
2017-03-01,,,,135.505,1248.0,1248.0
2017-04-01,,,,141.201,1301.0,1301.0
2017-05-01,,,,152.229,1402.0,1402.0
2017-06-01,,,,173.608,1599.0,1599.0
2017-07-01,,,,169.889,1565.0,1565.0
2017-08-01,,,,169.811,1564.0,1564.0
2017-09-01,,,,144.842,1334.0,1334.0
2017-10-01,,,,92.019,848.0,848.0
2017-11-01,,,,95.478,880.0,880.0
2017-12-01,,,,62.681,577.0,577.0
2018-01-01,,,,82.624,752.0,752.0
2018-02-01,,,,76.797,699.0,699.0
2018-03-01,,,,128.824,1173.0,1173.0
2018-04-01,,,,128.19,1167.0,1167.0
2018-05-01,,,,148.425,1351.0,1351.0
2018-06-01,,,,164.858,1501.0,1501.0
2018-07-01,,,,175.463,1597.0,1597.0
2018-08-01,,,,152.546,1389.0,1389.0
2018-09-01,,,,101.128,921.0,921.0
2018-10-01,,,,93.375,850.0,850.0
2018-11-01,,,,72.628,661.0,661.0
2018-12-01,,,,69.142,629.0,629.0
2019-01-01,,,,74.386,662.0,662.0
2019-02-01,,,,89.025,793.0,793.0
2019-03-01,,,,125.457,1117.0,1117.0
2019-04-01,,,,119.149,1061.0,1061.0
2019-05-01,,,,130.22,1160.0,1160.0
2019-06-01,,,,141.944,1264.0,1264.0
2019-07-01,,,,159.062,1416.0,1416.0
2019-08-01,,,,142.662,1270.0,1270.0
2019-09-01,,,,122.216,1088.0,1088.0
2019-10-01,,,,87.633,780.0,780.0
2019-11-01,,,,83.979,748.0,748.0
2019-12-01,,,,52.267,465.0,465.0
2020-01-01,,,,43.523,382.0,382.0
2020-02-01,,,,48.896,429.0,429.0
2020-03-01,,,,70.03,614.0,614.0
2020-04-01,,,,72.824,638.0,638.0
2020-05-01,,,,95.307,836.0,836.0
2020-06-01,,,,100.046,877.0,877.0
2020-07-01,,,,94.228,826.0,826.0
2020-08-01,,,,81.416,714.0,714.0
2020-09-01,,,,74.808,656.0,656.0
2020-10-01,,,,54.021,474.0,474.0
2020-11-01,,,,49.57,435.0,435.0
2020-12-01,,,,34.331,301.0,301.0
2021-01-01,,,,31.127,275.0,275.0
2021-02-01,,,,18.537,164.0,164.0
2021-03-01,,,,60.781,538.0,538.0
2021-04-01,,,,59.936,530.0,530.0
2021-05-01,,,,67.795,600.0,600.0
2021-06-01,,,,67.514,597.0,597.0
2021-07-01,,,,64.866,574.0,574.0
2021-08-01,,,,56.738,502.0,502.0
2021-09-01,,,,51.259,453.0,453.0
2021-10-01,,,,41.074,363.0,363.0
2021-11-01,,,,35.511,314.0,314.0
2021-12-01,,,,31.862,282.0,282.0
2022-01-01,,,,77.311,264.0,264.0
2022-02-01,,,,94.376,322.0,322.0
2022-03-01,,,,126.41,431.0,431.0
2022-04-01,,,,149.6,510.0,510.0
2022-05-01,,,,153.478,524.0,524.0
2022-06-01,,,,159.05,543.0,543.0
2022-07-01,,,,161.809,552.0,552.0
2022-08-01,,,,165.819,566.0,566.0
2022-09-01,,,,138.689,473.0,473.0
2022-10-01,,,,114.893,392.0,392.0
2022-11-01,,,,91.345,312.0,312.0
2022-12-01,,,,69.22,236.0,236.0
2023-01-01,,,,62.0,212.0,212.0
2023-02-01,,,,101.0,345.0,345.0
2023-03-01,,,,137.0,467.0,467.0
2023-04-01,,,,155.0,529.0,529.0
2023-05-01,,,,204.0,696.0,696.0
2023-06-01,,,,147.0,502.0,502.0
2023-07-01,,,,154.0,525.0,525.0
2023-08-01,,,,45.0,154.0,154.0
2023-09-01,,,,134.0,457.0,457.0
2023-10-01,,,,127.0,433.0,433.0
2023-11-01,,,,116.0,396.0,396.0
2023-12-01,,,,59.0,201.0,201.0
2024-01-01,,,,47.0,160.0,160.0
2024-02-01,,,,133.0,454.0,454.0
2024-03-01,,,,35.0,119.0,119.0
2024-04-01,,,,110.0,375.0,375.0
2024-05-01,,,,159.0,543.0,543.0
2024-06-01,,,,182.0,621.0,621.0
2024-07-01,,,,180.0,614.0,614.0
2024-08-01,,,,146.0,498.0,498.0
2024-09-01,,,,127.0,433.0,433.0
2024-10-01,,,,147.0,502.0,502.0
2024-11-01,,,,24.0,82.0,82.0
2024-12-01,,,,69.0,235.0,235.0
