measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2008-03-01,15067.462,74973.0,910934.0,4000.7980000000002,19907.0,241876.0,,,,0.0,0.0,0.0
2008-04-01,14560.708,72451.0,739050.0,5304.892,26396.0,269258.0,,,,0.0,0.0,0.0
2008-05-01,20698.367,102991.0,956507.0,3701.983,18420.0,171075.0,,,,0.0,0.0,0.0
2008-06-01,22162.349000000002,110275.0,864863.0,4533.991,22560.0,176934.0,,,,0.0,0.0,0.0
2008-07-01,24983.59,124313.0,903591.0,5002.99,24894.0,180945.0,,,,0.0,0.0,0.0
2008-08-01,25983.211,129287.0,922429.0,5684.379,28284.0,201801.0,,,,0.0,0.0,0.0
2008-09-01,17505.799,87105.0,766386.0,3642.141,18123.0,159449.0,,,,0.0,0.0,0.0
2008-10-01,,,,5141.436000000001,25583.0,291873.0,8896.404,44267.0,505038.0,0.0,0.0,0.0
2008-11-01,4879.842000000001,24281.0,242604.0,6587.4980000000005,32778.0,327502.0,,,,0.0,0.0,0.0
2008-12-01,6295.279,31324.0,460101.0,2558.8810000000003,12732.0,187020.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,7370.37,36673.0,469898.0,4412.22,21954.0,281301.0,,,,,,
2009-02-01,8628.464,42933.0,501657.0,3668.226,18252.0,213270.0,,,,,,
2009-03-01,8127.0560000000005,40439.0,435311.0,5505.3240000000005,27393.0,294882.0,,,,,,
2009-04-01,5460.47,27170.0,260519.0,7748.99,38557.0,369704.0,,,,,,
2009-05-01,1171.246,5828.0,83993.0,4126.894,20535.0,295948.0,,,,,,
2009-06-01,0.0,0.0,0.0,72.75,362.0,204391.0,,,,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,194754.0,,,,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,179538.0,,,,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,210224.0,,,,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,236889.0,,,,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,227010.0,,,,,,
2009-12-01,0.0,0.0,0.0,0.0,1158.0,290061.0,,,,,,
2010-01-01,0.0,0.0,0.0,0.0,0.0,290465.0,,,,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,250935.0,,,,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,275028.0,,,,,,
2010-04-01,3793.6040000000003,18876.0,248091.0,5344.7660000000005,26594.0,349533.0,,,,,,
2010-05-01,10688.39,53183.0,540706.0,4104.11,20421.0,207619.0,,,,,,
2010-06-01,9000.725,44786.0,506229.0,3492.875,17380.0,196450.0,,,,,,
2010-07-01,8351.605,41556.0,417821.0,5247.795,26112.0,262541.0,,,,,,
2010-08-01,12579.516,62593.0,632760.0,3374.074,16789.0,169719.0,,,,,,
2010-09-01,8641.17,42997.0,427242.0,4524.64,22514.0,223710.0,,,,,,
2010-10-01,7322.595,36436.0,399167.0,4890.675,24335.0,266599.0,,,,,,
2010-11-01,7511.101000000001,37374.0,412030.0,4850.579000000001,24135.0,266084.0,,,,,,
2010-12-01,8238.981,40995.0,546816.0,2560.029,12738.0,169907.0,,,,,,
2011-01-01,8807.856,43826.0,560115.0,2891.314,14387.0,183866.0,,,,,,
2011-02-01,6532.047,31527.0,432781.0,2858.953,13799.0,189420.0,,,,,,
2011-03-01,8459.025,40828.0,491477.0,3834.975,18510.0,222815.0,,,,,,
2011-04-01,18422.474,88916.0,772033.0,5492.526,26510.0,230176.0,,,,,,
2011-05-01,16466.147,81932.0,744342.0,4993.163,24845.0,225713.0,,,,,,
2011-06-01,8708.828,43333.0,560899.0,3025.262,15053.0,194844.0,,,,,,
2011-07-01,7579.921,37716.0,541797.0,2440.179,12142.0,174419.0,,,,,,
2011-08-01,10817.717,53827.0,657914.0,2708.933,13479.0,164753.0,,,,,,
2011-09-01,21180.354,105389.0,886500.0,3695.296,18387.0,154666.0,,,,,,
2011-10-01,20827.348,103633.0,830284.0,5052.252,25139.0,201408.0,,,,,,
2011-11-01,16136.042,80290.0,779602.0,3672.328,18273.0,177426.0,,,,,,
2011-12-01,18043.8,89782.0,770132.0,4460.2,22193.0,190367.0,,,,,,
2012-01-01,17396.374,86561.0,815747.0,3868.936,19251.0,181421.0,,,,,,
2012-02-01,17621.327,87680.0,756263.0,4553.843,22659.0,195439.0,,,,,,
2012-03-01,17232.537,85746.0,815575.0,3580.753,17817.0,169469.0,,,,,,
2012-04-01,21794.565,108445.0,976799.0,3408.945,16962.0,152784.0,,,,,,
2012-05-01,25741.985,128087.0,1039354.0,4609.315,22935.0,186105.0,,,,,,
2012-06-01,14535.954,72328.0,742413.0,3428.446,17059.0,175105.0,,,,,,
2012-07-01,10147.815,50493.0,478636.0,7965.965,39637.0,375726.0,,,,,,
2012-08-01,20921.019,104099.0,733219.0,8266.281,41131.0,289708.0,,,,,,
2012-09-01,20893.872,103964.0,784420.0,6465.948,32173.0,242752.0,,,,,,
2012-10-01,20380.177,101408.0,802810.0,7097.013,35313.0,279564.0,,,,,,
2012-11-01,12565.727,62525.0,617822.0,5832.263,29020.0,286756.0,,,,,,
2012-12-01,21827.705,108610.0,1021382.0,3924.825,19529.0,183654.0,,,,,,
2013-01-01,19797.631,98509.0,980914.0,4065.339,20228.0,201426.0,,,,,,
2013-02-01,18906.504,94075.0,970267.0,3047.506,15164.0,156396.0,,,,,,
2013-03-01,17401.779,86588.0,1036681.0,2217.441,11034.0,132100.0,,,,,,
2013-04-01,6807.298,33872.0,461591.0,4726.002,23516.0,320462.0,,,,,,
2013-05-01,13290.741,66132.0,804759.0,2341.779,11652.0,141795.0,,,,,,
2013-06-01,16484.766,82025.0,839286.0,3157.734,15712.0,160769.0,,,,,,
2013-07-01,16802.344,83605.0,846953.0,3072.956,15290.0,154898.0,,,,,,
2013-08-01,13808.757,68710.0,759497.0,2952.843,14693.0,162410.0,,,,,,
2013-09-01,23540.167,117131.0,1055607.0,3503.433,17432.0,157104.0,,,,,,
2013-10-01,21333.074,106149.0,982131.0,3353.426,16686.0,154385.0,,,,,,
2013-11-01,16434.941,81777.0,720802.0,6272.759,31212.0,275110.0,,,,,,
2013-12-01,24101.416,119924.0,1045189.0,5150.874,25630.0,223374.0,,,,,,
2014-01-01,18494.576,92025.0,816537.0,7036.794,35014.0,310675.0,,,,,,
2014-02-01,16277.032,80991.0,734378.0,5965.068,29681.0,269129.0,,,,,,
2014-03-01,16312.745,81169.0,914904.0,4385.115,21819.0,245940.0,,,,,,
2014-04-01,19288.029,95973.0,940055.0,3939.591,19603.0,192007.0,,,,,,
2014-05-01,21571.83,107337.0,875893.0,0.0,0.0,0.0,,,,,,
2014-06-01,30640.48,152461.0,1121876.0,3450.17,17167.0,126325.0,,,,,,
2014-07-01,33190.75,165150.0,1177220.0,4973.9,24749.0,176416.0,,,,,,
2014-08-01,27414.042,136407.0,1070240.0,5045.068,25103.0,196959.0,,,,,,
2014-09-01,31685.558,157661.0,1163466.0,4412.992,21958.0,162041.0,,,,,,
2014-10-01,20209.734,100560.0,768173.0,9222.006,45887.0,350529.0,,,,,,
2014-11-01,18496.692,92036.0,798125.0,6751.438,33594.0,291322.0,,,,,,
2014-12-01,26558.455,132149.0,1029423.0,3690.995,18366.0,143065.0,,,,,,
2015-01-01,19253.03,95799.0,870744.0,5094.94,25351.0,230426.0,,,,,,
2015-02-01,15814.486,78690.0,736494.0,4859.124,24178.0,226293.0,,,,,,
2015-03-01,13685.706,68097.0,872764.0,3613.274,17979.0,230426.0,,,,,,
2015-04-01,11018.251,54825.0,504354.0,5163.289,25691.0,236347.0,,,,,,
2015-05-01,14294.441,71126.0,582500.0,4399.399,21891.0,179276.0,,,,,,
2015-06-01,19352.605,96295.0,639918.0,6189.435,30797.0,204661.0,,,,,,
2015-07-01,20662.025,102810.0,635053.0,7151.755,35586.0,219811.0,,,,,,
2015-08-01,22684.03,112871.0,662236.0,8710.02,43339.0,254280.0,,,,,,
2015-09-01,15225.593,75759.0,346986.0,9545.297,47495.0,217534.0,,,,,,
2015-10-01,12775.651,63569.0,544643.0,4440.879,22097.0,189321.0,,,,,,
2015-11-01,747.051,3717.0,55975.0,5839.249,29055.0,437524.0,,,,,,
2015-12-01,4391.414,21851.0,400702.0,3677.046,18296.0,335518.0,,,,,,
2016-01-01,8009.057,41430.0,467608.0,4616.463,23880.0,269532.0,,,,,,
2016-02-01,12428.463,64290.0,539143.0,5136.297,26569.0,222811.0,,,,,,
2016-03-01,17193.47,88939.0,657663.0,4618.92,23893.0,176677.0,,,,,,
2016-04-01,17208.029,89014.0,695291.0,4191.141,21680.0,169343.0,,,,,,
2016-05-01,15866.097,82073.0,601894.0,6748.483,34909.0,256009.0,,,,,,
2016-06-01,15819.638,81832.0,682581.0,3653.112,18897.0,157623.0,,,,,,
2016-07-01,19550.136,101130.0,689426.0,5184.864,26820.0,182842.0,,,,,,
2016-08-01,17398.401,89999.0,610815.0,5981.509,30941.0,209996.0,,,,,,
2016-09-01,14899.998,77075.0,488123.0,8007.522,41422.0,262326.0,,,,,,
2016-10-01,5551.318,28716.0,278568.0,8545.692,44205.0,428828.0,,,,,,
2016-11-01,17126.45,88592.0,647117.0,6806.36,35208.0,257176.0,,,,,,
2016-12-01,13951.631,72169.0,597790.0,9883.209,51124.0,423469.0,,,,,,
2017-01-01,16751.322,86652.0,777058.0,5363.708,27746.0,248811.0,,,,,,
2017-02-01,17782.599,91986.0,765643.0,4855.261,25115.0,209047.0,,,,,,
2017-03-01,19913.289,103008.0,847492.0,5399.831,27932.0,229812.0,,,,,,
2017-04-01,19234.319,99496.0,796531.0,5707.291,29523.0,236350.0,,,,,,
2017-05-01,13084.499,67684.0,655531.0,5818.861,30100.0,291524.0,,,,,,
2017-06-01,14810.927,76614.0,658663.0,6528.103,33769.0,290314.0,,,,,,
2017-07-01,15270.025,78989.0,724227.0,5325.015,27545.0,252555.0,,,,,,
2017-08-01,5574.414,28836.0,463117.0,4141.106,21421.0,344039.0,,,,,,
2017-09-01,6009.276,31085.0,561126.0,2129.024,11013.0,198801.0,,,,,,
2017-10-01,19066.34,98627.0,811136.0,3864.46,19990.0,164405.0,,,,,,
2017-11-01,15230.641,78786.0,717157.0,7100.699,36731.0,334347.0,,,,,,
2017-12-01,19989.24,103401.0,763496.0,7707.17,39868.0,294378.0,,,,,,
2018-01-01,17971.622,92964.0,698163.0,6474.318,33491.0,251515.0,,,,,,
2018-02-01,17802.597,92090.0,700554.0,7345.623,37998.0,289059.0,,,,,,
2018-03-01,20679.477,106971.0,799641.0,6159.453,31862.0,238176.0,,,,,,
2018-04-01,16198.598,83793.0,661596.0,6157.962,31854.0,251508.0,,,,,,
2018-05-01,12053.737,62352.0,598859.0,4401.343,22767.0,218669.0,,,,,,
2018-06-01,17888.826,92536.0,669793.0,5279.624,27311.0,197680.0,,,,,,
2018-07-01,19487.318,100805.0,751444.0,5425.192,28064.0,209199.0,,,,,,
2018-08-01,20516.868,106130.0,703598.0,6633.432,34314.0,227484.0,,,,,,
2018-09-01,22854.828,118224.0,802568.0,5367.322,27764.0,188478.0,,,,,,
2018-10-01,11049.967,57160.0,378788.0,10173.633,52626.0,348748.0,,,,,,
2018-11-01,13575.828,70225.0,525469.0,9810.872,50750.0,379742.0,,,,,,
2018-12-01,9314.6,48183.0,435833.0,7735.09,40012.0,361928.0,,,,,,
2019-01-01,11055.734,57189.0,527171.0,6223.846,32195.0,296772.0,,,,,,
2019-02-01,3935.111,20356.0,344599.0,3362.199,17392.0,294429.0,,,,,,
2019-03-01,6905.254,35720.0,619757.0,1843.176,9534.0,165428.0,,,,,,
2019-04-01,8398.211,43443.0,579121.0,2361.029,12213.0,162811.0,,,,,,
2019-05-01,6277.264,32471.0,480225.0,3823.346,19778.0,292495.0,,,,,,
2019-06-01,7280.635,37662.0,471301.0,4578.585,23684.0,296388.0,,,,,,
2019-07-01,18443.135,95403.0,776831.0,5211.285,26957.0,219501.0,,,,,,
2019-08-01,19561.636,101189.0,768274.0,4734.924,24493.0,185962.0,,,,,,
2019-09-01,18911.336,97825.0,737342.0,5214.504,26974.0,203310.0,,,,,,
2019-10-01,15457.03,79957.0,658213.0,5197.18,26884.0,221314.0,,,,,,
2019-11-01,14189.571,73400.0,600278.0,4985.389,25789.0,210903.0,,,,,,
2019-12-01,15377.012,79543.0,611426.0,5176.318,26776.0,205823.0,,,,,,
2020-01-01,11547.395,57941.0,597812.0,3007.605,15091.0,155705.0,,,,,,
2020-02-01,12700.356,63726.0,581000.0,3275.644,16436.0,149850.0,,,,,,
2020-03-01,15016.924,75350.0,665696.0,2914.076,14622.0,129180.0,,,,,,
2020-04-01,86.877,436.0,3506.0,12774.123,64096.0,515540.0,,,,,,
2020-05-01,0.0,0.0,0.0,8566.0,42981.0,449571.0,,,,,,
2020-06-01,0.0,0.0,0.0,13818.0,69334.0,497445.0,,,,,,
2020-07-01,0.0,0.0,0.0,13658.0,68531.0,518449.0,,,,,,
2020-08-01,5129.061,25736.0,211369.0,10121.939,50788.0,417127.0,,,,,,
2020-09-01,15808.674,79322.0,598519.0,3606.326,18095.0,136536.0,,,,,,
2020-10-01,12555.725,63000.0,507184.0,5805.275,29129.0,234502.0,,,,,,
2020-11-01,13698.75,68735.0,517035.0,6766.25,33951.0,255380.0,,,,,,
2020-12-01,17346.607,87039.0,642835.0,6540.393,32817.0,242376.0,,,,,,
2021-01-01,12101.278,60720.0,588347.0,3381.722,16968.0,164414.0,,,,,,
2021-02-01,9652.316,48432.0,467322.0,4412.684,22141.0,213642.0,,,,,,
2021-03-01,17589.019,88255.0,625918.0,5672.981,28465.0,201877.0,,,,,,
2021-04-01,12042.614,60426.0,511190.0,5896.386,29586.0,250292.0,,,,,,
2021-05-01,13082.841,65645.0,518433.0,6603.159,33132.0,261663.0,,,,,,
2021-06-01,12754.163,63996.0,531020.0,4835.837,24265.0,201340.0,,,,,,
2021-07-01,9650.813,48424.0,432478.0,7181.187,36033.0,321808.0,,,,,,
2021-08-01,5762.945,28916.0,223790.0,11453.055,57467.0,444752.0,,,,,,
2021-09-01,22308.694,111937.0,689037.0,4702.306,23595.0,145238.0,,,,,,
2021-10-01,14927.205,74899.0,452450.0,8891.795,44616.0,269514.0,,,,,,
2021-11-01,7597.327,38121.0,309189.0,9642.673,48384.0,392429.0,,,,,,
2021-12-01,7052.433,35387.0,288818.0,8171.567,41002.0,334649.0,,,,,,
2022-01-01,10504.117,52706.0,414209.0,8315.883,41726.0,327920.0,,,,,,
2022-02-01,7320.119,36730.0,319566.0,7011.881,35183.0,306110.0,,,,,,
2022-03-01,3545.526,17790.0,195671.0,6952.474,34885.0,383694.0,,,,,,
2022-04-01,0.0,0.0,0.0,8442.0,42359.0,407486.0,,,,,,
2022-05-01,0.0,0.0,0.0,13391.0,67191.0,433282.0,,,,,,
2022-06-01,0.0,0.0,0.0,13544.0,67959.0,398461.0,,,,,,
2022-07-01,0.0,0.0,0.0,13331.0,66890.0,411810.0,,,,,,
2022-08-01,0.0,0.0,0.0,9742.0,48882.0,361339.0,,,,,,
2022-09-01,0.0,0.0,0.0,8409.0,42193.0,286388.0,,,,,,
2022-10-01,0.0,0.0,0.0,11597.0,58190.0,391651.0,,,,,,
2022-11-01,0.0,0.0,0.0,9756.0,48952.0,372864.0,,,,,,
2022-12-01,0.0,0.0,0.0,8159.0,40939.0,381850.0,,,,,,
2023-01-01,0.0,0.0,0.0,13017.0,65315.0,427093.0,,,,,,
2023-02-01,0.0,0.0,0.0,11708.0,58747.0,412467.0,,,,,,
2023-03-01,0.0,0.0,0.0,13742.0,68953.0,456780.0,,,,,,
2023-04-01,0.0,0.0,0.0,14719.0,73855.0,424934.0,,,,,,
2023-05-01,0.0,0.0,0.0,16462.0,82601.0,426628.0,,,,,,
2023-06-01,0.0,0.0,0.0,18288.0,91763.0,458744.0,,,,,,
2023-07-01,0.0,0.0,0.0,16532.0,82952.0,436865.0,,,,,,
2023-08-01,0.0,0.0,0.0,24114.0,120996.0,547749.0,,,,,,
2023-09-01,0.0,0.0,0.0,19470.0,97694.0,461748.0,,,,,,
2023-10-01,0.0,0.0,0.0,28354.0,142270.0,603980.0,,,,,,
2023-11-01,0.0,0.0,0.0,30896.0,155025.0,634025.0,,,,,,
2023-12-01,0.0,0.0,0.0,22022.0,110499.0,572479.0,,,,,,
2024-01-01,0.0,0.0,0.0,26441.23,136776.0,597796.0,,,,,,
2024-02-01,0.0,0.0,0.0,22338.13,115551.0,526463.0,,,,,,
2024-03-01,0.0,0.0,0.0,24192.77,125145.0,544212.0,,,,,,
2024-04-01,0.0,0.0,0.0,24775.74,128161.0,539090.0,,,,,,
2024-05-01,0.0,0.0,0.0,17249.51,89229.0,433612.0,,,,,,
2024-06-01,0.0,0.0,0.0,14455.91,74778.0,415998.0,,,,,,
2024-07-01,0.0,0.0,0.0,12600.3,65179.0,389226.0,,,,,,
2024-08-01,0.0,0.0,0.0,11457.64,59268.0,350689.0,,,,,,
2024-09-01,0.0,0.0,0.0,19086.69,98732.0,473723.0,,,,,,
2024-10-01,0.0,0.0,0.0,28916.67,149581.0,627259.0,,,,,,
2024-11-01,0.0,0.0,0.0,23634.05,122255.0,540687.0,,,,,,
2024-12-01,0.0,0.0,0.0,19815.16,102500.0,509039.0,,,,,,
