measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-03-01,,,,311144.0,3287000.0,3287000.0,-27.0,1583.0,1583.0,744.0,7963.0,7963.0,,,,,,
2004-04-01,,,,142564.0,1578625.0,1578625.0,0.0,0.0,0.0,1187.0,13154.0,13154.0,,,,,,
2004-05-01,,,,360328.0,3915700.0,3915700.0,-21.0,951.0,951.0,1425.0,15469.0,15469.0,,,,,,
2004-06-01,,,,189733.0,2134390.0,2134390.0,-42.0,470.0,470.0,2790.0,31999.0,31999.0,,,,,,
2004-07-01,,,,270511.0,3064586.0,3064586.0,-44.0,0.0,0.0,1018.0,12163.0,12163.0,,,,,,
2004-08-01,,,,239949.0,2729079.0,2729079.0,22.0,1815.0,1815.0,1357.0,15909.0,15909.0,,,,,,
2004-09-01,,,,59312.0,731554.0,731554.0,-35.0,0.0,0.0,1138.0,14082.0,14082.0,,,,,,
2004-10-01,,,,140161.0,1563131.0,1563131.0,-39.0,0.0,0.0,998.0,11484.0,11484.0,,,,,,
2004-11-01,,,,223841.0,2456113.0,2456113.0,-55.0,145.0,145.0,1057.0,11873.0,11873.0,,,,,,
2004-12-01,,,,176169.0,1950456.0,1950456.0,-80.0,0.0,0.0,1994.0,23148.0,23148.0,,,,,,
2005-01-01,,,,268166.0,2872563.6,2872563.6,-82.0,0.0,0.0,1012.0,11124.4,11124.4,,,,,,
2005-02-01,,,,278132.0,3007073.4,3007073.4,-39.0,1136.8,1136.8,-737.0,8009.8,8009.8,,,,,,
2005-03-01,,,,254335.0,2679936.0,2679936.0,-73.0,1421.0,1421.0,763.0,7899.6,7899.6,,,,,,
2005-04-01,,,,276328.0,2986448.2,2986448.2,60.0,1641.4,1641.4,445.0,4866.2,4866.2,,,,,,
2005-05-01,,,,79650.0,976030.2,976030.2,-45.0,0.0,0.0,2016.0,24487.6,24487.6,,,,,,
2005-06-01,,,,225466.0,2569838.4,2569838.4,-48.0,0.0,0.0,1550.0,17956.8,17956.8,,,,,,
2005-07-01,,,,297311.0,3457969.2,3457969.2,557.0,15613.6,15613.6,1082.0,12557.0,12557.0,,,,,,
2005-08-01,,,,324258.0,3633775.2,3633775.2,30.0,3694.6,3694.6,1210.0,13838.8,13838.8,,,,,,
2005-09-01,,,,263486.0,2973491.5,2973491.5,-38.0,0.0,0.0,819.0,9262.6,9262.6,,,,,,
2005-10-01,,,,296013.0,3293072.8,3293072.8,-37.0,0.0,0.0,1191.0,13264.6,13264.6,,,,,,
2005-11-01,,,,228249.0,2532826.8,2532826.8,-56.0,464.0,464.0,1373.0,15201.8,15201.8,,,,,,
2005-12-01,,,,281167.0,3089661.6,3089661.6,-27.0,0.0,0.0,884.0,9761.4,9761.4,,,,,,
2006-01-01,,,,107328.0,1244054.0,1244054.0,-64.0,0.0,0.0,1212.0,14314.0,14314.0,,,,,,
2006-02-01,,,,281423.0,2983564.0,2983564.0,-68.0,0.0,0.0,945.0,10225.0,10225.0,,,,,,
2006-03-01,,,,348019.0,3836312.0,3836312.0,-71.0,754.0,754.0,568.0,6479.0,6479.0,,,,,,
2006-04-01,,,,194407.0,2192414.0,2192414.0,-50.0,180.0,180.0,1098.0,12128.0,12128.0,,,,,,
2006-05-01,,,,173240.0,2031700.0,2031700.0,-44.0,29.0,29.0,1117.0,13885.0,13885.0,,,,,,
2006-06-01,,,,238093.0,2833446.0,2833446.0,-31.0,0.0,0.0,1002.0,12099.0,12099.0,,,,,,
2006-07-01,,,,259961.0,2970524.0,2970524.0,190.0,5957.0,5957.0,1179.0,13636.0,13636.0,,,,,,
2006-08-01,,,,322916.0,3659906.0,3659906.0,1391.0,34614.0,34614.0,567.0,6606.0,6606.0,,,,,,
2006-09-01,,,,181072.0,2129705.0,2129705.0,-34.0,0.0,0.0,937.0,11084.0,11084.0,,,,,,
2006-10-01,,,,160037.0,1862646.0,1862646.0,-20.0,487.0,487.0,1379.0,16478.0,16478.0,,,,,,
2006-11-01,,,,258476.0,2867907.0,2867907.0,-41.0,0.0,0.0,937.0,10510.0,10510.0,,,,,,
2006-12-01,,,,229592.0,2576070.0,2576070.0,-70.0,0.0,0.0,1044.0,12197.0,12197.0,,,,,,
2007-01-01,,,,269512.962,3004409.0,3004409.0,-70.0,505.0,505.0,988.038,11014.0,11014.0,,,,,,
2007-02-01,,,,282745.3,3126120.0,3126120.0,-23.0,1502.0,1502.0,793.7,8775.0,8775.0,,,,,,
2007-03-01,,,,276306.811,3151079.0,3151079.0,-13.0,1305.0,1305.0,989.19,11281.0,11281.0,,,,,,
2007-04-01,,,,216159.568,2383517.0,2383517.0,-52.0,0.0,0.0,241.43300000000002,2662.0,2662.0,,,,,,
2007-05-01,,,,88321.408,1079771.0,1079771.0,-49.0,452.0,452.0,823.592,10069.0,10069.0,,,,,,
2007-06-01,,,,189660.532,2191972.0,2191972.0,-50.0,336.0,336.0,1622.467,18751.0,18751.0,,,,,,
2007-07-01,,,,282494.978,3168624.0,3168624.0,-46.0,458.0,458.0,878.023,9848.0,9848.0,,,,,,
2007-08-01,,,,361812.76,4011683.0,4011683.0,1462.0,48384.0,48384.0,209.24,2320.0,2320.0,,,,,,
2007-09-01,,,,261486.432,2918300.0,2918300.0,217.0,8323.0,8323.0,1070.568,11948.0,11948.0,,,,,,
2007-10-01,,,,292643.582,3093728.0,3093728.0,204.0,7697.0,7697.0,918.418,9709.0,9709.0,,,,,,
2007-11-01,,,,257325.106,2864182.0,2864182.0,-46.0,0.0,0.0,812.895,9048.0,9048.0,,,,,,
2007-12-01,,,,236237.554,2689823.0,2689823.0,-56.0,325.0,325.0,1271.4460000000001,14477.0,14477.0,,,,,,
2008-01-01,,,,353431.35000000003,3886965.0,3886965.0,-62.0,0.0,0.0,792.65,8717.0,8717.0,,,,,,
2008-02-01,,,,245411.669,2807797.0,2807797.0,3.0,336.0,336.0,797.331,9122.0,9122.0,,,,,,
2008-03-01,,,,233940.235,2595530.0,2595530.0,-55.0,41.0,41.0,986.7650000000001,10948.0,10948.0,,,,,,
2008-04-01,,,,299179.021,3295846.0,3295846.0,-49.0,0.0,0.0,516.979,5695.0,5695.0,,,,,,
2008-05-01,,,,188722.759,2126436.0,2126436.0,-42.0,0.0,0.0,1204.241,13569.0,13569.0,,,,,,
2008-06-01,,,,272262.308,3067030.0,3067030.0,88.0,5881.0,5881.0,828.692,9335.0,9335.0,,,,,,
2008-07-01,,,,294390.585,3346308.0,3346308.0,-99.0,0.0,0.0,777.4150000000001,8837.0,8837.0,,,,,,
2008-08-01,,,,250714.576,2878273.0,2878273.0,75.0,2784.0,2784.0,642.424,7375.0,7375.0,,,,,,
2008-09-01,,,,180639.636,2092482.0,2092482.0,-40.0,0.0,0.0,923.364,10696.0,10696.0,,,,,,
2008-10-01,,,,131377.144,1568102.0,1568102.0,-38.0,507.0,507.0,1432.856,17102.0,17102.0,,,,,,
2008-11-01,,,,230010.658,2531980.0,2531980.0,-51.0,0.0,0.0,720.342,7930.0,7930.0,,,,,,
2008-12-01,,,,193860.354,2151919.0,2151919.0,-46.0,336.0,336.0,1477.646,16402.0,16402.0,,,,,,
2009-01-01,,,,184192.383,2069192.0,2069192.0,99.0,3859.0,3859.0,1207.617,13566.0,13566.0,,,,,,
2009-02-01,,,,160880.791,1849336.0,1849336.0,-62.0,0.0,0.0,1239.209,14245.0,14245.0,,,,,,
2009-03-01,,,,290639.006,3192022.0,3192022.0,46.0,4537.0,4537.0,854.994,9390.0,9390.0,,,,,,
2009-04-01,,,,175691.544,1946135.0,1946135.0,-44.0,0.0,0.0,1163.4560000000001,12888.0,12888.0,,,,,,
2009-05-01,,,,178133.786,1959656.0,1959656.0,-39.0,64.0,64.0,1011.214,11124.0,11124.0,,,,,,
2009-06-01,,,,229634.662,2614567.0,2614567.0,-36.0,330.0,330.0,776.3380000000001,8839.0,8839.0,,,,,,
2009-07-01,,,,246157.831,2835522.0,2835522.0,-36.0,496.0,496.0,1028.169,11844.0,11844.0,,,,,,
2009-08-01,,,,269009.37,3068358.0,3068358.0,22.0,1499.0,1499.0,1144.63,13056.0,13056.0,,,,,,
2009-09-01,,,,207224.142,2306871.0,2306871.0,-41.0,0.0,0.0,1248.858,13903.0,13903.0,,,,,,
2009-10-01,,,,174255.71,1911876.0,1911876.0,-41.0,661.0,661.0,1962.29,21530.0,21530.0,,,,,,
2009-11-01,,,,74586.087,907530.0,907530.0,-43.0,0.0,0.0,706.913,8601.0,8601.0,,,,,,
2009-12-01,,,,216632.907,2433177.0,2433177.0,-55.0,0.0,0.0,1137.093,12772.0,12772.0,,,,,,
2010-01-01,,,,270640.63,3058601.0,3058601.0,59.0,3534.0,3534.0,1587.3700000000001,17939.0,17939.0,,,,,,
2010-02-01,,,,287639.363,3181046.0,3181046.0,-68.0,0.0,0.0,635.6370000000001,7030.0,7030.0,,,,,,
2010-03-01,,,,236051.502,2591850.0,2591850.0,-46.0,549.0,549.0,804.498,8833.0,8833.0,,,,,,
2010-04-01,,,,290414.498,3165422.0,3165422.0,-38.0,0.0,0.0,836.5020000000001,9118.0,9118.0,,,,,,
2010-05-01,,,,193784.833,2192452.0,2192452.0,36.0,1617.0,1617.0,1243.1670000000001,14065.0,14065.0,,,,,,
2010-06-01,,,,249775.08000000002,2805662.0,2805662.0,144.0,7558.0,7558.0,802.9200000000001,9019.0,9019.0,,,,,,
2010-07-01,,,,285779.874,3230637.0,3230637.0,-55.0,183.0,183.0,751.1260000000001,8491.0,8491.0,,,,,,
2010-08-01,,,,282287.01,3222273.0,3222273.0,-54.0,0.0,0.0,1001.99,11438.0,11438.0,,,,,,
2010-09-01,,,,135323.241,1590158.0,1590158.0,-4.0,1227.0,1227.0,710.759,8352.0,8352.0,,,,,,
2010-10-01,,,,47046.46,599372.0,599372.0,-42.0,52.0,52.0,228.54,2912.0,2912.0,,,,,,
2010-11-01,,,,58386.989,731238.0,731238.0,-40.0,0.0,0.0,1362.011,17058.0,17058.0,,,,,,
2010-12-01,,,,244915.222,2670312.0,2670312.0,1079.0,22179.0,22179.0,1069.778,11664.0,11664.0,,,,,,
2011-01-01,,,,287291.66,3149858.0,3149858.0,-61.0,342.0,342.0,863.337,9466.0,9466.0,,,,,,
2011-02-01,,,,162764.93,1867710.0,1867710.0,-53.0,0.0,0.0,748.068,8584.0,8584.0,,,,,,
2011-03-01,,,,119936.51,1372644.0,1372644.0,-50.0,238.0,238.0,634.492,7262.0,7262.0,,,,,,
2011-04-01,,,,127872.56,1475477.0,1475477.0,-40.0,0.0,0.0,839.439,9686.0,9686.0,,,,,,
2011-05-01,,,,99067.075,1133738.0,1133738.0,25.0,2204.0,2204.0,1482.925,16971.0,16971.0,,,,,,
2011-06-01,,,,254680.29,2928825.0,2928825.0,23.0,2146.0,2146.0,604.713,6954.0,6954.0,,,,,,
2011-07-01,,,,217390.84,2552480.0,2552480.0,-49.0,0.0,0.0,1176.16,13810.0,13810.0,,,,,,
2011-08-01,,,,169928.95,2079622.0,2079622.0,-46.0,0.0,0.0,1344.055,16449.0,16449.0,,,,,,
2011-09-01,,,,131057.13,1568199.0,1568199.0,-43.0,650.0,650.0,1367.869,16368.0,16368.0,,,,,,
2011-10-01,,,,1415.661,39482.0,39482.0,-7.0,0.0,0.0,160.339,4472.0,4472.0,,,,,,
2011-11-01,,,,30036.176,339460.0,339460.0,-9.0,1073.0,1073.0,1509.824,17064.0,17064.0,,,,,,
2011-12-01,,,,60732.944,762312.0,762312.0,-43.0,0.0,0.0,962.056,12076.0,12076.0,,,,,,
2012-01-01,,,,122736.48,1452598.0,1452598.0,-45.0,0.0,0.0,1380.521,16339.0,16339.0,,,,,,
2012-02-01,,,,82486.763,955865.0,955865.0,-12.0,858.0,858.0,1693.237,19621.0,19621.0,,,,,,
2012-03-01,,,,142951.25,1627138.0,1627138.0,-40.0,0.0,0.0,706.753,8045.0,8045.0,,,,,,
2012-04-01,,,,138319.86,1601594.0,1601594.0,-36.0,0.0,0.0,630.145,7296.0,7296.0,,,,,,
2012-05-01,,,,137824.39,1616835.0,1616835.0,-29.0,777.0,777.0,1317.606,15457.0,15457.0,,,,,,
2012-06-01,,,,140447.48,1677400.0,1677400.0,-34.0,0.0,0.0,928.524,11090.0,11090.0,,,,,,
2012-07-01,,,,212601.13,2434878.0,2434878.0,-50.0,0.0,0.0,698.868,8004.0,8004.0,,,,,,
2012-08-01,,,,131712.85,1659067.0,1659067.0,96.0,3347.0,3347.0,429.149,5406.0,5406.0,,,,,,
2012-09-01,,,,47580.508,603325.0,603325.0,-41.0,0.0,0.0,499.492,6334.0,6334.0,,,,,,
2012-10-01,,,,18885.158,238080.0,238080.0,-44.0,232.0,232.0,1038.842,13096.0,13096.0,,,,,,
2012-11-01,,,,90197.585,1052066.0,1052066.0,-46.0,0.0,0.0,921.415,10747.0,10747.0,,,,,,
2012-12-01,,,,5454.94,77633.0,77633.0,-49.0,93.0,93.0,414.06,5893.0,5893.0,,,,,,
2013-01-01,,,,79927.793,948668.0,948668.0,-51.0,0.0,0.0,1004.207,11919.0,11919.0,,,,,,
2013-02-01,,,,94780.845,1146335.0,1146335.0,-46.0,0.0,0.0,1251.155,15132.0,15132.0,,,,,,
2013-03-01,,,,190107.08,2263471.0,2263471.0,-23.0,1926.0,1926.0,1195.922,14239.0,14239.0,,,,,,
2013-04-01,,,,134491.41,1602426.0,1602426.0,-38.0,0.0,0.0,1028.594,12255.0,12255.0,,,,,,
2013-05-01,,,,93269.858,1146278.0,1146278.0,-40.0,0.0,0.0,1351.142,16605.0,16605.0,,,,,,
2013-06-01,,,,157172.53,1876491.0,1876491.0,-42.0,70.0,70.0,702.468,8387.0,8387.0,,,,,,
2013-07-01,,,,205112.7,2470017.0,2470017.0,0.0,0.0,0.0,582.3,7012.0,7012.0,,,,0.0,0.0,0.0
2013-08-01,,,,186714.11,2214080.0,2214080.0,0.0,0.0,0.0,476.888,5655.0,5655.0,,,,,,
2013-09-01,,,,141580.19,1690380.0,1690380.0,0.0,0.0,0.0,416.806,4976.0,4976.0,,,,,,
2013-10-01,,,,99502.859,1175865.0,1175865.0,-40.0,0.0,0.0,686.141,8108.0,8108.0,,,,,,
2013-11-01,,,,31184.716,337338.0,337338.0,128.0,3538.0,3538.0,582.284,6299.0,6299.0,,,,,,
2013-12-01,,,,-165.599,0.0,0.0,-46.0,0.0,0.0,-1.401,0.0,0.0,,,,,,
2015-01-01,0.0,0.0,0.0,,,,82.701,6224.0,6224.0,,,,0.0,0.0,0.0,,,
2015-02-01,0.0,0.0,0.0,,,,190.422,14330.0,14330.0,,,,0.0,0.0,0.0,,,
2015-03-01,0.0,0.0,0.0,,,,20.034,1505.0,1505.0,,,,0.0,0.0,0.0,,,
2015-04-01,0.0,0.0,0.0,,,,7.977,602.0,602.0,,,,0.0,0.0,0.0,,,
2015-05-01,0.0,0.0,0.0,,,,26.688,2009.0,2009.0,,,,0.0,0.0,0.0,,,
2015-06-01,0.0,0.0,0.0,,,,20.536,1546.0,1546.0,,,,0.0,0.0,0.0,,,
2015-07-01,0.0,0.0,0.0,,,,14.519,1094.0,1094.0,,,,0.0,0.0,0.0,,,
2015-08-01,0.0,0.0,0.0,,,,13.333,1002.0,1002.0,,,,0.0,0.0,0.0,,,
2015-09-01,0.0,0.0,0.0,,,,12.972,979.0,979.0,,,,0.0,0.0,0.0,,,
2015-10-01,0.0,0.0,0.0,,,,10.171,764.0,764.0,,,,0.0,0.0,0.0,,,
2015-11-01,0.0,0.0,0.0,,,,28.155,2119.0,2119.0,,,,0.0,0.0,0.0,,,
2015-12-01,0.0,0.0,0.0,,,,17.492,1314.0,1314.0,,,,0.0,0.0,0.0,,,
2016-01-01,0.0,0.0,0.0,,,,-112.855,405.0,405.0,,,,0.0,0.0,0.0,,,
2016-02-01,0.0,0.0,0.0,,,,-77.426,284.0,284.0,,,,0.0,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,,,,-24.654,93.0,93.0,,,,0.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,,,,-24.933,93.0,93.0,,,,0.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,,,,-41.568,151.0,151.0,,,,0.0,0.0,0.0,,,
2016-06-01,0.0,0.0,0.0,,,,-38.21,139.0,139.0,,,,0.0,0.0,0.0,,,
2016-07-01,0.0,0.0,0.0,,,,-31.153,116.0,116.0,,,,0.0,0.0,0.0,,,
2016-08-01,0.0,0.0,0.0,,,,-29.973,110.0,110.0,,,,0.0,0.0,0.0,,,
2016-09-01,0.0,0.0,0.0,,,,-26.275,98.0,98.0,,,,0.0,0.0,0.0,,,
2016-10-01,0.0,0.0,0.0,,,,-28.373,104.0,104.0,,,,0.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,,,,-27.606,98.0,98.0,,,,0.0,0.0,0.0,,,
2016-12-01,0.0,0.0,0.0,,,,-57.974,208.0,208.0,,,,0.0,0.0,0.0,,,
2017-01-01,0.0,0.0,0.0,,,,-54.495,145.0,145.0,,,,0.0,0.0,0.0,,,
2017-02-01,0.0,0.0,0.0,,,,-27.629,75.0,75.0,,,,0.0,0.0,0.0,,,
2017-03-01,0.0,0.0,0.0,,,,-36.248,93.0,93.0,,,,0.0,0.0,0.0,,,
2017-04-01,0.0,0.0,0.0,,,,-36.477,98.0,98.0,,,,0.0,0.0,0.0,,,
2017-05-01,0.0,0.0,0.0,,,,-40.685,104.0,104.0,,,,0.0,0.0,0.0,,,
2017-06-01,0.0,0.0,0.0,,,,-26.46,69.0,69.0,,,,0.0,0.0,0.0,,,
2017-07-01,0.0,0.0,0.0,,,,-23.006,58.0,58.0,,,,0.0,0.0,0.0,,,
