measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,84300.182,868346.0,868346.0,,,,197.782,2037.0,2037.0,278.104,2865.0,2865.0
2004-02-01,72641.594,748255.0,748255.0,,,,161.28300000000002,1661.0,1661.0,263.293,2712.0,2712.0
2004-03-01,52601.163,541826.0,541826.0,,,,167.323,1724.0,1724.0,248.43400000000003,2559.0,2559.0
2004-04-01,48794.331,502613.0,502613.0,,,,159.45,1642.0,1642.0,207.328,2136.0,2136.0
2004-05-01,67421.13,694481.0,694481.0,,,,155.93800000000002,1606.0,1606.0,238.597,2458.0,2458.0
2004-06-01,70251.291,723634.0,723634.0,,,,229.032,2359.0,2359.0,248.889,2564.0,2564.0
2004-07-01,73960.284,761839.0,761839.0,,,,89.88900000000001,926.0,926.0,283.04,2916.0,2916.0
2004-08-01,66816.405,688252.0,688252.0,,,,223.98600000000002,2307.0,2307.0,273.702,2820.0,2820.0
2004-09-01,66904.718,689162.0,689162.0,,,,139.347,1435.0,1435.0,264.115,2721.0,2721.0
2004-10-01,43176.327,444744.0,444744.0,,,,179.562,1850.0,1850.0,267.503,2756.0,2756.0
2004-11-01,57238.002,589588.0,589588.0,,,,192.86100000000002,1987.0,1987.0,272.958,2812.0,2812.0
2004-12-01,64559.573000000004,665005.0,665005.0,,,,215.549,2220.0,2220.0,306.035,3153.0,3153.0
2005-01-01,58280.0,649298.21,649298.21,0.0,0.0,0.0,479.0,5341.75,5341.75,9772.0,108873.44,108873.44
2005-02-01,44117.0,472861.07,472861.07,0.0,0.0,0.0,254.0,2725.5,2725.5,14358.0,153892.27,153892.27
2005-03-01,40574.0,436118.0,436118.0,0.0,0.0,0.0,103.0,1109.75,1109.75,20362.0,218858.82,218858.82
2005-04-01,31755.0,333938.0,333938.0,0.0,0.0,0.0,86.0,902.75,902.75,49067.0,515992.5,515992.5
2005-05-01,16713.0,178912.8,178912.8,0.0,0.0,0.0,304.0,3254.5,3254.5,32970.0,352953.66,352953.66
2005-06-01,38885.0,412230.0,412230.0,0.0,0.0,0.0,0.0,0.0,0.0,40327.0,479338.7,479338.7
2005-07-01,34387.0,363193.6,363193.6,5.0,379.5,379.5,101.0,1063.75,1063.75,43713.0,461695.52,461695.52
2005-08-01,36810.0,402566.24,402566.24,5.0,51.75,51.75,34.0,368.0,368.0,40333.0,441095.28,441095.28
2005-09-01,30651.0,329744.0,329744.0,0.0,0.0,0.0,115.0,1236.25,1236.25,33143.0,356545.23,356545.23
2005-10-01,25316.0,286493.9,286493.9,5.0,46.0,46.0,532.0,6020.25,6020.25,10077.0,114044.16,114044.16
2005-11-01,11371.0,119559.29,119559.29,0.0,0.0,0.0,367.0,3864.0,3864.0,26984.0,283723.75,283723.75
2005-12-01,47628.0,543953.76,543953.76,0.0,0.0,0.0,51.0,580.75,580.75,15484.0,176842.05,176842.05
2006-01-01,26087.0,298504.0,298504.0,0.0,0.0,0.0,443.0,5066.0,5066.0,8509.0,97363.0,97363.0
2006-02-01,46740.0,523704.0,523704.0,0.0,52.0,52.0,41.0,454.0,454.0,30437.0,341035.0,341035.0
2006-03-01,34928.0,377413.0,377413.0,0.0,46.0,46.0,221.0,2392.0,2392.0,39429.0,426053.0,426053.0
2006-04-01,17221.0,188477.0,188477.0,0.0,0.0,0.0,190.0,2076.0,2076.0,34613.0,378831.0,378831.0
2006-05-01,3443.0,38670.0,38670.0,0.0,0.0,0.0,427.0,4796.0,4796.0,38938.0,437314.0,437314.0
2006-06-01,15514.0,176607.0,176607.0,5.0,46.0,46.0,249.0,2829.0,2829.0,50251.0,572029.0,572029.0
2006-07-01,19448.0,201527.0,201527.0,5.0,46.0,46.0,140.0,1449.0,1449.0,62671.0,649422.0,649422.0
2006-08-01,21652.0,247805.0,247805.0,5.0,46.0,46.0,19.0,219.0,219.0,69768.0,798508.0,798508.0
2006-09-01,9474.0,109191.0,109191.0,0.0,0.0,0.0,413.0,4755.0,4755.0,30528.0,351848.0,351848.0
2006-10-01,13345.0,158944.0,158944.0,5.0,52.0,52.0,403.0,4796.0,4796.0,43003.0,512187.0,512187.0
2006-11-01,9533.0,115049.0,115049.0,0.0,0.0,0.0,330.0,3979.0,3979.0,45830.0,553077.0,553077.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,230.0,1415.0,1415.0,56281.0,637130.0,637130.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,403.33,4853.0,4853.0,50776.67,610961.0,610961.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87493.0,972213.0,972213.0
2007-03-01,0.0,0.0,0.0,5.0,46.0,46.0,49.6,558.0,558.0,80668.4,907109.0,907109.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,183.32,1990.0,1990.0,49972.68,542335.0,542335.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,308.75300000000004,3623.0,3623.0,42901.247,503347.0,503347.0
2007-06-01,0.0,0.0,0.0,5.0,46.0,46.0,116.43700000000001,1328.0,1328.0,61991.563,707165.0,707165.0
2007-07-01,0.0,0.0,0.0,5.0,46.0,46.0,313.43100000000004,3617.0,3617.0,69524.569,802259.0,802259.0
2007-08-01,0.0,0.0,0.0,10.0,242.0,242.0,15.425,173.0,173.0,87953.575,983624.0,983624.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,270.058,3094.0,3094.0,59383.942,680239.0,680239.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,83.146,949.0,949.0,86274.854,984452.0,984452.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,136.616,1576.0,1576.0,79050.384,911634.0,911634.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,182.104,1961.0,1961.0,80529.896,867081.0,867081.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,163.173,1893.0,1893.0,85727.827,994578.0,994578.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,17.576,196.0,196.0,92185.424,1026082.0,1026082.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,3.444,40.0,40.0,85321.556,997767.0,997767.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,67.70700000000001,800.0,800.0,40014.293,472682.0,472682.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,514.788,6134.0,6134.0,41435.212,493706.0,493706.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,155.594,1859.0,1859.0,80591.406,962651.0,962651.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,102.82000000000001,1231.0,1231.0,86959.18000000001,1041411.0,1041411.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,42.62,495.0,495.0,92980.38,1079568.0,1079568.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,210.798,2491.0,2491.0,78299.202,925442.0,925442.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92848.0,1076217.0,1076217.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,35.506,409.0,409.0,89745.494,1032624.0,1032624.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,115.751,1323.0,1323.0,90387.249,1033430.0,1033430.0
2009-01-01,,,,0.0,0.0,0.0,10.082,115.0,115.0,83996.918,958801.0,958801.0
2009-02-01,,,,0.0,0.0,0.0,319.589,3608.0,3608.0,45880.411,517932.0,517932.0
2009-03-01,,,,0.0,0.0,0.0,62.747,725.0,725.0,28118.253,324891.0,324891.0
2009-04-01,,,,0.0,0.0,0.0,472.95300000000003,5432.0,5432.0,45563.047,523283.0,523283.0
2009-05-01,,,,0.0,0.0,0.0,454.53900000000004,5535.0,5535.0,23730.461,288988.0,288988.0
2009-06-01,,,,0.0,0.0,0.0,260.89,3017.0,3017.0,40204.11,464898.0,464898.0
2009-07-01,,,,0.0,0.0,0.0,330.666,3763.0,3763.0,23452.334,266897.0,266897.0
2009-08-01,,,,0.0,0.0,0.0,139.121,1582.0,1582.0,52783.879,600360.0,600360.0
2009-09-01,,,,0.0,0.0,0.0,295.74600000000004,3263.0,3263.0,28417.254,313484.0,313484.0
2009-10-01,,,,0.0,0.0,0.0,187.02100000000002,2215.0,2215.0,65788.979,779278.0,779278.0
2009-11-01,,,,0.0,0.0,0.0,567.759,6577.0,6577.0,38663.241,447868.0,447868.0
2009-12-01,,,,0.0,0.0,0.0,212.59400000000002,2405.0,2405.0,61324.406,693789.0,693789.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,222.03,2457.0,2457.0,74812.97,827872.0,827872.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4.189,46.0,46.0,73140.811,803704.0,803704.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,260.689,2935.0,2935.0,15878.311000000002,178740.0,178740.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,176.37900000000002,1956.0,1956.0,8575.621000000001,95119.0,95119.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,548.433,6761.0,6761.0,21194.567,261281.0,261281.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,137.757,1605.0,1605.0,55485.243,646605.0,646605.0
2010-07-01,15229.422,170346.0,170346.0,0.0,0.0,0.0,177.991,1991.0,1991.0,55244.587,617929.0,617929.0
2010-08-01,26684.766,288378.0,288378.0,0.0,0.0,0.0,123.52600000000001,1335.0,1335.0,56173.708,607060.0,607060.0
2010-09-01,18420.943,205671.0,205671.0,0.0,0.0,0.0,403.009,4500.0,4500.0,22582.048,252130.0,252130.0
2010-10-01,3318.819,36077.0,36077.0,0.0,0.0,0.0,250.37300000000002,2722.0,2722.0,6625.808,72025.0,72025.0
2010-11-01,9592.934000000001,104326.0,104326.0,0.0,0.0,0.0,319.04200000000003,3470.0,3470.0,11832.024,128676.0,128676.0
2010-12-01,39350.801,432797.0,432797.0,0.0,0.0,0.0,291.927,3211.0,3211.0,40972.272,450630.0,450630.0
2011-01-01,26391.691,287845.0,287845.0,0.0,0.0,0.0,259.518,2830.0,2830.0,64699.791,705658.0,705658.0
2011-02-01,32685.088,382496.0,382496.0,0.0,0.0,0.0,5.896,69.0,69.0,53275.016,623449.0,623449.0
2011-03-01,21649.09,241058.0,241058.0,0.0,0.0,0.0,455.265,5069.0,5069.0,58175.645,647773.0,647773.0
2011-04-01,18756.548,224901.0,224901.0,0.0,0.0,0.0,129.567,1554.0,1554.0,41630.885,499177.0,499177.0
2011-05-01,14540.415,166229.0,166229.0,0.0,0.0,0.0,216.928,2480.0,2480.0,50882.657,581702.0,581702.0
2011-06-01,16482.212,199932.0,199932.0,0.0,0.0,0.0,227.215,2756.0,2756.0,43549.573,528265.0,528265.0
2011-07-01,30818.237,392903.0,392903.0,0.0,0.0,0.0,44.23,564.0,564.0,60655.533,773301.0,773301.0
2011-08-01,23791.311,291076.0,291076.0,0.0,0.0,0.0,76.66,938.0,938.0,59631.029,729559.0,729559.0
2011-09-01,8791.469,115931.0,115931.0,0.0,0.0,0.0,333.804,4402.0,4402.0,15849.727,209007.0,209007.0
2011-10-01,21192.11,168539.0,168539.0,0.0,0.0,0.0,348.732,2773.0,2773.0,21193.158,168547.0,168547.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,52.459,662.0,662.0,47178.541,595103.0,595103.0
2011-12-01,154.474,1302.0,1302.0,0.0,0.0,0.0,487.282,4108.0,4108.0,32462.244,273695.0,273695.0
