measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2006-02-01,,,,,,,,,,660.413,11663.0,11663.0
2006-03-01,,,,,,,,,,554.753,9797.0,9797.0
2006-04-01,,,,,,,,,,1062.654,18766.0,18766.0
2006-05-01,,,,,,,,,,993.3140000000001,17542.0,17542.0
2006-06-01,,,,,,,,,,902.8530000000001,15944.0,15944.0
2006-07-01,,,,,,,,,,1307.805,23096.0,23096.0
2006-08-01,,,,,,,,,,1268.563,22403.0,22403.0
2006-09-01,,,,,,,,,,582.798,10292.0,10292.0
2006-10-01,,,,,,,,,,615.623,10872.0,10872.0
2006-11-01,,,,,,,,,,724.915,12802.0,12802.0
2006-12-01,,,,,,,,,,803.216,14185.0,14185.0
2007-01-01,,,,,,,361.874,6010.0,6010.0,,,
2007-02-01,,,,,,,2871.157,47679.0,47679.0,,,
2007-03-01,0.0,0.0,0.0,,,,703.731,11686.0,11686.0,,,
2007-04-01,0.0,0.0,0.0,,,,206.825,3436.0,3436.0,,,
2007-05-01,0.0,0.0,0.0,,,,46.301,771.0,771.0,,,
2007-06-01,0.0,0.0,0.0,,,,297.753,4944.0,4944.0,,,
2007-07-01,0.0,0.0,0.0,,,,483.05600000000004,8023.0,8023.0,,,
2007-08-01,0.0,0.0,0.0,,,,690.681,11470.0,11470.0,,,
2007-09-01,0.0,0.0,0.0,,,,260.896,4332.0,4332.0,,,
2007-10-01,0.0,0.0,0.0,,,,168.01600000000002,2790.0,2790.0,,,
2007-11-01,0.0,0.0,0.0,,,,139.404,2313.0,2313.0,,,
2007-12-01,0.0,0.0,0.0,,,,126.30600000000001,2098.0,2098.0,,,
2008-01-01,,,,0.0,0.0,0.0,,,,643.2760000000001,10750.0,10750.0
2008-02-01,,,,0.0,0.0,0.0,,,,405.065,6770.0,6770.0
2008-03-01,,,,0.0,0.0,0.0,,,,322.684,5392.0,5392.0
2008-04-01,,,,0.0,0.0,0.0,,,,161.785,2705.0,2705.0
2008-05-01,,,,0.0,0.0,0.0,,,,241.93300000000002,4043.0,4043.0
2008-06-01,,,,0.0,0.0,0.0,,,,345.55100000000004,5778.0,5778.0
2008-07-01,,,,0.0,0.0,0.0,,,,42.649,714.0,714.0
2008-08-01,,,,0.0,0.0,0.0,,,,48.08,805.0,805.0
2008-09-01,,,,0.0,0.0,0.0,,,,106.345,1775.0,1775.0
2008-10-01,,,,0.0,0.0,0.0,,,,97.11,1622.0,1622.0
2008-11-01,,,,0.0,0.0,0.0,,,,120.06700000000001,2007.0,2007.0
2008-12-01,,,,0.0,0.0,0.0,,,,297.45500000000004,4973.0,4973.0
2009-01-01,,,,0.0,0.0,0.0,,,,134.077,1588.0,1588.0
2009-02-01,,,,0.0,0.0,0.0,,,,51.846000000000004,618.0,618.0
2009-03-01,,,,0.0,0.0,0.0,,,,39.815,471.0,471.0
2009-04-01,,,,0.0,0.0,0.0,,,,13.4,159.0,159.0
2009-05-01,,,,0.0,0.0,0.0,,,,32.715,386.0,386.0
2009-06-01,,,,0.0,0.0,0.0,,,,2.837,34.0,34.0
2009-07-01,,,,0.0,0.0,0.0,,,,2.702,34.0,34.0
2009-08-01,,,,0.0,0.0,0.0,,,,16.12,193.0,193.0
2009-09-01,,,,0.0,0.0,0.0,,,,3.735,45.0,45.0
2009-10-01,,,,0.0,0.0,0.0,,,,1.558,17.0,17.0
2009-11-01,,,,0.0,0.0,0.0,,,,2.169,28.0,28.0
2009-12-01,,,,0.0,0.0,0.0,,,,3.806,45.0,45.0
2010-01-01,,,,0.0,0.0,0.0,,,,260.03700000000003,3780.0,3780.0
2010-02-01,,,,0.0,0.0,0.0,,,,393.541,5724.0,5724.0
2010-03-01,,,,0.0,0.0,0.0,,,,44.755,652.0,652.0
2010-04-01,,,,0.0,0.0,0.0,,,,9.603,137.0,137.0
2010-05-01,,,,0.0,0.0,0.0,,,,43.117000000000004,629.0,629.0
2010-06-01,,,,0.0,0.0,0.0,,,,100.641,1464.0,1464.0
2010-07-01,,,,0.0,0.0,0.0,,,,306.904,4466.0,4466.0
2010-08-01,,,,0.0,0.0,0.0,,,,132.431,1927.0,1927.0
2010-09-01,,,,0.0,0.0,0.0,,,,22.649,332.0,332.0
2010-10-01,,,,0.0,0.0,0.0,,,,155.722,2264.0,2264.0
2010-11-01,,,,0.0,0.0,0.0,,,,710.683,10338.0,10338.0
2010-12-01,,,,0.0,0.0,0.0,,,,328.91700000000003,4786.0,4786.0
2011-01-01,,,,0.0,0.0,0.0,,,,541.947,11658.0,11658.0
2011-02-01,,,,0.0,0.0,0.0,,,,39.632,851.0,851.0
2011-03-01,,,,0.0,0.0,0.0,,,,18.575,397.0,397.0
2011-04-01,,,,0.0,0.0,0.0,,,,34.783,748.0,748.0
2011-05-01,,,,0.0,0.0,0.0,,,,88.766,1911.0,1911.0
2011-06-01,,,,0.0,0.0,0.0,,,,163.654,3521.0,3521.0
2011-07-01,,,,0.0,0.0,0.0,,,,320.558,6895.0,6895.0
2011-08-01,,,,0.0,0.0,0.0,,,,297.775,6407.0,6407.0
2011-09-01,,,,0.0,0.0,0.0,,,,64.985,1400.0,1400.0
2011-10-01,,,,0.0,0.0,0.0,,,,11.698,249.0,249.0
2011-11-01,,,,0.0,0.0,0.0,,,,37.955,816.0,816.0
2011-12-01,,,,0.0,0.0,0.0,,,,21.672,465.0,465.0
2012-01-01,,,,0.0,0.0,0.0,,,,5.943,130.0,130.0
2012-02-01,,,,0.0,0.0,0.0,,,,9.294,204.0,204.0
2012-03-01,,,,0.0,0.0,0.0,,,,12.914,289.0,289.0
2012-04-01,,,,0.0,0.0,0.0,,,,2.555,57.0,57.0
2012-05-01,,,,0.0,0.0,0.0,,,,10.116,227.0,227.0
2012-06-01,,,,0.0,0.0,0.0,,,,14.596,323.0,323.0
2012-07-01,,,,0.0,0.0,0.0,,,,59.31,1315.0,1315.0
2012-08-01,,,,0.0,0.0,0.0,,,,99.487,2206.0,2206.0
2012-09-01,,,,0.0,0.0,0.0,,,,28.727,635.0,635.0
2012-10-01,,,,0.0,0.0,0.0,,,,26.983,601.0,601.0
2012-11-01,,,,0.0,0.0,0.0,,,,9.845,221.0,221.0
2012-12-01,,,,0.0,0.0,0.0,,,,6.23,136.0,136.0
2013-01-01,,,,0.0,0.0,0.0,,,,316.84,4791.0,4791.0
2013-02-01,,,,0.0,0.0,0.0,,,,51.529,777.0,777.0
2013-03-01,,,,0.0,0.0,0.0,,,,17.094,255.0,255.0
2013-04-01,,,,0.0,0.0,0.0,,,,9.478,142.0,142.0
2013-05-01,,,,0.0,0.0,0.0,,,,6.557,96.0,96.0
2013-06-01,,,,0.0,0.0,0.0,,,,10.898,164.0,164.0
2013-07-01,,,,0.0,0.0,0.0,,,,98.45,1486.0,1486.0
2013-08-01,,,,0.0,0.0,0.0,,,,21.043,318.0,318.0
2013-09-01,,,,0.0,0.0,0.0,,,,24.231,363.0,363.0
2013-10-01,,,,0.0,0.0,0.0,,,,7.424,113.0,113.0
2013-11-01,,,,0.0,0.0,0.0,,,,9.549,142.0,142.0
2013-12-01,,,,0.0,0.0,0.0,,,,25.907,391.0,391.0
2014-01-01,,,,0.0,0.0,0.0,,,,1877.958,26337.0,26337.0
2014-02-01,,,,0.0,0.0,0.0,,,,84.485,1185.0,1185.0
2014-03-01,,,,0.0,0.0,0.0,,,,240.852,3379.0,3379.0
2014-04-01,,,,0.0,0.0,0.0,,,,4.806,68.0,68.0
2014-05-01,,,,0.0,0.0,0.0,,,,5.795,79.0,79.0
2014-06-01,,,,0.0,0.0,0.0,,,,6.771,96.0,96.0
2014-07-01,,,,0.0,0.0,0.0,,,,7.814,108.0,108.0
2014-08-01,,,,0.0,0.0,0.0,,,,58.934,828.0,828.0
2014-09-01,,,,0.0,0.0,0.0,,,,6.848,96.0,96.0
2014-10-01,,,,0.0,0.0,0.0,,,,4.299,62.0,62.0
2014-11-01,,,,0.0,0.0,0.0,,,,10.263,142.0,142.0
2014-12-01,,,,0.0,0.0,0.0,,,,54.175,760.0,760.0
2015-01-01,,,,0.0,0.0,0.0,,,,16.102,284.0,284.0
2015-02-01,,,,0.0,0.0,0.0,,,,64.452,1128.0,1128.0
2015-03-01,,,,0.0,0.0,0.0,,,,2.671,45.0,45.0
2015-04-01,,,,0.0,0.0,0.0,,,,0.695,11.0,11.0
2015-05-01,,,,0.0,0.0,0.0,,,,1.08,17.0,17.0
