measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-11-01,,,,8271.897,123623.0,123623.0,35.958,580.0,580.0,,,,,,,,,
2006-12-01,,,,8955.018,133832.0,133832.0,36.502,589.0,589.0,,,,,,,,,
2007-01-01,,,,7185.966,118413.0,118413.0,49.034,808.0,808.0,,,,,,,,,
2007-02-01,,,,12538.195,173623.0,173623.0,60.805,842.0,842.0,,,,,,,,,
2007-03-01,,,,8333.944,119140.0,119140.0,48.056000000000004,687.0,687.0,,,,,,,,,
2007-04-01,,,,6210.813,103757.0,103757.0,31.187,521.0,521.0,,,,,,,,,
2007-05-01,,,,-26.925,94.0,94.0,-87.075,304.0,304.0,,,,,,,,,
2007-06-01,,,,11910.225,178490.0,178490.0,45.775,686.0,686.0,,,,,,,,,
2007-07-01,,,,14626.735,221890.0,221890.0,41.265,626.0,626.0,,,,,,,,,
2007-08-01,,,,16770.667,243394.0,243394.0,51.333000000000006,745.0,745.0,,,,,,,,,
2007-09-01,,,,4014.969,61394.0,61394.0,19.031000000000002,291.0,291.0,,,,,,,,,
2007-10-01,,,,9889.791000000001,145652.0,145652.0,48.209,710.0,710.0,,,,,,,,,
2007-11-01,,,,10004.054,143600.0,143600.0,52.946000000000005,760.0,760.0,,,,,,,,,
2007-12-01,,,,12013.254,175335.0,175335.0,17.746000000000002,259.0,259.0,,,,,,,,,
2008-01-01,,,,14650.375,229163.0,229163.0,86.625,1355.0,1355.0,,,,,,,,,
2008-02-01,,,,17716.903,262200.0,262200.0,62.097,919.0,919.0,,,,,,,,,
2008-03-01,,,,7882.9490000000005,126188.0,126188.0,24.051000000000002,385.0,385.0,,,,,,,,,
2008-04-01,,,,3591.909,54497.0,54497.0,21.091,320.0,320.0,,,,,,,,,
2008-05-01,,,,2326.739,31506.0,31506.0,36.261,491.0,491.0,,,,,,,,,
2008-06-01,,,,2954.632,40182.0,40182.0,5.368,73.0,73.0,,,,,,,,,
2008-07-01,,,,-45.5,0.0,0.0,-45.5,0.0,0.0,,,,,,,,,
2008-08-01,,,,-50.0,0.0,0.0,-50.0,0.0,0.0,,,,,,,,,
2008-09-01,,,,-49.0,0.0,0.0,-49.0,0.0,0.0,,,,,,,,,
2008-10-01,,,,-49.5,0.0,0.0,-49.5,0.0,0.0,,,,,,,,,
2008-11-01,,,,-54.5,0.0,0.0,-54.5,0.0,0.0,,,,,,,,,
2008-12-01,,,,-76.5,0.0,0.0,-76.5,0.0,0.0,,,,,,,,,
2009-01-01,,,,0.0,0.0,0.0,-180.0,138.0,138.0,,,,0.0,0.0,0.0,,,
2009-02-01,,,,-20.137,433.0,433.0,-73.863,1589.0,1589.0,,,,0.0,0.0,0.0,,,
2009-03-01,,,,-285.215,22253.0,22253.0,-128.785,10048.0,10048.0,,,,0.0,0.0,0.0,,,
2009-04-01,,,,-3.649,91.0,91.0,-82.351,2058.0,2058.0,,,,0.0,0.0,0.0,,,
2009-05-01,,,,-200.80100000000002,16188.0,16188.0,-136.199,10980.0,10980.0,,,,0.0,0.0,0.0,,,
2009-06-01,,,,697.484,10693.0,10693.0,1453.516,22284.0,22284.0,,,,0.0,0.0,0.0,,,
2009-07-01,,,,39.553000000000004,1984.0,1984.0,17.447,875.0,875.0,,,,0.0,0.0,0.0,,,
2009-08-01,,,,-62.0,0.0,0.0,-62.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2009-09-01,,,,62.69,1756.0,1756.0,71.31,1997.0,1997.0,,,,0.0,0.0,0.0,,,
2009-10-01,,,,4211.816,65778.0,65778.0,99.18400000000001,1549.0,1549.0,,,,0.0,0.0,0.0,,,
2009-11-01,,,,3813.1150000000002,57389.0,57389.0,73.885,1112.0,1112.0,,,,0.0,0.0,0.0,,,
2009-12-01,,,,9421.221,138847.0,138847.0,59.779,881.0,881.0,,,,0.0,0.0,0.0,,,
2010-01-01,,,,9807.47,137066.0,137066.0,58.53,818.0,818.0,,,,,,,,,
2010-02-01,,,,9610.178,144563.0,144563.0,132.822,1998.0,1998.0,,,,,,,,,
2010-03-01,,,,3880.545,60549.0,60549.0,96.455,1505.0,1505.0,,,,,,,,,
2010-04-01,,,,-96.443,0.0,0.0,-15.557,0.0,0.0,,,,,,,,,
2010-05-01,,,,1894.0230000000001,30267.0,30267.0,31.977,511.0,511.0,,,,,,,,,
2010-06-01,,,,2712.2940000000003,41779.0,41779.0,144.70600000000002,2229.0,2229.0,,,,,,,,,
2010-07-01,,,,5592.4580000000005,82764.0,82764.0,30.542,452.0,452.0,,,,,,,,,
2010-08-01,,,,5870.418000000001,82368.0,82368.0,284.582,3993.0,3993.0,,,,,,,,,
2010-09-01,,,,-99.02600000000001,0.0,0.0,-15.974,0.0,0.0,,,,,,,,,
2010-10-01,,,,1061.453,16588.0,16588.0,109.54700000000001,1712.0,1712.0,,,,,,,,,
2010-11-01,,,,2535.281,39955.0,39955.0,72.71900000000001,1146.0,1146.0,,,,,,,,,
2010-12-01,,,,4489.54,69926.0,69926.0,31.46,490.0,490.0,,,,,,,,,
2011-01-01,,,,1891.617,35933.0,35933.0,69.383,1318.0,1318.0,,,,,,,,,
2011-02-01,,,,0.0,0.0,0.0,-175.0,470.0,470.0,,,,,,,,,
2011-03-01,,,,437.519,9244.0,9244.0,22.481,475.0,475.0,,,,,,,,,
2011-04-01,,,,-119.459,0.0,0.0,-2.541,0.0,0.0,,,,,,,,,
2011-05-01,,,,-55.195,1193.0,1193.0,-19.805,428.0,428.0,,,,,,,,,
2011-06-01,,,,1615.232,28073.0,28073.0,28.768,500.0,500.0,,,,,,,,,
2011-07-01,,,,7748.373,119594.0,119594.0,539.627,8329.0,8329.0,,,,,,,,,
2011-08-01,,,,3002.376,47143.0,47143.0,680.624,10687.0,10687.0,,,,,,,,,
2011-09-01,,,,-114.563,0.0,0.0,-2.437,0.0,0.0,,,,,,,,,
2011-10-01,,,,109.603,3962.0,3962.0,25.397,918.0,918.0,,,,,,,,,
2011-11-01,,,,-24.357,1627.0,1627.0,-10.643,711.0,711.0,,,,,,,,,
2011-12-01,,,,-55.478,1576.0,1576.0,-15.522,441.0,441.0,,,,,,,,,
2012-01-01,,,,-48.221,1555.0,1555.0,-24.779,799.0,799.0,,,,,,,,,
2012-02-01,,,,207.896,6174.0,6174.0,7.104,211.0,211.0,,,,,,,,,
2012-03-01,,,,0.0,0.0,0.0,-138.0,229.0,229.0,,,,,,,,,
2012-04-01,,,,-114.991,0.0,0.0,-11.009,0.0,0.0,,,,,,,,,
2012-05-01,,,,-60.57,341.0,341.0,-52.43,295.0,295.0,,,,,,,,,
2012-06-01,,,,1144.059,21513.0,21513.0,24.941,469.0,469.0,,,,,,,,,
2012-07-01,,,,7387.73,116951.0,116951.0,2025.27,32061.0,32061.0,,,,,,,,,
2012-08-01,,,,1729.41,27487.0,27487.0,437.59,6955.0,6955.0,,,,,,,,,
2012-09-01,,,,0.0,0.0,0.0,274.0,6943.0,6943.0,,,,,,,,,
2012-10-01,,,,22.535,545.0,545.0,164.465,3976.0,3976.0,,,,,,,,,
2012-11-01,,,,442.932,9457.0,9457.0,67.068,1432.0,1432.0,,,,,,,,,
2012-12-01,,,,77.773,4154.0,4154.0,7.227,386.0,386.0,,,,,,,,,
2013-01-01,0.0,0.0,0.0,1609.769,27903.0,27903.0,18.231,316.0,316.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,899.587,15805.0,15805.0,200.413,3521.0,3521.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,1606.897,24007.0,24007.0,9.103,136.0,136.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,593.027,11694.0,11694.0,54.973,1084.0,1084.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,219.281,4689.0,4689.0,25.719,550.0,550.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,328.474,7263.0,7263.0,21.526,476.0,476.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,2992.052,47349.0,47349.0,331.948,5253.0,5253.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,3324.269,48713.0,48713.0,909.731,13331.0,13331.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,884.983,15054.0,15054.0,70.017,1191.0,1191.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,1009.917,17636.0,17636.0,94.083,1643.0,1643.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,822.191,15721.0,15721.0,21.809,417.0,417.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,5225.982,82698.0,82698.0,144.018,2279.0,2279.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,5201.447,79887.0,79887.0,99.553,1529.0,1529.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,1357.665,23025.0,23025.0,17.335,294.0,294.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-131.0,130.0,130.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-123.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,1998.0,1998.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,102.0,4505.0,4505.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,33.294,511.0,511.0,1977.706,30366.0,30366.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-129.0,112.0,112.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,-117.833,0.0,0.0,-14.167,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,-133.008,0.0,0.0,-15.992,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,263.0,7290.0,7290.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-55.0,2784.0,2784.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,780.298,18385.0,18385.0,24.702,582.0,582.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,276.245,7075.0,7075.0,55.755,1428.0,1428.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,18.012,660.0,660.0,77.988,2859.0,2859.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,153.492,2705.0,2705.0,574.508,10125.0,10125.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2764.0,2764.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,169.0,4663.0,4663.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,-96.39,0.0,0.0,-25.61,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,303.0,6026.0,6026.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,-7.16,1662.0,1662.0,-1.84,427.0,427.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-142.0,154.0,154.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3737.0,3737.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4139.0,4139.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,-6.853,149.0,149.0,-75.147,1635.0,1635.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,-61.103,0.0,0.0,-83.897,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,-55.625,0.0,0.0,-76.375,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,205.136,4068.0,4068.0,279.864,5550.0,5550.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,27.321,456.0,456.0,793.679,13235.0,13235.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,3227.0,47561.0,47561.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,7.309,107.0,107.0,2458.691,36059.0,36059.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,491.0,8429.0,8429.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,195.712,5172.0,5172.0,75.288,1990.0,1990.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,-54.782,0.0,0.0,-75.218,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,-74.167,0.0,0.0,-101.833,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3734.0,3734.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,1197.0,1197.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,296.0,6740.0,6740.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,146.164,3457.0,3457.0,194.836,4608.0,4608.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-137.0,95.0,95.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,511.0,11414.0,11414.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,289.831,5601.0,5601.0,599.169,11579.0,11579.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,253.029,5467.0,5467.0,346.971,7497.0,7497.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,-8.98,0.0,0.0,-121.02,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,3282.0,3282.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,8.732,456.0,456.0,73.268,3823.0,3823.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,135.0,5048.0,5048.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-191.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,2995.0,2995.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,132.416,3966.0,3966.0,103.584,3103.0,3103.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,307.0,307.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1803.0,32412.0,32412.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,149.0,4161.0,4161.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,124.0,4275.0,4275.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,461.0,9599.0,9599.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,-26.665,0.0,0.0,-102.335,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-138.0,104.0,104.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3135.0,3135.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,691.0,11806.0,11806.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3626.0,3626.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,44.0,3894.0,3894.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-170.0,338.0,338.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,-6.375,0.0,0.0,-129.625,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,8.26,241.0,241.0,305.74,8928.0,8928.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-129.0,2.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,21.32,429.0,429.0,651.68,13107.0,13107.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,67.0,3346.0,3346.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,24.283,750.0,750.0,230.717,7130.0,7130.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,192.0,4905.0,4905.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,-6.609,0.0,0.0,-134.391,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,-6.093,0.0,0.0,-123.907,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,3235.0,3235.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,-4.472,0.0,0.0,-147.528,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-141.0,14.0,14.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
