measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-11-01,43917.72,245623.36,465541.0,0.0,0.0,0.0,,,,,,,,,
2005-12-01,49786.94,278448.78,528570.0,0.0,0.0,0.0,,,,,,,,,
2006-01-01,39790.94,222543.07,423535.0,0.0,0.0,0.0,,,,,,,,,
2006-02-01,29716.54,166198.89,313318.0,0.0,0.0,0.0,,,,,,,,,
2006-03-01,28205.38,157747.26,295011.0,0.0,0.0,0.0,,,,,,,,,
2006-04-01,38655.12,216190.65,401458.0,0.0,0.0,0.0,,,,,,,,,
2006-05-01,16188.62,90539.84,174967.0,0.0,0.0,0.0,,,,,,,,,
2006-06-01,7619.5,42614.4,85171.0,0.0,0.0,0.0,,,,,,,,,
2006-07-01,34935.04,195384.96,374977.0,0.0,0.0,0.0,,,,,,,,,
2006-08-01,35004.62,195774.11,362201.2,6.22872,87.8,87.8,,,,,,,11051.62628,155783.6,155783.6
2006-09-01,41202.14,230435.64,430626.03,3.9922299999999997,39.97,39.97,,,,,,,6837.18477,68453.6,68453.6
2006-10-01,32879.0,183885.92,334287.73,7.74323,164.9,200.27,,,,,,,20665.59477,440102.85,534492.4
2006-11-01,25133.08,140564.48,270805.92,10.21762,217.6,277.09,,,,,,,13327.38838,283825.45,361423.2
2006-12-01,39221.56,219358.64,440788.71,13.98552,284.29,284.29,,,,,,,15588.00848,316864.4,316864.4
2007-01-01,34471.5,192792.0,359523.0,10.444,222.0,295.0,,,,,,,15870.997,337988.0,448310.0
2007-02-01,27359.64,153017.0,274955.0,7.042000000000001,150.0,171.0,,,,,,,14013.338,298431.0,340300.0
2007-03-01,20156.64,112732.0,205768.0,3.531,75.0,84.0,,,,,,,7869.969,167608.0,186435.0
2007-04-01,22278.34,124598.0,222425.0,9.239,197.0,226.0,,,,,,,17056.252,363244.0,417200.0
2007-05-01,24251.08,135632.0,242793.0,6.952,141.0,141.0,,,,,,,12669.008,256955.0,256955.0
2007-06-01,584.08,3267.0,7386.0,1.755,37.0,117.0,,,,,,,2668.839,56842.0,177891.0
2007-07-01,28263.2,158071.0,339765.0,11.289,166.0,166.0,,,,,,,9573.465,140778.0,140778.0
2007-08-01,25500.58,142620.0,316483.0,17.673000000000002,266.0,266.0,,,,,,,22515.767,338890.0,338890.0
2007-09-01,24258.92,135675.0,402267.0,13.7,224.0,224.0,,,,,,,20074.816,328230.0,328230.0
2007-10-01,33889.38,189537.0,381435.0,12.523000000000001,235.0,235.0,,,,,,,22291.404,418315.0,418315.0
2007-11-01,26632.48,148950.0,300436.0,8.878,153.0,153.0,,,,,,,15018.856,258825.0,258825.0
2007-12-01,26578.58,148649.0,276136.0,9.816,181.0,181.0,,,,,,,15963.814,294364.0,294364.0
2008-01-01,33222.0,182088.0,334785.0,1010.018,20656.0,23275.0,,,,,,,15868.982,324536.0,365687.0
2008-02-01,27291.0,149581.0,289523.0,1553.6080000000002,31773.0,32816.0,,,,,,,11798.392,241288.0,249214.0
2008-03-01,28290.0,155056.0,289496.0,802.8100000000001,13709.0,13709.0,,,,,,,13721.19,234307.0,234307.0
2008-04-01,29562.0,162028.0,297305.0,301.362,5901.0,5901.0,,,,,,,15911.637999999999,311567.0,311567.0
2008-05-01,13384.0,73357.0,133511.0,54.161,1108.0,1259.0,,,,,,,12110.839,247678.0,281522.0
2008-06-01,1568.0,8594.0,21239.0,129.92600000000002,2657.0,5385.0,,,,,,,6695.0740000000005,136921.0,277488.0
2008-07-01,15423.0,84533.0,155678.0,354.178,7243.0,10851.0,,,,,,,10635.822,217513.0,325852.0
2008-08-01,29971.0,164270.0,299323.0,350.66700000000003,5493.0,5493.0,,,,,,,15480.333,242490.0,242490.0
2008-09-01,29029.0,159107.0,300539.0,625.0110000000001,10723.0,10723.0,,,,,,,14784.989000000001,253659.0,253659.0
2008-10-01,31888.0,174777.0,314450.0,482.44800000000004,9425.0,9425.0,,,,,,,17632.552,344466.0,344466.0
2008-11-01,29187.0,159973.0,295053.0,1036.348,16447.0,16447.0,,,,,,,14567.652,231191.0,231191.0
2008-12-01,26855.0,147191.0,277308.0,584.211,9731.0,9731.0,,,,,,,13240.789,220547.0,220547.0
2009-01-01,,,,155.827,2755.0,2755.0,,,,,,,6789.173000000001,120032.0,120032.0
2009-02-01,,,,194.281,1746.0,1746.0,,,,,,,8140.719,73160.0,73160.0
2009-03-01,,,,39.319,804.0,1615.0,,,,,,,2948.681,60303.0,121114.0
2009-04-01,,,,3.994,82.0,131.0,,,,,,,236.006,4827.0,7741.0
2009-05-01,,,,39.499,808.0,1489.0,,,,,,,2615.501,53489.0,98597.0
2009-06-01,,,,74.696,1248.0,1248.0,,,,,,,4566.304,76293.0,76293.0
2009-07-01,,,,159.40900000000002,3260.0,3366.0,,,,,,,11398.591,233112.0,240686.0
2009-08-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-09-01,,,,75.35300000000001,1605.0,1888.0,,,,,,,5835.294,124271.0,146206.0
2009-10-01,,,,99.598,2121.0,2572.0,,,,,,,6862.577,146148.0,177218.0
2009-11-01,,,,148.001,3152.0,3354.0,,,,,,,9636.496000000001,205223.0,218382.0
2009-12-01,,,,4547.981,1125.0,1125.0,,,,,,,,,
2010-01-01,,,,45.819,976.0,1826.0,,,,,,,3102.045,66062.0,123623.0
2010-02-01,,,,111.57000000000001,2141.0,2141.0,,,,,,,6012.263,115374.0,115374.0
2010-03-01,,,,118.38600000000001,2012.0,2012.0,,,,,,,5768.6140000000005,98039.0,98039.0
2010-04-01,,,,173.036,3196.0,3196.0,,,,,,,9387.964,173397.0,173397.0
2010-05-01,,,,191.955,3271.0,3271.0,,,,,,,12008.045,204623.0,204623.0
2010-06-01,,,,115.611,2364.0,2790.0,,,,,,,6459.389,132101.0,155882.0
2010-07-01,,,,72.028,1473.0,1608.0,,,,,,,4273.972,87407.0,95415.0
2010-08-01,,,,186.544,3170.0,3170.0,,,,,,,10822.456,183910.0,183910.0
2010-09-01,,,,104.75500000000001,2142.0,3170.0,,,,,,,9227.245,188706.0,279226.0
2010-10-01,,,,166.815,3412.0,3458.0,,,,,,,9200.185000000001,188152.0,190716.0
2010-11-01,,,,150.228,3072.0,3210.0,,,,,,,6966.772,142477.0,148863.0
2010-12-01,,,,191.66,3261.0,3261.0,,,,,,,7750.34,131868.0,131868.0
2011-01-01,,,,150.149,3071.0,3637.0,,,,,,,7699.851,157469.0,186511.0
2011-02-01,,,,135.972,2781.0,3233.0,,,,,,,6459.028,132093.0,153576.0
2011-03-01,,,,161.485,3200.0,3200.0,,,,,,,6744.515,133650.0,133650.0
2011-04-01,,,,67.117,1373.0,1799.0,,,,,,,5412.883,110699.0,145087.0
2011-05-01,,,,161.466,2846.0,2846.0,,,,,,,7162.534,126247.0,126247.0
2011-06-01,,,,131.268,2685.0,2950.0,,,,,,,5560.732,113722.0,124967.0
2011-07-01,,,,156.542,3201.0,3556.0,,,,,,,6465.458,132225.0,146869.0
2011-08-01,,,,139.774,2871.0,3074.0,,,,,,,6795.226,139570.0,149445.0
2011-09-01,,,,65.563,1341.0,1732.0,,,,,,,3763.437,76966.0,99419.0
2011-10-01,,,,139.326,2849.0,3240.0,,,,,,,7741.674,158324.0,180031.0
2011-11-01,,,,148.509,3037.0,3253.0,,,,,,,9722.491,198834.0,212965.0
2011-12-01,,,,170.652,3345.0,3345.0,,,,,,,10543.348,206663.0,206663.0
2012-01-01,,,,135.763,2776.0,2796.0,,,,,,,8551.237,174881.0,176110.0
2012-02-01,,,,108.43,2217.0,2260.0,,,,,,,6243.57,127687.0,130135.0
2012-03-01,,,,152.168,3112.0,3189.0,,,,,,,7965.832,162909.0,166941.0
2012-04-01,,,,125.02,2557.0,2587.0,,,,,,,5563.98,113789.0,115133.0
2012-05-01,,,,44.344,907.0,1322.0,,,,,,,2055.656,42040.0,61285.0
2012-06-01,,,,109.575,2241.0,3130.0,,,,,,,6838.425,139852.0,195340.0
2012-07-01,,,,76.581,1566.0,2095.0,,,,,,,5447.419,111405.0,149024.0
2012-08-01,,,,102.807,2102.0,2876.0,,,,,,,6792.193,138907.0,190010.0
2012-09-01,,,,206.431,3980.0,3980.0,,,,,,,11473.569,221211.0,221211.0
2012-10-01,,,,98.56,2016.0,3948.0,,,,,,,7494.44,153268.0,300202.0
2012-11-01,,,,67.503,1380.0,1815.0,,,,,,,4263.497,87193.0,114636.0
2012-12-01,,,,134.087,2742.0,3690.0,,,,,,,8651.913,176940.0,238095.0
2013-01-01,,,,132.02,2700.0,3665.0,,,,,,,8376.98,171317.0,232552.0
2013-02-01,,,,121.06,2476.0,3152.0,,,,,,,7009.94,143360.0,182516.0
2013-03-01,,,,110.881,2268.0,3367.0,,,,,,,7379.119,150910.0,224073.0
2013-04-01,,,,88.051,1801.0,3427.0,,,,,,,7207.949,147409.0,280538.0
2013-05-01,,,,96.071,1965.0,3442.0,,,,,,,6863.929,140374.0,245918.0
2013-06-01,,,,81.292,1662.0,3690.0,,,,,,,6542.708,133805.0,296988.0
2013-07-01,,,,80.894,1654.0,3337.0,,,,,,,6927.106,141666.0,285754.0
2013-08-01,,,,77.777,1591.0,3283.0,,,,,,,6306.223,128968.0,266188.0
2013-09-01,,,,100.653,2058.0,3646.0,,,,,,,7867.347,160895.0,284983.0
2013-10-01,,,,60.733,1242.0,2321.0,,,,,,,4979.267,101831.0,190289.0
2013-11-01,,,,90.011,1841.0,3097.0,,,,,,,7255.989,148392.0,249657.0
2013-12-01,,,,121.035,2475.0,2972.0,,,,,,,9413.965,192524.0,231158.0
2014-01-01,,,,157.356,3218.0,4083.0,,,,,,,9621.644,196772.0,249657.0
2014-02-01,,,,165.649,2524.0,2524.0,,,,,,,10426.351,158867.0,158867.0
2014-03-01,,,,139.946,2862.0,3012.0,,,,,,,10027.054,205063.0,215808.0
2014-04-01,,,,134.247,2745.0,2917.0,,,,,,,11489.753,234976.0,249657.0
2014-05-01,,,,124.618,2549.0,3158.0,0.0,0.0,0.0,0.0,0.0,0.0,11123.382,227484.0,281883.0
2014-06-01,,,,125.147,2559.0,2598.0,0.0,0.0,0.0,0.0,0.0,0.0,10894.853,222810.0,226172.0
2014-07-01,,,,131.262,2684.0,2806.0,0.0,0.0,0.0,0.0,0.0,0.0,11543.738,236080.0,246771.0
2014-08-01,,,,158.271,3131.0,3131.0,0.0,0.0,0.0,0.0,0.0,0.0,13431.729,265713.0,265713.0
2014-09-01,,,,131.351,2686.0,2769.0,0.0,0.0,0.0,0.0,0.0,0.0,10725.649,219350.0,226107.0
2014-10-01,,,,103.298,2113.0,2143.0,0.0,0.0,0.0,0.0,0.0,0.0,8216.702,168039.0,170462.0
2014-11-01,,,,156.156,3194.0,3316.0,0.0,0.0,0.0,0.0,0.0,0.0,12088.844,247228.0,256709.0
2014-12-01,,,,129.245,2643.0,3149.0,0.0,0.0,0.0,0.0,0.0,0.0,9764.755,199698.0,237915.0
2015-01-01,,,,142.045,2905.0,3310.0,0.0,0.0,0.0,,,,10653.955,217883.0,248263.0
2015-02-01,,,,106.405,2176.0,2689.0,0.0,0.0,0.0,,,,8382.595,171432.0,211839.0
2015-03-01,,,,141.704,2769.0,2769.0,0.0,0.0,0.0,,,,9507.296,185779.0,185779.0
2015-04-01,,,,148.831,3044.0,3091.0,0.0,0.0,0.0,,,,9362.169,191465.0,194438.0
2015-05-01,,,,111.138,2273.0,3150.0,0.0,0.0,0.0,,,,7895.862,161478.0,223794.0
2015-06-01,,,,90.303,1847.0,2528.0,0.0,0.0,0.0,,,,7386.697,151065.0,206788.0
2015-07-01,,,,137.03,2802.0,3550.0,0.0,0.0,0.0,,,,12218.97,249889.0,316553.0
2015-08-01,,,,119.499,2444.0,3008.0,0.0,0.0,0.0,,,,10319.501,211043.0,259760.0
2015-09-01,,,,99.237,2029.0,3132.0,0.0,0.0,0.0,,,,8477.763,173378.0,267566.0
2015-10-01,,,,76.513,1565.0,2491.0,0.0,0.0,0.0,,,,6194.487,126683.0,201671.0
2015-11-01,,,,96.28,2050.0,2856.0,0.0,0.0,0.0,,,,5225.703,111289.0,155013.0
2015-12-01,,,,135.538,2614.0,2614.0,0.0,0.0,0.0,,,,5764.545,111176.0,111176.0
2016-01-01,,,,11.044,60.0,677.0,0.0,0.0,0.0,,,,1325.694,7247.0,81262.0
2016-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
