measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2010-11-01,3.435,354.0,354.0,0.10300000000000001,11.0,11.0,0.0,0.0,0.0,,,
2010-12-01,2.86,293.0,293.0,0.163,17.0,17.0,0.0,0.0,0.0,,,
2011-01-01,-4.037,214.0,214.0,-0.458,24.0,24.0,,,,,,
2011-02-01,-5.371,276.0,276.0,-0.598,31.0,31.0,,,,,,
2011-03-01,-9.231,473.0,473.0,-0.562,29.0,29.0,,,,,,
2011-04-01,-4.982,259.0,259.0,-0.62,32.0,32.0,,,,,,
2011-05-01,-4.403,225.0,225.0,-0.56,29.0,29.0,,,,,,
2011-06-01,-3.193,163.0,163.0,-2.341,120.0,120.0,,,,,,
2011-07-01,-3.478,180.0,180.0,-3.682,189.0,189.0,,,,,,
2011-08-01,-2.201,113.0,113.0,-2.632,135.0,135.0,,,,,,
2011-09-01,-6.581,338.0,338.0,-0.875,45.0,45.0,,,,,,
2011-10-01,-5.829,298.0,298.0,-0.463,24.0,24.0,,,,,,
2011-11-01,-2.874,146.0,146.0,-0.364,19.0,19.0,,,,,,
2011-12-01,-5.256,270.0,270.0,-0.409,21.0,21.0,,,,,,
2012-01-01,2.636,411.0,411.0,0.16,25.0,25.0,,,,,,
2012-02-01,2.255,360.0,360.0,0.135,22.0,22.0,,,,,,
2012-03-01,1.112,174.0,174.0,0.174,28.0,28.0,,,,,,
2012-04-01,2.123,338.0,338.0,0.22,35.0,35.0,,,,,,
2012-05-01,2.643,422.0,422.0,0.392,63.0,63.0,,,,,,
2012-06-01,2.525,405.0,405.0,0.36,57.0,57.0,,,,,,
2012-07-01,0.674,107.0,107.0,0.648,103.0,103.0,,,,,,
2012-08-01,2.034,326.0,326.0,0.403,64.0,64.0,,,,,,
2012-09-01,0.939,152.0,152.0,0.194,31.0,31.0,,,,,,
2012-10-01,1.33,214.0,214.0,0.089,14.0,14.0,,,,,,
2012-11-01,4.328,692.0,692.0,0.072,11.0,11.0,,,,,,
2012-12-01,2.501,399.0,399.0,0.053,9.0,9.0,,,,,,
2013-01-01,-6.11,325.0,325.0,0.0,0.0,0.0,,,,,,
2013-02-01,-3.296,182.0,182.0,0.0,0.0,0.0,,,,,,
2013-03-01,-3.991,215.0,215.0,0.0,0.0,0.0,,,,,,
2013-04-01,-3.392,187.0,187.0,0.0,0.0,0.0,,,,,,
2013-05-01,-11.585,633.0,633.0,0.0,0.0,0.0,,,,,,
2013-06-01,-7.29,396.0,396.0,0.0,0.0,0.0,,,,,,
2013-07-01,-3.01,165.0,165.0,0.0,0.0,0.0,,,,,,
2013-08-01,-1.89,105.0,105.0,0.0,0.0,0.0,,,,,,
2013-09-01,-3.17,171.0,171.0,0.0,0.0,0.0,,,,,,
2013-10-01,-5.161,281.0,281.0,0.0,0.0,0.0,,,,,,
2013-11-01,-3.225,176.0,176.0,0.0,0.0,0.0,,,,,,
2013-12-01,-9.88,539.0,539.0,0.0,0.0,0.0,,,,,,
2014-01-01,-27.512,135.0,135.0,0.0,0.0,0.0,,,,,,
2014-02-01,-28.985,141.0,141.0,0.0,0.0,0.0,,,,,,
2014-03-01,-36.866,174.0,174.0,0.0,0.0,0.0,,,,,,
2014-04-01,-22.519,107.0,107.0,0.0,0.0,0.0,,,,,,
2014-05-01,-39.083,186.0,186.0,0.0,0.0,0.0,,,,,,
2014-06-01,-27.064,129.0,129.0,0.0,0.0,0.0,,,,,,
2014-07-01,-6.454,34.0,34.0,0.0,0.0,0.0,,,,,,
2014-08-01,-28.993,141.0,141.0,0.0,0.0,0.0,,,,,,
2014-09-01,-26.233,124.0,124.0,0.0,0.0,0.0,,,,,,
2014-10-01,-18.528,90.0,90.0,0.0,0.0,0.0,,,,,,
2014-11-01,-7.329,34.0,34.0,0.0,0.0,0.0,,,,,,
2014-12-01,-30.434,146.0,146.0,0.0,0.0,0.0,,,,,,
2015-01-01,-19.588,343.0,343.0,0.0,0.0,0.0,,,,,,
2015-02-01,-12.196,219.0,219.0,0.0,0.0,0.0,,,,,,
2015-03-01,-21.943,394.0,394.0,0.0,0.0,0.0,,,,,,
2015-04-01,-15.338,276.0,276.0,0.0,0.0,0.0,,,,,,
2015-05-01,-13.066,236.0,236.0,0.0,0.0,0.0,,,,,,
2015-06-01,-3.336,62.0,62.0,0.0,0.0,0.0,,,,,,
2015-07-01,-4.608,84.0,84.0,0.0,0.0,0.0,,,,,,
2015-08-01,-6.803,124.0,124.0,0.0,0.0,0.0,,,,,,
2015-09-01,-9.459,169.0,169.0,0.0,0.0,0.0,,,,,,
2015-10-01,-3.79,68.0,68.0,0.0,0.0,0.0,,,,,,
2015-11-01,-19.138,343.0,343.0,0.0,0.0,0.0,,,,,,
2015-12-01,-15.735,281.0,281.0,0.0,0.0,0.0,,,,,,
2016-01-01,-27.151,84.0,84.0,0.0,0.0,0.0,,,,,,
2016-02-01,-21.278,68.0,68.0,0.0,0.0,0.0,,,,,,
2016-03-01,-13.633,45.0,45.0,0.0,0.0,0.0,,,,,,
2016-04-01,-17.166,56.0,56.0,0.0,0.0,0.0,,,,,,
2016-05-01,-34.882,113.0,113.0,0.0,0.0,0.0,,,,,,
2016-06-01,-25.424,84.0,84.0,0.0,0.0,0.0,,,,,,
2016-07-01,-19.396,62.0,62.0,0.0,0.0,0.0,,,,,,
2016-08-01,-3.537,11.0,11.0,0.0,0.0,0.0,,,,,,
2016-09-01,-15.319,51.0,51.0,0.0,0.0,0.0,,,,,,
2016-10-01,-19.854,62.0,62.0,0.0,0.0,0.0,,,,,,
2016-11-01,-56.806,180.0,180.0,0.0,0.0,0.0,,,,,,
2016-12-01,-39.554,129.0,129.0,0.0,0.0,0.0,,,,,,
2017-01-01,-19.424,304.0,304.0,0.0,0.0,0.0,,,,,,
2017-02-01,-10.594,169.0,169.0,0.0,0.0,0.0,,,,,,
2017-03-01,-13.618,214.0,214.0,0.0,0.0,0.0,,,,,,
2017-04-01,-16.517,259.0,259.0,0.0,0.0,0.0,,,,,,
2017-05-01,-17.605,276.0,276.0,0.0,0.0,0.0,,,,,,
2017-06-01,-12.094,191.0,191.0,0.0,0.0,0.0,,,,,,
2017-07-01,-9.508,146.0,146.0,0.0,0.0,0.0,,,,,,
2017-08-01,-7.868,124.0,124.0,0.0,0.0,0.0,,,,,,
2017-09-01,-12.313,191.0,191.0,0.0,0.0,0.0,,,,,,
2017-10-01,-14.294,225.0,225.0,0.0,0.0,0.0,,,,,,
2017-11-01,-22.355,349.0,349.0,0.0,0.0,0.0,,,,,,
2017-12-01,-21.81,343.0,343.0,0.0,0.0,0.0,,,,,,
2018-01-01,-25.976,135.0,135.0,0.0,0.0,0.0,,,,,,
2018-02-01,-19.44,101.0,101.0,0.0,0.0,0.0,,,,,,
2018-03-01,-28.394,152.0,152.0,0.0,0.0,0.0,,,,,,
2018-04-01,-20.196,107.0,107.0,0.0,0.0,0.0,,,,,,
2018-05-01,-26.108,141.0,141.0,0.0,0.0,0.0,,,,,,
2018-06-01,-36.526,197.0,197.0,0.0,0.0,0.0,,,,,,
2018-07-01,-15.573,84.0,84.0,0.0,0.0,0.0,,,,,,
2018-08-01,-21.205,113.0,113.0,0.0,0.0,0.0,,,,,,
2018-09-01,-22.831,124.0,124.0,0.0,0.0,0.0,,,,,,
2018-10-01,-24.565,129.0,129.0,0.0,0.0,0.0,,,,,,
2018-11-01,-23.77,129.0,129.0,0.0,0.0,0.0,,,,,,
2018-12-01,-25.416,135.0,135.0,0.0,0.0,0.0,,,,,,
2019-01-01,-32.648,45.0,45.0,0.0,0.0,0.0,,,,,,
2019-02-01,-30.398,51.0,51.0,0.0,0.0,0.0,,,,,,
2019-03-01,-43.935,73.0,73.0,0.0,0.0,0.0,,,,,,
2019-04-01,-25.564,39.0,39.0,0.0,0.0,0.0,,,,,,
2019-05-01,-45.04,73.0,73.0,0.0,0.0,0.0,,,,,,
2019-06-01,-38.567,62.0,62.0,0.0,0.0,0.0,,,,,,
2019-07-01,-23.024,39.0,39.0,0.0,0.0,0.0,,,,,,
2019-08-01,-30.354,51.0,51.0,0.0,0.0,0.0,,,,,,
2019-09-01,-34.849,56.0,56.0,0.0,0.0,0.0,,,,,,
2019-10-01,-36.89,62.0,62.0,0.0,0.0,0.0,,,,,,
2019-11-01,-32.278,51.0,51.0,0.0,0.0,0.0,,,,,,
2019-12-01,-34.453,56.0,56.0,0.0,0.0,0.0,,,,,,
2020-01-01,-23.099,129.0,129.0,0.0,0.0,0.0,,,,,,
2020-02-01,-24.016,129.0,129.0,0.0,0.0,0.0,,,,,,
2020-03-01,-20.519,107.0,107.0,0.0,0.0,0.0,,,,,,
2020-04-01,-23.271,124.0,124.0,0.0,0.0,0.0,,,,,,
2020-05-01,-26.819,141.0,141.0,0.0,0.0,0.0,,,,,,
2020-06-01,-32.33,174.0,174.0,0.0,0.0,0.0,,,,,,
2020-07-01,-16.495,90.0,90.0,0.0,0.0,0.0,,,,,,
2020-08-01,-26.74,141.0,141.0,0.0,0.0,0.0,,,,,,
2020-09-01,-20.48,107.0,107.0,0.0,0.0,0.0,,,,,,
2020-10-01,-25.552,135.0,135.0,0.0,0.0,0.0,,,,,,
2020-11-01,-34.32,180.0,180.0,0.0,0.0,0.0,,,,,,
2020-12-01,-27.359,146.0,146.0,0.0,0.0,0.0,,,,,,
2021-01-01,-21.368,157.0,157.0,0.0,0.0,0.0,,,,,,
2021-02-01,-35.368,258.0,258.0,0.0,0.0,0.0,,,,,,
2021-03-01,-27.349,196.0,196.0,0.0,0.0,0.0,,,,,,
2021-04-01,-21.339,157.0,157.0,0.0,0.0,0.0,,,,,,
2021-05-01,-20.977,151.0,151.0,0.0,0.0,0.0,,,,,,
2021-06-01,-24.197,174.0,174.0,0.0,0.0,0.0,,,,,,
2021-07-01,-8.682,62.0,62.0,0.0,0.0,0.0,,,,,,
2021-08-01,-13.504,101.0,101.0,0.0,0.0,0.0,,,,,,
2021-09-01,-18.759,134.0,134.0,0.0,0.0,0.0,,,,,,
2021-10-01,-23.615,174.0,174.0,0.0,0.0,0.0,,,,,,
2021-11-01,-22.731,168.0,168.0,0.0,0.0,0.0,,,,,,
2021-12-01,-34.111,246.0,246.0,0.0,0.0,0.0,,,,,,
2022-01-01,-29636.34,219.0,219.0,0.0,0.0,0.0,,,,,,
2022-02-01,-31782.25,225.0,225.0,0.0,0.0,0.0,,,,,,
2022-03-01,-26357.21,186.0,186.0,0.0,0.0,0.0,,,,,,
2022-04-01,-17607.11,124.0,124.0,0.0,0.0,0.0,,,,,,
2022-05-01,-34569.94,248.0,248.0,0.0,0.0,0.0,,,,,,
2022-06-01,-23873.27,169.0,169.0,0.0,0.0,0.0,,,,,,
2022-07-01,-17210.78,124.0,124.0,0.0,0.0,0.0,,,,,,
2022-08-01,-18408.16,129.0,129.0,0.0,0.0,0.0,,,,,,
2022-09-01,-21738.09,158.0,158.0,0.0,0.0,0.0,,,,,,
2022-10-01,-25868.55,186.0,186.0,0.0,0.0,0.0,,,,,,
2022-11-01,-29988.48,214.0,214.0,0.0,0.0,0.0,,,,,,
2022-12-01,-34759.82,248.0,248.0,0.0,0.0,0.0,,,,,,
2023-01-01,-142.4,219.0,219.0,0.0,0.0,0.0,,,,,,
2023-02-01,-141.374,203.0,203.0,0.0,0.0,0.0,,,,,,
2023-03-01,-132.23,191.0,191.0,0.0,0.0,0.0,,,,,,
2023-04-01,-106.509,152.0,152.0,0.0,0.0,0.0,,,,,,
2023-05-01,-100.401,146.0,146.0,0.0,0.0,0.0,,,,,,
2023-06-01,-81.551,118.0,118.0,0.0,0.0,0.0,,,,,,
2023-07-01,-83.318,118.0,118.0,0.0,0.0,0.0,,,,,,
2023-08-01,-67.213,96.0,96.0,0.0,0.0,0.0,,,,,,
2023-09-01,-113.355,163.0,163.0,0.0,0.0,0.0,,,,,,
2023-10-01,-85.734,124.0,124.0,0.0,0.0,0.0,,,,,,
2023-11-01,-104.513,152.0,152.0,0.0,0.0,0.0,,,,,,
2023-12-01,-133.402,191.0,191.0,0.0,0.0,0.0,,,,,,
2024-01-01,-40.552,124.0,124.0,0.0,0.0,0.0,,,,,,
2024-02-01,-26.012,73.0,73.0,0.0,0.0,0.0,,,,,,
2024-03-01,-20.645,56.0,56.0,0.0,0.0,0.0,,,,,,
2024-04-01,-16.585,45.0,45.0,0.0,0.0,0.0,,,,,,
2024-05-01,-20.179,56.0,56.0,0.0,0.0,0.0,,,,,,
2024-06-01,-13.911,39.0,39.0,0.0,0.0,0.0,,,,,,
2024-07-01,-13.699,39.0,39.0,0.0,0.0,0.0,,,,,,
2024-08-01,-16.612,45.0,45.0,0.0,0.0,0.0,,,,,,
2024-09-01,-12.456,34.0,34.0,0.0,0.0,0.0,,,,,,
2024-10-01,-18.839,51.0,51.0,0.0,0.0,0.0,,,,,,
2024-11-01,-18.334,51.0,51.0,0.0,0.0,0.0,,,,,,
2024-12-01,-17.176,51.0,51.0,0.0,0.0,0.0,,,,,,
