measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2017-06-01,0.0,0.0,0.0,12.802,198.0,198.0
2017-07-01,0.0,0.0,0.0,8.787,138.0,138.0
2017-08-01,0.0,0.0,0.0,8.599,132.0,132.0
2017-09-01,0.0,0.0,0.0,14.604,226.0,226.0
2017-10-01,0.0,0.0,0.0,14.19,220.0,220.0
2017-11-01,0.0,0.0,0.0,23.859,369.0,369.0
2017-12-01,0.0,0.0,0.0,330.661,5115.0,5115.0
2018-01-01,0.0,0.0,0.0,279.161,4142.0,4142.0
2018-02-01,0.0,0.0,0.0,10.744,162.0,162.0
2018-03-01,0.0,0.0,0.0,11.929,178.0,178.0
2018-04-01,0.0,0.0,0.0,9.144,135.0,135.0
2018-05-01,0.0,0.0,0.0,10.141,151.0,151.0
2018-06-01,0.0,0.0,0.0,8.728,130.0,130.0
2018-07-01,0.0,0.0,0.0,12.028,178.0,178.0
2018-08-01,0.0,0.0,0.0,21.667,324.0,324.0
2018-09-01,0.0,0.0,0.0,10.655,157.0,157.0
2018-10-01,0.0,0.0,0.0,9.648,146.0,146.0
2018-11-01,0.0,0.0,0.0,20.746,308.0,308.0
2018-12-01,0.0,0.0,0.0,11.409,167.0,167.0
2019-01-01,0.0,0.0,0.0,21.352,309.0,309.0
2019-02-01,0.0,0.0,0.0,13.357,198.0,198.0
2019-03-01,0.0,0.0,0.0,13.922,204.0,204.0
2019-04-01,0.0,0.0,0.0,10.814,160.0,160.0
2019-05-01,0.0,0.0,0.0,5.529,83.0,83.0
2019-06-01,0.0,0.0,0.0,6.735,99.0,99.0
2019-07-01,0.0,0.0,0.0,9.157,138.0,138.0
2019-08-01,0.0,0.0,0.0,17.464,259.0,259.0
2019-09-01,0.0,0.0,0.0,8.413,127.0,127.0
2019-10-01,0.0,0.0,0.0,13.233,198.0,198.0
2019-11-01,0.0,0.0,0.0,18.29,270.0,270.0
2019-12-01,0.0,0.0,0.0,20.734,309.0,309.0
2020-01-01,0.0,0.0,0.0,41.867,683.0,683.0
2020-02-01,0.0,0.0,0.0,44.686,727.0,727.0
2020-03-01,0.0,0.0,0.0,34.728,568.0,568.0
2020-04-01,0.0,0.0,0.0,38.583,628.0,628.0
2020-05-01,0.0,0.0,0.0,26.994,441.0,441.0
2020-06-01,0.0,0.0,0.0,26.221,430.0,430.0
2020-07-01,0.0,0.0,0.0,31.151,507.0,507.0
2020-08-01,0.0,0.0,0.0,29.391,479.0,479.0
2020-09-01,0.0,0.0,0.0,33.325,545.0,545.0
2020-10-01,0.0,0.0,0.0,52.316,854.0,854.0
2020-11-01,0.0,0.0,0.0,52.683,860.0,860.0
2020-12-01,0.0,0.0,0.0,295.055,4816.0,4816.0
2021-01-01,0.0,0.0,0.0,78.115,1236.0,1236.0
2021-02-01,0.0,0.0,0.0,172.811,2754.0,2754.0
2021-03-01,0.0,0.0,0.0,43.599,696.0,696.0
2021-04-01,0.0,0.0,0.0,22.403,357.0,357.0
2021-05-01,0.0,0.0,0.0,19.377,311.0,311.0
2021-06-01,0.0,0.0,0.0,18.966,305.0,305.0
2021-07-01,0.0,0.0,0.0,28.626,454.0,454.0
2021-08-01,0.0,0.0,0.0,34.129,546.0,546.0
2021-09-01,0.0,0.0,0.0,21.83,345.0,345.0
2021-10-01,0.0,0.0,0.0,37.859,604.0,604.0
2021-11-01,0.0,0.0,0.0,45.859,730.0,730.0
2021-12-01,0.0,0.0,0.0,197.426,3145.0,3145.0
2022-01-01,0.0,0.0,0.0,1033.58,15330.0,15330.0
2022-02-01,0.0,0.0,0.0,148.287,2202.0,2202.0
2022-03-01,0.0,0.0,0.0,20.015,299.0,299.0
2022-04-01,0.0,0.0,0.0,10.05,150.0,150.0
2022-05-01,0.0,0.0,0.0,7.002,104.0,104.0
2022-06-01,0.0,0.0,0.0,52.517,782.0,782.0
2022-07-01,0.0,0.0,0.0,32.315,477.0,477.0
2022-08-01,0.0,0.0,0.0,9.633,144.0,144.0
2022-09-01,0.0,0.0,0.0,19.313,288.0,288.0
2022-10-01,0.0,0.0,0.0,15.005,224.0,224.0
2022-11-01,0.0,0.0,0.0,16.992,253.0,253.0
2022-12-01,0.0,0.0,0.0,356.291,5290.0,5290.0
2023-01-01,0.0,0.0,0.0,37.206,569.0,569.0
2023-02-01,0.0,0.0,0.0,248.675,3766.0,3766.0
2023-03-01,0.0,0.0,0.0,28.605,431.0,431.0
2023-04-01,0.0,0.0,0.0,23.722,357.0,357.0
2023-05-01,0.0,0.0,0.0,16.342,247.0,247.0
2023-06-01,0.0,0.0,0.0,18.539,282.0,282.0
2023-07-01,0.0,0.0,0.0,23.584,357.0,357.0
2023-08-01,0.0,0.0,0.0,16.318,247.0,247.0
2023-09-01,0.0,0.0,0.0,27.035,408.0,408.0
2023-10-01,0.0,0.0,0.0,33.049,500.0,500.0
2023-11-01,0.0,0.0,0.0,33.612,506.0,506.0
2023-12-01,0.0,0.0,0.0,45.313,684.0,684.0
2024-01-01,0.0,0.0,0.0,44.552,742.0,742.0
2024-02-01,0.0,0.0,0.0,22.8,377.0,377.0
2024-03-01,0.0,0.0,0.0,14.431,238.0,238.0
2024-04-01,0.0,0.0,0.0,15.42,255.0,255.0
2024-05-01,0.0,0.0,0.0,17.337,290.0,290.0
2024-06-01,0.0,0.0,0.0,44.339,737.0,737.0
2024-07-01,0.0,0.0,0.0,52.405,876.0,876.0
2024-08-01,0.0,0.0,0.0,34.805,580.0,580.0
2024-09-01,0.0,0.0,0.0,12.019,203.0,203.0
2024-10-01,0.0,0.0,0.0,14.289,238.0,238.0
2024-11-01,0.0,0.0,0.0,25.262,423.0,423.0
2024-12-01,0.0,0.0,0.0,186.341,3103.0,3103.0
