measured_on,"Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-03-01,,,,7154.12,111292.0,111292.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,,,,6086.563,94685.0,94685.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,,,,6504.588000000001,101188.0,101188.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,,,,7046.745,109622.0,109622.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,,,,8015.659000000001,124695.0,124695.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,,,,8073.497,125595.0,125595.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,,,,6708.101000000001,104354.0,104354.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,,,,6938.474,107938.0,107938.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,,,,6860.463000000001,106724.0,106724.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,,,,7427.023,115538.0,115538.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,,,,7569.18,115920.0,115920.0,2.5010000000000003,23.0,23.0,,,,2.633,22.0,22.0,30.82,472.0,472.0
2007-02-01,,,,7133.176,102349.0,102349.0,2.8480000000000003,23.0,23.0,,,,2.908,24.0,24.0,12.824,184.0,184.0
2007-03-01,,,,6878.474,105959.0,105959.0,2.374,18.0,18.0,,,,1.016,8.0,8.0,22.526,347.0,347.0
2007-04-01,,,,7087.505,104195.0,104195.0,2.519,23.0,23.0,,,,2.701,22.0,22.0,21.495,316.0,316.0
2007-05-01,,,,1377.402,30671.0,30671.0,2.5940000000000003,23.0,23.0,,,,5.305,44.0,44.0,10.598,236.0,236.0
2007-06-01,,,,6898.671,99831.0,99831.0,3.049,23.0,23.0,,,,5.5520000000000005,46.0,46.0,26.329,381.0,381.0
2007-07-01,,,,7580.5160000000005,107591.0,107591.0,2.384,18.0,18.0,,,,6.722,55.0,55.0,68.48400000000001,972.0,972.0
2007-08-01,,,,7511.706,122441.0,122441.0,1.907,18.0,18.0,,,,16.954,140.0,140.0,14.294,233.0,233.0
2007-09-01,,,,7265.667,97752.0,97752.0,1.8070000000000002,18.0,18.0,,,,6.589,54.0,54.0,54.333000000000006,731.0,731.0
2007-10-01,,,,6814.175,108595.0,108595.0,2.595,23.0,23.0,,,,5.941000000000001,49.0,49.0,18.825,300.0,300.0
2007-11-01,,,,4784.268,83598.0,83598.0,2.1310000000000002,18.0,18.0,,,,1.585,13.0,13.0,30.732000000000003,537.0,537.0
2007-12-01,,,,6486.185,107968.0,107968.0,3.766,29.0,29.0,,,,3.62,30.0,30.0,27.815,463.0,463.0
2008-01-01,,,,6898.341,115975.0,115975.0,3.857,58.0,58.0,,,,1.56,23.0,23.0,27.659000000000002,465.0,465.0
2008-02-01,,,,6313.372,102945.0,102945.0,2.327,35.0,35.0,,,,1.83,27.0,27.0,9.628,157.0,157.0
2008-03-01,,,,7129.067,103761.0,103761.0,3.726,53.0,53.0,,,,1.0330000000000001,15.0,15.0,26.933,392.0,392.0
2008-04-01,,,,7601.269,110296.0,110296.0,2.766,41.0,41.0,,,,0.738,11.0,11.0,38.731,562.0,562.0
2008-05-01,,,,7489.477000000001,106892.0,106892.0,2.609,41.0,41.0,,,,0.1,1.0,1.0,13.523000000000001,193.0,193.0
2008-06-01,,,,7551.4400000000005,114477.0,114477.0,4.46,64.0,64.0,,,,3.9560000000000004,59.0,59.0,22.56,342.0,342.0
2008-07-01,,,,6112.936000000001,99498.0,99498.0,3.629,53.0,53.0,,,,5.49,82.0,82.0,36.064,587.0,587.0
2008-08-01,,,,7600.987,113150.0,113150.0,3.766,58.0,58.0,,,,4.372,65.0,65.0,72.013,1072.0,1072.0
2008-09-01,,,,7263.477000000001,101380.0,101380.0,3.068,47.0,47.0,,,,1.8820000000000001,28.0,28.0,54.523,761.0,761.0
2008-10-01,,,,4289.16,75711.0,75711.0,3.346,53.0,53.0,,,,0.228,3.0,3.0,11.84,209.0,209.0
2008-11-01,,,,6436.454000000001,106486.0,106486.0,2.8890000000000002,41.0,41.0,,,,1.127,17.0,17.0,22.546,373.0,373.0
2008-12-01,,,,7047.289000000001,127239.0,127239.0,4.452,64.0,64.0,,,,1.7890000000000001,27.0,27.0,21.711000000000002,392.0,392.0
2009-01-01,,,,6796.381,110082.0,110082.0,3.386,35.0,35.0,,,,2.11,24.0,24.0,10.619,172.0,172.0
2009-02-01,,,,6423.589,104276.0,104276.0,2.998,29.0,29.0,,,,1.554,16.0,16.0,10.411000000000001,169.0,169.0
2009-03-01,,,,7266.366,116216.0,116216.0,2.762,29.0,29.0,,,,2.05,21.0,21.0,22.634,362.0,362.0
2009-04-01,,,,6604.292,106957.0,106957.0,2.242,23.0,23.0,,,,2.319,24.0,24.0,13.708,222.0,222.0
2009-05-01,,,,7144.01,101110.0,101110.0,4.806,53.0,53.0,,,,2.128,22.0,22.0,13.99,198.0,198.0
2009-06-01,,,,7574.6050000000005,116379.0,116379.0,3.685,41.0,41.0,,,,2.5580000000000003,27.0,27.0,41.395,636.0,636.0
2009-07-01,,,,7699.4310000000005,113106.0,113106.0,2.394,23.0,23.0,,,,2.46,26.0,26.0,27.569000000000003,405.0,405.0
2009-08-01,,,,7528.011,107222.0,107222.0,2.66,29.0,29.0,,,,5.348,56.0,56.0,12.989,185.0,185.0
2009-09-01,,,,6573.885,99297.0,99297.0,2.53,29.0,29.0,,,,5.764,60.0,60.0,12.115,183.0,183.0
2009-10-01,,,,1899.799,18371.0,18371.0,2.427,23.0,23.0,,,,2.125,22.0,22.0,18.201,176.0,176.0
2009-11-01,,,,4361.506,77031.0,77031.0,2.511,23.0,23.0,,,,2.145,22.0,22.0,11.494,203.0,203.0
2009-12-01,,,,7060.677000000001,126681.0,126681.0,3.334,35.0,35.0,,,,0.7040000000000001,7.0,7.0,31.323,562.0,562.0
2010-01-01,,,,7222.475,103123.0,103123.0,5.495,29.0,29.0,,,,1.492,11.0,11.0,9.525,136.0,136.0
2010-02-01,,,,6327.860000000001,103948.0,103948.0,3.54,23.0,23.0,,,,0.862,5.0,5.0,11.14,183.0,183.0
2010-03-01,,,,6820.586,119542.0,119542.0,4.548,29.0,29.0,,,,0.747,5.0,5.0,9.414,165.0,165.0
2010-04-01,,,,6862.059,108577.0,108577.0,3.415,23.0,23.0,,,,1.844,12.0,12.0,5.941000000000001,94.0,94.0
2010-05-01,,,,7090.568,104494.0,104494.0,7.2170000000000005,47.0,47.0,,,,2.916,18.0,18.0,9.432,139.0,139.0
2010-06-01,,,,7271.961,112953.0,112953.0,5.963,35.0,35.0,,,,4.034,25.0,25.0,12.039,187.0,187.0
2010-07-01,,,,8014.116,119093.0,119093.0,5.025,29.0,29.0,,,,6.715000000000001,42.0,42.0,44.884,667.0,667.0
2010-08-01,,,,7791.381,113995.0,113995.0,5.18,35.0,35.0,,,,7.69,48.0,48.0,11.619,170.0,170.0
2010-09-01,,,,4703.1050000000005,68708.0,68708.0,4.228000000000001,29.0,29.0,,,,2.934,18.0,18.0,13.895000000000001,203.0,203.0
2010-10-01,,,,0.0,0.0,0.0,2.623,18.0,18.0,,,,4.83,30.0,30.0,0.0,0.0,0.0
2010-11-01,,,,1182.816,25764.0,25764.0,3.478,23.0,23.0,,,,4.343,27.0,27.0,23.184,505.0,505.0
2010-12-01,,,,4021.349,78844.0,78844.0,5.049,29.0,29.0,,,,5.832,37.0,37.0,7.651000000000001,150.0,150.0
2011-01-01,,,,2343.186,43154.0,43154.0,0.614,6.0,6.0,,,,5.453,76.0,76.0,22.814,420.0,420.0
2011-02-01,,,,1890.877,28295.0,28295.0,0.363,6.0,6.0,,,,3.649,51.0,51.0,37.123,556.0,556.0
2011-03-01,,,,0.0,0.0,0.0,0.333,6.0,6.0,,,,7.198,100.0,100.0,0.0,0.0,0.0
2011-04-01,,,,0.0,0.0,0.0,0.411,6.0,6.0,,,,2.769,38.0,38.0,0.0,0.0,0.0
2011-05-01,,,,0.0,0.0,0.0,0.411,6.0,6.0,,,,5.442,76.0,76.0,0.0,0.0,0.0
2011-06-01,,,,34.727,515.0,515.0,0.528,6.0,6.0,,,,4.733,66.0,66.0,0.273,4.0,4.0
2011-07-01,,,,39.826,461.0,461.0,0.339,6.0,6.0,,,,8.366,116.0,116.0,0.174,2.0,2.0
2011-08-01,,,,0.0,0.0,0.0,0.329,6.0,6.0,,,,7.451,103.0,103.0,0.0,0.0,0.0
2011-09-01,,,,0.0,0.0,0.0,0.198,0.0,0.0,,,,4.584,64.0,64.0,0.0,0.0,0.0
2011-10-01,,,,0.0,0.0,0.0,0.257,6.0,6.0,,,,6.57,91.0,91.0,0.0,0.0,0.0
2011-11-01,,,,0.0,0.0,0.0,0.436,6.0,6.0,,,,5.282,73.0,73.0,0.0,0.0,0.0
2011-12-01,,,,0.0,0.0,0.0,0.383,6.0,6.0,,,,7.901,109.0,109.0,0.0,0.0,0.0
2012-01-01,,,,0.0,0.0,0.0,0.865,23.0,23.0,,,,2.17,53.0,53.0,,,
2012-02-01,,,,0.0,0.0,0.0,0.342,6.0,6.0,,,,2.017,49.0,49.0,,,
2012-03-01,,,,0.0,0.0,0.0,0.372,12.0,12.0,,,,1.917,46.0,46.0,,,
2012-04-01,,,,0.0,0.0,0.0,0.322,6.0,6.0,,,,1.739,42.0,42.0,,,
2012-05-01,,,,0.0,0.0,0.0,0.315,6.0,6.0,,,,2.094,52.0,52.0,,,
2012-06-01,,,,0.0,0.0,0.0,0.497,12.0,12.0,,,,2.195,54.0,54.0,,,
2012-07-01,,,,0.0,0.0,0.0,0.641,17.0,17.0,,,,2.625,64.0,64.0,,,
2012-08-01,,,,0.0,0.0,0.0,0.494,12.0,12.0,,,,2.169,53.0,53.0,,,
2012-09-01,,,,0.0,0.0,0.0,0.381,12.0,12.0,,,,1.837,44.0,44.0,,,
2012-10-01,,,,0.0,0.0,0.0,0.483,12.0,12.0,,,,1.835,44.0,44.0,,,
2012-11-01,,,,0.0,0.0,0.0,0.542,12.0,12.0,,,,1.606,39.0,39.0,,,
2012-12-01,,,,0.0,0.0,0.0,0.695,17.0,17.0,,,,1.847,45.0,45.0,,,
2013-01-01,,,,0.0,0.0,0.0,1.029,12.0,12.0,,,,3.914,48.0,48.0,0.0,0.0,0.0
2013-02-01,,,,0.0,0.0,0.0,0.998,12.0,12.0,,,,4.189,53.0,53.0,0.0,0.0,0.0
2013-03-01,,,,0.0,0.0,0.0,0.99,12.0,12.0,,,,3.876,48.0,48.0,0.0,0.0,0.0
2013-04-01,,,,0.0,0.0,0.0,0.649,6.0,6.0,,,,2.628,32.0,32.0,0.0,0.0,0.0
2013-05-01,,,,0.0,0.0,0.0,1.372,17.0,17.0,,,,3.751,46.0,46.0,0.0,0.0,0.0
2013-06-01,,,,0.0,0.0,0.0,1.171,17.0,17.0,,,,3.863,48.0,48.0,0.0,0.0,0.0
2013-07-01,,,,0.0,0.0,0.0,1.682,23.0,23.0,,,,4.732,60.0,60.0,0.0,0.0,0.0
2013-08-01,,,,0.0,0.0,0.0,0.86,12.0,12.0,,,,4.273,54.0,54.0,0.0,0.0,0.0
2013-09-01,,,,0.0,0.0,0.0,1.152,12.0,12.0,,,,2.067,26.0,26.0,0.0,0.0,0.0
2013-10-01,,,,0.0,0.0,0.0,0.737,12.0,12.0,,,,3.867,48.0,48.0,0.0,0.0,0.0
2013-11-01,,,,0.0,0.0,0.0,0.998,12.0,12.0,,,,3.746,46.0,46.0,0.0,0.0,0.0
2013-12-01,,,,0.0,0.0,0.0,0.88,12.0,12.0,,,,3.576,44.0,44.0,0.0,0.0,0.0
2014-01-01,,,,0.0,0.0,0.0,2.034,41.0,41.0,,,,3.084,64.0,64.0,0.0,0.0,0.0
2014-02-01,,,,0.0,0.0,0.0,1.042,23.0,23.0,,,,2.794,58.0,58.0,0.0,0.0,0.0
2014-03-01,,,,0.0,0.0,0.0,0.996,23.0,23.0,,,,3.366,69.0,69.0,0.0,0.0,0.0
2014-04-01,,,,0.0,0.0,0.0,0.605,12.0,12.0,,,,2.464,51.0,51.0,0.0,0.0,0.0
2014-05-01,,,,0.0,0.0,0.0,0.579,12.0,12.0,,,,2.968,61.0,61.0,0.0,0.0,0.0
2014-06-01,,,,0.0,0.0,0.0,0.678,12.0,12.0,,,,3.266,67.0,67.0,0.0,0.0,0.0
2014-07-01,,,,0.0,0.0,0.0,0.448,12.0,12.0,,,,3.501,72.0,72.0,0.0,0.0,0.0
2014-08-01,,,,0.0,0.0,0.0,0.659,12.0,12.0,,,,3.87,79.0,79.0,0.0,0.0,0.0
2014-09-01,,,,0.0,0.0,0.0,0.283,6.0,6.0,,,,3.379,69.0,69.0,0.0,0.0,0.0
2014-10-01,,,,0.0,0.0,0.0,0.307,6.0,6.0,,,,1.8,36.0,36.0,0.0,0.0,0.0
2014-11-01,,,,0.0,0.0,0.0,0.402,6.0,6.0,,,,2.334,47.0,47.0,0.0,0.0,0.0
2014-12-01,,,,0.0,0.0,0.0,0.472,12.0,12.0,,,,3.669,75.0,75.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,,,,0.295,6.0,6.0,,,,1.186,31.0,31.0,,,
2015-02-01,0.0,0.0,0.0,,,,0.222,6.0,6.0,,,,1.177,30.0,30.0,,,
2015-03-01,0.0,0.0,0.0,,,,0.25,6.0,6.0,,,,1.175,30.0,30.0,,,
2015-04-01,0.0,0.0,0.0,,,,0.173,6.0,6.0,,,,0.851,21.0,21.0,,,
2015-05-01,0.0,0.0,0.0,,,,0.272,6.0,6.0,,,,0.933,23.0,23.0,,,
2015-06-01,0.0,0.0,0.0,,,,0.302,6.0,6.0,,,,1.148,29.0,29.0,,,
2015-07-01,0.0,0.0,0.0,,,,0.326,6.0,6.0,,,,1.24,31.0,31.0,,,
2015-08-01,0.0,0.0,0.0,,,,0.193,6.0,6.0,,,,1.209,30.0,30.0,,,
2015-09-01,0.0,0.0,0.0,,,,0.151,6.0,6.0,,,,1.116,28.0,28.0,,,
2015-10-01,0.0,0.0,0.0,,,,0.16,6.0,6.0,,,,0.887,22.0,22.0,,,
2015-11-01,0.0,0.0,0.0,,,,0.236,6.0,6.0,,,,1.024,26.0,26.0,,,
2015-12-01,0.0,0.0,0.0,,,,0.382,12.0,12.0,,,,1.092,27.0,27.0,,,
2016-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.041,21.0,21.0,,,
2016-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.024,21.0,21.0,,,
2016-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.956,19.0,19.0,,,
2016-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.844,17.0,17.0,,,
2016-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.541,11.0,11.0,,,
2016-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.916,19.0,19.0,,,
2016-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.087,22.0,22.0,,,
2016-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.124,23.0,23.0,,,
2016-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.93,19.0,19.0,,,
2016-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.747,15.0,15.0,,,
2016-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.839,17.0,17.0,,,
2016-12-01,0.0,0.0,0.0,,,,2.116,43.0,43.0,,,,0.835,17.0,17.0,,,
2017-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.09,2.0,2.0,,,
2017-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.086,2.0,2.0,,,
2017-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.089,2.0,2.0,,,
2017-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.068,1.0,1.0,,,
2017-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.082,2.0,2.0,,,
2017-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.092,2.0,2.0,,,
2017-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.111,2.0,2.0,,,
2017-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.11,2.0,2.0,,,
2017-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.095,2.0,2.0,,,
2017-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.082,2.0,2.0,,,
2017-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.115,3.0,3.0,,,
2017-12-01,0.0,0.0,0.0,,,,0.853,19.0,19.0,,,,0.127,3.0,3.0,,,
2018-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2019-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2019-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2019-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2019-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2019-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2019-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2019-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2019-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
