measured_on,Nuclear Generation,Nuclear Quantity Consumed For Electricity,Nuclear Total Fuel Consumed
2005-02-01,260001.0,2713110.44,2713110.44
2005-03-01,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0
2005-07-01,379656.0,3961710.36,3961710.36
2005-08-01,418940.0,4371638.9,4371638.9
2005-09-01,409354.0,4271608.99,4271608.99
2005-10-01,420601.0,4388971.44,4388971.44
2005-11-01,318793.0,3326604.96,3326604.96
2005-12-01,416484.0,4346010.54,4346010.54
2006-01-01,425724.0,4442004.0,4442004.0
2006-02-01,383206.0,3998371.0,3998371.0
2006-03-01,425196.0,4436495.0,4436495.0
2006-04-01,325889.0,3400326.0,3400326.0
2006-05-01,98495.0,1027697.0,1027697.0
2006-06-01,404221.0,4217642.0,4217642.0
2006-07-01,422279.0,4406059.0,4406059.0
2006-08-01,416143.0,4342036.0,4342036.0
2006-09-01,11353.0,118457.0,118457.0
2006-10-01,30239.0,315514.0,315514.0
2006-11-01,325775.0,3399136.0,3399136.0
2006-12-01,404579.0,4221377.0,4221377.0
2007-01-01,359049.0,3764629.0,3764629.0
2007-02-01,364390.0,3820629.0,3820629.0
2007-03-01,288658.0,3026579.0,3026579.0
2007-04-01,411105.0,4310436.0,4310436.0
2007-05-01,421239.0,4416691.0,4416691.0
2007-06-01,391752.0,4107520.0,4107520.0
2007-07-01,421962.0,4424272.0,4424272.0
2007-08-01,419489.0,4398342.0,4398342.0
2007-09-01,411002.0,4309356.0,4309356.0
2007-10-01,300318.0,3148834.0,3148834.0
2007-11-01,411499.0,4314567.0,4314567.0
2007-12-01,425343.0,4459721.0,4459721.0
2008-01-01,423644.0,4443178.0,4443178.0
2008-02-01,397908.0,4173259.0,4173259.0
2008-03-01,379119.0,3976200.0,3976200.0
2008-04-01,0.0,0.0,0.0
2008-05-01,283772.0,2976201.0,2976201.0
2008-06-01,410671.0,4307117.0,4307117.0
2008-07-01,424505.0,4452208.0,4452208.0
2008-08-01,398938.0,4184062.0,4184062.0
2008-09-01,408761.0,4287085.0,4287085.0
2008-10-01,422952.0,4435921.0,4435921.0
2008-11-01,412246.0,4323636.0,4323636.0
2008-12-01,424779.0,4455082.0,4455082.0
2009-01-01,421371.0,4419339.0,4419339.0
2009-02-01,382128.0,4007758.0,4007758.0
2009-03-01,421620.0,4421951.0,4421951.0
2009-04-01,355910.0,3732784.0,3732784.0
2009-05-01,421430.0,4419958.0,4419958.0
2009-06-01,406604.0,4264463.0,4264463.0
2009-07-01,418141.0,4385463.0,4385463.0
2009-08-01,417259.0,4376212.0,4376212.0
2009-09-01,328290.0,3443106.0,3443106.0
2009-10-01,105496.0,1106442.0,1106442.0
2009-11-01,411078.0,4311386.0,4311386.0
2009-12-01,425991.0,4467794.0,4467794.0
2010-01-01,424163.0,4436321.0,4436321.0
2010-02-01,385510.0,4032049.0,4032049.0
2010-03-01,425766.0,4453087.0,4453087.0
2010-04-01,410893.0,4297530.0,4297530.0
2010-05-01,424750.0,4442460.0,4442460.0
2010-06-01,409739.0,4285460.0,4285460.0
2010-07-01,418575.0,4377876.0,4377876.0
2010-08-01,419392.0,4386421.0,4386421.0
2010-09-01,410992.0,4298565.0,4298565.0
2010-10-01,424298.0,4437733.0,4437733.0
2010-11-01,410657.0,4295062.0,4295062.0
2010-12-01,425519.0,4450503.0,4450503.0
2011-01-01,425146.0,4448728.0,4448728.0
2011-02-01,337897.0,3535754.0,3535754.0
2011-03-01,43300.0,453091.0,453091.0
2011-04-01,414002.0,4332117.0,4332117.0
2011-05-01,427498.0,4473339.0,4473339.0
2011-06-01,414764.0,4340090.0,4340090.0
2011-07-01,426933.0,4467427.0,4467427.0
2011-08-01,423274.0,4429139.0,4429139.0
2011-09-01,411659.0,4307600.0,4307600.0
2011-10-01,429032.0,4489391.0,4489391.0
2011-11-01,415130.0,4343920.0,4343920.0
2011-12-01,426120.0,4458920.0,4458920.0
2012-01-01,429967.0,4505449.0,4505449.0
2012-02-01,402100.0,4213442.0,4213442.0
2012-03-01,428348.0,4488484.0,4488484.0
2012-04-01,63877.0,669341.0,669341.0
2012-05-01,278368.0,2916905.0,2916905.0
2012-06-01,412850.0,4326087.0,4326087.0
2012-07-01,417344.0,4373178.0,4373178.0
2012-08-01,419026.0,4390803.0,4390803.0
2012-09-01,409961.0,4295815.0,4295815.0
2012-10-01,415347.0,4352252.0,4352252.0
2012-11-01,412608.0,4323551.0,4323551.0
2012-12-01,426096.0,4464887.0,4464887.0
2013-01-01,425619.0,4447182.0,4447182.0
2013-02-01,384441.0,4016924.0,4016924.0
2013-03-01,425220.0,4443013.0,4443013.0
2013-04-01,411068.0,4295142.0,4295142.0
2013-05-01,87131.0,910409.0,910409.0
2013-06-01,0.0,0.0,0.0
