measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2007-09-01,33571.609,182350.0,393981.0,564.0690000000001,2765.0,13518.0,0.0,0.0,0.0
2007-10-01,35776.455,194326.0,419856.0,601.115,2947.0,14406.0,0.0,0.0,0.0
2007-11-01,19221.658000000003,104406.0,225577.0,322.962,1583.0,7740.0,0.0,0.0,0.0
2007-12-01,24314.275,132067.0,285342.0,408.528,2002.0,9790.0,0.0,0.0,0.0
2008-01-01,13595.843,73848.0,180815.0,222.55700000000002,1091.0,5317.0,0.0,0.0,0.0
2008-02-01,13440.615,73005.0,178749.0,220.01500000000001,1078.0,5256.0,0.0,0.0,0.0
2008-03-01,17298.638,93961.0,230056.0,283.16900000000004,1388.0,6765.0,0.0,0.0,0.0
2008-04-01,15528.349,84345.0,206513.0,254.19,1246.0,6072.0,0.0,0.0,0.0
2008-05-01,6798.184,36926.0,90410.0,111.283,545.0,2658.0,0.0,0.0,0.0
2008-06-01,30547.163,165923.0,406250.0,500.04,2451.0,11946.0,0.0,0.0,0.0
2008-07-01,38513.583,209194.0,512197.0,630.446,3090.0,15062.0,0.0,0.0,0.0
2008-08-01,34833.923,189207.0,463260.0,570.212,2795.0,13623.0,0.0,0.0,0.0
2008-09-01,32173.434,174756.0,427878.0,526.6610000000001,2581.0,12583.0,0.0,0.0,0.0
2008-10-01,28229.59,153334.0,375429.0,462.103,2265.0,11040.0,0.0,0.0,0.0
2008-11-01,18229.617,99018.0,242437.0,298.409,1463.0,7129.0,0.0,0.0,0.0
2008-12-01,19971.061,108476.0,265597.0,326.915,1602.0,7810.0,0.0,0.0,0.0
2009-01-01,14819.49,80495.0,195545.0,237.98100000000002,1166.0,5672.0,0.0,0.0,0.0
2009-02-01,18890.824,102609.0,249266.0,303.362,1487.0,7228.0,0.0,0.0,0.0
2009-03-01,25971.399,141068.0,342696.0,417.06600000000003,2044.0,9937.0,0.0,0.0,0.0
2009-04-01,24822.649,134829.0,327537.0,398.619,1954.0,9498.0,0.0,0.0,0.0
2009-05-01,23208.319,126060.0,306236.0,372.695,1827.0,8880.0,0.0,0.0,0.0
2009-06-01,25523.64,138636.0,336787.0,409.87600000000003,2009.0,9766.0,0.0,0.0,0.0
2009-07-01,32148.032,174618.0,424196.0,516.255,2530.0,12300.0,0.0,0.0,0.0
2009-08-01,37655.523,204533.0,496868.0,604.698,2964.0,14408.0,0.0,0.0,0.0
2009-09-01,30196.883,164020.0,398450.0,484.922,2377.0,11554.0,0.0,0.0,0.0
2009-10-01,22511.013,122273.0,297035.0,361.497,1772.0,8613.0,0.0,0.0,0.0
2009-11-01,23918.59,129918.0,315608.0,384.101,1883.0,9152.0,0.0,0.0,0.0
2009-12-01,17680.638,96036.0,233297.0,283.928,1392.0,6765.0,0.0,0.0,0.0
2010-01-01,16838.218,91460.0,217568.0,252.71800000000002,1239.0,5981.0,0.0,0.0,0.0
2010-02-01,16349.242,88804.0,211249.0,245.37800000000001,1203.0,5808.0,0.0,0.0,0.0
2010-03-01,23483.420000000002,127555.0,303429.0,352.452,1728.0,8341.0,0.0,0.0,0.0
2010-04-01,24887.36,135180.0,321570.0,373.523,1831.0,8840.0,0.0,0.0,0.0
2010-05-01,23789.937,129219.0,307390.0,357.052,1750.0,8450.0,0.0,0.0,0.0
2010-06-01,35938.714,195208.0,464365.0,539.388,2644.0,12766.0,0.0,0.0,0.0
2010-07-01,49180.739,267134.0,635465.0,738.1310000000001,3618.0,17469.0,0.0,0.0,0.0
2010-08-01,41837.25,227247.0,540580.0,627.916,3078.0,14861.0,0.0,0.0,0.0
2010-09-01,36411.326,197775.0,470471.0,546.481,2679.0,12934.0,0.0,0.0,0.0
2010-10-01,29852.228000000003,162148.0,385721.0,448.03900000000004,2196.0,10604.0,0.0,0.0,0.0
2010-11-01,35083.347,190562.0,453313.0,526.55,2581.0,12462.0,0.0,0.0,0.0
2010-12-01,34938.219,189773.0,451438.0,524.3720000000001,2570.0,12411.0,0.0,0.0,0.0
2011-01-01,21902.916,118970.0,284694.0,88.393,433.0,2088.0,0.0,0.0,0.0
2011-02-01,24841.243,134930.0,322888.0,100.254,491.0,2371.0,0.0,0.0,0.0
2011-03-01,31451.639,170835.0,408810.0,126.932,622.0,3001.0,0.0,0.0,0.0
2011-04-01,26820.675,145681.0,348616.0,108.242,531.0,2560.0,0.0,0.0,0.0
2011-05-01,31743.881,172423.0,412608.0,128.111,628.0,3030.0,0.0,0.0,0.0
2011-06-01,33082.668,179695.0,430010.0,133.514,654.0,3157.0,0.0,0.0,0.0
2011-07-01,43044.726,233805.0,559497.0,173.719,851.0,4108.0,0.0,0.0,0.0
2011-08-01,38318.728,208135.0,498068.0,154.646,758.0,3657.0,0.0,0.0,0.0
2011-09-01,33954.997,184433.0,441348.0,137.035,672.0,3240.0,0.0,0.0,0.0
2011-10-01,28686.785,155818.0,372872.0,115.773,567.0,2738.0,0.0,0.0,0.0
2011-11-01,30268.537,164409.0,393432.0,122.157,599.0,2889.0,0.0,0.0,0.0
2011-12-01,35984.205,195455.0,467725.0,145.224,712.0,3434.0,0.0,0.0,0.0
2012-01-01,34836.108,189219.0,402864.0,415.665,2037.0,9818.0,0.0,0.0,0.0
2012-02-01,40467.365,219806.0,467986.0,482.855,2367.0,11406.0,0.0,0.0,0.0
2012-03-01,35308.818,191786.0,408330.0,421.304,2065.0,9952.0,0.0,0.0,0.0
2012-04-01,36328.5,197325.0,420122.0,433.471,2125.0,10239.0,0.0,0.0,0.0
2012-05-01,33223.387,180459.0,384213.0,396.42,1943.0,9364.0,0.0,0.0,0.0
2012-06-01,37907.765,205903.0,438386.0,452.314,2217.0,10684.0,0.0,0.0,0.0
2012-07-01,46575.931,252986.0,538629.0,555.743,2724.0,13127.0,0.0,0.0,0.0
2012-08-01,42877.692,232898.0,495860.0,511.615,2508.0,12085.0,0.0,0.0,0.0
2012-09-01,36790.342,199833.0,425464.0,438.981,2152.0,10370.0,0.0,0.0,0.0
2012-10-01,32080.725,174252.0,370999.0,382.786,1876.0,9042.0,0.0,0.0,0.0
2012-11-01,32445.273,176232.0,375214.0,387.136,1898.0,9144.0,0.0,0.0,0.0
2012-12-01,35259.094,191516.0,407755.0,420.71,2062.0,9937.0,0.0,0.0,0.0
2013-01-01,59917.679,325454.0,691431.0,556.191,2726.0,13130.0,0.0,0.0,0.0
2013-02-01,56703.327,307995.0,654338.0,526.355,2580.0,12427.0,0.0,0.0,0.0
2013-03-01,52540.973,285386.0,606305.0,487.717,2391.0,11515.0,0.0,0.0,0.0
2013-04-01,49130.907,266864.0,566954.0,456.063,2235.0,10767.0,0.0,0.0,0.0
2013-05-01,52128.292,283144.0,601544.0,483.887,2372.0,11425.0,0.0,0.0,0.0
2013-06-01,54063.953,293658.0,623881.0,501.855,2460.0,11848.0,0.0,0.0,0.0
2013-07-01,70924.519,385240.0,818446.0,658.365,3227.0,15543.0,0.0,0.0,0.0
2013-08-01,67862.886,368610.0,783116.0,629.945,3088.0,14873.0,0.0,0.0,0.0
2013-09-01,58154.186,315875.0,671080.0,539.823,2646.0,12745.0,0.0,0.0,0.0
2013-10-01,55767.986,302914.0,643544.0,517.672,2537.0,12222.0,0.0,0.0,0.0
2013-11-01,55251.732,300110.0,637587.0,512.88,2514.0,12109.0,0.0,0.0,0.0
2013-12-01,58738.56,319049.0,677824.0,545.247,2673.0,12873.0,0.0,0.0,0.0
2014-01-01,61844.027,341658.0,634970.0,370.875,1818.0,9193.0,0.0,0.0,0.0
2014-02-01,55915.8,308907.0,574104.0,335.323,1644.0,8313.0,0.0,0.0,0.0
2014-03-01,63447.918,350518.0,651438.0,380.493,1865.0,9432.0,0.0,0.0,0.0
2014-04-01,50682.917,279998.0,520377.0,303.942,1490.0,7534.0,0.0,0.0,0.0
2014-05-01,66825.897,369180.0,686121.0,400.751,1964.0,9934.0,0.0,0.0,0.0
2014-06-01,80913.47,447007.0,830763.0,485.233,2378.0,12028.0,0.0,0.0,0.0
2014-07-01,91436.736,505143.0,938808.0,548.34,2688.0,13592.0,0.0,0.0,0.0
2014-08-01,90352.663,499154.0,927678.0,541.839,2656.0,13431.0,0.0,0.0,0.0
2014-09-01,84716.786,468018.0,869813.0,508.041,2490.0,12593.0,0.0,0.0,0.0
2014-10-01,86337.59,476972.0,886454.0,517.761,2538.0,12834.0,0.0,0.0,0.0
2014-11-01,60958.227,336764.0,625876.0,365.563,1792.0,9061.0,0.0,0.0,0.0
2014-12-01,78012.969,430983.0,800982.0,467.839,2293.0,11597.0,0.0,0.0,0.0
2015-01-01,63890.329,356515.0,684542.0,301.128,1476.0,7113.0,0.0,0.0,0.0
2015-02-01,51342.865,286499.0,550104.0,241.989,1186.0,5715.0,0.0,0.0,0.0
2015-03-01,65816.784,367265.0,705183.0,310.207,1520.0,7327.0,0.0,0.0,0.0
2015-04-01,59370.676,331295.0,636118.0,279.826,1372.0,6609.0,0.0,0.0,0.0
2015-05-01,59215.819,330431.0,634458.0,279.096,1368.0,6592.0,0.0,0.0,0.0
2015-06-01,71407.173,398460.0,765080.0,336.556,1650.0,7949.0,0.0,0.0,0.0
2015-07-01,88247.127,492429.0,945510.0,415.926,2039.0,9824.0,0.0,0.0,0.0
2015-08-01,87488.91,488198.0,937385.0,412.352,2021.0,9739.0,0.0,0.0,0.0
2015-09-01,74702.447,416848.0,800387.0,352.087,1726.0,8316.0,0.0,0.0,0.0
2015-10-01,72604.03,405139.0,777904.0,342.197,1677.0,8082.0,0.0,0.0,0.0
2015-11-01,67068.634,374250.0,718596.0,316.108,1549.0,7466.0,0.0,0.0,0.0
2015-12-01,70128.206,391323.0,751377.0,330.528,1620.0,7807.0,0.0,0.0,0.0
2016-01-01,64407.332,395708.0,680638.0,200.31,1199.0,4731.0,0.0,0.0,0.0
2016-02-01,59945.084,368293.0,633482.0,186.433,1116.0,4404.0,0.0,0.0,0.0
2016-03-01,65215.58,400674.0,689180.0,202.824,1214.0,4791.0,0.0,0.0,0.0
2016-04-01,57159.429,351178.0,604044.0,177.769,1064.0,4198.0,0.0,0.0,0.0
2016-05-01,61679.154,378947.0,651808.0,191.826,1148.0,4531.0,0.0,0.0,0.0
2016-06-01,79312.591,487284.0,838153.0,246.667,1477.0,5826.0,0.0,0.0,0.0
2016-07-01,97194.791,597149.0,1027127.0,302.282,1809.0,7140.0,0.0,0.0,0.0
2016-08-01,98450.654,604865.0,1040399.0,306.187,1833.0,7232.0,0.0,0.0,0.0
2016-09-01,83408.428,512448.0,881437.0,259.405,1553.0,6127.0,0.0,0.0,0.0
2016-10-01,66999.352,411633.0,708030.0,208.372,1247.0,4921.0,0.0,0.0,0.0
2016-11-01,71001.469,436222.0,750323.0,220.819,1322.0,5216.0,0.0,0.0,0.0
2016-12-01,70772.136,434813.0,747900.0,220.106,1318.0,5199.0,0.0,0.0,0.0
2017-01-01,76107.879,455579.0,788253.0,277.936,1715.0,6767.0,0.0,0.0,0.0
2017-02-01,71262.245,426573.0,738068.0,260.24,1606.0,6338.0,0.0,0.0,0.0
2017-03-01,70460.611,421775.0,729766.0,257.313,1588.0,6266.0,0.0,0.0,0.0
2017-04-01,58133.632,347986.0,602094.0,212.296,1310.0,5170.0,0.0,0.0,0.0
2017-05-01,61480.928,368023.0,636763.0,224.52,1386.0,5468.0,0.0,0.0,0.0
2017-06-01,77729.805,465288.0,805053.0,283.859,1752.0,6913.0,0.0,0.0,0.0
2017-07-01,99862.68,597774.0,1034285.0,364.685,2251.0,8880.0,0.0,0.0,0.0
2017-08-01,96808.66,579493.0,1002654.0,353.532,2182.0,8609.0,0.0,0.0,0.0
2017-09-01,89922.494,538273.0,931333.0,328.385,2026.0,7996.0,0.0,0.0,0.0
2017-10-01,88932.306,532346.0,921078.0,324.769,2004.0,7909.0,0.0,0.0,0.0
2017-11-01,71357.258,427142.0,739052.0,260.587,1608.0,6346.0,0.0,0.0,0.0
2017-12-01,76368.502,457139.0,790953.0,278.888,1721.0,6792.0,0.0,0.0,0.0
2018-01-01,63299.263,389164.0,670247.0,109.671,656.0,2592.0,0.0,0.0,0.0
2018-02-01,66439.687,408471.0,703498.0,115.112,689.0,2718.0,0.0,0.0,0.0
2018-03-01,74035.082,455167.0,783922.0,128.272,768.0,3029.0,0.0,0.0,0.0
2018-04-01,64474.698,396390.0,682692.0,111.707,669.0,2637.0,0.0,0.0,0.0
2018-05-01,62706.864,385521.0,663973.0,108.644,650.0,2565.0,0.0,0.0,0.0
2018-06-01,79150.801,486619.0,838091.0,137.135,821.0,3238.0,0.0,0.0,0.0
2018-07-01,93893.995,577260.0,994199.0,162.679,974.0,3841.0,0.0,0.0,0.0
2018-08-01,92463.012,568462.0,979046.0,160.199,959.0,3782.0,0.0,0.0,0.0
2018-09-01,80308.943,493739.0,850353.0,139.141,833.0,3285.0,0.0,0.0,0.0
2018-10-01,74133.377,455772.0,784963.0,128.442,769.0,3033.0,0.0,0.0,0.0
2018-11-01,59673.28,366871.0,631851.0,103.389,619.0,2441.0,0.0,0.0,0.0
2018-12-01,60954.998,374751.0,645423.0,105.609,632.0,2494.0,0.0,0.0,0.0
2019-01-01,72180.76,443441.0,757589.0,126.902,760.0,2997.0,0.0,0.0,0.0
2019-02-01,69034.514,424112.0,724567.0,121.372,727.0,2867.0,0.0,0.0,0.0
2019-03-01,71461.727,439024.0,750042.0,125.64,752.0,2968.0,0.0,0.0,0.0
2019-04-01,49111.559,301716.0,515461.0,86.345,517.0,2040.0,0.0,0.0,0.0
2019-05-01,66387.573,407851.0,696785.0,116.719,699.0,2757.0,0.0,0.0,0.0
2019-06-01,78019.268,479310.0,818868.0,137.169,821.0,3240.0,0.0,0.0,0.0
2019-07-01,98753.405,606689.0,1036487.0,173.622,1039.0,4101.0,0.0,0.0,0.0
2019-08-01,96565.5,593248.0,1013524.0,169.776,1016.0,4010.0,0.0,0.0,0.0
2019-09-01,82880.886,509177.0,869894.0,145.716,872.0,3441.0,0.0,0.0,0.0
2019-10-01,78750.439,483802.0,826542.0,138.454,829.0,3270.0,0.0,0.0,0.0
2019-11-01,68650.271,421751.0,720534.0,120.697,722.0,2851.0,0.0,0.0,0.0
2019-12-01,77120.098,473786.0,809430.0,135.588,812.0,3203.0,0.0,0.0,0.0
2020-01-01,79189.624,486457.0,828702.0,447.727,2680.0,10575.0,0.0,0.0,0.0
2020-02-01,72392.007,444699.0,757567.0,409.294,2450.0,9667.0,0.0,0.0,0.0
2020-03-01,71594.473,439800.0,749220.0,404.785,2423.0,9561.0,0.0,0.0,0.0
2020-04-01,56199.655,345231.0,588117.0,317.745,1902.0,7505.0,0.0,0.0,0.0
2020-05-01,58958.266,362177.0,616986.0,333.342,1995.0,7873.0,0.0,0.0,0.0
2020-06-01,78600.566,482838.0,822538.0,444.396,2660.0,10497.0,0.0,0.0,0.0
2020-07-01,99533.757,611429.0,1041599.0,562.75,3369.0,13291.0,0.0,0.0,0.0
2020-08-01,98305.387,603884.0,1028744.0,555.805,3327.0,13128.0,0.0,0.0,0.0
2020-09-01,88011.278,540648.0,921019.0,497.603,2979.0,11753.0,0.0,0.0,0.0
2020-10-01,76064.917,467262.0,796003.0,430.06,2574.0,10158.0,0.0,0.0,0.0
2020-11-01,57758.622,354807.0,604432.0,326.559,1955.0,7713.0,0.0,0.0,0.0
2020-12-01,81702.448,501893.0,854998.0,461.934,2765.0,10911.0,0.0,0.0,0.0
2021-01-01,73986.085,454808.0,786812.0,420.7,2518.0,9936.0,0.0,0.0,0.0
2021-02-01,66183.787,406845.0,703839.0,376.334,2253.0,8890.0,0.0,0.0,0.0
2021-03-01,65769.386,404298.0,699432.0,373.977,2239.0,8834.0,0.0,0.0,0.0
2021-04-01,55699.398,342396.0,592342.0,316.718,1896.0,7482.0,0.0,0.0,0.0
2021-05-01,64192.361,394604.0,682661.0,365.01,2185.0,8622.0,0.0,0.0,0.0
2021-06-01,73881.907,454167.0,785705.0,420.107,2515.0,9924.0,0.0,0.0,0.0
2021-07-01,80887.583,497233.0,860208.0,459.942,2753.0,10865.0,0.0,0.0,0.0
2021-08-01,80741.711,496336.0,858657.0,459.113,2748.0,10845.0,0.0,0.0,0.0
2021-09-01,72341.476,444698.0,769324.0,411.348,2462.0,9716.0,0.0,0.0,0.0
2021-10-01,63095.881,387863.0,671001.0,358.775,2148.0,8475.0,0.0,0.0,0.0
2021-11-01,65435.037,402243.0,695877.0,372.076,2227.0,8789.0,0.0,0.0,0.0
2021-12-01,75428.388,463674.0,802152.0,428.9,2567.0,10131.0,0.0,0.0,0.0
2022-01-01,71215.493,436879.0,740455.0,442.174,2647.0,10442.0,0.0,0.0,0.0
2022-02-01,66325.615,406882.0,689612.0,411.812,2465.0,9727.0,0.0,0.0,0.0
2022-03-01,68914.055,422761.0,716526.0,427.883,2561.0,10107.0,0.0,0.0,0.0
2022-04-01,54817.34,336283.0,569956.0,340.358,2037.0,8039.0,0.0,0.0,0.0
2022-05-01,57746.561,354253.0,600413.0,358.545,2146.0,8469.0,0.0,0.0,0.0
2022-06-01,69090.518,423843.0,718360.0,428.979,2568.0,10132.0,0.0,0.0,0.0
2022-07-01,82389.619,505428.0,856636.0,511.552,3062.0,12083.0,0.0,0.0,0.0
2022-08-01,81787.559,501735.0,850376.0,507.814,3040.0,11994.0,0.0,0.0,0.0
2022-09-01,74020.081,454084.0,769614.0,459.586,2751.0,10855.0,0.0,0.0,0.0
2022-10-01,70247.863,430943.0,730393.0,436.165,2611.0,10302.0,0.0,0.0,0.0
2022-11-01,63580.039,390039.0,661066.0,394.765,2363.0,9324.0,0.0,0.0,0.0
2022-12-01,72696.257,445963.0,755850.0,451.367,2702.0,10661.0,0.0,0.0,0.0
2023-01-01,76419.601,469088.0,816622.0,458.417,2744.0,10828.0,0.0,0.0,0.0
2023-02-01,69949.279,429372.0,747479.0,419.603,2512.0,9911.0,0.0,0.0,0.0
2023-03-01,73696.486,452373.0,787522.0,442.081,2646.0,10442.0,0.0,0.0,0.0
2023-04-01,57824.083,354943.0,617909.0,346.868,2076.0,8192.0,0.0,0.0,0.0
2023-05-01,62262.721,382189.0,665341.0,373.494,2236.0,8822.0,0.0,0.0,0.0
2023-06-01,75105.918,461025.0,802583.0,450.536,2697.0,10641.0,0.0,0.0,0.0
2023-07-01,84866.439,520938.0,906884.0,509.086,3047.0,12024.0,0.0,0.0,0.0
2023-08-01,83955.862,515348.0,897154.0,503.624,3015.0,11895.0,0.0,0.0,0.0
2023-09-01,74910.791,459827.0,800498.0,449.366,2690.0,10613.0,0.0,0.0,0.0
2023-10-01,56631.217,347621.0,605162.0,339.712,2034.0,8024.0,0.0,0.0,0.0
2023-11-01,57611.867,353640.0,615641.0,345.595,2069.0,8163.0,0.0,0.0,0.0
2023-12-01,69451.736,426317.0,742163.0,416.618,2494.0,9840.0,0.0,0.0,0.0
2024-01-01,50384.21,301598.0,545782.0,451.975,2789.0,11008.0,0.0,0.0,0.0
2024-02-01,49569.815,296723.0,536960.0,444.669,2744.0,10830.0,0.0,0.0,0.0
2024-03-01,52260.23,312828.0,566104.0,468.804,2893.0,11417.0,0.0,0.0,0.0
2024-04-01,41743.123,249873.0,452178.0,374.46,2311.0,9120.0,0.0,0.0,0.0
2024-05-01,49595.608,296878.0,537239.0,444.901,2746.0,10835.0,0.0,0.0,0.0
2024-06-01,56246.353,336689.0,609283.0,504.562,3114.0,12288.0,0.0,0.0,0.0
2024-07-01,60742.913,363605.0,657992.0,544.899,3363.0,13270.0,0.0,0.0,0.0
2024-08-01,58500.475,350182.0,633700.0,524.783,3238.0,12780.0,0.0,0.0,0.0
2024-09-01,51138.251,306112.0,553949.0,458.739,2831.0,11172.0,0.0,0.0,0.0
2024-10-01,38807.728,232302.0,420381.0,348.127,2148.0,8478.0,0.0,0.0,0.0
2024-11-01,44444.02,266040.0,481435.0,398.688,2460.0,9709.0,0.0,0.0,0.0
2024-12-01,53184.274,318359.0,576113.0,477.093,2944.0,11618.0,0.0,0.0,0.0
