measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Other Biomass Gas-Fuel Cell Generation,Other Biomass Gas-Fuel Cell Quantity Consumed For Electricity,Other Biomass Gas-Fuel Cell Total Fuel Consumed,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2020-06-01,1079.521,13319.0,13319.0,0.0,0.0,0.0,17.254,213.0,213.0,0.0,0.0,0.0,441.357,3869.0,3869.0
2020-07-01,1510.136,18632.0,18632.0,0.0,0.0,0.0,19.378,239.0,239.0,0.0,0.0,0.0,498.52,4371.0,4371.0
2020-08-01,1877.959,23170.0,23170.0,0.0,0.0,0.0,18.501,228.0,228.0,0.0,0.0,0.0,413.01,3621.0,3621.0
2020-09-01,1635.41,20178.0,20178.0,0.0,0.0,0.0,18.351,226.0,226.0,0.0,0.0,0.0,324.294,2843.0,2843.0
2020-10-01,1698.414,20955.0,20955.0,0.0,0.0,0.0,17.661,218.0,218.0,0.0,0.0,0.0,299.754,2628.0,2628.0
2020-11-01,1356.633,16738.0,16738.0,0.0,0.0,0.0,17.78,220.0,220.0,0.0,0.0,0.0,236.977,2078.0,2078.0
2020-12-01,1503.74,18553.0,18553.0,0.0,0.0,0.0,15.88,196.0,196.0,0.0,0.0,0.0,187.627,1645.0,1645.0
2021-01-01,1484.018,17652.0,17652.0,0.0,0.0,0.0,72.889,865.0,865.0,0.0,0.0,0.0,198.795,1758.0,1758.0
2021-02-01,1258.494,14969.0,14969.0,0.0,0.0,0.0,67.7,806.0,806.0,0.0,0.0,0.0,260.414,2303.0,2303.0
2021-03-01,1353.124,16094.0,16094.0,0.0,0.0,0.0,75.605,900.0,900.0,0.0,0.0,0.0,336.24,2974.0,2974.0
2021-04-01,1200.673,14281.0,14281.0,0.0,0.0,0.0,62.733,746.0,746.0,0.0,0.0,0.0,420.884,3722.0,3722.0
2021-05-01,1254.858,14926.0,14926.0,0.0,0.0,0.0,67.903,808.0,808.0,0.0,0.0,0.0,458.756,4057.0,4057.0
2021-06-01,1715.946,20410.0,20410.0,0.0,0.0,0.0,69.769,830.0,830.0,0.0,0.0,0.0,445.632,3941.0,3941.0
2021-07-01,2367.973,28165.0,28165.0,0.0,0.0,0.0,67.801,807.0,807.0,0.0,0.0,0.0,426.831,3775.0,3775.0
2021-08-01,2162.039,25716.0,25716.0,0.0,0.0,0.0,67.367,802.0,802.0,0.0,0.0,0.0,419.832,3713.0,3713.0
2021-09-01,1839.64,21881.0,21881.0,0.0,0.0,0.0,68.368,813.0,813.0,0.0,0.0,0.0,362.003,3202.0,3202.0
2021-10-01,1753.742,20860.0,20860.0,0.0,0.0,0.0,66.977,797.0,797.0,0.0,0.0,0.0,301.304,2665.0,2665.0
2021-11-01,1611.776,19171.0,19171.0,0.0,0.0,0.0,65.989,785.0,785.0,0.0,0.0,0.0,239.745,2120.0,2120.0
2021-12-01,1663.571,19787.0,19787.0,0.0,0.0,0.0,66.125,787.0,787.0,0.0,0.0,0.0,163.814,1449.0,1449.0
2022-01-01,1487.101,14334.0,14334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.898,723.0,723.0
2022-02-01,1234.692,11900.0,11900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.751,862.0,862.0
2022-03-01,1142.418,11011.0,11011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.094,1143.0,1143.0
2022-04-01,1170.218,11279.0,11279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.997,1290.0,1290.0
2022-05-01,1073.873,10350.0,10350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.024,1512.0,1512.0
2022-06-01,1460.54,14077.0,14077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.299,1574.0,1574.0
2022-07-01,1951.134,18805.0,18805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.916,1518.0,1518.0
2022-08-01,2354.303,22691.0,22691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.101,1410.0,1410.0
2022-09-01,2157.712,20796.0,20796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.623,1190.0,1190.0
2022-10-01,1981.527,19098.0,19098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.183,1096.0,1096.0
2022-11-01,1819.692,17538.0,17538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.103,812.0,812.0
2022-12-01,2011.34,19386.0,19386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.461,568.0,568.0
2024-01-01,1034.488,14134.0,14134.0,0.0,0.0,0.0,344.512,4707.0,4707.0,0.0,0.0,0.0,153.0,522.0,522.0
2024-02-01,1105.105,14600.0,14600.0,0.0,0.0,0.0,384.895,5085.0,5085.0,0.0,0.0,0.0,220.0,751.0,751.0
2024-03-01,1327.842,17749.0,17749.0,0.0,0.0,0.0,455.158,6084.0,6084.0,0.0,0.0,0.0,343.0,1170.0,1170.0
2024-04-01,1278.49,17229.0,17229.0,0.0,0.0,0.0,433.51,5842.0,5842.0,0.0,0.0,0.0,422.0,1440.0,1440.0
2024-05-01,1136.095,15347.0,15347.0,0.0,0.0,0.0,383.905,5186.0,5186.0,0.0,0.0,0.0,456.0,1556.0,1556.0
2024-06-01,1208.661,15347.0,15347.0,0.0,0.0,0.0,444.339,5642.0,5642.0,0.0,0.0,0.0,415.0,1416.0,1416.0
2024-07-01,911.417,13876.0,13876.0,0.0,0.0,0.0,370.583,5642.0,5642.0,0.0,0.0,0.0,350.0,1194.0,1194.0
2024-08-01,1188.295,15986.0,15986.0,0.0,0.0,0.0,403.705,5431.0,5431.0,0.0,0.0,0.0,259.0,884.0,884.0
2024-09-01,906.333,12292.0,12292.0,0.0,0.0,0.0,304.667,4132.0,4132.0,0.0,0.0,0.0,219.0,747.0,747.0
2024-10-01,766.712,11003.0,11003.0,0.0,0.0,0.0,239.288,3434.0,3434.0,0.0,0.0,0.0,215.0,734.0,734.0
2024-11-01,862.312,12415.0,12415.0,0.0,0.0,0.0,267.688,3854.0,3854.0,0.0,0.0,0.0,136.0,464.0,464.0
2024-12-01,1189.453,15876.0,15876.0,0.0,0.0,0.0,408.547,5453.0,5453.0,0.0,0.0,0.0,120.0,409.0,409.0
