measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2022-08-01,,,,6732.87,22973.0,22973.0
2022-09-01,,,,12580.945,42926.0,42926.0
2022-10-01,,,,16488.791,56260.0,56260.0
2022-11-01,,,,18313.154,62484.0,62484.0
2022-12-01,,,,26503.83,90431.0,90431.0
2023-01-01,0.0,0.0,0.0,20611.0,70325.0,70325.0
2023-02-01,0.0,0.0,0.0,23133.0,78930.0,78930.0
2023-03-01,0.0,0.0,0.0,23825.0,81291.0,81291.0
2023-04-01,0.0,0.0,0.0,26990.0,92090.0,92090.0
2023-05-01,0.0,0.0,0.0,24479.0,83522.0,83522.0
2023-06-01,0.0,0.0,0.0,24947.0,85119.0,85119.0
2023-07-01,0.0,0.0,0.0,28175.0,96133.0,96133.0
2023-08-01,0.0,0.0,0.0,22107.0,75429.0,75429.0
2023-09-01,0.0,0.0,0.0,23856.0,81397.0,81397.0
2023-10-01,0.0,0.0,0.0,22949.0,78302.0,78302.0
2023-11-01,0.0,0.0,0.0,25195.0,85965.0,85965.0
2023-12-01,0.0,0.0,0.0,23963.0,81762.0,81762.0
2024-01-01,-129.0,0.0,0.0,25040.0,85436.0,85436.0
2024-02-01,-138.0,0.0,0.0,22203.0,75757.0,75757.0
2024-03-01,-150.0,0.0,0.0,25682.0,87627.0,87627.0
2024-04-01,-175.0,0.0,0.0,27387.0,93444.0,93444.0
2024-05-01,-189.0,0.0,0.0,28122.0,95952.0,95952.0
2024-06-01,-201.0,0.0,0.0,23060.0,78681.0,78681.0
2024-07-01,-187.0,0.0,0.0,26054.0,88896.0,88896.0
2024-08-01,-189.0,0.0,0.0,27660.0,94376.0,94376.0
2024-09-01,-120.0,0.0,0.0,14508.0,49501.0,49501.0
2024-10-01,-112.0,0.0,0.0,13336.0,45502.0,45502.0
2024-11-01,-113.0,0.0,0.0,12665.0,43213.0,43213.0
2024-12-01,-103.0,0.0,0.0,16616.0,56694.0,56694.0
