measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2016-01-01,14032.642,100786.0,643103.0,656.872,4718.0,30104.0,0.0,0.0,0.0,189.05,1358.0,8664.0,7361.715,52874.0,337380.0
2016-02-01,12662.833,90948.0,488005.0,1022.319,7343.0,39399.0,0.0,0.0,0.0,16.192,116.0,624.0,6979.619,50129.0,268983.0
2016-03-01,17096.015,122788.0,655573.0,494.687,3553.0,18970.0,0.0,0.0,0.0,5.633,40.0,216.0,9085.293,65253.0,348389.0
2016-04-01,16638.846,119504.0,630202.0,511.664,3675.0,19379.0,0.0,0.0,0.0,11.723,84.0,444.0,8850.585,63567.0,335219.0
2016-05-01,17917.824,128690.0,658345.0,809.283,5812.0,29735.0,0.0,0.0,0.0,13.064,94.0,480.0,8514.324,61152.0,312837.0
2016-06-01,18618.759,133724.0,658358.0,325.983,2341.0,11527.0,0.0,0.0,0.0,24.774,178.0,876.0,9178.28,65921.0,324543.0
2016-07-01,19900.653,142931.0,665283.0,3661.022,26294.0,122389.0,0.0,0.0,0.0,28.896,208.0,966.0,8924.985,64101.0,298364.0
2016-08-01,18308.305,131495.0,644875.0,3256.906,23392.0,114718.0,0.0,0.0,0.0,6.984,50.0,246.0,7186.658,51616.0,253136.0
2016-09-01,18652.288,133965.0,620758.0,2253.028,16182.0,74982.0,0.0,0.0,0.0,38.221,275.0,1272.0,9181.814,65946.0,305576.0
2016-10-01,17807.424,127897.0,640090.0,724.164,5201.0,26030.0,0.0,0.0,0.0,9.848,71.0,354.0,8972.945,64446.0,322533.0
2016-11-01,16919.334,121519.0,640761.0,1181.339,8485.0,44739.0,0.0,0.0,0.0,0.0,0.0,0.0,8530.655,61269.0,323069.0
2016-12-01,15969.069,114694.0,633950.0,967.793,6951.0,38420.0,0.0,0.0,0.0,0.0,0.0,0.0,7900.414,56743.0,313635.0
2017-01-01,15652.263,112418.0,596703.0,530.239,3808.0,20214.0,0.0,0.0,0.0,0.0,0.0,0.0,7879.774,56594.0,300397.0
2017-02-01,14171.608,101784.0,529972.0,370.211,2659.0,13845.0,0.0,0.0,0.0,0.0,0.0,0.0,8742.661,62792.0,326947.0
2017-03-01,15856.009,113882.0,589880.0,211.104,1516.0,7854.0,0.0,0.0,0.0,0.0,0.0,0.0,9475.301,68054.0,352503.0
2017-04-01,13380.65,96103.0,525752.0,889.271,6387.0,34941.0,0.0,0.0,0.0,0.0,0.0,0.0,9117.955,65487.0,358263.0
2017-05-01,12598.562,90486.0,515924.0,820.505,5893.0,33601.0,0.0,0.0,0.0,2.96,21.0,121.0,6890.997,49493.0,282193.0
2017-06-01,17170.004,123319.0,620441.0,1371.34,9849.0,49554.0,0.0,0.0,0.0,2.006,14.0,72.0,8166.223,58652.0,295088.0
2017-07-01,18092.764,129947.0,633525.0,2890.843,20763.0,101224.0,0.0,0.0,0.0,1.385,10.0,48.0,8423.111,60497.0,294938.0
2017-08-01,18013.03,129374.0,640611.0,2281.768,16388.0,81148.0,0.0,0.0,0.0,0.0,0.0,0.0,7941.489,57038.0,282429.0
2017-09-01,18052.457,129657.0,622482.0,996.973,7161.0,34377.0,0.0,0.0,0.0,0.352,3.0,12.0,7752.94,55684.0,267336.0
2017-10-01,17744.112,127443.0,639509.0,723.886,5199.0,26089.0,0.0,0.0,0.0,0.0,0.0,0.0,8717.567,62612.0,314187.0
2017-11-01,16581.627,119093.0,629869.0,414.253,2975.0,15736.0,0.0,0.0,0.0,0.0,0.0,0.0,8264.293,59356.0,313927.0
2017-12-01,16807.267,120714.0,664148.0,338.013,2428.0,13357.0,0.0,0.0,0.0,190.074,1365.0,7511.0,8006.791,57507.0,316393.0
2018-01-01,15956.674,114605.0,642451.0,584.696,4199.0,23541.0,0.0,0.0,0.0,4.735,34.0,191.0,8446.73,60666.0,340084.0
2018-02-01,15486.168,111225.0,597617.0,564.342,4053.0,21778.0,0.0,0.0,0.0,1.325,10.0,51.0,7492.531,53813.0,289140.0
2018-03-01,16538.794,118786.0,663635.0,804.807,5780.0,32294.0,0.0,0.0,0.0,6.56,47.0,263.0,7899.766,56738.0,316986.0
2018-04-01,16298.714,117061.0,632323.0,592.635,4256.0,22992.0,0.0,0.0,0.0,11.432,82.0,444.0,8103.095,58198.0,314367.0
2018-05-01,17684.231,127012.0,651553.0,1079.034,7750.0,39756.0,0.0,0.0,0.0,0.0,0.0,0.0,8214.577,58999.0,302656.0
2018-06-01,17084.521,122705.0,633875.0,2085.041,14975.0,77360.0,0.0,0.0,0.0,4.512,32.0,167.0,9314.647,66900.0,345595.0
2018-07-01,20770.378,149178.0,660367.0,1363.52,9793.0,43351.0,0.0,0.0,0.0,14.064,101.0,447.0,5086.971,36536.0,161734.0
2018-08-01,19248.706,138249.0,686083.0,1430.907,10277.0,51002.0,0.0,0.0,0.0,0.0,0.0,0.0,7256.734,52120.0,258652.0
2018-09-01,6254.415,44921.0,459246.0,619.334,4448.0,45476.0,0.0,0.0,0.0,0.0,0.0,0.0,2987.947,21460.0,219398.0
2018-10-01,16295.298,117037.0,630357.0,435.879,3131.0,16861.0,0.0,0.0,0.0,1.867,13.0,72.0,8685.482,62381.0,335984.0
2018-11-01,16654.574,119617.0,614231.0,557.709,4006.0,20569.0,0.0,0.0,0.0,15.584,112.0,575.0,7980.143,57315.0,294313.0
2018-12-01,16818.714,120796.0,636329.0,1320.906,9487.0,49976.0,0.0,0.0,0.0,0.0,0.0,0.0,7378.576,52995.0,279165.0
2019-01-01,15706.183,112806.0,655447.0,614.016,4410.0,25624.0,0.0,0.0,0.0,2.648,19.0,111.0,7704.963,55339.0,321542.0
2019-02-01,14533.78,104385.0,591658.0,281.749,2024.0,11470.0,0.0,0.0,0.0,0.908,7.0,37.0,6645.116,47727.0,270517.0
2019-03-01,15646.119,112374.0,641725.0,211.198,1517.0,8662.0,0.0,0.0,0.0,0.0,0.0,0.0,7691.708,55244.0,315475.0
2019-04-01,16684.339,119831.0,646032.0,425.212,3054.0,16465.0,0.0,0.0,0.0,0.0,0.0,0.0,8225.141,59075.0,318485.0
2019-05-01,17546.296,126022.0,678046.0,1390.106,9984.0,53718.0,0.0,0.0,0.0,4.95,36.0,191.0,8165.968,58650.0,315559.0
2019-06-01,18437.358,132422.0,661619.0,2650.053,19033.0,95096.0,0.0,0.0,0.0,0.0,0.0,0.0,8218.227,59025.0,294909.0
2019-07-01,17850.697,128208.0,651679.0,663.733,4767.0,24231.0,0.0,0.0,0.0,0.0,0.0,0.0,8261.278,59335.0,301596.0
2019-08-01,18786.259,134928.0,732044.0,1441.528,10353.0,56172.0,0.0,0.0,0.0,3.939,28.0,154.0,7575.143,54407.0,295181.0
2019-09-01,19808.72,142271.0,683054.0,613.529,4407.0,21156.0,0.0,0.0,0.0,0.0,0.0,0.0,6899.313,49553.0,237905.0
2019-10-01,17592.298,126352.0,659529.0,537.385,3860.0,20146.0,0.0,0.0,0.0,4.393,32.0,165.0,7434.42,53396.0,278714.0
2019-11-01,15765.682,113233.0,647872.0,1076.536,7732.0,44239.0,0.0,0.0,0.0,2.94,21.0,121.0,7786.259,55923.0,319967.0
2019-12-01,16864.481,121125.0,706917.0,312.922,2247.0,13117.0,0.0,0.0,0.0,3.55,25.0,149.0,8698.661,62476.0,364626.0
2020-01-01,12502.411,89795.0,504203.0,1197.895,8604.0,48309.0,0.0,0.0,0.0,0.919,7.0,37.0,6468.35,46457.0,260859.0
2020-02-01,15319.978,110032.0,544758.0,843.667,6059.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,7984.328,57345.0,283912.0
2020-03-01,15857.182,113890.0,569486.0,829.71,5959.0,29798.0,0.0,0.0,0.0,0.0,0.0,0.0,8173.672,58705.0,293545.0
2020-04-01,15889.822,114125.0,561326.0,1026.36,7372.0,36257.0,0.0,0.0,0.0,0.518,4.0,18.0,7949.452,57095.0,280823.0
2020-05-01,17270.084,124038.0,594519.0,918.054,6594.0,31604.0,0.0,0.0,0.0,0.0,0.0,0.0,8473.929,60862.0,291713.0
2020-06-01,16147.628,115976.0,581269.0,1898.762,13637.0,68350.0,0.0,0.0,0.0,0.0,0.0,0.0,7019.101,50413.0,252668.0
2020-07-01,17957.215,128973.0,616870.0,2247.783,16144.0,77216.0,0.0,0.0,0.0,0.0,0.0,0.0,8773.687,63015.0,301396.0
2020-08-01,17771.476,127639.0,614813.0,582.341,4183.0,20146.0,0.0,0.0,0.0,0.0,0.0,0.0,9107.468,65412.0,315077.0
2020-09-01,16148.463,115982.0,580836.0,635.087,4561.0,22843.0,0.0,0.0,0.0,0.0,0.0,0.0,8401.172,60339.0,302178.0
2020-10-01,17237.688,123805.0,630806.0,305.165,2192.0,11167.0,0.0,0.0,0.0,0.0,0.0,0.0,8544.484,61369.0,312682.0
2020-11-01,16591.879,119167.0,618530.0,449.493,3228.0,16757.0,0.0,0.0,0.0,0.0,0.0,0.0,8350.142,59973.0,311286.0
2020-12-01,17249.941,123893.0,652835.0,545.981,3921.0,20663.0,8.276,59.0,313.0,6.342,46.0,240.0,8254.442,59285.0,312395.0
2021-01-01,15880.881,114060.0,564274.0,812.259,5834.0,28861.0,0.0,0.0,0.0,14.919,107.0,530.0,9015.066,64748.0,320320.0
2021-02-01,13381.951,96112.0,518209.0,504.103,3621.0,19521.0,0.0,0.0,0.0,96.239,691.0,3727.0,9341.31,67092.0,361738.0
2021-03-01,9267.791,66564.0,344636.0,2120.871,15233.0,78868.0,0.0,0.0,0.0,0.0,0.0,0.0,5054.018,36299.0,187941.0
2021-04-01,15199.727,109168.0,524561.0,935.922,6722.0,32300.0,0.0,0.0,0.0,1.583,11.0,55.0,9251.487,66446.0,319280.0
2021-05-01,16152.842,116014.0,590213.0,611.927,4395.0,22359.0,0.0,0.0,0.0,0.498,4.0,18.0,9660.202,69382.0,352976.0
2021-06-01,16902.262,121396.0,598838.0,2342.841,16827.0,83006.0,0.0,0.0,0.0,0.0,0.0,0.0,7953.503,57124.0,281788.0
2021-07-01,16607.017,119276.0,603050.0,2439.194,17519.0,88574.0,0.0,0.0,0.0,0.0,0.0,0.0,7678.266,55147.0,278821.0
2021-08-01,16919.415,121519.0,605863.0,2742.524,19697.0,98206.0,0.0,0.0,0.0,11.661,84.0,418.0,8983.721,64523.0,321696.0
2021-09-01,15056.719,108141.0,525086.0,1046.373,7515.0,36491.0,0.0,0.0,0.0,0.34,2.0,12.0,9338.382,67071.0,325665.0
2021-10-01,15660.536,112478.0,613275.0,577.929,4151.0,22632.0,0.0,0.0,0.0,3.622,26.0,142.0,8838.309,63479.0,346113.0
2021-11-01,15581.148,111908.0,607646.0,885.049,6357.0,34516.0,0.0,0.0,0.0,3.776,27.0,147.0,8383.138,60210.0,326932.0
2021-12-01,14365.427,103176.0,583960.0,543.561,3904.0,22096.0,0.0,0.0,0.0,8.968,64.0,365.0,9845.732,70714.0,400232.0
2022-01-01,15139.721,108737.0,588592.0,463.232,3327.0,18009.0,0.0,0.0,0.0,174.549,1254.0,6786.0,9287.057,66702.0,361056.0
2022-02-01,14053.222,100934.0,542732.0,550.085,3951.0,21244.0,0.0,0.0,0.0,74.49,535.0,2877.0,8288.113,59527.0,320085.0
2022-03-01,15732.366,112994.0,590724.0,1052.317,7558.0,39513.0,0.0,0.0,0.0,21.471,154.0,806.0,9638.875,69229.0,361924.0
2022-04-01,12335.478,88596.0,446875.0,2080.285,14941.0,75362.0,0.0,0.0,0.0,0.0,0.0,0.0,6375.116,45788.0,230950.0
2022-05-01,17898.145,128549.0,622951.0,781.001,5609.0,27183.0,0.0,0.0,0.0,20.83,150.0,725.0,10182.766,73135.0,354415.0
2022-06-01,17240.688,123827.0,580079.0,1126.235,8089.0,37893.0,0.0,0.0,0.0,0.0,0.0,0.0,9635.56,69205.0,324197.0
2022-07-01,18109.056,130064.0,620738.0,3653.55,26241.0,125236.0,0.0,0.0,0.0,0.0,0.0,0.0,7625.935,54771.0,261400.0
2022-08-01,16197.986,116338.0,581839.0,1330.228,9554.0,47782.0,0.0,0.0,0.0,9.362,67.0,336.0,9389.034,67434.0,337258.0
2022-09-01,15740.438,113052.0,579450.0,634.276,4556.0,23350.0,0.0,0.0,0.0,0.63,5.0,23.0,8126.595,58367.0,299163.0
2022-10-01,13195.396,94773.0,539444.0,559.822,4021.0,22886.0,0.0,0.0,0.0,0.426,3.0,17.0,7929.467,56951.0,324166.0
2022-11-01,14095.958,101241.0,545510.0,525.508,3774.0,20337.0,0.0,0.0,0.0,6.744,48.0,261.0,8024.719,57635.0,310555.0
2022-12-01,13966.7,100312.0,546953.0,818.142,5876.0,32039.0,0.0,0.0,0.0,0.0,0.0,0.0,8780.017,63060.0,343836.0
2023-01-01,16144.096,115951.0,682200.0,263.279,1891.0,11125.0,0.0,0.0,0.0,5.476,39.0,231.0,7969.857,57241.0,336782.0
2023-02-01,15235.31,109424.0,622904.0,276.547,1986.0,11307.0,0.0,0.0,0.0,0.0,0.0,0.0,7569.558,54366.0,309486.0
2023-03-01,17458.478,125391.0,719067.0,406.22,2918.0,16731.0,0.0,0.0,0.0,6.527,47.0,269.0,8249.646,59251.0,339780.0
2023-04-01,16542.876,118815.0,665626.0,831.613,5973.0,33461.0,0.0,0.0,0.0,0.0,0.0,0.0,7942.504,57045.0,319578.0
2023-05-01,16344.858,117393.0,660443.0,1219.901,8762.0,49292.0,0.0,0.0,0.0,0.0,0.0,0.0,8223.569,59064.0,332288.0
2023-06-01,17629.43,126619.0,640473.0,2882.914,20706.0,104736.0,0.0,0.0,0.0,0.0,0.0,0.0,8279.112,59463.0,300778.0
2023-07-01,16673.545,119753.0,597965.0,1088.418,7817.0,39034.0,0.0,0.0,0.0,7.145,51.0,256.0,9733.164,69906.0,349062.0
2023-08-01,18163.391,130454.0,733511.0,1414.145,10157.0,57109.0,0.0,0.0,0.0,0.0,0.0,0.0,8274.046,59426.0,334140.0
2023-09-01,12264.496,88087.0,543285.0,1199.229,8613.0,53123.0,0.0,0.0,0.0,0.0,0.0,0.0,5856.33,42062.0,259420.0
2023-10-01,17754.332,127516.0,663963.0,637.055,4575.0,23824.0,0.0,0.0,0.0,0.645,5.0,24.0,8821.477,63358.0,329899.0
2023-11-01,16503.615,118533.0,639919.0,423.567,3042.0,16424.0,0.0,0.0,0.0,6.387,46.0,248.0,8683.365,62366.0,336693.0
2023-12-01,16355.306,117468.0,649599.0,917.645,6591.0,36447.0,0.0,0.0,0.0,22.007,158.0,874.0,8334.086,59857.0,331013.0
2024-01-01,16566.762,118987.0,661975.0,616.57,4428.0,24637.0,0.0,0.0,0.0,14.747,106.0,589.0,7663.416,55041.0,306215.0
2024-02-01,16594.646,119187.0,652021.0,86.453,621.0,3397.0,0.0,0.0,0.0,0.0,0.0,0.0,7857.169,56432.0,308717.0
2024-03-01,18074.081,129812.0,706316.0,697.454,5009.0,27256.0,0.0,0.0,0.0,0.0,0.0,0.0,7834.643,56270.0,306170.0
2024-04-01,17986.322,129182.0,689956.0,838.837,6025.0,32178.0,0.0,0.0,0.0,7.948,57.0,305.0,7199.273,51707.0,276165.0
2024-05-01,18425.595,132337.0,714903.0,2830.625,20330.0,109827.0,0.0,0.0,0.0,3.275,24.0,127.0,5902.782,42395.0,229025.0
2024-06-01,19166.259,137657.0,706138.0,2692.595,19339.0,99203.0,0.0,0.0,0.0,0.0,0.0,0.0,7815.655,56134.0,287950.0
2024-07-01,18806.662,135074.0,713949.0,1025.147,7363.0,38917.0,0.0,0.0,0.0,8.788,63.0,334.0,8408.73,60394.0,319217.0
2024-08-01,18812.422,135115.0,760196.0,854.056,6134.0,34512.0,0.0,0.0,0.0,0.0,0.0,0.0,8410.524,60406.0,339863.0
2024-09-01,17533.688,125931.0,707635.0,1339.302,9619.0,54052.0,0.0,0.0,0.0,15.417,111.0,622.0,7314.435,52534.0,295200.0
2024-10-01,17481.233,125554.0,777001.0,686.013,4927.0,30492.0,0.0,0.0,0.0,25.759,185.0,1145.0,7690.336,55234.0,341818.0
2024-11-01,19823.201,142375.0,800821.0,712.61,5118.0,28788.0,0.0,0.0,0.0,29.174,210.0,1179.0,7200.899,51719.0,290903.0
2024-12-01,19341.283,138914.0,819443.0,336.912,2420.0,14274.0,0.0,0.0,0.0,14.87,107.0,630.0,7862.301,56469.0,333106.0
