measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-03-01,6.027,72.0,72.0,5438.447,55616.0,55616.0,,,,58591.973,700014.0,700014.0
2007-04-01,241.006,2897.0,2897.0,4460.152,45611.0,45611.0,,,,44501.994,534916.0,534916.0
2007-05-01,60.29,715.0,715.0,4551.7480000000005,46548.0,46548.0,,,,60975.71,722655.0,722655.0
2007-06-01,57.992000000000004,698.0,698.0,3919.222,40080.0,40080.0,,,,59023.008,710325.0,710325.0
2007-07-01,17.696,222.0,222.0,3656.0440000000003,37389.0,37389.0,,,,57473.304000000004,719595.0,719595.0
2007-08-01,0.0,0.0,0.0,3880.1960000000004,39681.0,39681.0,,,,58971.0,729863.0,729863.0
2007-09-01,89.628,1102.0,1102.0,4384.138,44835.0,44835.0,,,,55286.372,679922.0,679922.0
2007-10-01,28.263,332.0,332.0,4039.023,41305.0,41305.0,,,,60762.737,714504.0,714504.0
2007-11-01,0.0,0.0,0.0,3831.6960000000004,39184.0,39184.0,,,,58911.0,692959.0,692959.0
2007-12-01,243.59900000000002,2697.0,2697.0,5624.9980000000005,57524.0,57524.0,,,,45536.401,504248.0,504248.0
2008-01-01,1.869,22.0,22.0,3656.36,37442.0,37442.0,,,,60766.131,715408.0,715408.0
2008-02-01,35.662,429.0,429.0,3518.496,36032.0,36032.0,,,,54529.338,655960.0,655960.0
2008-03-01,44.228,534.0,534.0,3389.606,34712.0,34712.0,,,,58980.772,711461.0,711461.0
2008-04-01,27.282,319.0,319.0,2787.568,28547.0,28547.0,,,,56280.718,658070.0,658070.0
2008-05-01,0.888,11.0,11.0,2854.1150000000002,29228.0,29228.0,,,,58973.112,730307.0,730307.0
2008-06-01,33.406,407.0,407.0,2426.9030000000002,24853.0,24853.0,,,,56545.594,688913.0,688913.0
2008-07-01,3.571,44.0,44.0,2665.757,27299.0,27299.0,,,,58381.429000000004,719258.0,719258.0
2008-08-01,46.201,561.0,561.0,2515.413,25760.0,25760.0,,,,58288.799,707773.0,707773.0
2008-09-01,36.92,446.0,446.0,2152.521,22043.0,22043.0,,,,50886.08,614021.0,614021.0
2008-10-01,4.503,55.0,55.0,2760.129,28266.0,28266.0,,,,59034.497,721065.0,721065.0
2008-11-01,72.59100000000001,891.0,891.0,2695.0930000000003,27600.0,27600.0,,,,57395.409,704484.0,704484.0
2008-12-01,0.0,0.0,0.0,3360.039,34409.0,34409.0,,,,60207.0,757884.0,757884.0
2009-01-01,6.064,77.0,77.0,3139.152,31087.0,31087.0,,,,59729.936,758414.0,758414.0
2009-02-01,0.88,11.0,11.0,2774.822,27480.0,27480.0,,,,54393.12,680033.0,680033.0
2009-03-01,0.0,0.0,0.0,3076.009,30463.0,30463.0,,,,59682.0,753014.0,753014.0
2009-04-01,4.314,55.0,55.0,2712.737,26866.0,26866.0,,,,22147.686,282333.0,282333.0
2009-05-01,323.276,4208.0,4208.0,2306.55,22843.0,22843.0,,,,33969.724,442122.0,442122.0
2009-06-01,109.81,1359.0,1359.0,2061.733,20419.0,20419.0,,,,57115.19,706592.0,706592.0
2009-07-01,46.448,572.0,572.0,952.778,9436.0,9436.0,,,,60734.552,747944.0,747944.0
2009-08-01,0.0,0.0,0.0,1975.05,19560.0,19560.0,,,,62547.0,732206.0,732206.0
2009-09-01,1.805,22.0,22.0,1972.21,19531.0,19531.0,,,,60384.195,735875.0,735875.0
2009-10-01,136.353,1656.0,1656.0,2384.99,23620.0,23620.0,,,,61055.647,741292.0,741292.0
2009-11-01,130.62900000000002,1595.0,1595.0,2475.259,24514.0,24514.0,,,,57930.371,707341.0,707341.0
2009-12-01,2.7070000000000003,33.0,33.0,3196.71,31659.0,31659.0,,,,60065.293,732131.0,732131.0
2010-01-01,88.536,1080.0,1080.0,1415.548,14252.0,14252.0,,,,61420.464,749443.0,749443.0
2010-02-01,6.532,78.0,78.0,1312.44,13212.0,13212.0,,,,56364.468,669239.0,669239.0
2010-03-01,0.0,0.0,0.0,1398.6290000000001,14080.0,14080.0,,,,62326.0,749929.0,749929.0
2010-04-01,0.0,0.0,0.0,1130.031,11377.0,11377.0,,,,60464.0,733857.0,733857.0
2010-05-01,74.828,903.0,903.0,1004.6690000000001,10114.0,10114.0,,,,60999.172,736132.0,736132.0
2010-06-01,107.421,1296.0,1296.0,769.109,7743.0,7743.0,,,,47867.579,577667.0,577667.0
2010-07-01,0.0,0.0,0.0,937.163,9435.0,9435.0,,,,61258.0,738905.0,738905.0
2010-08-01,67.819,831.0,831.0,949.793,9562.0,9562.0,,,,60553.181,741970.0,741970.0
2010-09-01,367.466,4582.0,4582.0,1042.011,10490.0,10490.0,,,,47617.534,593697.0,593697.0
2010-10-01,88.278,1091.0,1091.0,1123.172,11308.0,11308.0,,,,56303.722,696083.0,696083.0
2010-11-01,11.648,144.0,144.0,1192.631,12007.0,12007.0,,,,54567.352,674773.0,674773.0
2010-12-01,84.21300000000001,1019.0,1019.0,1504.804,15149.0,15149.0,,,,59241.787,717094.0,717094.0
2011-01-01,207.578,2581.0,2581.0,1060.825,10627.0,10627.0,,,,55481.422,689896.0,689896.0
2011-02-01,11.029,138.0,138.0,979.348,9812.0,9812.0,,,,51312.971,644272.0,644272.0
2011-03-01,55.512,687.0,687.0,1110.553,11126.0,11126.0,,,,56589.488,700168.0,700168.0
2011-04-01,55.327,676.0,676.0,778.083,7796.0,7796.0,,,,55296.673,675382.0,675382.0
2011-05-01,170.102,2116.0,2116.0,820.026,8216.0,8216.0,,,,44963.898,559307.0,559307.0
2011-06-01,6.25,78.0,78.0,765.849,7673.0,7673.0,,,,53599.75,665077.0,665077.0
2011-07-01,113.754,1424.0,1424.0,970.546,9723.0,9723.0,,,,51322.246,642248.0,642248.0
2011-08-01,141.044,1761.0,1761.0,136.794,1370.0,1370.0,,,,51376.956,641613.0,641613.0
2011-09-01,0.0,0.0,0.0,665.306,6665.0,6665.0,,,,56703.0,710088.0,710088.0
2011-10-01,22.697,277.0,277.0,755.54,7569.0,7569.0,,,,59502.303,726044.0,726044.0
2011-11-01,12.012,144.0,144.0,844.423,8460.0,8460.0,,,,54608.988,654731.0,654731.0
2011-12-01,133.16,1595.0,1595.0,1064.707,10667.0,10667.0,,,,54638.84,654562.0,654562.0
2012-01-01,2.651,33.0,33.0,1590.005,15567.0,15567.0,,,,57829.349,725230.0,725230.0
2012-02-01,0.0,0.0,0.0,1488.42,14573.0,14573.0,,,,56306.0,697773.0,697773.0
2012-03-01,0.0,0.0,0.0,1567.663,15348.0,15348.0,,,,60482.0,739829.0,739829.0
2012-04-01,0.0,0.0,0.0,1548.473,15161.0,15161.0,,,,29882.0,370740.0,370740.0
2012-05-01,259.763,3468.0,3468.0,1417.896,13883.0,13883.0,,,,19537.237,260837.0,260837.0
2012-06-01,95.48,1247.0,1247.0,1200.443,11753.0,11753.0,,,,10565.52,137934.0,137934.0
2012-07-01,0.927,11.0,11.0,1086.92,10642.0,10642.0,,,,60136.073,718451.0,718451.0
2012-08-01,136.103,1651.0,1651.0,1300.025,12728.0,12728.0,,,,54856.897,665410.0,665410.0
2012-09-01,0.941,11.0,11.0,1217.187,11917.0,11917.0,,,,55726.059,656477.0,656477.0
2012-10-01,1.875,22.0,22.0,1336.091,13081.0,13081.0,,,,55201.125,652336.0,652336.0
2012-11-01,0.0,0.0,0.0,1249.983,12238.0,12238.0,,,,52616.0,633631.0,633631.0
2012-12-01,0.918,11.0,11.0,1694.894,16594.0,16594.0,,,,54964.082,663607.0,663607.0
2013-01-01,60.854,737.0,737.0,2344.538,22336.0,22336.0,,,,53984.146,653797.0,653797.0
2013-02-01,0.0,0.0,0.0,2083.625,19852.0,19852.0,,,,49915.0,597621.0,597621.0
2013-03-01,0.0,0.0,0.0,2279.307,21717.0,21717.0,,,,55412.0,659639.0,659639.0
2013-04-01,72.235,847.0,847.0,2369.535,22576.0,22576.0,,,,56715.765,665028.0,665028.0
2013-05-01,0.0,0.0,0.0,1908.773,18186.0,18186.0,,,,53878.0,642818.0,642818.0
2013-06-01,69.469,809.0,809.0,1511.334,14400.0,14400.0,,,,55345.531,644127.0,644127.0
2013-07-01,4.675,55.0,55.0,1829.157,17428.0,17428.0,,,,60357.325,710061.0,710061.0
2013-08-01,0.0,0.0,0.0,1602.027,15264.0,15264.0,,,,60304.0,711989.0,711989.0
2013-09-01,108.102,1282.0,1282.0,1146.545,10924.0,10924.0,,,,46150.898,547100.0,547100.0
2013-10-01,0.0,0.0,0.0,1789.383,17049.0,17049.0,,,,56560.0,663890.0,663890.0
2013-11-01,0.0,0.0,0.0,1934.464,18431.0,18431.0,,,,52314.0,626703.0,626703.0
2013-12-01,0.0,0.0,0.0,2389.312,22764.0,22764.0,,,,53649.0,665547.0,665547.0
2014-01-01,124.505,1557.0,1557.0,1217.611,19261.0,19261.0,0.0,0.0,0.0,50544.495,631881.0,631881.0
2014-02-01,336.74,4318.0,4318.0,914.828,14471.0,14471.0,0.0,0.0,0.0,39486.26,506272.0,506272.0
2014-03-01,25.834,319.0,319.0,974.944,15422.0,15422.0,0.0,0.0,0.0,48909.166,603932.0,603932.0
2014-04-01,0.0,0.0,0.0,749.758,11860.0,11860.0,19.268,260.0,260.0,10918.732,147427.0,147427.0
2014-05-01,0.0,0.0,0.0,782.975,12386.0,12386.0,31.224,389.0,389.0,57815.776,720214.0,720214.0
2014-06-01,0.0,0.0,0.0,691.608,10940.0,10940.0,207.551,2629.0,2629.0,31867.449,403637.0,403637.0
2014-07-01,0.0,0.0,0.0,711.788,11259.0,11259.0,87.737,1072.0,1072.0,52657.263,643604.0,643604.0
2014-08-01,0.0,0.0,0.0,633.818,10026.0,10026.0,107.48,1303.0,1303.0,56465.52,684629.0,684629.0
2014-09-01,0.0,0.0,0.0,990.816,15673.0,15673.0,1.5,18.0,18.0,53602.5,645001.0,645001.0
2014-10-01,0.0,0.0,0.0,846.436,13389.0,13389.0,12.989,161.0,161.0,52673.011,654215.0,654215.0
2014-11-01,0.0,0.0,0.0,1331.643,21065.0,21065.0,25.113,313.0,313.0,55059.887,686632.0,686632.0
2014-12-01,0.0,0.0,0.0,1187.775,18789.0,18789.0,69.77,873.0,873.0,56846.23,711098.0,711098.0
2015-01-01,0.0,0.0,0.0,609.014,8279.0,8279.0,117.811,1455.0,1455.0,48285.189,596311.0,596311.0
2015-02-01,0.0,0.0,0.0,522.639,7104.0,7104.0,130.623,1658.0,1658.0,33715.377,428053.0,428053.0
2015-03-01,0.0,0.0,0.0,613.246,8336.0,8336.0,15.402,188.0,188.0,59944.598,730046.0,730046.0
2015-04-01,0.0,0.0,0.0,585.259,7955.0,7955.0,0.0,0.0,0.0,54320.0,667092.0,667092.0
2015-05-01,0.0,0.0,0.0,517.092,7028.0,7028.0,123.076,1513.0,1513.0,48442.924,595471.0,595471.0
2015-06-01,0.0,0.0,0.0,732.164,9952.0,9952.0,0.0,0.0,0.0,52992.0,652022.0,652022.0
2015-07-01,0.0,0.0,0.0,833.272,11326.0,11326.0,227.072,2838.0,2838.0,48781.928,609739.0,609739.0
2015-08-01,0.0,0.0,0.0,800.406,10880.0,10880.0,188.715,2351.0,2351.0,53145.285,662148.0,662148.0
2015-09-01,0.0,0.0,0.0,744.053,10114.0,10114.0,265.775,3342.0,3342.0,43323.225,544741.0,544741.0
2015-10-01,0.0,0.0,0.0,772.169,10495.0,10495.0,17.755,217.0,217.0,54231.245,663536.0,663536.0
2015-11-01,0.0,0.0,0.0,781.281,10619.0,10619.0,183.344,2305.0,2305.0,49538.656,622771.0,622771.0
2015-12-01,0.0,0.0,0.0,712.405,9684.0,9684.0,8.212,102.0,102.0,55000.788,685410.0,685410.0
2016-01-01,0.0,0.0,0.0,677.262,7757.0,7757.0,110.622,1366.0,1366.0,56764.378,701123.0,701123.0
2016-02-01,0.0,0.0,0.0,663.987,7603.0,7603.0,147.825,1814.0,1814.0,47619.175,584335.0,584335.0
2016-03-01,0.0,0.0,0.0,900.472,10312.0,10312.0,74.909,931.0,931.0,51917.091,645027.0,645027.0
2016-04-01,0.0,0.0,0.0,830.586,9511.0,9511.0,11.993,148.0,148.0,53699.007,661221.0,661221.0
2016-05-01,0.0,0.0,0.0,1054.457,12075.0,12075.0,402.074,5069.0,5069.0,37541.926,473333.0,473333.0
2016-06-01,0.0,0.0,0.0,763.144,8739.0,8739.0,6.606,82.0,82.0,53172.394,656781.0,656781.0
2016-07-01,0.0,0.0,0.0,615.726,7051.0,7051.0,65.085,800.0,800.0,53237.915,654120.0,654120.0
2016-08-01,0.0,0.0,0.0,611.042,6997.0,6997.0,95.877,1167.0,1167.0,56168.123,683664.0,683664.0
2016-09-01,0.0,0.0,0.0,555.692,6363.0,6363.0,517.141,6445.0,6445.0,37813.859,471257.0,471257.0
2016-10-01,0.0,0.0,0.0,735.547,8423.0,8423.0,61.991,756.0,756.0,52387.009,638880.0,638880.0
2016-11-01,0.0,0.0,0.0,838.324,9600.0,9600.0,471.236,5906.0,5906.0,47741.764,598327.0,598327.0
2016-12-01,0.0,0.0,0.0,911.761,10441.0,10441.0,623.149,7998.0,7998.0,49217.851,631678.0,631678.0
2017-01-01,0.0,0.0,0.0,1158.474,11742.0,11742.0,139.524,1731.0,1731.0,59056.476,732783.0,732783.0
2017-02-01,0.0,0.0,0.0,893.682,9059.0,9059.0,415.433,5130.0,5130.0,44466.567,549144.0,549144.0
2017-03-01,0.0,0.0,0.0,922.041,9346.0,9346.0,5.989,72.0,72.0,32957.011,398505.0,398505.0
2017-04-01,0.0,0.0,0.0,1046.689,10610.0,10610.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,1103.267,11184.0,11184.0,268.258,3242.0,3242.0,37705.742,455646.0,455646.0
2017-06-01,0.0,0.0,0.0,811.289,8224.0,8224.0,616.321,7639.0,7639.0,30867.679,382577.0,382577.0
2017-07-01,0.0,0.0,0.0,1157.46,11733.0,11733.0,140.165,1678.0,1678.0,57587.835,689376.0,689376.0
2017-08-01,0.0,0.0,0.0,1168.501,11845.0,11845.0,0.089,1.0,1.0,61603.911,723525.0,723525.0
2017-09-01,0.0,0.0,0.0,1005.206,10189.0,10189.0,296.144,3535.0,3535.0,50752.856,605873.0,605873.0
2017-10-01,0.0,0.0,0.0,1080.292,10950.0,10950.0,268.763,3236.0,3236.0,57158.237,688225.0,688225.0
2017-11-01,0.0,0.0,0.0,1177.972,11941.0,11941.0,230.532,2848.0,2848.0,49806.468,615358.0,615358.0
2017-12-01,0.0,0.0,0.0,1329.127,13473.0,13473.0,0.0,0.0,0.0,60215.0,740813.0,740813.0
2018-01-01,0.0,0.0,0.0,1470.514,14344.0,14344.0,97.589,1203.0,1203.0,58690.411,723551.0,723551.0
2018-02-01,0.0,0.0,0.0,1771.895,17284.0,17284.0,326.628,4134.0,4134.0,46817.372,592549.0,592549.0
2018-03-01,0.0,0.0,0.0,1417.295,13825.0,13825.0,106.712,1338.0,1338.0,42483.288,532865.0,532865.0
2018-04-01,0.0,0.0,0.0,1712.466,16705.0,16705.0,300.112,3729.0,3729.0,48482.888,602488.0,602488.0
2018-05-01,0.0,0.0,0.0,1394.519,13603.0,13603.0,125.34,1514.0,1514.0,56683.66,684735.0,684735.0
2018-06-01,0.0,0.0,0.0,1560.389,15221.0,15221.0,74.225,888.0,888.0,54371.775,650598.0,650598.0
2018-07-01,0.0,0.0,0.0,1871.98,18261.0,18261.0,0.0,0.0,0.0,59457.0,735684.0,735684.0
2018-08-01,0.0,0.0,0.0,1894.558,18480.0,18480.0,10.854,133.0,133.0,59473.146,727893.0,727893.0
2018-09-01,0.0,0.0,0.0,1797.801,17537.0,17537.0,220.157,2705.0,2705.0,50024.843,614725.0,614725.0
2018-10-01,0.0,0.0,0.0,1952.761,19048.0,19048.0,8.847,109.0,109.0,58323.153,718538.0,718538.0
2018-11-01,0.0,0.0,0.0,1986.402,19377.0,19377.0,208.613,2597.0,2597.0,53100.387,661143.0,661143.0
2018-12-01,0.0,0.0,0.0,1794.42,17504.0,17504.0,87.562,1088.0,1088.0,54349.438,675119.0,675119.0
2019-01-01,0.0,0.0,0.0,3758.632,32782.0,32782.0,2.66,32.0,32.0,59837.34,728979.0,728979.0
2019-02-01,0.0,0.0,0.0,4213.437,36746.0,36746.0,0.0,0.0,0.0,54278.0,675103.0,675103.0
2019-03-01,0.0,0.0,0.0,4127.924,36000.0,36000.0,5.216,64.0,64.0,59303.784,731207.0,731207.0
2019-04-01,0.0,0.0,0.0,3256.265,28399.0,28399.0,339.563,4405.0,4405.0,23480.437,304623.0,304623.0
2019-05-01,0.0,0.0,0.0,4064.384,35447.0,35447.0,173.031,2124.0,2124.0,57107.969,701047.0,701047.0
2019-06-01,0.0,0.0,0.0,3717.159,32418.0,32418.0,101.622,1242.0,1242.0,55733.378,681307.0,681307.0
2019-07-01,0.0,0.0,0.0,3844.089,33525.0,33525.0,6.613,81.0,81.0,59867.387,731911.0,731911.0
2019-08-01,0.0,0.0,0.0,3957.937,34518.0,34518.0,3.399,41.0,41.0,60815.601,739596.0,739596.0
2019-09-01,0.0,0.0,0.0,4007.695,34952.0,34952.0,18.66,227.0,227.0,58011.34,705218.0,705218.0
2019-10-01,0.0,0.0,0.0,4573.759,39889.0,39889.0,19.56,245.0,245.0,59579.44,745846.0,745846.0
2019-11-01,0.0,0.0,0.0,5121.771,44668.0,44668.0,107.082,1351.0,1351.0,54931.918,693088.0,693088.0
2019-12-01,0.0,0.0,0.0,5652.948,49300.0,49300.0,0.0,0.0,0.0,60833.0,767541.0,767541.0
2020-01-01,0.0,0.0,0.0,6382.151,63711.0,63711.0,0.0,0.0,0.0,60626.0,765950.0,765950.0
2020-02-01,0.0,0.0,0.0,5707.007,56970.0,56970.0,84.583,1086.0,1086.0,54793.417,703549.0,703549.0
2020-03-01,0.0,0.0,0.0,6615.613,66040.0,66040.0,328.493,4235.0,4235.0,41312.507,532566.0,532566.0
2020-04-01,0.0,0.0,0.0,4860.824,48523.0,48523.0,102.357,1291.0,1291.0,52966.643,667826.0,667826.0
2020-05-01,0.0,0.0,0.0,4101.86,40947.0,40947.0,5.479,68.0,68.0,58202.521,724967.0,724967.0
2020-06-01,0.0,0.0,0.0,4736.775,47285.0,47285.0,57.267,717.0,717.0,54903.733,686986.0,686986.0
2020-07-01,0.0,0.0,0.0,7751.183,77376.0,77376.0,1.357,17.0,17.0,59512.643,743561.0,743561.0
2020-08-01,0.0,0.0,0.0,11547.217,115271.0,115271.0,17.24,216.0,216.0,60001.76,752228.0,752228.0
2020-09-01,0.0,0.0,0.0,6300.221,62892.0,62892.0,87.259,1120.0,1120.0,52241.741,670515.0,670515.0
2020-10-01,0.0,0.0,0.0,6060.064,60495.0,60495.0,2.712,35.0,35.0,59379.288,756656.0,756656.0
2020-11-01,0.0,0.0,0.0,5332.391,53230.0,53230.0,250.208,3238.0,3238.0,42396.792,548637.0,548637.0
2020-12-01,0.0,0.0,0.0,4466.694,44589.0,44589.0,76.384,970.0,970.0,53963.616,685212.0,685212.0
2021-01-01,0.0,0.0,0.0,5233.727,52543.0,52543.0,106.723,1344.0,1344.0,55524.277,698985.0,698985.0
2021-02-01,0.0,0.0,0.0,4927.078,49464.0,49464.0,288.85,3901.0,3901.0,39199.15,529425.0,529425.0
2021-03-01,0.0,0.0,0.0,5862.842,58859.0,58859.0,91.649,1164.0,1164.0,55091.351,699623.0,699623.0
2021-04-01,0.0,0.0,0.0,8607.008,86409.0,86409.0,7.603,96.0,96.0,41663.397,526738.0,526738.0
2021-05-01,0.0,0.0,0.0,7373.484,74025.0,74025.0,211.501,2660.0,2660.0,41671.499,524097.0,524097.0
2021-06-01,0.0,0.0,0.0,9030.112,90656.0,90656.0,408.755,5206.0,5206.0,39720.245,505854.0,505854.0
2021-07-01,0.0,0.0,0.0,9324.909,93615.0,93615.0,0.0,0.0,0.0,60290.0,743655.0,743655.0
2021-08-01,0.0,0.0,0.0,8129.84,81617.0,81617.0,14.051,174.0,174.0,57657.949,713358.0,713358.0
