measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Liquids-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2010-03-01,18.147000000000002,528.0,528.0,6.5120000000000005,190.0,190.0,0.0,0.0,0.0
2010-04-01,13.495000000000001,394.0,394.0,6.814,199.0,199.0,0.0,0.0,0.0
2010-05-01,15.023000000000001,435.0,435.0,6.138,179.0,179.0,0.0,0.0,0.0
2010-06-01,32.191,940.0,940.0,6.682,195.0,195.0,0.0,0.0,0.0
2010-07-01,99.816,2912.0,2912.0,6.426,187.0,187.0,0.0,0.0,0.0
2010-08-01,40.569,1183.0,1183.0,6.591,192.0,192.0,0.0,0.0,0.0
2010-09-01,18.409000000000002,539.0,539.0,6.408,187.0,187.0,0.0,0.0,0.0
2010-10-01,11.782,342.0,342.0,5.9430000000000005,173.0,173.0,0.0,0.0,0.0
2010-11-01,12.603,365.0,365.0,6.69,195.0,195.0,0.0,0.0,0.0
2010-12-01,42.63,1241.0,1241.0,7.114000000000001,207.0,207.0,0.0,0.0,0.0
2011-01-01,10.844,139.0,139.0,20.096,238.0,238.0,0.0,0.0,0.0
2011-02-01,4.125,46.0,46.0,22.828,270.0,270.0,0.0,0.0,0.0
2011-03-01,7.785,93.0,93.0,23.192,274.0,274.0,0.0,0.0,0.0
2011-04-01,6.992,81.0,81.0,22.977,272.0,272.0,0.0,0.0,0.0
2011-05-01,10.311,122.0,122.0,24.675,292.0,292.0,0.0,0.0,0.0
2011-06-01,6.259,75.0,75.0,25.563,302.0,302.0,0.0,0.0,0.0
2011-07-01,12.468,145.0,145.0,25.826,306.0,306.0,0.0,0.0,0.0
2011-08-01,4.163,46.0,46.0,23.953,283.0,283.0,0.0,0.0,0.0
2011-09-01,4.016,46.0,46.0,22.913,271.0,271.0,0.0,0.0,0.0
2011-10-01,4.478,52.0,52.0,25.13,297.0,297.0,0.0,0.0,0.0
2011-11-01,3.899,46.0,46.0,24.955,295.0,295.0,0.0,0.0,0.0
2011-12-01,4.128,46.0,46.0,26.424,313.0,313.0,0.0,0.0,0.0
2012-01-01,31.935,377.0,377.0,607.879,7164.0,7164.0,0.0,0.0,0.0
2012-02-01,22.791,267.0,267.0,588.603,6936.0,6936.0,0.0,0.0,0.0
2012-03-01,21.05,249.0,249.0,647.936,7635.0,7635.0,0.0,0.0,0.0
2012-04-01,29.106,342.0,342.0,613.887,7234.0,7234.0,0.0,0.0,0.0
2012-05-01,50.251,592.0,592.0,604.242,7120.0,7120.0,0.0,0.0,0.0
2012-06-01,39.781,470.0,470.0,639.802,7539.0,7539.0,0.0,0.0,0.0
2012-07-01,86.021,1015.0,1015.0,633.464,7465.0,7465.0,0.0,0.0,0.0
2012-08-01,31.552,371.0,371.0,630.991,7436.0,7436.0,0.0,0.0,0.0
2012-09-01,35.332,418.0,418.0,596.947,7034.0,7034.0,0.0,0.0,0.0
2012-10-01,26.572,313.0,313.0,603.892,7116.0,7116.0,0.0,0.0,0.0
2012-11-01,46.288,545.0,545.0,579.802,6832.0,6832.0,0.0,0.0,0.0
2012-12-01,36.582,429.0,429.0,633.294,7463.0,7463.0,0.0,0.0,0.0
2013-01-01,61.916,732.0,732.0,542.241,6368.0,6368.0,,,
2013-02-01,18.022,213.0,213.0,500.974,5883.0,5883.0,,,
2013-03-01,14.913,173.0,173.0,565.027,6635.0,6635.0,,,
2013-04-01,24.836,294.0,294.0,486.382,5712.0,5712.0,,,
2013-05-01,23.406,276.0,276.0,503.523,5913.0,5913.0,,,
2013-06-01,19.275,225.0,225.0,558.625,6560.0,6560.0,,,
2013-07-01,47.541,559.0,559.0,575.423,6757.0,6757.0,,,
2013-08-01,24.491,288.0,288.0,582.327,6839.0,6839.0,,,
2013-09-01,17.371,202.0,202.0,548.59,6442.0,6442.0,,,
2013-10-01,20.336,236.0,236.0,547.641,6431.0,6431.0,,,
2013-11-01,19.299,225.0,225.0,545.623,6408.0,6408.0,,,
2013-12-01,42.129,495.0,495.0,600.089,7047.0,7047.0,,,
2014-01-01,507.207,5871.0,5871.0,397.497,4604.0,4604.0,,,
2014-02-01,60.799,702.0,702.0,328.219,3802.0,3802.0,,,
2014-03-01,74.268,863.0,863.0,422.922,4899.0,4899.0,,,
2014-04-01,17.84,207.0,207.0,450.436,5218.0,5218.0,,,
2014-05-01,47.32,546.0,546.0,444.262,5146.0,5146.0,,,
2014-06-01,21.317,247.0,247.0,431.586,5000.0,5000.0,,,
2014-07-01,32.564,380.0,380.0,463.425,5369.0,5369.0,,,
2014-08-01,28.831,334.0,334.0,464.34,5379.0,5379.0,,,
2014-09-01,26.109,305.0,305.0,445.951,5166.0,5166.0,,,
2014-10-01,15.956,184.0,184.0,363.863,4215.0,4215.0,,,
2014-11-01,31.045,362.0,362.0,400.478,4639.0,4639.0,,,
2014-12-01,44.611,518.0,518.0,475.154,5504.0,5504.0,,,
2015-01-01,42.515,520.0,520.0,189.701,2326.0,2326.0,,,
2015-02-01,226.984,2784.0,2784.0,149.575,1834.0,1834.0,,,
2015-03-01,30.621,375.0,375.0,184.531,2263.0,2263.0,,,
2015-04-01,11.506,139.0,139.0,185.319,2272.0,2272.0,,,
2015-05-01,20.574,254.0,254.0,177.741,2179.0,2179.0,,,
2015-06-01,18.25,225.0,225.0,183.599,2251.0,2251.0,,,
2015-07-01,21.564,266.0,266.0,190.727,2338.0,2338.0,,,
2015-08-01,17.942,219.0,219.0,195.684,2399.0,2399.0,,,
2015-09-01,11.25,139.0,139.0,179.624,2202.0,2202.0,,,
2015-10-01,16.542,202.0,202.0,175.048,2146.0,2146.0,,,
2015-11-01,20.235,248.0,248.0,192.128,2356.0,2356.0,,,
2015-12-01,18.479,225.0,225.0,204.861,2512.0,2512.0,,,
2016-01-01,10.047,121.0,121.0,38.727,498.0,498.0,,,
2016-02-01,6.085,81.0,81.0,36.533,470.0,470.0,,,
2016-03-01,6.526,87.0,87.0,38.629,497.0,497.0,,,
2016-04-01,8.799,116.0,116.0,36.342,468.0,468.0,,,
2016-05-01,7.138,92.0,92.0,37.637,484.0,484.0,,,
2016-06-01,7.303,92.0,92.0,36.036,464.0,464.0,,,
2016-07-01,7.753,98.0,98.0,37.208,479.0,479.0,,,
2016-08-01,7.383,92.0,92.0,36.942,475.0,475.0,,,
2016-09-01,4.939,64.0,64.0,31.485,405.0,405.0,,,
2016-10-01,5.771,75.0,75.0,28.777,370.0,370.0,,,
2016-11-01,7.019,92.0,92.0,37.181,478.0,478.0,,,
2016-12-01,7.019,92.0,92.0,37.721,485.0,485.0,,,
2017-01-01,14.191,191.0,191.0,56.203,739.0,739.0,,,
2017-02-01,11.108,144.0,144.0,49.243,647.0,647.0,,,
2017-03-01,14.482,191.0,191.0,55.481,729.0,729.0,,,
2017-04-01,9.732,127.0,127.0,45.646,600.0,600.0,,,
2017-05-01,15.702,208.0,208.0,51.617,679.0,679.0,,,
2017-06-01,16.716,219.0,219.0,54.511,717.0,717.0,,,
2017-07-01,13.949,185.0,185.0,54.186,712.0,712.0,,,
2017-08-01,18.786,248.0,248.0,57.386,754.0,754.0,,,
2017-09-01,13.622,179.0,179.0,49.669,653.0,653.0,,,
2017-10-01,9.886,127.0,127.0,51.631,679.0,679.0,,,
2017-11-01,18.077,237.0,237.0,53.181,699.0,699.0,,,
2017-12-01,17.761,231.0,231.0,55.234,726.0,726.0,,,
2018-01-01,88.646,970.0,970.0,41.929,462.0,462.0,,,
2018-02-01,35.389,387.0,387.0,41.489,457.0,457.0,,,
2018-03-01,27.272,300.0,300.0,45.025,496.0,496.0,,,
2018-04-01,30.691,341.0,341.0,39.165,431.0,431.0,,,
2018-05-01,30.738,341.0,341.0,44.069,485.0,485.0,,,
2018-06-01,50.408,554.0,554.0,41.794,460.0,460.0,,,
2018-07-01,19.817,219.0,219.0,43.906,484.0,484.0,,,
2018-08-01,31.406,347.0,347.0,45.713,504.0,504.0,,,
2018-09-01,16.024,179.0,179.0,40.397,445.0,445.0,,,
2018-10-01,22.405,248.0,248.0,43.56,480.0,480.0,,,
2018-11-01,36.146,398.0,398.0,44.384,489.0,489.0,,,
2018-12-01,45.868,502.0,502.0,44.759,493.0,493.0,,,
2019-01-01,3.476,46.0,46.0,16.357,223.0,223.0,,,
2019-02-01,3.183,46.0,46.0,15.383,210.0,210.0,,,
2019-03-01,1.959,29.0,29.0,15.866,217.0,217.0,,,
2019-04-01,1.051,12.0,12.0,15.475,212.0,212.0,,,
2019-05-01,3.034,40.0,40.0,15.731,215.0,215.0,,,
2019-06-01,6.292,87.0,87.0,16.602,227.0,227.0,,,
2019-07-01,2.134,29.0,29.0,17.043,233.0,233.0,,,
2019-08-01,5.281,75.0,75.0,17.023,233.0,233.0,,,
2019-09-01,3.284,46.0,46.0,15.818,217.0,217.0,,,
2019-10-01,6.818,92.0,92.0,16.89,231.0,231.0,,,
2019-11-01,6.003,81.0,81.0,16.067,220.0,220.0,,,
2019-12-01,0.973,12.0,12.0,17.257,236.0,236.0,,,
2020-01-01,4.489,81.0,81.0,3.908,67.0,67.0,,,
2020-02-01,3.447,58.0,58.0,3.344,58.0,58.0,,,
2020-03-01,4.79,81.0,81.0,3.656,63.0,63.0,,,
2020-04-01,3.505,58.0,58.0,3.615,62.0,62.0,,,
2020-05-01,4.423,75.0,75.0,3.569,61.0,61.0,,,
2020-06-01,3.267,58.0,58.0,3.534,61.0,61.0,,,
2020-07-01,4.583,81.0,81.0,3.746,64.0,64.0,,,
2020-08-01,4.062,69.0,69.0,3.693,64.0,64.0,,,
2020-09-01,3.76,64.0,64.0,3.496,60.0,60.0,,,
2020-10-01,2.956,52.0,52.0,2.81,49.0,49.0,,,
2020-11-01,3.549,64.0,64.0,3.174,55.0,55.0,,,
2020-12-01,4.137,69.0,69.0,3.487,60.0,60.0,,,
2021-01-01,5.724,64.0,64.0,3.017,35.0,35.0,,,
2021-02-01,6.366,75.0,75.0,2.449,28.0,28.0,,,
2021-03-01,4.417,52.0,52.0,3.013,35.0,35.0,,,
2021-04-01,4.322,52.0,52.0,2.869,33.0,33.0,,,
2021-05-01,3.024,35.0,35.0,2.947,34.0,34.0,,,
2021-06-01,4.707,52.0,52.0,2.901,34.0,34.0,,,
2021-07-01,5.762,69.0,69.0,2.847,33.0,33.0,,,
2021-08-01,3.972,46.0,46.0,2.744,32.0,32.0,,,
2021-09-01,3.008,35.0,35.0,2.692,31.0,31.0,,,
2021-10-01,1.092,12.0,12.0,2.703,32.0,32.0,,,
2021-11-01,3.494,40.0,40.0,2.384,28.0,28.0,,,
2021-12-01,9.811,116.0,116.0,2.735,32.0,32.0,,,
2022-01-01,0.978,6.0,6.0,0.107,2.0,2.0,,,
2022-02-01,1.298,12.0,12.0,0.09,1.0,1.0,,,
2022-03-01,0.908,12.0,12.0,0.12,1.0,1.0,,,
2022-04-01,1.154,12.0,12.0,0.112,1.0,1.0,,,
2022-05-01,0.417,6.0,6.0,0.113,1.0,1.0,,,
2022-06-01,0.947,12.0,12.0,0.107,1.0,1.0,,,
2022-07-01,0.502,6.0,6.0,0.108,1.0,1.0,,,
2022-08-01,0.599,6.0,6.0,0.1,1.0,1.0,,,
2022-09-01,0.469,6.0,6.0,0.08,1.0,1.0,,,
2022-10-01,1.706,17.0,17.0,0.103,1.0,1.0,,,
2022-11-01,0.815,12.0,12.0,0.112,1.0,1.0,,,
2022-12-01,0.945,12.0,12.0,0.11,1.0,1.0,,,
2023-01-01,1.104,6.0,6.0,0.606,7.0,7.0,,,
2023-02-01,0.986,12.0,12.0,0.551,6.0,6.0,,,
2023-03-01,0.557,6.0,6.0,0.647,7.0,7.0,,,
2023-04-01,0.81,12.0,12.0,0.517,6.0,6.0,,,
2023-05-01,1.596,17.0,17.0,0.599,6.0,6.0,,,
2023-06-01,1.92,23.0,23.0,0.616,7.0,7.0,,,
2023-07-01,2.934,35.0,35.0,0.611,7.0,7.0,,,
2023-08-01,1.058,12.0,12.0,0.638,7.0,7.0,,,
2023-09-01,0.65,6.0,6.0,0.59,6.0,6.0,,,
2023-10-01,1.299,12.0,12.0,0.622,7.0,7.0,,,
2023-11-01,0.923,12.0,12.0,0.592,6.0,6.0,,,
2023-12-01,0.925,12.0,12.0,0.649,7.0,7.0,,,
2024-01-01,3.39,46.0,46.0,3.02,38.0,38.0,,,
2024-02-01,2.924,35.0,35.0,3.04,38.0,38.0,,,
2024-03-01,2.349,29.0,29.0,3.384,43.0,43.0,,,
2024-04-01,2.597,35.0,35.0,3.006,38.0,38.0,,,
2024-05-01,3.11,40.0,40.0,3.294,42.0,42.0,,,
2024-06-01,3.375,40.0,40.0,3.268,41.0,41.0,,,
2024-07-01,2.577,35.0,35.0,3.262,41.0,41.0,,,
2024-08-01,2.313,29.0,29.0,3.4,43.0,43.0,,,
2024-09-01,3.336,40.0,40.0,3.01,38.0,38.0,,,
2024-10-01,2.753,35.0,35.0,3.102,39.0,39.0,,,
2024-11-01,3.76,46.0,46.0,3.044,38.0,38.0,,,
2024-12-01,2.679,35.0,35.0,3.007,38.0,38.0,,,
