measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2012-12-01,0.0,0.0,0.0,,,,3806.0,44449.0,44449.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,662.0,12495.0,12495.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1421.0,18351.0,18351.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1439.0,17731.0,17731.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,7822.0,88085.0,88085.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1983.0,24544.0,24544.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,6987.0,86194.0,86194.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2620.0,35038.0,35038.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4778.0,58831.0,58831.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3582.0,44066.0,44066.0
2013-10-01,0.0,0.0,0.0,4.671,70.0,70.0,1286.329,19350.0,19350.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,14075.0,157860.0,157860.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2239.0,27732.0,27732.0
2014-01-01,0.0,0.0,0.0,304.368,3829.0,3829.0,3663.632,46091.0,46091.0
2014-02-01,0.0,0.0,0.0,2765.249,43465.0,43465.0,933.751,14677.0,14677.0
2014-03-01,0.0,0.0,0.0,1704.913,19923.0,19923.0,6579.087,76881.0,76881.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,11722.0,142605.0,142605.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,11583.0,137920.0,137920.0
2014-06-01,0.0,0.0,0.0,24.121,282.0,282.0,7821.879,91284.0,91284.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,8693.0,101301.0,101301.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,12486.0,147974.0,147974.0
2014-09-01,0.0,0.0,0.0,157.064,2013.0,2013.0,6462.936,82820.0,82820.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,9493.0,114833.0,114833.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,10934.0,127092.0,127092.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,16862.0,186925.0,186925.0
2015-01-01,0.0,0.0,0.0,774.309,8818.0,8818.0,11246.691,128082.0,128082.0
2015-02-01,0.0,0.0,0.0,1538.3,18921.0,18921.0,7622.7,93757.0,93757.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,7447.0,82964.0,82964.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,10818.0,125667.0,125667.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6840.0,83337.0,83337.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,13787.0,185692.0,185692.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,12156.0,156049.0,156049.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,7260.0,100817.0,100817.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,5506.0,66093.0,66093.0
2015-10-01,,,,0.0,0.0,0.0,2502.0,31612.0,31612.0
2015-11-01,,,,0.0,0.0,0.0,2908.0,36142.0,36142.0
2015-12-01,,,,497.854,5582.0,5582.0,2415.146,27080.0,27080.0
2016-01-01,,,,0.0,0.0,0.0,3343.0,42690.0,42690.0
2016-02-01,,,,0.0,0.0,0.0,1322.0,17380.0,17380.0
2016-03-01,,,,0.0,0.0,0.0,412.0,7383.0,7383.0
2016-04-01,,,,0.0,0.0,0.0,9008.0,113356.0,113356.0
2016-05-01,,,,0.0,0.0,0.0,2630.0,32651.0,32651.0
2016-06-01,,,,0.0,0.0,0.0,20804.0,264893.0,264893.0
2016-07-01,,,,0.0,0.0,0.0,12400.0,152748.0,152748.0
2016-08-01,,,,0.0,0.0,0.0,6946.0,82013.0,82013.0
2016-09-01,,,,0.0,0.0,0.0,12264.0,153487.0,153487.0
2016-10-01,,,,0.0,0.0,0.0,10841.0,134736.0,134736.0
2016-11-01,,,,0.0,0.0,0.0,8707.0,109961.0,109961.0
2016-12-01,,,,119.661,1511.0,1511.0,4799.339,60601.0,60601.0
2017-01-01,,,,62.778,801.0,801.0,14415.668,184709.0,184709.0
2017-02-01,,,,73.86,945.0,945.0,13664.859,175090.0,175090.0
2017-03-01,,,,74.695,956.0,956.0,17008.635,217933.0,217933.0
2017-04-01,,,,61.34,784.0,784.0,9947.373,127457.0,127457.0
2017-05-01,,,,56.252,723.0,723.0,15324.897,196359.0,196359.0
2017-06-01,,,,20.036,256.0,256.0,24801.717,317788.0,317788.0
2017-07-01,,,,20.325,261.0,261.0,34807.59,445994.0,445994.0
2017-08-01,,,,24.521,317.0,317.0,21841.061,279852.0,279852.0
2017-09-01,,,,55.574,712.0,712.0,21799.331,279317.0,279317.0
2017-10-01,,,,94.485,1212.0,1212.0,12935.551,165745.0,165745.0
2017-11-01,,,,110.49,1418.0,1418.0,11876.311,152173.0,152173.0
2017-12-01,,,,141.038,1807.0,1807.0,21652.613,277438.0,277438.0
2018-01-01,0.0,0.0,0.0,1305.418,17236.0,17236.0,9330.338,123187.0,123187.0
2018-02-01,0.0,0.0,0.0,554.935,7328.0,7328.0,7254.962,95786.0,95786.0
2018-03-01,0.0,0.0,0.0,791.59,10453.0,10453.0,8090.757,106821.0,106821.0
2018-04-01,0.0,0.0,0.0,632.993,8357.0,8357.0,3445.033,45485.0,45485.0
2018-05-01,0.0,0.0,0.0,675.22,8913.0,8913.0,11332.813,149625.0,149625.0
2018-06-01,0.0,0.0,0.0,2628.478,34706.0,34706.0,11533.127,152270.0,152270.0
2018-07-01,0.0,0.0,0.0,798.009,10536.0,10536.0,12401.729,163738.0,163738.0
2018-08-01,0.0,0.0,0.0,610.879,8068.0,8068.0,10783.291,142370.0,142370.0
2018-09-01,0.0,0.0,0.0,658.267,8690.0,8690.0,8641.829,114097.0,114097.0
2018-10-01,0.0,0.0,0.0,1094.654,14450.0,14450.0,9439.391,124627.0,124627.0
2018-11-01,0.0,0.0,0.0,1207.941,15946.0,15946.0,8080.745,106688.0,106688.0
2018-12-01,0.0,0.0,0.0,1060.0,13995.0,13995.0,5599.601,73931.0,73931.0
2019-01-01,0.0,0.0,0.0,1338.916,17597.0,17597.0,5965.999,78372.0,78372.0
2019-02-01,0.0,0.0,0.0,1447.69,19015.0,19015.0,5667.643,74452.0,74452.0
2019-03-01,0.0,0.0,0.0,2299.486,30207.0,30207.0,8415.572,110550.0,110550.0
2019-04-01,0.0,0.0,0.0,673.898,8852.0,8852.0,6324.642,83083.0,83083.0
2019-05-01,0.0,0.0,0.0,1370.621,18003.0,18003.0,9946.12,130656.0,130656.0
2019-06-01,0.0,0.0,0.0,2414.683,31720.0,31720.0,10055.327,132091.0,132091.0
2019-07-01,0.0,0.0,0.0,1408.77,18504.0,18504.0,11607.514,152480.0,152480.0
2019-08-01,0.0,0.0,0.0,639.244,8396.0,8396.0,12046.233,158243.0,158243.0
2019-09-01,0.0,0.0,0.0,1314.951,17275.0,17275.0,11134.549,146268.0,146268.0
2019-10-01,0.0,0.0,0.0,1062.293,13956.0,13956.0,7746.717,101764.0,101764.0
2019-11-01,0.0,0.0,0.0,545.751,7167.0,7167.0,3518.003,46213.0,46213.0
2019-12-01,0.0,0.0,0.0,1494.927,19638.0,19638.0,6359.451,83540.0,83540.0
2020-01-01,0.0,0.0,0.0,201.727,2824.0,2824.0,23994.113,336984.0,336984.0
2020-02-01,0.0,0.0,0.0,209.736,2947.0,2947.0,18964.78,266350.0,266350.0
2020-03-01,0.0,0.0,0.0,179.199,2519.0,2519.0,18156.035,254991.0,254991.0
2020-04-01,0.0,0.0,0.0,203.225,2852.0,2852.0,14290.71,200705.0,200705.0
2020-05-01,0.0,0.0,0.0,234.215,3292.0,3292.0,11499.848,161509.0,161509.0
2020-06-01,0.0,0.0,0.0,282.343,3964.0,3964.0,23122.318,324740.0,324740.0
2020-07-01,0.0,0.0,0.0,144.057,2024.0,2024.0,34347.575,482392.0,482392.0
2020-08-01,0.0,0.0,0.0,233.523,3280.0,3280.0,27139.853,381165.0,381165.0
2020-09-01,0.0,0.0,0.0,178.856,2513.0,2513.0,20717.879,290971.0,290971.0
2020-10-01,0.0,0.0,0.0,223.15,3136.0,3136.0,10983.128,154252.0,154252.0
2020-11-01,0.0,0.0,0.0,299.719,4209.0,4209.0,12045.862,169177.0,169177.0
2020-12-01,0.0,0.0,0.0,238.934,3358.0,3358.0,18142.215,254797.0,254797.0
2021-01-01,,,,603.657,8307.0,8307.0,3080.929,42392.0,42392.0
2021-02-01,,,,7798.661,107308.0,107308.0,39802.585,547671.0,547671.0
2021-03-01,,,,2238.991,30808.0,30808.0,11427.296,157236.0,157236.0
2021-04-01,,,,2960.374,40733.0,40733.0,15109.072,207896.0,207896.0
2021-05-01,,,,2458.11,33821.0,33821.0,12545.633,172624.0,172624.0
2021-06-01,,,,4418.956,60804.0,60804.0,22553.341,310327.0,310327.0
2021-07-01,,,,3940.95,54227.0,54227.0,20113.708,276758.0,276758.0
2021-08-01,,,,6149.952,84623.0,84623.0,31387.949,431888.0,431888.0
2021-09-01,,,,2140.173,29446.0,29446.0,10922.951,150296.0,150296.0
2021-10-01,,,,2379.717,32743.0,32743.0,12145.534,167119.0,167119.0
2021-11-01,,,,2205.195,30341.0,30341.0,11254.81,154862.0,154862.0
2021-12-01,0.0,0.0,0.0,542.035,7456.0,7456.0,2766.422,38065.0,38065.0
2022-01-01,,,,229.935,3136.0,3136.0,4865.72,66392.0,66392.0
2022-02-01,,,,136.867,1868.0,1868.0,2896.283,39519.0,39519.0
2022-03-01,,,,232.424,3169.0,3169.0,4918.409,67111.0,67111.0
2022-04-01,,,,1229.164,16775.0,16775.0,26010.732,354914.0,354914.0
2022-05-01,,,,555.832,7584.0,7584.0,11762.134,160493.0,160493.0
2022-06-01,,,,1193.205,16280.0,16280.0,25249.792,344531.0,344531.0
2022-07-01,,,,2358.551,32181.0,32181.0,49910.044,681018.0,681018.0
2022-08-01,,,,2016.485,27516.0,27516.0,42671.475,582248.0,582248.0
2022-09-01,,,,1377.314,18793.0,18793.0,29145.79,397692.0,397692.0
2022-10-01,,,,1457.982,19894.0,19894.0,30852.831,420984.0,420984.0
2022-11-01,,,,1136.215,15501.0,15501.0,24043.804,328076.0,328076.0
2022-12-01,0.0,0.0,0.0,735.968,10041.0,10041.0,15574.044,212507.0,212507.0
2023-01-01,,,,219.413,2930.0,2930.0,5651.717,75495.0,75495.0
2023-02-01,,,,215.057,2875.0,2875.0,5539.494,73996.0,73996.0
2023-03-01,,,,341.384,4559.0,4559.0,8793.476,117462.0,117462.0
2023-04-01,,,,607.869,8118.0,8118.0,15657.684,209153.0,209153.0
2023-05-01,,,,681.574,9102.0,9102.0,17556.194,234513.0,234513.0
2023-06-01,,,,1639.506,21901.0,21901.0,42230.905,564114.0,564114.0
2023-07-01,,,,1750.021,23374.0,23374.0,45077.572,602139.0,602139.0
2023-08-01,,,,1910.557,25520.0,25520.0,49212.704,657376.0,657376.0
2023-09-01,,,,562.906,7517.0,7517.0,14499.513,193683.0,193683.0
2023-10-01,,,,381.788,5099.0,5099.0,9834.207,131364.0,131364.0
2023-11-01,,,,423.271,5655.0,5655.0,10902.75,145637.0,145637.0
2023-12-01,0.0,0.0,0.0,199.468,2663.0,2663.0,5137.969,68633.0,68633.0
2024-01-01,,,,3249.992,39520.0,39520.0,19471.495,236787.0,236787.0
2024-02-01,,,,987.382,12010.0,12010.0,5915.646,71939.0,71939.0
2024-03-01,,,,1613.453,19621.0,19621.0,9666.591,117552.0,117552.0
2024-04-01,,,,1639.22,19933.0,19933.0,9820.967,119430.0,119430.0
2024-05-01,,,,1854.085,22546.0,22546.0,11108.276,135085.0,135085.0
2024-06-01,,,,1655.98,20138.0,20138.0,9921.38,120651.0,120651.0
2024-07-01,,,,1937.981,23569.0,23569.0,11610.918,141197.0,141197.0
2024-08-01,,,,1845.007,22435.0,22435.0,11053.886,134423.0,134423.0
2024-09-01,,,,1517.264,18454.0,18454.0,9090.296,110544.0,110544.0
2024-10-01,,,,1416.001,17219.0,17219.0,8483.608,103166.0,103166.0
2024-11-01,,,,981.425,11937.0,11937.0,5879.957,71504.0,71504.0
2024-12-01,,,,454.31,5527.0,5527.0,2721.879,33100.0,33100.0
