measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2010-09-01,,,,0.0,0.0,0.0,,,,16.962,303.0,303.0
2010-10-01,,,,0.0,0.0,0.0,,,,116.62100000000001,2070.0,2070.0
2010-11-01,,,,0.0,0.0,0.0,,,,532.234,9458.0,9458.0
2010-12-01,,,,0.0,0.0,0.0,,,,246.327,4374.0,4374.0
2011-01-01,,,,0.0,0.0,0.0,,,,303.319,11743.0,11743.0
2011-02-01,,,,0.0,0.0,0.0,,,,22.181,862.0,862.0
2011-03-01,,,,0.0,0.0,0.0,,,,10.396,403.0,403.0
2011-04-01,,,,0.0,0.0,0.0,,,,19.467,754.0,754.0
2011-05-01,,,,0.0,0.0,0.0,,,,49.681,1922.0,1922.0
2011-06-01,,,,0.0,0.0,0.0,,,,91.594,3549.0,3549.0
2011-07-01,,,,0.0,0.0,0.0,,,,179.411,6951.0,6951.0
2011-08-01,,,,0.0,0.0,0.0,,,,166.66,6458.0,6458.0
2011-09-01,,,,0.0,0.0,0.0,,,,36.371,1406.0,1406.0
2011-10-01,,,,0.0,0.0,0.0,,,,6.547,255.0,255.0
2011-11-01,,,,0.0,0.0,0.0,,,,21.243,822.0,822.0
2011-12-01,,,,0.0,0.0,0.0,,,,12.13,471.0,471.0
2012-01-01,,,,0.0,0.0,0.0,,,,7.646,255.0,255.0
2012-02-01,,,,0.0,0.0,0.0,,,,11.959,391.0,391.0
2012-03-01,,,,0.0,0.0,0.0,,,,16.617,544.0,544.0
2012-04-01,,,,0.0,0.0,0.0,,,,3.287,108.0,108.0
2012-05-01,,,,0.0,0.0,0.0,,,,13.016,425.0,425.0
2012-06-01,,,,0.0,0.0,0.0,,,,18.781,618.0,618.0
2012-07-01,,,,0.0,0.0,0.0,,,,76.315,2506.0,2506.0
2012-08-01,,,,0.0,0.0,0.0,,,,128.011,4201.0,4201.0
2012-09-01,,,,0.0,0.0,0.0,,,,36.964,1213.0,1213.0
2012-10-01,,,,0.0,0.0,0.0,,,,34.719,1140.0,1140.0
2012-11-01,,,,0.0,0.0,0.0,,,,12.668,414.0,414.0
2012-12-01,,,,0.0,0.0,0.0,,,,8.017,261.0,261.0
2013-01-01,,,,0.0,0.0,0.0,,,,433.737,7745.0,7745.0
2013-02-01,,,,0.0,0.0,0.0,,,,70.54,1259.0,1259.0
2013-03-01,,,,0.0,0.0,0.0,,,,23.401,420.0,420.0
2013-04-01,,,,0.0,0.0,0.0,,,,12.976,232.0,232.0
2013-05-01,,,,0.0,0.0,0.0,,,,8.976,159.0,159.0
2013-06-01,,,,0.0,0.0,0.0,,,,14.919,266.0,266.0
2013-07-01,,,,0.0,0.0,0.0,,,,134.773,2404.0,2404.0
2013-08-01,,,,0.0,0.0,0.0,,,,28.807,516.0,516.0
2013-09-01,,,,0.0,0.0,0.0,,,,33.171,590.0,590.0
2013-10-01,,,,0.0,0.0,0.0,,,,10.163,181.0,181.0
2013-11-01,,,,0.0,0.0,0.0,,,,13.072,232.0,232.0
2013-12-01,,,,0.0,0.0,0.0,,,,35.465,635.0,635.0
2014-01-01,,,,0.0,0.0,0.0,,,,1667.353,23678.0,23678.0
2014-02-01,,,,0.0,0.0,0.0,,,,75.01,1066.0,1066.0
2014-03-01,,,,0.0,0.0,0.0,,,,213.842,3039.0,3039.0
2014-04-01,,,,0.0,0.0,0.0,,,,4.267,62.0,62.0
2014-05-01,,,,0.0,0.0,0.0,,,,5.145,74.0,74.0
2014-06-01,,,,0.0,0.0,0.0,,,,6.011,85.0,85.0
2014-07-01,,,,0.0,0.0,0.0,,,,6.938,96.0,96.0
2014-08-01,,,,0.0,0.0,0.0,,,,52.325,743.0,743.0
2014-09-01,,,,0.0,0.0,0.0,,,,6.08,85.0,85.0
2014-10-01,,,,0.0,0.0,0.0,,,,3.817,57.0,57.0
2014-11-01,,,,0.0,0.0,0.0,,,,9.112,130.0,130.0
2014-12-01,,,,0.0,0.0,0.0,,,,48.1,680.0,680.0
2015-01-01,,,,0.0,0.0,0.0,,,,39.591,544.0,544.0
2015-02-01,,,,0.0,0.0,0.0,,,,158.475,2172.0,2172.0
2015-03-01,,,,0.0,0.0,0.0,,,,6.569,91.0,91.0
2015-04-01,,,,0.0,0.0,0.0,,,,1.71,23.0,23.0
2015-05-01,,,,0.0,0.0,0.0,,,,2.655,34.0,34.0
