measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Other - Natural Gas - Generation,Natural Gas - Other - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Other - Natural Gas - Total Fuel Consumed
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,18696.342,226900.6,238055.76,9541.099,0.0,0.0,,,
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,20912.337,241866.45,266271.47,9187.583,0.0,0.0,,,
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,23472.063000000002,283947.01,298863.8,11864.719000000001,0.0,0.0,,,
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,26574.41,336762.34,338365.21,15335.161,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,27788.804,353827.76,353827.76,16925.537,0.0,0.0,,,
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,27079.415,343294.94,344795.3,15643.128,0.0,0.0,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,26559.325,335438.23,338173.13,15185.462,0.0,0.0,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,26087.222,332161.96,332161.96,15930.721000000001,0.0,0.0,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,20555.793,248558.12,261731.67,10376.895,0.0,0.0,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,19418.431,217590.2,247249.94,7660.3460000000005,0.0,0.0,,,
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,20192.222,258510.1,258510.1,16917.365,0.0,0.0,,,
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,18225.586000000003,206597.96,233332.33,7485.223,0.0,0.0,,,
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,19669.1,231064.96,251812.86,9086.59,0.0,0.0,,,
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,19763.565000000002,226101.42,253022.25,8374.419,0.0,0.0,,,
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,21706.441,246581.93,277895.83,8980.314,0.0,0.0,,,
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,27880.659,305193.69,356941.01,10100.241,0.0,0.0,,,
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,35701.703,431076.45,457069.62,17945.117,0.0,0.0,,,
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,36998.328,459226.25,473669.61,20151.694,0.0,0.0,,,
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,27904.638,352557.84,357247.99,15970.66,0.0,0.0,,,
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,21659.39,248224.38,277293.47,9231.763,0.0,0.0,,,
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,19325.347,224800.37,247411.97,8650.724,0.0,0.0,,,
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,22049.651,282289.78,282289.78,14074.471,0.0,0.0,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,21067.569,254206.94,270340.46,10568.106,0.0,0.0,,,
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,18574.741,224127.82,238352.33,9317.632,0.0,0.0,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,20574.039,248251.89,264007.46,10320.538,0.0,0.0,,,
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,19602.983,236534.86,251546.79,9833.428,0.0,0.0,,,
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,22848.893,275700.88,293198.53,11461.671,0.0,0.0,,,
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,24218.725,292229.65,310776.3,12148.818,0.0,0.0,,,
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,27269.216,329037.69,349920.41,13679.033,0.0,0.0,,,
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,28170.76,339915.96,361489.08,14131.274000000001,0.0,0.0,,,
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,22937.662,276771.99,294337.62,11506.2,0.0,0.0,,,
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,24045.26,290136.56,308550.39,12061.803,0.0,0.0,,,
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,20311.423,245083.08,260637.54,10188.802,0.0,0.0,,,
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,22777.038,274833.86,292276.48,11425.626,0.0,0.0,,,
2007-01-01,0.0,0.0,0.0,,,,16589.533,204556.0,221578.0,8683.815,103.0,103.0,,,
2007-02-01,0.0,0.0,0.0,,,,16720.221,206167.0,223324.0,8752.224,104.0,104.0,,,
2007-03-01,0.0,0.0,0.0,,,,16659.377,205417.0,222510.0,8720.375,103.0,103.0,,,
2007-04-01,0.0,0.0,0.0,,,,22089.345,272371.0,295036.0,11562.699,137.0,137.0,,,
2007-05-01,0.0,0.0,0.0,,,,23685.636,292053.0,316357.0,12398.28,147.0,147.0,,,
2007-06-01,0.0,0.0,0.0,,,,24268.242,299237.0,324138.0,12703.246,151.0,151.0,,,
2007-07-01,0.0,0.0,0.0,,,,26869.69,331314.0,358885.0,14064.978,167.0,167.0,,,
2007-08-01,0.0,0.0,0.0,,,,28861.275999999998,355871.0,385486.0,15107.476,179.0,179.0,,,
2007-09-01,0.0,0.0,0.0,,,,26792.674,330365.0,357856.0,14024.664,166.0,166.0,,,
2007-10-01,0.0,0.0,0.0,,,,26420.141,325771.0,352880.0,13829.661,164.0,164.0,,,
2007-11-01,0.0,0.0,0.0,,,,21224.988,261713.0,283491.0,11110.251,132.0,132.0,,,
2007-12-01,0.0,0.0,0.0,,,,20569.877,253635.0,274741.0,10767.332,128.0,128.0,,,
2008-01-01,0.0,0.0,0.0,,,,17813.696,220789.0,236055.0,9430.791000000001,0.0,0.0,0.0,0.0,13.0
2008-02-01,0.0,0.0,0.0,,,,16568.228,205352.0,219550.0,8771.426000000001,0.0,0.0,0.0,0.0,11.0
2008-03-01,0.0,0.0,0.0,,,,19665.495000000003,243741.0,260593.0,10411.157,0.0,0.0,0.0,0.0,13.0
2008-04-01,0.0,0.0,0.0,,,,21373.216,264906.0,283222.0,11315.246,0.0,0.0,0.0,0.0,14.0
2008-05-01,0.0,0.0,0.0,,,,24316.286,301384.0,322221.0,12873.344000000001,0.0,0.0,0.0,0.0,16.0
2008-06-01,0.0,0.0,0.0,,,,26464.752,328013.0,350692.0,14010.769,0.0,0.0,0.0,0.0,19.0
2008-07-01,0.0,0.0,0.0,,,,25979.407,321998.0,344261.0,13753.821,0.0,0.0,0.0,0.0,19.0
2008-08-01,0.0,0.0,0.0,,,,29173.927,361592.0,386592.0,15445.04,0.0,0.0,0.0,0.0,21.0
2008-09-01,0.0,0.0,0.0,,,,26397.322,327177.0,349799.0,13975.071,0.0,0.0,0.0,0.0,19.0
2008-10-01,0.0,0.0,0.0,,,,22874.91,283519.0,303121.0,12110.262,0.0,0.0,0.0,0.0,15.0
2008-11-01,0.0,0.0,0.0,,,,18273.277000000002,226485.0,242144.0,9674.1,0.0,0.0,0.0,0.0,12.0
2008-12-01,0.0,0.0,0.0,,,,16633.484,206161.0,220415.0,8805.973,0.0,0.0,0.0,0.0,11.0
2009-01-01,0.0,0.0,0.0,,,,16781.967,205544.0,220184.0,8785.358,0.0,0.0,0.0,0.0,11.0
2009-02-01,0.0,0.0,0.0,,,,16127.083,197523.0,211591.0,8442.525,0.0,0.0,0.0,0.0,10.0
2009-03-01,0.0,0.0,0.0,,,,18688.66,228897.0,245200.0,9783.511,0.0,0.0,0.0,0.0,11.0
2009-04-01,0.0,0.0,0.0,,,,20232.759,247810.0,265459.0,10591.846,0.0,0.0,0.0,0.0,12.0
2009-05-01,0.0,0.0,0.0,,,,23845.734,292061.0,312862.0,12483.238000000001,0.0,0.0,0.0,0.0,14.0
2009-06-01,0.0,0.0,0.0,,,,26507.208,324659.0,347781.0,13876.519,0.0,0.0,0.0,0.0,16.0
2009-07-01,0.0,0.0,0.0,,,,27151.483,332550.0,356234.0,14213.797,0.0,0.0,0.0,0.0,16.0
2009-08-01,0.0,0.0,0.0,,,,27831.074,340874.0,365150.0,14569.563,0.0,0.0,0.0,0.0,17.0
2009-09-01,0.0,0.0,0.0,,,,27967.217,342541.0,366937.0,14640.833999999999,0.0,0.0,0.0,0.0,17.0
2009-10-01,0.0,0.0,0.0,,,,25187.77,308498.0,330469.0,13185.794,0.0,0.0,0.0,0.0,15.0
2009-11-01,0.0,0.0,0.0,,,,20696.53,253490.0,271543.0,10834.63,0.0,0.0,0.0,0.0,13.0
2009-12-01,0.0,0.0,0.0,,,,17771.515,217665.0,233167.0,9303.385,0.0,0.0,0.0,0.0,11.0
2010-01-01,0.0,0.0,0.0,,,,21997.043,267134.0,284588.0,11014.35,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,,,,15147.061000000002,183947.0,195965.0,7584.43,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,,,,24776.942,300893.0,320552.0,12406.300000000001,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,,,,26780.019,325219.0,346466.0,13409.28,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,,,,25443.343,308986.0,329173.0,12739.98,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,,,,26890.440000000002,326560.0,347895.0,13464.57,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,,,,27194.583,330254.0,351830.0,13616.86,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,,,,25840.471,313809.0,334311.0,12938.83,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,,,,27692.446,336300.0,358271.0,13866.15,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,,,,21809.133,264852.0,282155.0,10920.26,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,,,,23000.519,279321.0,297569.0,11516.81,0.0,0.0,,,
2011-01-01,54.697,764.0,824.0,31.983,0.0,0.0,20308.143,283538.0,305818.0,11874.767,0.0,0.0,,,
2011-02-01,51.252,716.0,772.0,29.969,0.0,0.0,18685.878,260888.0,281402.0,10926.181,0.0,0.0,,,
2011-03-01,54.695,764.0,824.0,31.982,0.0,0.0,19964.755,278744.0,300661.0,11673.978,0.0,0.0,,,
2011-04-01,8.032,112.0,121.0,4.697,0.0,0.0,2913.268,40674.0,43873.0,1703.473,0.0,0.0,,,
2011-05-01,60.05,838.0,904.0,35.113,0.0,0.0,21913.569,305952.0,330009.0,12813.507,0.0,0.0,,,
2011-06-01,59.285,828.0,893.0,34.665,0.0,0.0,21630.664,302003.0,325749.0,12648.085,0.0,0.0,,,
2011-07-01,61.962,865.0,933.0,36.231,0.0,0.0,22643.226,316140.0,340996.0,13240.159,0.0,0.0,,,
2011-08-01,61.962,865.0,933.0,36.231,0.0,0.0,22654.839,316302.0,341170.0,13246.949,0.0,0.0,,,
2011-09-01,59.667,833.0,899.0,34.889,0.0,0.0,21751.381,303688.0,327567.0,12718.671,0.0,0.0,,,
2011-10-01,63.492,886.0,956.0,37.125,0.0,0.0,23137.704,323044.0,348446.0,13529.295,0.0,0.0,,,
2011-11-01,53.547,748.0,806.0,31.311,0.0,0.0,19499.756,272251.0,293660.0,11402.079,0.0,0.0,,,
2011-12-01,57.755,806.0,870.0,33.771,0.0,0.0,21086.421,294404.0,317552.0,12329.849,0.0,0.0,,,
2012-01-01,0.428,5.0,6.0,0.219,0.0,0.0,22952.838,279413.0,308999.0,11758.121,0.0,0.0,,,
2012-02-01,0.428,5.0,6.0,0.219,0.0,0.0,21114.228,257030.0,284247.0,10816.251,0.0,0.0,,,
2012-03-01,0.428,5.0,6.0,0.219,0.0,0.0,22263.596,271023.0,299720.0,11405.041,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,6913.246,84157.0,93066.0,3541.47,0.0,0.0,,,
2012-05-01,0.428,5.0,6.0,0.219,0.0,0.0,21299.793,259290.0,286746.0,10911.311,0.0,0.0,,,
2012-06-01,1.711,21.0,23.0,0.877,0.0,0.0,25113.956,305721.0,338108.0,12865.203,0.0,0.0,,,
2012-07-01,0.428,5.0,6.0,0.219,0.0,0.0,24713.812,300850.0,332705.0,12660.221,0.0,0.0,,,
2012-08-01,0.856,11.0,12.0,0.438,0.0,0.0,26987.503,328529.0,363319.0,13824.972,0.0,0.0,,,
2012-09-01,0.428,5.0,6.0,0.219,0.0,0.0,24359.724,296539.0,327938.0,12478.831,0.0,0.0,,,
2012-10-01,0.856,11.0,12.0,0.438,0.0,0.0,26231.988,319331.0,353148.0,13437.942,0.0,0.0,,,
2012-11-01,0.428,5.0,6.0,0.219,0.0,0.0,22114.007,269202.0,297706.0,11328.411,0.0,0.0,,,
2012-12-01,0.428,5.0,6.0,0.219,0.0,0.0,22390.462,272567.0,301428.0,11470.031,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,23694.0,283186.0,305537.0,11376.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,21689.0,260223.0,280833.0,10549.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,23727.0,283147.0,303503.0,11351.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,12501.0,151083.0,151083.0,6343.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,14468.0,174782.0,189462.0,7013.0,0.0,0.0,,,
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,23118.0,277706.0,299825.0,11353.0,0.0,0.0,,,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,24713.0,300427.0,322797.0,12607.0,0.0,0.0,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,24803.0,297395.0,327079.0,12122.0,0.0,0.0,,,
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,23322.0,280816.0,301395.0,11604.0,0.0,0.0,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,25577.0,306070.0,331928.0,12564.0,0.0,0.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,22085.0,262234.0,286570.0,10471.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,22995.0,273263.0,298011.0,10949.0,0.0,0.0,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,22980.0,271938.0,332025.0,10741.0,0.0,0.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,19876.0,237495.0,262304.0,9569.0,0.0,0.0,,,
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,22415.0,267325.0,293474.0,10776.0,0.0,0.0,,,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,6466.0,67123.0,67123.0,3053.0,0.0,0.0,,,
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,21985.0,262538.0,270704.0,10688.0,0.0,0.0,,,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,19947.0,240753.0,306031.0,9919.0,0.0,0.0,,,
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,24579.0,298236.0,324187.0,12548.0,0.0,0.0,,,
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,26344.0,317052.0,349136.0,13154.0,0.0,0.0,,,
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,23547.0,285111.0,311459.0,11882.0,0.0,0.0,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,21322.0,260551.0,487334.0,11096.0,0.0,0.0,,,
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,25326.0,305439.0,331172.0,12695.0,0.0,0.0,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,25054.0,301682.0,332025.0,12435.0,0.0,0.0,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,8360.0,99815.0,108545.0,4027.0,0.0,0.0,,,
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,15509.0,183113.0,206274.0,7466.0,0.0,0.0,,,
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,20090.0,244151.0,272931.0,10064.0,0.0,0.0,,,
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,14609.0,178398.0,195882.0,7505.0,0.0,0.0,,,
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,21426.0,288365.0,288365.0,18927.0,0.0,0.0,,,
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,25255.0,304667.0,333360.0,12701.0,0.0,0.0,,,
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,25446.0,309538.0,341385.0,13014.0,0.0,0.0,,,
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,25832.0,308362.0,345149.0,12538.0,0.0,0.0,,,
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,24691.0,297535.0,329066.0,12362.0,0.0,0.0,,,
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,26375.0,316499.0,351557.0,13060.0,0.0,0.0,,,
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,24296.0,293217.0,329417.0,12151.0,0.0,0.0,,,
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,23459.0,282133.0,318383.0,11550.0,0.0,0.0,,,
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,23326.0,272392.0,314175.0,11421.0,0.0,0.0,,,
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,21464.0,250243.0,284300.0,10449.0,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,22912.0,275652.0,306912.0,12027.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2520.0,29753.0,32871.0,1289.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,18528.0,218140.0,228169.0,9270.0,0.0,0.0,,,
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,20384.0,239917.0,275529.0,10227.0,0.0,0.0,,,
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,8567.0,104809.0,117263.0,4602.0,0.0,0.0,,,
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,26429.0,308937.0,339429.0,13182.0,0.0,0.0,,,
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,25984.0,302530.0,335452.0,12785.0,0.0,0.0,,,
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,27658.0,320311.0,357618.0,13422.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,23552.0,272278.0,307994.0,11246.0,0.0,0.0,,,
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,23713.0,277502.0,313069.0,11733.0,0.0,0.0,,,
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,21882.0,253784.0,288976.0,10766.0,0.0,0.0,,,
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,21649.0,251494.0,285350.0,10700.0,0.0,0.0,,,
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,23136.0,268737.0,303195.0,11419.0,0.0,0.0,,,
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1897.0,21322.0,21322.0,1004.0,0.0,0.0,,,
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,25507.0,295563.0,322346.0,12832.0,0.0,0.0,,,
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,24999.0,289489.0,318175.0,12418.0,0.0,0.0,,,
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,25376.0,294296.0,319113.0,12598.0,0.0,0.0,,,
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,25619.0,293454.0,328086.0,12223.0,0.0,0.0,,,
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,18472.0,217117.0,330304.0,9473.0,0.0,0.0,,,
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,24891.0,289413.0,323920.0,12337.0,0.0,0.0,,,
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,22350.0,261526.0,296052.0,11279.0,0.0,0.0,,,
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,21693.0,261238.0,300561.0,11881.0,0.0,0.0,,,
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,21943.0,258000.0,300083.0,11204.0,0.0,0.0,,,
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,19137.0,230750.0,278381.0,10475.0,0.0,0.0,,,
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,21564.0,258258.0,307659.0,11596.0,0.0,0.0,,,
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,7328.0,86619.0,99700.0,3808.0,0.0,0.0,,,
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,16372.0,190276.0,212662.0,8093.0,0.0,0.0,,,
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,24550.0,286585.0,320671.0,12296.0,0.0,0.0,,,
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,25487.0,299422.0,332993.0,13011.0,0.0,0.0,,,
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,25761.0,297898.0,333291.0,12554.0,0.0,0.0,,,
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,24596.0,290740.0,319914.0,12785.0,0.0,0.0,,,
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,25652.0,298868.0,330657.0,12774.0,0.0,0.0,,,
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,22738.0,264733.0,290644.0,11281.0,0.0,0.0,,,
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,23170.0,270109.0,299041.0,11448.0,0.0,0.0,,,
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,23711.0,275894.0,302033.0,11134.0,0.0,0.0,,,
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,20971.0,245202.0,271981.0,9988.0,0.0,0.0,,,
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,22438.0,271262.0,300918.0,10825.0,0.0,0.0,,,
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,7581.0,88613.0,98234.0,3654.0,0.0,0.0,,,
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,19732.0,227042.0,248189.0,8979.0,0.0,0.0,,,
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,24825.0,286524.0,310024.0,11503.0,0.0,0.0,,,
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,25525.0,294539.0,320762.0,11807.0,0.0,0.0,,,
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,26280.0,298793.0,329166.0,11583.0,0.0,0.0,,,
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,24731.0,284841.0,312086.0,11389.0,0.0,0.0,,,
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,24380.0,281763.0,311561.0,11281.0,0.0,0.0,,,
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,24118.0,280747.0,307979.0,11421.0,0.0,0.0,,,
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,23233.0,267410.0,296998.0,11519.0,0.0,0.0,,,
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,24319.0,278601.0,308074.0,10872.0,0.0,0.0,,,
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,22335.0,255756.0,289020.0,9946.0,0.0,0.0,,,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,23869.0,275068.0,306606.0,10866.0,0.0,0.0,,,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,24888.0,287412.0,318031.0,11561.0,0.0,0.0,,,
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,25334.0,292485.0,324124.0,11758.0,0.0,0.0,,,
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,25322.0,292264.0,326897.0,11769.0,0.0,0.0,,,
