measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2007-03-01,4277.675,42280.54,42280.54,,,
2007-04-01,3982.355,39361.6,39361.6,,,
2007-05-01,3374.5420000000004,33353.97,33353.97,,,
2007-06-01,3909.54,38641.89,38641.89,,,
2007-07-01,3863.702,38188.83,38188.83,,,
2007-08-01,3951.38,39055.44,39055.44,,,
2007-09-01,3817.0530000000003,37727.75,37727.75,,,
2007-10-01,3917.596,38721.52,38721.52,,,
2007-11-01,3881.875,38368.45,38368.45,,,
2007-12-01,4077.402,40301.04,40301.04,,,
2008-01-01,1908.7320000000002,18808.65,18808.65,,,
2008-02-01,1530.757,15084.08,15084.08,,,
2008-03-01,5578.309,54968.66,54968.66,,,
2008-04-01,6096.737,60077.25,60077.25,,,
2008-05-01,5981.031,58937.08,58937.08,,,
2008-06-01,5584.643,55031.07,55031.07,,,
2008-07-01,5522.261,54416.36,54416.36,,,
2008-08-01,5517.400000000001,54368.46,54368.46,,,
2008-09-01,5313.166,52355.94,52355.94,,,
2008-10-01,5879.541,57937.0,57937.0,,,
2008-11-01,5823.124000000001,57381.06,57381.06,,,
2008-12-01,6134.299,60447.380000000005,60447.380000000005,,,
2009-01-01,8947.992,87332.4,87332.4,,,
2009-02-01,8179.177000000001,79828.77,79828.77,,,
2009-03-01,9243.533000000001,90216.88,90216.88,,,
2009-04-01,8491.268,82874.78,82874.78,,,
2009-05-01,7931.451,77410.96,77410.96,,,
2009-06-01,8342.633,81424.1,81424.1,,,
2009-07-01,8278.267,80795.89,80795.89,,,
2009-08-01,8389.582,81882.32,81882.32,,,
2009-09-01,8073.379000000001,78796.18,78796.18,,,
2009-10-01,6303.599,61523.13,61523.13,,,
2009-11-01,10839.148,105790.08,105790.08,,,
2009-12-01,12082.971,117929.8,117929.8,,,
2010-01-01,8268.388,80666.0,80666.0,,,
2010-02-01,6546.862,63871.0,63871.0,,,
2010-03-01,9254.862000000001,90290.0,90290.0,,,
2010-04-01,9066.11,88449.0,88449.0,,,
2010-05-01,9874.965,96340.0,96340.0,,,
2010-06-01,9125.729000000001,89031.0,89031.0,,,
2010-07-01,8314.814,81119.0,81119.0,,,
2010-08-01,9125.235,89026.0,89026.0,,,
2010-09-01,8577.368,83681.0,83681.0,,,
2010-10-01,9199.696,89752.0,89752.0,,,
2010-11-01,8576.378,83671.0,83671.0,,,
2010-12-01,9815.593,95761.0,95761.0,,,
2011-01-01,7312.955,71053.0,71053.0,,,
2011-02-01,6699.479,65092.0,65092.0,,,
2011-03-01,7197.531,69931.0,69931.0,,,
2011-04-01,6947.72,67504.0,67504.0,,,
2011-05-01,7031.615,68319.0,68319.0,,,
2011-06-01,6522.51,63373.0,63373.0,,,
2011-07-01,6472.982,62891.0,62891.0,,,
2011-08-01,6495.27,63108.0,63108.0,,,
2011-09-01,6176.543,60011.0,60011.0,,,
2011-10-01,6196.837,60208.0,60208.0,,,
2011-11-01,6809.044,66157.0,66157.0,,,
2011-12-01,7149.514,69465.0,69465.0,,,
2012-01-01,6385.296,60762.0,60762.0,,,
2012-02-01,6032.318,57404.0,57404.0,,,
2012-03-01,6349.32,60420.0,60420.0,,,
2012-04-01,6000.007,57096.0,57096.0,,,
2012-05-01,6243.283,59411.0,59411.0,,,
2012-06-01,7013.527,66741.0,66741.0,,,
2012-07-01,7056.941,67154.0,67154.0,,,
2012-08-01,7065.602,67236.0,67236.0,,,
2012-09-01,7211.112,68621.0,68621.0,,,
2012-10-01,7404.089,70457.0,70457.0,,,
2012-11-01,7749.516,73744.0,73744.0,,,
2012-12-01,7868.989,74881.0,74881.0,,,
2013-01-01,7155.198,68268.0,68268.0,,,
2013-02-01,6545.323,62449.0,62449.0,,,
2013-03-01,7035.003,67121.0,67121.0,,,
2013-04-01,6678.89,63723.0,63723.0,,,
2013-05-01,6616.746,63130.0,63130.0,,,
2013-06-01,6163.419,58805.0,58805.0,,,
2013-07-01,5977.274,57029.0,57029.0,,,
2013-08-01,6073.963,57952.0,57952.0,,,
2013-09-01,6092.33,58127.0,58127.0,,,
2013-10-01,6831.584,65180.0,65180.0,,,
2013-11-01,6839.626,65257.0,65257.0,,,
2013-12-01,7323.644,69875.0,69875.0,,,
2014-01-01,7172.908,68214.0,68214.0,,,
2014-02-01,6030.251,57348.0,57348.0,,,
2014-03-01,6674.762,63477.0,63477.0,,,
2014-04-01,6109.953,58106.0,58106.0,,,
2014-05-01,6094.961,57963.0,57963.0,,,
2014-06-01,5629.749,53539.0,53539.0,,,
2014-07-01,5392.558,51283.0,51283.0,,,
2014-08-01,5857.451,55704.0,55704.0,,,
2014-09-01,5872.881,55851.0,55851.0,,,
2014-10-01,5912.034,56223.0,56223.0,,,
2014-11-01,6611.965,62880.0,62880.0,,,
2014-12-01,6870.527,65339.0,65339.0,,,
2015-01-01,5137.384,47875.0,47875.0,,,
2015-02-01,5236.821,48802.0,48802.0,,,
2015-03-01,5933.213,55292.0,55292.0,,,
2015-04-01,5745.555,53543.0,53543.0,,,
2015-05-01,5761.087,53688.0,53688.0,,,
2015-06-01,4807.561,44802.0,44802.0,,,
2015-07-01,5390.411,50233.0,50233.0,,,
2015-08-01,5193.767,48401.0,48401.0,,,
2015-09-01,5674.116,52877.0,52877.0,,,
2015-10-01,5971.18,55645.0,55645.0,,,
2015-11-01,6940.267,64676.0,64676.0,,,
2015-12-01,7110.638,66264.0,66264.0,,,
2016-01-01,5954.719,54974.0,54974.0,,,
2016-02-01,5481.979,50610.0,50610.0,,,
2016-03-01,5663.255,52283.0,52283.0,,,
2016-04-01,5396.779,49823.0,49823.0,,,
2016-05-01,5496.437,50743.0,50743.0,,,
2016-06-01,4732.577,43691.0,43691.0,,,
2016-07-01,4614.042,42597.0,42597.0,,,
2016-08-01,4648.702,42917.0,42917.0,,,
2016-09-01,4985.258,46024.0,46024.0,,,
2016-10-01,5355.933,49446.0,49446.0,,,
2016-11-01,5648.895,52151.0,52151.0,,,
2016-12-01,6088.424,56208.0,56208.0,,,
2017-01-01,5280.399,48648.0,48648.0,,,
2017-02-01,4651.407,42853.0,42853.0,,,
2017-03-01,5202.44,47930.0,47930.0,,,
2017-04-01,5040.254,46436.0,46436.0,,,
2017-05-01,4872.225,44888.0,44888.0,,,
2017-06-01,4780.913,44047.0,44047.0,,,
2017-07-01,5142.53,47378.0,47378.0,,,
2017-08-01,5108.466,47064.0,47064.0,,,
2017-09-01,4995.831,46027.0,46027.0,,,
2017-10-01,4550.08,41920.0,41920.0,,,
2017-11-01,4888.54,45038.0,45038.0,,,
2017-12-01,5082.915,46829.0,46829.0,,,
2018-01-01,4554.374,41463.0,41463.0,,,
2018-02-01,4329.377,39415.0,39415.0,,,
2018-03-01,4640.099,42243.0,42243.0,,,
2018-04-01,4036.308,36747.0,36747.0,,,
2018-05-01,4669.476,42511.0,42511.0,,,
2018-06-01,4356.812,39664.0,39664.0,,,
2018-07-01,4617.496,42038.0,42038.0,,,
2018-08-01,4608.761,41958.0,41958.0,,,
2018-09-01,4483.62,40819.0,40819.0,,,
2018-10-01,4316.164,39294.0,39294.0,,,
2018-11-01,4509.977,41059.0,41059.0,,,
2018-12-01,4783.536,43549.0,43549.0,,,
2019-01-01,4749.689,42296.0,42296.0,,,
2019-02-01,4424.235,39398.0,39398.0,,,
2019-03-01,4874.032,43403.0,43403.0,,,
2019-04-01,4309.793,38379.0,38379.0,,,
2019-05-01,4641.922,41336.0,41336.0,,,
2019-06-01,4506.64,40132.0,40132.0,,,
2019-07-01,4661.243,41508.0,41508.0,,,
2019-08-01,4706.447,41911.0,41911.0,,,
2019-09-01,4614.936,41096.0,41096.0,,,
2019-10-01,3937.563,35064.0,35064.0,,,
2019-11-01,3595.612,32019.0,32019.0,,,
2019-12-01,4234.888,37712.0,37712.0,,,
2020-01-01,4095.85,35908.0,35908.0,,,
2020-02-01,4360.27,38226.0,38226.0,,,
2020-03-01,4553.9,39924.0,39924.0,,,
2020-04-01,4303.849,37732.0,37732.0,,,
2020-05-01,4110.28,36035.0,36035.0,,,
2020-06-01,3783.574,33171.0,33171.0,,,
2020-07-01,3573.355,31328.0,31328.0,,,
2020-08-01,3476.464,30478.0,30478.0,,,
2020-09-01,3752.401,32897.0,32897.0,,,
2020-10-01,4165.516,36519.0,36519.0,,,
2020-11-01,4444.096,38961.0,38961.0,,,
2020-12-01,4657.445,40832.0,40832.0,,,
2021-01-01,4552.875,40266.0,40266.0,,,
2021-02-01,3989.163,35280.0,35280.0,,,
2021-03-01,3542.007,31326.0,31326.0,,,
2021-04-01,4062.159,35926.0,35926.0,,,
2021-05-01,4492.672,39733.0,39733.0,,,
2021-06-01,3897.126,34466.0,34466.0,,,
2021-07-01,3852.528,34072.0,34072.0,,,
2021-08-01,3912.524,34602.0,34602.0,,,
2021-09-01,4057.835,35887.0,35887.0,,,
2021-10-01,4437.503,39245.0,39245.0,,,
2021-11-01,4563.269,40358.0,40358.0,,,
2021-12-01,5110.339,45196.0,45196.0,,,
2022-01-01,4388.696,14974.0,14974.0,,,
2022-02-01,3846.854,13125.0,13125.0,,,
2022-03-01,3463.301,11817.0,11817.0,,,
2022-04-01,3209.93,10952.0,10952.0,,,
2022-05-01,3466.683,11828.0,11828.0,,,
2022-06-01,3397.138,11591.0,11591.0,,,
2022-07-01,3266.781,11146.0,11146.0,,,
2022-08-01,3451.063,11775.0,11775.0,,,
2022-09-01,3539.103,12075.0,12075.0,,,
2022-10-01,3078.033,10502.0,10502.0,,,
2022-11-01,4378.755,14940.0,14940.0,,,
2022-12-01,4603.663,15708.0,15708.0,,,
2023-01-01,4200.0,14330.0,14330.0,,,
2023-02-01,2904.0,9908.0,9908.0,,,
2023-03-01,1586.0,5411.0,5411.0,,,
2023-04-01,0.0,0.0,0.0,,,
2023-05-01,0.0,0.0,0.0,,,
2023-06-01,3327.0,11352.0,11352.0,,,
2023-07-01,3387.0,11556.0,11556.0,,,
2023-08-01,3993.0,13624.0,13624.0,,,
2023-09-01,4428.0,15108.0,15108.0,,,
2023-10-01,5258.0,17940.0,17940.0,,,
2023-11-01,6273.0,21403.0,21403.0,0.0,0.0,0.0
2023-12-01,6741.0,23000.0,23000.0,0.0,0.0,0.0
2024-01-01,6251.0,21328.0,21328.0,0.0,0.0,0.0
2024-02-01,6174.0,21066.0,21066.0,0.0,0.0,0.0
2024-03-01,6622.0,22594.0,22594.0,0.0,0.0,0.0
2024-04-01,3766.0,12850.0,12850.0,0.0,0.0,0.0
2024-05-01,5303.0,18094.0,18094.0,0.0,0.0,0.0
2024-06-01,4559.0,15555.0,15555.0,0.0,0.0,0.0
2024-07-01,4016.0,13703.0,13703.0,0.0,0.0,0.0
2024-08-01,4700.0,16036.0,16036.0,0.0,0.0,0.0
2024-09-01,4308.0,14699.0,14699.0,0.0,0.0,0.0
2024-10-01,5499.0,18763.0,18763.0,0.0,0.0,0.0
2024-11-01,5902.0,20138.0,20138.0,0.0,0.0,0.0
2024-12-01,5565.0,18988.0,18988.0,0.0,0.0,0.0
