measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2020-04-01,3226.938,28291.0,28291.0,,,
2020-05-01,2908.046,25495.0,25495.0,,,
2020-06-01,962.526,8438.0,8438.0,,,
2020-07-01,1222.574,10718.0,10718.0,,,
2020-08-01,660.994,5795.0,5795.0,,,
2020-09-01,376.275,3299.0,3299.0,,,
2020-10-01,1399.473,12269.0,12269.0,,,
2020-11-01,1650.201,14467.0,14467.0,,,
2020-12-01,2225.853,19514.0,19514.0,,,
2021-01-01,1937.238,17133.0,17133.0,,,
2021-02-01,1244.345,11005.0,11005.0,,,
2021-03-01,1916.569,16950.0,16950.0,,,
2021-04-01,2364.521,20912.0,20912.0,,,
2021-05-01,1813.956,16043.0,16043.0,,,
2021-06-01,803.922,7110.0,7110.0,,,
2021-07-01,1601.201,14161.0,14161.0,,,
2021-08-01,1121.062,9915.0,9915.0,,,
2021-09-01,1290.853,11416.0,11416.0,,,
2021-10-01,1385.345,12252.0,12252.0,,,
2021-11-01,1956.728,17305.0,17305.0,,,
2021-12-01,1920.26,16983.0,16983.0,,,
2022-01-01,1765.969,6025.0,6025.0,,,
2022-02-01,2184.189,7452.0,7452.0,,,
2022-03-01,3203.464,10930.0,10930.0,,,
2022-04-01,3669.115,12519.0,12519.0,,,
2022-05-01,2673.85,9123.0,9123.0,,,
2022-06-01,1260.957,4302.0,4302.0,,,
2022-07-01,717.763,2449.0,2449.0,,,
2022-08-01,629.002,2146.0,2146.0,,,
2022-09-01,1175.345,4010.0,4010.0,,,
2022-10-01,1540.426,5256.0,5256.0,,,
2022-11-01,1710.863,5837.0,5837.0,,,
2022-12-01,2476.057,8448.0,8448.0,,,
2023-01-01,2784.0,9499.0,9499.0,,,
2023-02-01,2004.0,6838.0,6838.0,,,
2023-03-01,2040.0,6960.0,6960.0,,,
2023-04-01,2556.0,8721.0,8721.0,,,
2023-05-01,2304.0,7861.0,7861.0,,,
2023-06-01,2100.0,7165.0,7165.0,,,
2023-07-01,2652.0,9049.0,9049.0,,,
2023-08-01,2772.0,9458.0,9458.0,,,
2023-09-01,2316.0,7902.0,7902.0,,,
2023-10-01,2004.0,6838.0,6838.0,,,
2023-11-01,2316.0,7902.0,7902.0,,,
2023-12-01,2280.0,7779.0,7779.0,,,
2024-01-01,669.0,2283.0,2283.0,,,
2024-02-01,1584.0,5405.0,5405.0,,,
2024-03-01,1271.0,4337.0,4337.0,,,
2024-04-01,60.0,205.0,205.0,,,
2024-05-01,83.0,283.0,283.0,,,
2024-06-01,35.0,119.0,119.0,,,
2024-07-01,24.0,82.0,82.0,,,
2024-08-01,26.0,89.0,89.0,,,
2024-09-01,27.0,92.0,92.0,,,
2024-10-01,24.0,82.0,82.0,,,
2024-11-01,21.0,72.0,72.0,,,
2024-12-01,29.0,99.0,99.0,,,
