measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2004-08-01,48.56511,281.02,979.79,389.30493,2252.72,7854.17,363.27296,2102.08,7328.98
2004-09-01,35.128389999999996,203.27,710.04,388.57798,2248.51,7854.17,362.59463,2098.16,7328.98
2004-10-01,24.45353,141.5,495.03,387.98095,2245.06,7854.17,362.03752,2094.93,7328.98
2004-11-01,24.016569999999998,138.97,486.21,387.95714,2244.92,7854.17,362.0153,2094.8,7328.98
2004-12-01,39.64447,229.4,800.81,388.82624,2249.95,7854.17,362.82629,2099.5,7328.98
2005-01-01,702.75177,4066.48,19101.18,133.15108,770.48,3619.12,18.52215,107.18,503.44
2005-02-01,161.7589,936.02,4396.73,118.04122,683.05,3208.45,7.56288,43.76,205.56
2005-03-01,138.80866,803.22,3772.91,140.8621,815.1,3828.72,10.40723,60.22,282.88
2005-04-01,138.88807,803.68,3775.05,144.41885,835.68,3925.38,6.00808,34.77,163.3
2005-05-01,140.03271999999998,810.3,3806.18,117.15776,677.93,3184.42,2.46852,14.28,67.1
2005-06-01,169.63112999999998,981.57,4610.66,199.32078,1153.37,5417.64,13.83409,80.05,376.02
2005-07-01,321.2613,1858.98,8732.08,256.8518,1486.28,6981.39,16.8639,97.58,458.37
2005-08-01,284.54384,1646.52,7734.07,274.61334999999997,1589.06,7464.15,19.846819999999997,114.84,539.45
2005-09-01,158.32625,916.16,4303.41,181.65849,1051.17,4937.6,15.49925,89.69,421.28
2005-10-01,221.97763,1284.48,6033.46,125.62722,726.94,3414.61,14.19815,82.16,385.91
2005-11-01,149.47077,864.92,4062.71,112.76422,652.51,3065.0,6.56001,37.96,178.31
2005-12-01,409.43071,2369.18,11128.61,121.83391,705.0,3311.53,19.487379999999998,112.76,529.68
2006-01-01,,,,12.29434,71.14,72.51,1136.10566,6574.09,6700.57
2006-02-01,,,,12.25841,70.93,72.3,1047.04959,6058.77,6175.49
2006-03-01,,,,13.371509999999999,77.37,78.87,993.96349,5751.58,5862.76
2006-04-01,,,,11.2417,65.05,66.31,762.7563,4413.7,4499.18
2006-05-01,,,,10.90555,63.11,64.33,693.0994499999999,4010.63,4088.48
2006-06-01,,,,13.94793,80.71,82.29,673.02907,3894.49,3970.74
2006-07-01,,,,20.88366,120.84,123.23,802.42634,4643.25,4734.95
2006-08-01,,,,19.66028,113.76,116.02,685.83872,3968.62,4047.3
2006-09-01,,,,13.948609999999999,80.71,82.29,717.67639,4152.84,4233.94
2006-10-01,,,,15.555539999999999,90.01,91.78,679.99846,3934.83,4012.09
2006-11-01,,,,13.38228,77.44,78.94,833.4167199999999,4822.58,4916.2
2006-12-01,,,,13.07912,75.68,77.14,1145.07188,6625.97,6753.58
2007-01-01,100.43400000000001,570.0,1134.0,579.402,3286.0,6545.0,0.0,0.0,0.0
2007-02-01,130.55700000000002,741.0,1476.0,513.3580000000001,2911.0,5799.0,0.0,0.0,0.0
2007-03-01,69.498,393.0,787.0,724.619,4109.0,8186.0,0.0,0.0,0.0
2007-04-01,41.211,234.0,467.0,920.99,5223.0,10404.0,0.0,0.0,0.0
2007-05-01,32.191,182.0,365.0,753.253,4272.0,8509.0,0.0,0.0,0.0
2007-06-01,51.341,291.0,581.0,869.6360000000001,4932.0,9824.0,0.0,0.0,0.0
2007-07-01,43.497,245.0,490.0,1103.8120000000001,6259.0,12469.0,0.0,0.0,0.0
2007-08-01,52.251000000000005,296.0,593.0,1164.021,6601.0,13150.0,0.0,0.0,0.0
2007-09-01,40.43,228.0,456.0,936.714,5312.0,10582.0,0.0,0.0,0.0
2007-10-01,31.28,177.0,353.0,920.363,5219.0,10397.0,0.0,0.0,0.0
2007-11-01,31.004,177.0,348.0,857.971,4865.0,9692.0,0.0,0.0,0.0
2007-12-01,57.983000000000004,331.0,656.0,786.182,4458.0,8881.0,0.0,0.0,0.0
2008-01-01,38.643,243.0,377.0,94.804,596.0,914.0,0.0,0.0,0.0
2008-02-01,32.326,203.0,313.0,94.17800000000001,592.0,908.0,0.0,0.0,0.0
2008-03-01,27.737000000000002,174.0,267.0,105.31200000000001,662.0,1015.0,0.0,0.0,0.0
2008-04-01,15.092,95.0,145.0,133.364,838.0,1286.0,0.0,0.0,0.0
2008-05-01,13.908000000000001,87.0,133.0,105.06400000000001,660.0,1013.0,0.0,0.0,0.0
2008-06-01,31.568,198.0,302.0,149.30100000000002,938.0,1439.0,0.0,0.0,0.0
2008-07-01,28.938000000000002,182.0,278.0,197.346,1240.0,1903.0,0.0,0.0,0.0
2008-08-01,23.977,151.0,232.0,146.096,918.0,1409.0,0.0,0.0,0.0
2008-09-01,30.504,192.0,296.0,134.79500000000002,847.0,1300.0,0.0,0.0,0.0
2008-10-01,17.473000000000003,110.0,168.0,132.983,836.0,1282.0,0.0,0.0,0.0
2008-11-01,21.275000000000002,134.0,203.0,137.558,864.0,1326.0,0.0,0.0,0.0
2008-12-01,34.387,216.0,331.0,121.37100000000001,763.0,1170.0,0.0,0.0,0.0
2009-01-01,2494.095,1511.0,1511.0,14.839,8.0,8.0,0.0,0.0,0.0
2009-02-01,1033.902,627.0,627.0,12.898000000000001,8.0,8.0,0.0,0.0,0.0
2009-03-01,1078.428,656.0,656.0,15.021,9.0,9.0,0.0,0.0,0.0
2009-04-01,138.93200000000002,86.0,86.0,15.044,9.0,9.0,0.0,0.0,0.0
2009-05-01,220.377,131.0,131.0,11.703000000000001,7.0,7.0,0.0,0.0,0.0
2009-06-01,96.771,57.0,57.0,14.153,9.0,9.0,0.0,0.0,0.0
2009-07-01,74.833,46.0,46.0,19.718,12.0,12.0,0.0,0.0,0.0
2009-08-01,331.269,200.0,200.0,26.111,16.0,16.0,0.0,0.0,0.0
2009-09-01,44.005,29.0,29.0,20.034000000000002,12.0,12.0,0.0,0.0,0.0
2009-10-01,54.374,34.0,34.0,20.907,13.0,13.0,0.0,0.0,0.0
2009-11-01,128.953,80.0,80.0,17.66,11.0,11.0,0.0,0.0,0.0
2009-12-01,343.309,205.0,205.0,18.204,11.0,11.0,0.0,0.0,0.0
2010-01-01,17.284000000000002,100.0,200.0,338.18600000000004,1957.0,3883.0,0.0,0.0,0.0
2010-02-01,7.4830000000000005,43.0,86.0,288.624,1670.0,3314.0,0.0,0.0,0.0
2010-03-01,18.944000000000003,110.0,217.0,300.58500000000004,1739.0,3451.0,0.0,0.0,0.0
2010-04-01,7.771000000000001,45.0,91.0,332.668,1925.0,3820.0,0.0,0.0,0.0
2010-05-01,16.843,97.0,194.0,430.906,2493.0,4948.0,0.0,0.0,0.0
2010-06-01,14.698,85.0,171.0,464.82300000000004,2690.0,5337.0,0.0,0.0,0.0
2010-07-01,81.592,472.0,935.0,606.702,3511.0,6966.0,0.0,0.0,0.0
2010-08-01,24.444000000000003,141.0,279.0,547.256,3167.0,6283.0,0.0,0.0,0.0
2010-09-01,32.905,190.0,376.0,450.884,2609.0,5177.0,0.0,0.0,0.0
2010-10-01,30.601000000000003,177.0,353.0,358.695,2076.0,4118.0,0.0,0.0,0.0
2010-11-01,6.942,40.0,80.0,351.745,2035.0,4039.0,0.0,0.0,0.0
2010-12-01,22.47,130.0,257.0,371.369,2149.0,4264.0,0.0,0.0,0.0
2011-01-01,180.384,1044.0,2086.0,652.334,3775.0,7561.0,0.0,0.0,0.0
2011-02-01,69.724,403.0,809.0,581.77,3366.0,6744.0,0.0,0.0,0.0
2011-03-01,26.9,156.0,314.0,622.277,3601.0,7213.0,0.0,0.0,0.0
2011-04-01,15.017,87.0,177.0,822.583,4760.0,9535.0,0.0,0.0,0.0
2011-05-01,15.405,89.0,177.0,661.398,3827.0,7667.0,0.0,0.0,0.0
2011-06-01,25.994,150.0,302.0,773.422,4475.0,8965.0,0.0,0.0,0.0
2011-07-01,101.215,586.0,1174.0,1061.421,6142.0,12304.0,0.0,0.0,0.0
2011-08-01,32.467,188.0,376.0,1029.756,5959.0,11937.0,0.0,0.0,0.0
2011-09-01,21.693,126.0,251.0,828.71,4795.0,9606.0,0.0,0.0,0.0
2011-10-01,18.611,108.0,217.0,847.94,4907.0,9829.0,0.0,0.0,0.0
2011-11-01,14.379,83.0,165.0,673.032,3895.0,7802.0,0.0,0.0,0.0
2011-12-01,25.017,145.0,291.0,570.171,3299.0,6609.0,0.0,0.0,0.0
2012-01-01,128.5,744.0,1471.0,687.647,3979.0,7902.0,0.0,0.0,0.0
2012-02-01,13.676,79.0,160.0,688.639,3985.0,7914.0,0.0,0.0,0.0
2012-03-01,30.741,178.0,353.0,768.784,4449.0,8835.0,0.0,0.0,0.0
2012-04-01,27.626,160.0,319.0,705.044,4080.0,8103.0,0.0,0.0,0.0
2012-05-01,25.625,148.0,296.0,840.778,4865.0,9663.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,645.483,3735.0,6915.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,410.203,2374.0,4395.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,561.109,3247.0,6011.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,877.78,5079.0,9404.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,992.79,5745.0,10636.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,869.031,5029.0,9310.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,1402.63,8116.0,15027.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,1242.266,7188.0,13309.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,908.467,5257.0,9733.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,903.967,5231.0,9684.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,597.108,3455.0,6397.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,409.746,2371.0,4390.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,531.068,3073.0,5702.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,549.164,3178.0,5896.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,412.591,2387.0,4430.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,815.094,4717.0,8752.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,892.07,5162.0,9578.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,962.931,5572.0,10339.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,1326.604,7676.0,14244.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,1193.72,6907.0,12817.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,1013.541,5865.0,10882.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,991.111,5735.0,10641.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,572.904,3315.0,6151.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,479.422,2774.0,5148.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,276.707,1601.0,2986.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,305.966,1770.0,3303.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,371.76,2151.0,4013.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,526.015,3044.0,5678.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,719.739,4165.0,7769.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,705.409,4082.0,7614.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,1106.97,6405.0,11949.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,1112.863,6440.0,12012.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,799.228,4625.0,8627.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,670.345,3879.0,7236.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,402.059,2327.0,4340.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,438.199,2536.0,4730.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,483.744,2904.0,5212.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,507.521,3047.0,5468.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,550.05,3302.0,5926.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,602.472,3617.0,6491.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,795.766,4777.0,8574.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,907.68,5449.0,9779.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,1109.02,6657.0,11949.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,1107.316,6647.0,11930.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,734.638,4410.0,7915.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,474.421,2848.0,5111.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,363.901,2184.0,3921.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,560.191,3363.0,6036.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,686.065,4118.0,7443.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,616.592,3701.0,6690.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,666.113,3999.0,7227.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,788.272,4732.0,8552.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,719.004,4316.0,7801.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,878.583,5274.0,9532.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,1043.292,6263.0,11319.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,1046.568,6282.0,11354.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,799.947,4802.0,8679.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,744.328,4468.0,8075.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,493.558,2963.0,5355.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,610.118,3662.0,6619.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,0.0,3054.0,5470.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,2995.0,5363.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,3279.0,5872.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,2036.0,3646.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0,2026.0,3627.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,0.0,2547.0,4561.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,4820.0,8632.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,0.0,5379.0,9632.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,0.0,3437.0,6154.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,0.0,2726.0,4881.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,0.0,2060.0,3690.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,2325.0,4164.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,899.747,5401.0,9616.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,791.19,4749.0,8457.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,772.205,4635.0,8254.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,554.05,3326.0,5922.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,473.258,2841.0,5058.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,606.923,3643.0,6487.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,1221.146,7330.0,13052.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,910.324,5465.0,9730.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,617.449,3706.0,6600.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,639.13,3837.0,6831.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,583.719,3504.0,6239.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,838.079,5031.0,8958.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,1011.357,6071.0,10924.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,796.719,4783.0,8606.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,352.904,2118.0,3812.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,407.881,2448.0,4406.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,287.572,1726.0,3106.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,765.979,4598.0,8274.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,1525.012,9154.0,16473.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,1285.554,7717.0,13886.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,748.298,4492.0,8083.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,814.718,4891.0,8800.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,595.0,3572.0,6427.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,869.926,5222.0,9397.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,985.907,5918.0,10584.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,854.348,5128.0,9172.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,536.421,3220.0,5759.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,378.587,2273.0,4064.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,397.59,2387.0,4268.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,928.095,5571.0,9964.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,884.19,5308.0,9492.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,1029.471,6180.0,11052.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,591.483,3551.0,6350.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,661.26,3969.0,7099.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,455.285,2733.0,4888.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,577.383,3466.0,6199.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,711.907,4273.0,7639.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,582.731,3498.0,6252.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,536.986,3223.0,5762.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,559.282,3357.0,6001.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,684.574,4109.0,7345.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,589.913,3541.0,6329.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,1128.68,6775.0,12110.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,1134.24,6809.0,12170.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,515.177,3093.0,5528.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,354.099,2126.0,3799.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,565.081,3392.0,6063.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,739.97,4442.0,7939.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,674.816,4051.0,7211.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,721.146,4329.0,7706.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,587.157,3525.0,6275.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,619.133,3717.0,6616.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,633.05,3800.0,6765.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,645.23,3873.0,6895.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,1109.79,6662.0,11860.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,785.133,4713.0,8390.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,724.358,4348.0,7741.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,657.01,3944.0,7021.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,636.75,3822.0,6804.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,792.207,4755.0,8466.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,407.537,2446.0,4175.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,271.299,1629.0,2779.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,234.151,1406.0,2399.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,258.879,1554.0,2652.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,229.539,1378.0,2352.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,338.559,2032.0,3468.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,641.592,3851.0,6573.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,459.431,2758.0,4707.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,272.164,1634.0,2788.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,392.998,2359.0,4026.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,477.421,2866.0,4891.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,389.19,2336.0,3987.0,0.0,0.0,0.0
