measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2007-09-01,50696.318,591545.0,591545.0,180.93300000000002,2122.5,2122.5,5080.62,59283.0,59283.0,7078.195000000001,82591.0,82591.0
2007-10-01,47200.425,554148.0,554148.0,207.24300000000002,2450.5,2450.5,11689.133,137234.0,137234.0,2090.956,24548.0,24548.0
2007-11-01,41120.293,501896.0,501896.0,285.116,3494.5,3494.5,107.426,1311.0,1311.0,2126.049,25950.0,25950.0
2007-12-01,54927.385,675480.0,675480.0,274.4905,3410.5,3410.5,2211.0640000000003,27191.0,27191.0,10416.57,128100.0,128100.0
2008-01-01,59624.371,702125.0,702125.0,564.7065,6643.5,6643.5,45.395500000000006,534.5,534.5,2677.424,31529.0,31529.0
2008-02-01,59156.785,680804.0,680804.0,376.471,4370.0,4370.0,0.0,0.0,0.0,2281.273,26254.0,26254.0
2008-03-01,66653.094,785593.0,785593.0,264.9945,3126.5,3126.5,0.0,0.0,0.0,2722.917,32093.0,32093.0
2008-04-01,12353.339,166182.0,166182.0,412.826,5571.0,5571.0,100.876,1357.0,1357.0,2458.2560000000003,33069.0,33069.0
2008-05-01,51750.957,639771.0,639771.0,37.063500000000005,472.5,472.5,631.7475000000001,7810.0,7810.0,4030.4210000000003,49826.0,49826.0
2008-06-01,65020.387,756948.0,756948.0,67.50750000000001,794.5,794.5,2882.8720000000003,33561.5,33561.5,5731.854,66729.0,66729.0
2008-07-01,57838.594,689763.0,689763.0,109.455,1302.0,1302.0,22233.993,265155.0,265155.0,2252.503,26863.0,26863.0
2008-08-01,41199.024,510077.0,510077.0,73.7835,922.0,922.0,7959.524,98545.0,98545.0,1753.885,21715.0,21715.0
2008-09-01,44475.712,562458.0,562458.0,73.839,954.5,954.5,4432.536,56056.0,56056.0,2104.0730000000003,26609.0,26609.0
2008-10-01,28635.537,383473.0,383473.0,192.5175,2613.0,2613.0,0.0,0.0,0.0,1284.4270000000001,17200.0,17200.0
2008-11-01,53423.83,656184.0,656184.0,25.2635,322.0,322.0,174.09,2138.0,2138.0,3176.5530000000003,39016.0,39016.0
2008-12-01,54429.498,677246.0,677246.0,190.185,2384.0,2384.0,253.472,3154.0,3154.0,6685.66,83187.0,83187.0
2009-01-01,63951.832,750299.0,750299.0,381.4015,4492.0,4492.0,1025.5,12031.0,12031.0,34074.865,399775.0,399775.0
2009-02-01,38111.65,444009.0,444009.0,238.2185,2790.0,2790.0,65.07,758.0,758.0,4233.843,49325.0,49325.0
2009-03-01,42312.213,485068.0,485068.0,214.515,2473.5,2473.5,236.29600000000002,2709.0,2709.0,1678.461,19242.0,19242.0
2009-04-01,9393.227,108607.0,108607.0,548.035,6336.5,6336.5,2630.717,30417.0,30417.0,5875.986,67939.0,67939.0
2009-05-01,51156.875,545110.0,545110.0,124.6475,1334.0,1334.0,2796.632,29800.0,29800.0,2256.1980000000003,24041.0,24041.0
2009-06-01,13832.938,186335.0,186335.0,309.5765,4167.5,4167.5,6367.169,85768.0,85768.0,958.74,12915.0,12915.0
2009-07-01,44457.862,550123.0,550123.0,117.41550000000001,1456.0,1456.0,10840.37,134139.0,134139.0,2400.937,29709.0,29709.0
2009-08-01,48296.867,598686.0,598686.0,54.5095,693.0,693.0,32882.644,407612.0,407612.0,2208.47,27376.0,27376.0
2009-09-01,4276.126,73618.0,73618.0,294.0955,5077.5,5077.5,2671.029,45985.0,45985.0,1376.654,23701.0,23701.0
2009-10-01,22990.074,297439.0,297439.0,338.2205,4376.0,4376.0,4.336,56.0,56.0,983.149,12720.0,12720.0
2009-11-01,7630.818,117579.0,117579.0,419.525,6473.5,6473.5,0.132,2.0,2.0,0.0,0.0,0.0
2009-12-01,54734.636,661859.0,661859.0,183.8385,2223.0,2223.0,0.8440000000000001,10.0,10.0,876.8430000000001,10603.0,10603.0
2010-01-01,77044.222,898404.0,898404.0,18.562,231.0,231.0,851.0550000000001,9924.0,9924.0,3952.599,46091.0,46091.0
2010-02-01,59358.130000000005,721514.0,721514.0,11.0695,134.5,134.5,0.169,2.0,2.0,2806.5620000000004,34115.0,34115.0
2010-03-01,4898.063,77463.0,77463.0,440.183,6961.5,6961.5,1952.4730000000002,30878.0,30878.0,170.098,2690.0,2690.0
2010-04-01,0.0,0.0,0.0,262.365,5437.5,5437.5,2667.784,55290.0,55290.0,29.486,611.0,611.0
2010-05-01,33137.139,405483.0,405483.0,33.6535,444.0,444.0,8072.226000000001,98776.0,98776.0,152.328,1864.0,1864.0
2010-06-01,61576.679000000004,726839.0,726839.0,415.0675,4908.5,4908.5,29818.982,351978.0,351978.0,3176.204,37491.0,37491.0
2010-07-01,69291.537,820697.0,820697.0,19.528000000000002,228.0,228.0,40666.126,481654.0,481654.0,6172.281,73105.0,73105.0
2010-08-01,57331.044,695606.0,695606.0,6.268000000000001,85.0,85.0,33018.169,400614.0,400614.0,2530.251,30700.0,30700.0
2010-09-01,8346.335000000001,105798.0,105798.0,371.74150000000003,4712.0,4712.0,13672.932,173317.0,173317.0,373.25,4731.0,4731.0
2010-10-01,0.0,0.0,0.0,-743.797,3787.5,3787.5,-0.406,2.0,2.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,-719.844,6034.5,6034.5,-2.3120000000000003,19.0,19.0,0.0,0.0,0.0
2010-12-01,41698.188,485519.0,485519.0,292.4085,3422.0,3422.0,3.0660000000000003,36.0,36.0,176.929,2060.0,2060.0
2011-01-01,55676.447,662208.0,662208.0,160.3435,1930.5,1930.5,173.458,2063.0,2063.0,6832.408,81264.0,81264.0
2011-02-01,19434.982,262529.0,262529.0,378.5075,5113.0,5113.0,1.601,22.0,22.0,778.402,10515.0,10515.0
2011-03-01,5898.133,112379.0,112379.0,434.758,8283.5,8283.5,1.351,26.0,26.0,0.0,0.0,0.0
2011-04-01,27455.141,423327.0,423327.0,138.2755,2118.0,2118.0,0.534,8.0,8.0,1482.774,22863.0,22863.0
2011-05-01,6655.578,95922.0,95922.0,424.5735,6128.0,6128.0,11866.174,171019.0,171019.0,465.101,6703.0,6703.0
2011-06-01,0.0,0.0,0.0,280.3865,4461.0,4461.0,11.421,182.0,182.0,1626.806,25969.0,25969.0
2011-07-01,0.0,0.0,0.0,224.7435,3211.5,3211.5,1307.691,18687.0,18687.0,7466.822,106703.0,106703.0
2011-08-01,0.0,0.0,0.0,85.402,1764.0,1764.0,17.087,357.0,357.0,383.109,8014.0,8014.0
2011-09-01,0.0,0.0,0.0,0.0,1840.0,1840.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,0.0,3627.0,3627.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,5262.0,5262.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,0.0,5788.5,5788.5,0.0,0.0,0.0,0.0,0.0,0.0
