measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2015-08-01,0.0,0.0,0.0,39270.0,548388.0,548388.0
2015-09-01,0.0,0.0,0.0,41345.0,508428.0,508428.0
2015-10-01,0.0,0.0,0.0,24100.0,333261.0,333261.0
2015-11-01,0.0,0.0,0.0,34075.0,453888.0,453888.0
2015-12-01,0.0,0.0,0.0,49894.0,701613.0,701613.0
2016-01-01,0.0,0.0,0.0,50294.0,740538.0,740538.0
2016-02-01,108.279,1487.0,1487.0,36099.721,495693.0,495693.0
2016-03-01,18.808,260.0,260.0,46975.192,648396.0,648396.0
2016-04-01,56.175,761.0,761.0,25452.825,344853.0,344853.0
2016-05-01,197.751,2637.0,2637.0,47661.249,635634.0,635634.0
2016-06-01,0.0,0.0,0.0,43731.0,589482.0,589482.0
2016-07-01,33.72,431.0,431.0,45091.28,575946.0,575946.0
2016-08-01,0.0,0.0,0.0,50394.0,643554.0,643554.0
2016-09-01,0.0,0.0,0.0,48449.0,646506.0,646506.0
2016-10-01,42.08,578.0,578.0,34705.92,476874.0,476874.0
2016-11-01,0.0,0.0,0.0,48735.0,646596.0,646596.0
2016-12-01,0.0,0.0,0.0,47082.0,657621.0,657621.0
2017-01-01,59.293,838.0,838.0,44962.707,635319.0,635319.0
2017-02-01,27.395,395.0,395.0,36730.605,530001.0,530001.0
2017-03-01,13.74,195.0,195.0,48821.26,691821.0,691821.0
2017-04-01,241.238,3393.0,3393.0,32998.762,464058.0,464058.0
2017-05-01,0.0,0.0,0.0,50195.0,699921.0,699921.0
2017-06-01,0.0,0.0,0.0,48269.0,663831.0,663831.0
2017-07-01,47.335,643.0,643.0,40968.665,556605.0,556605.0
2017-08-01,57.925,785.0,785.0,38760.075,525078.0,525078.0
2017-09-01,0.0,0.0,0.0,38999.0,537498.0,537498.0
2017-10-01,48.272,631.0,631.0,25230.728,329967.0,329967.0
2017-11-01,29.565,407.0,407.0,35849.435,493641.0,493641.0
2017-12-01,0.0,0.0,0.0,50417.0,706581.0,706581.0
2018-01-01,0.0,0.0,0.0,50265.0,720576.0,720576.0
2018-02-01,0.0,0.0,0.0,44330.0,642096.0,642096.0
2018-03-01,25.802,378.0,378.0,42143.198,616734.0,616734.0
2018-04-01,102.6,1446.0,1446.0,29613.4,417213.0,417213.0
2018-05-01,25.328,354.0,354.0,40626.672,567828.0,567828.0
2018-06-01,19.699,266.0,266.0,46553.301,627435.0,627435.0
2018-07-01,0.0,0.0,0.0,50480.0,681534.0,681534.0
2018-08-01,0.0,0.0,0.0,48563.0,665928.0,665928.0
2018-09-01,59.132,808.0,808.0,40023.868,547101.0,547101.0
2018-10-01,25.104,342.0,342.0,28217.896,384651.0,384651.0
2018-11-01,25.972,360.0,360.0,32253.028,446931.0,446931.0
2018-12-01,10.053,142.0,142.0,45887.947,646335.0,646335.0
2019-01-01,0.0,0.0,0.0,50201.0,702630.0,702630.0
2019-02-01,0.0,0.0,0.0,45630.0,650115.0,650115.0
2019-03-01,36.577,484.0,484.0,43337.423,573219.0,573219.0
2019-04-01,45.596,643.0,643.0,36840.404,519606.0,519606.0
2019-05-01,0.0,0.0,0.0,50220.0,695826.0,695826.0
2019-06-01,0.0,0.0,0.0,48600.0,652887.0,652887.0
2019-07-01,41.393,543.0,543.0,45974.607,602883.0,602883.0
2019-08-01,108.361,1398.0,1398.0,43528.639,561699.0,561699.0
2019-09-01,0.0,0.0,0.0,45053.0,593568.0,593568.0
2019-10-01,26.833,354.0,354.0,32277.167,425817.0,425817.0
2019-11-01,0.0,0.0,0.0,46940.0,624375.0,624375.0
2019-12-01,0.0,0.0,0.0,50053.0,673407.0,673407.0
2020-01-01,33.012,448.0,448.0,47822.988,649584.0,649584.0
2020-02-01,59.113,938.0,938.0,32744.887,519651.0,519651.0
2020-03-01,38.602,525.0,525.0,46494.398,632457.0,632457.0
2020-04-01,41.844,572.0,572.0,35662.156,487755.0,487755.0
2020-05-01,0.0,0.0,0.0,48005.0,644040.0,644040.0
2020-06-01,0.0,0.0,0.0,48761.0,640386.0,640386.0
2020-07-01,62.513,826.0,826.0,43814.487,578934.0,578934.0
2020-08-01,0.0,0.0,0.0,50450.0,657324.0,657324.0
2020-09-01,0.0,0.0,0.0,38502.0,505323.0,505323.0
2020-10-01,166.537,2159.0,2159.0,27499.463,356571.0,356571.0
2020-11-01,37.69,496.0,496.0,44436.31,584307.0,584307.0
2020-12-01,0.0,0.0,0.0,50101.0,668925.0,668925.0
2021-01-01,0.0,0.0,0.0,50237.0,672714.0,672714.0
2021-02-01,0.0,0.0,0.0,45369.0,612828.0,612828.0
2021-03-01,36.033,484.0,484.0,46633.967,626130.0,626130.0
2021-04-01,38.913,519.0,519.0,36164.087,482526.0,482526.0
2021-05-01,0.0,0.0,0.0,49702.0,667386.0,667386.0
2021-06-01,24.168,319.0,319.0,47148.832,621549.0,621549.0
2021-07-01,0.0,0.0,0.0,50413.0,672696.0,672696.0
2021-08-01,23.608,319.0,319.0,49462.392,667512.0,667512.0
2021-09-01,0.0,0.0,0.0,48730.0,652014.0,652014.0
2021-10-01,35.867,490.0,490.0,25353.133,346149.0,346149.0
2021-11-01,0.0,0.0,0.0,43442.0,592533.0,592533.0
2021-12-01,0.0,0.0,0.0,47822.0,653535.0,653535.0
2022-01-01,15.766,254.0,254.0,39851.234,641277.0,641277.0
2022-02-01,0.0,0.0,0.0,41768.0,593793.0,593793.0
2022-03-01,0.0,0.0,0.0,49660.0,688338.0,688338.0
2022-04-01,32.474,448.0,448.0,32930.526,454698.0,454698.0
2022-05-01,0.0,0.0,0.0,50323.0,673740.0,673740.0
2022-06-01,0.0,0.0,0.0,48797.0,651780.0,651780.0
2022-07-01,9.746,130.0,130.0,50021.254,666189.0,666189.0
2022-08-01,36.241,472.0,472.0,47064.759,612972.0,612972.0
2022-09-01,16.35,218.0,218.0,47182.65,629955.0,629955.0
2022-10-01,61.474,826.0,826.0,33691.526,452700.0,452700.0
2022-11-01,0.0,0.0,0.0,48814.0,650322.0,650322.0
2022-12-01,0.0,0.0,0.0,50305.0,686061.0,686061.0
2023-01-01,0.0,0.0,0.0,50227.0,692190.0,692190.0
2023-02-01,0.0,0.0,0.0,45255.0,622881.0,622881.0
2023-03-01,0.0,0.0,0.0,50143.0,689427.0,689427.0
2023-04-01,1976.288,28544.0,28544.0,34693.712,501093.0,501093.0
2023-05-01,0.0,0.0,0.0,41106.0,581850.0,581850.0
2023-06-01,1152.079,16308.0,16308.0,39914.921,564993.0,564993.0
2023-07-01,0.0,0.0,0.0,50454.0,702297.0,702297.0
2023-08-01,0.0,0.0,0.0,46434.0,644445.0,644445.0
2023-09-01,1547.222,22821.0,22821.0,34229.778,504882.0,504882.0
2023-10-01,1212.419,17499.0,17499.0,34238.581,494181.0,494181.0
2023-11-01,1580.831,23771.0,23771.0,32442.169,487836.0,487836.0
2023-12-01,1164.967,17623.0,17623.0,28417.033,429885.0,429885.0
2024-01-01,0.0,0.0,0.0,36061.0,561951.0,561951.0
2024-02-01,0.0,0.0,0.0,31095.0,482076.0,482076.0
2024-03-01,0.0,0.0,0.0,34234.0,518148.0,518148.0
2024-04-01,0.0,0.0,0.0,504.0,7425.0,7425.0
2024-05-01,72.665,1038.0,1038.0,20341.335,290682.0,290682.0
2024-06-01,0.0,0.0,0.0,40865.0,574353.0,574353.0
2024-07-01,0.0,0.0,0.0,41067.0,578979.0,578979.0
2024-08-01,0.0,0.0,0.0,40923.0,571509.0,571509.0
2024-09-01,0.0,0.0,0.0,23213.0,323946.0,323946.0
2024-10-01,58.308,797.0,797.0,4998.692,68283.0,68283.0
2024-11-01,30.81,431.0,431.0,34542.19,482877.0,482877.0
2024-12-01,0.0,0.0,0.0,40586.0,552267.0,552267.0
