measured_on,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2013-10-01,3184.632,17957.0,308550.0
2013-11-01,3055.875,17231.0,296077.0
2013-12-01,3954.947,22300.0,383182.0
2014-01-01,3583.033,20203.0,310738.0
2014-02-01,3399.309,19167.0,294787.0
2014-03-01,3046.225,17176.0,264175.0
2014-04-01,2112.176,11910.0,183167.0
2014-05-01,2839.309,16010.0,246223.0
2014-06-01,2939.389,16574.0,254900.0
2014-07-01,3153.53,17781.0,273469.0
2014-08-01,3606.392,20335.0,312758.0
2014-09-01,2716.672,15318.0,235583.0
2014-10-01,2865.695,16158.0,248523.0
2014-11-01,3276.234,18473.0,284109.0
2014-12-01,3812.856,21499.0,330653.0
2015-01-01,4108.331,23165.0,366017.0
2015-02-01,3780.1,21314.0,336779.0
2015-03-01,3104.523,17505.0,276583.0
2015-04-01,2335.555,13169.0,208070.0
2015-05-01,3339.824,18832.0,297543.0
2015-06-01,3531.26,19911.0,314609.0
2015-07-01,4033.705,22744.0,359365.0
2015-08-01,2992.631,16874.0,266622.0
2015-09-01,2818.622,15893.0,251105.0
2015-10-01,2874.927,16211.0,256133.0
2015-11-01,3205.242,18073.0,285560.0
2015-12-01,3309.66,18662.0,294859.0
2016-01-01,4151.019,24336.0,365002.0
2016-02-01,3245.509,19027.0,285403.0
2016-03-01,2811.797,16484.0,247258.0
2016-04-01,2134.671,12515.0,187718.0
2016-05-01,2786.955,16339.0,245077.0
2016-06-01,3221.424,18886.0,283278.0
2016-07-01,3763.013,22061.0,330899.0
2016-08-01,3901.422,22872.0,343081.0
2016-09-01,3581.881,20999.0,314975.0
2016-10-01,3257.044,19095.0,286418.0
2016-11-01,3606.832,21145.0,317175.0
2016-12-01,4226.053,24775.0,371620.0
2017-01-01,4287.817,25138.0,383163.0
2017-02-01,3325.56,19496.0,297172.0
2017-03-01,2899.85,17000.0,259139.0
2017-04-01,1952.131,11444.0,174445.0
2017-05-01,2822.553,16547.0,252221.0
2017-06-01,3132.507,18364.0,279932.0
2017-07-01,3995.136,23422.0,357012.0
2017-08-01,3893.006,22823.0,347875.0
2017-09-01,3292.541,19303.0,294220.0
2017-10-01,3207.036,18801.0,286587.0
2017-11-01,4089.515,23975.0,365434.0
2017-12-01,3991.728,23402.0,356711.0
2018-01-01,0.0,24220.0,374814.0
2018-02-01,0.0,18936.0,293022.0
2018-03-01,0.0,17419.0,269550.0
2018-04-01,0.0,15837.0,245088.0
2018-05-01,0.0,18524.0,286668.0
2018-06-01,0.0,18815.0,291168.0
2018-07-01,0.0,20742.0,320976.0
2018-08-01,0.0,21467.0,332208.0
2018-09-01,0.0,18481.0,286002.0
2018-10-01,0.0,19044.0,294696.0
2018-11-01,0.0,23850.0,369072.0
2018-12-01,0.0,23461.0,363060.0
2019-01-01,0.0,25438.0,432753.0
2019-02-01,0.0,22952.0,390474.0
2019-03-01,0.0,19235.0,327254.0
2019-04-01,0.0,14261.0,242619.0
2019-05-01,0.0,16796.0,285749.0
2019-06-01,0.0,19635.0,334058.0
2019-07-01,0.0,24842.0,422642.0
2019-08-01,0.0,23336.0,397013.0
2019-09-01,0.0,19743.0,335891.0
2019-10-01,0.0,14945.0,254262.0
2019-11-01,0.0,20936.0,356189.0
2019-12-01,0.0,19884.0,338291.0
2020-01-01,2663.544,15147.0,246437.0
2020-02-01,2350.992,13369.0,217539.0
2020-03-01,1987.124,11300.0,183859.0
2020-04-01,1602.734,9114.0,148308.0
2020-05-01,1807.308,10278.0,167227.0
2020-06-01,2132.588,12127.0,197335.0
2020-07-01,3016.873,17156.0,279153.0
2020-08-01,2946.769,16757.0,272670.0
2020-09-01,2312.902,13153.0,214005.0
2020-10-01,2244.954,12766.0,207730.0
2020-11-01,2206.07,12545.0,204120.0
2020-12-01,2728.142,15514.0,252428.0
2021-01-01,3791.102,21559.0,347231.0
2021-02-01,3868.454,21999.0,354318.0
2021-03-01,2742.224,15594.0,251162.0
2021-04-01,2383.464,13554.0,218314.0
2021-05-01,2730.189,15526.0,250066.0
2021-06-01,3987.678,22677.0,365243.0
2021-07-01,4839.771,27522.0,443281.0
2021-08-01,4518.58,25696.0,413872.0
2021-09-01,3745.26,21298.0,343035.0
2021-10-01,3092.926,17588.0,283292.0
2021-11-01,2904.013,16514.0,265980.0
2021-12-01,2996.339,17039.0,274447.0
2022-01-01,2728.957,15519.0,369025.0
2022-02-01,2228.072,12670.0,301270.0
2022-03-01,2045.234,11631.0,276548.0
2022-04-01,1647.577,9369.0,222780.0
2022-05-01,1885.113,10720.0,254890.0
2022-06-01,2578.423,14663.0,348646.0
2022-07-01,3101.718,17638.0,419409.0
2022-08-01,3036.712,17269.0,410611.0
2022-09-01,2328.639,13242.0,314862.0
2022-10-01,2069.131,11766.0,279782.0
2022-11-01,1909.408,10858.0,258180.0
2022-12-01,2441.016,13881.0,330072.0
2023-01-01,2951.997,16787.0,412503.0
2023-02-01,1966.342,11182.0,274781.0
2023-03-01,2075.098,11800.0,289985.0
2023-04-01,1435.718,8164.0,200635.0
2023-05-01,1986.501,11297.0,277599.0
2023-06-01,2646.739,15051.0,369861.0
2023-07-01,3109.676,17684.0,434552.0
2023-08-01,3056.127,17379.0,427063.0
2023-09-01,2493.561,14180.0,348455.0
2023-10-01,2120.245,12057.0,296282.0
2023-11-01,2289.122,13017.0,319882.0
2023-12-01,2368.874,13471.0,331038.0
2024-01-01,4943.993,28115.0,438830.0
2024-02-01,3096.92,17611.0,274851.0
2024-03-01,2704.723,15381.0,240038.0
2024-04-01,2261.111,12858.0,200666.0
2024-05-01,3073.461,17478.0,272770.0
2024-06-01,3731.611,21220.0,331176.0
2024-07-01,4756.757,27050.0,422162.0
2024-08-01,4587.986,26090.0,407177.0
2024-09-01,3798.786,21602.0,337135.0
2024-10-01,2834.783,16120.0,251579.0
2024-11-01,3141.79,17866.0,278824.0
2024-12-01,4418.079,25124.0,392098.0
