measured_on,"Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-09-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,137.064,1612.0,1612.0,,,
2004-10-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,149.727,1761.0,1761.0,,,
2004-11-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,152.30700000000002,1791.0,1791.0,,,
2004-12-01,,,,0.0,0.0,0.0,10.417,123.0,123.0,169.77700000000002,1996.0,1996.0,,,
2005-01-01,,,,,,,12.21,144.35,144.35,121.71600000000001,1431.33,1431.33,0.0,0.0,0.0
2005-02-01,,,,,,,6.197,73.26,73.26,101.042,1188.21,1188.21,0.0,0.0,0.0
2005-03-01,,,,,,,7.5,88.67,88.67,125.132,1471.49,1471.49,0.0,0.0,0.0
2005-04-01,,,,,,,7.815,92.39,92.39,123.29400000000001,1449.88,1449.88,0.0,0.0,0.0
2005-05-01,,,,,,,9.209,108.87,108.87,145.344,1709.17,1709.17,0.0,0.0,0.0
2005-06-01,,,,,,,8.338000000000001,98.57,98.57,183.428,2157.02,2157.02,0.0,0.0,0.0
2005-07-01,,,,,,,13.351,157.83,157.83,229.89,2703.39,2703.39,0.0,0.0,0.0
2005-08-01,,,,,,,14.775,174.67,174.67,238.14100000000002,2800.42,2800.42,0.0,0.0,0.0
2005-09-01,,,,,,,14.672,173.46,173.46,181.21,2130.94,2130.94,0.0,0.0,0.0
2005-10-01,,,,,,,8.755,103.5,103.5,144.765,1702.36,1702.36,0.0,0.0,0.0
2005-11-01,,,,,,,6.978000000000001,82.5,82.5,123.50800000000001,1452.4,1452.4,0.0,0.0,0.0
2005-12-01,,,,,,,15.201,179.71,179.71,120.531,1417.39,1417.39,0.0,0.0,0.0
2006-01-01,,,,,,,6.748,83.0,83.0,64.789,795.0,795.0,0.0,0.0,0.0
2006-02-01,,,,,,,6.678,82.0,82.0,76.867,943.0,943.0,0.0,0.0,0.0
2006-03-01,,,,,,,5.855,72.0,72.0,87.673,1075.0,1075.0,0.0,0.0,0.0
2006-04-01,,,,,,,7.724,95.0,95.0,98.065,1203.0,1203.0,0.0,0.0,0.0
2006-05-01,,,,,,,6.98,86.0,86.0,113.583,1393.0,1393.0,0.0,0.0,0.0
2006-06-01,,,,,,,8.348,103.0,103.0,144.73600000000002,1775.0,1775.0,0.0,0.0,0.0
2006-07-01,,,,,,,8.098,100.0,100.0,181.965,2232.0,2232.0,0.0,0.0,0.0
2006-08-01,,,,,,,8.715,107.0,107.0,184.25900000000001,2260.0,2260.0,0.0,0.0,0.0
2006-09-01,,,,,,,6.191000000000001,76.0,76.0,125.37,1538.0,1538.0,0.0,0.0,0.0
2006-10-01,,,,,,,7.969,98.0,98.0,113.512,1392.0,1392.0,0.0,0.0,0.0
2006-11-01,,,,,,,6.956,86.0,86.0,84.3,1034.0,1034.0,0.0,0.0,0.0
2006-12-01,,,,,,,7.738,95.0,95.0,87.881,1078.0,1078.0,0.0,0.0,0.0
2007-01-01,,,,0.0,0.0,0.0,24.987000000000002,305.0,305.0,286.84700000000004,3519.0,3519.0,0.0,0.0,0.0
2007-02-01,,,,0.0,0.0,0.0,11.119,138.0,138.0,251.496,3086.0,3086.0,0.0,0.0,0.0
2007-03-01,,,,0.0,0.0,0.0,25.024,305.0,305.0,234.02900000000002,2871.0,2871.0,0.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0,20.976000000000003,259.0,259.0,289.836,3556.0,3556.0,0.0,0.0,0.0
2007-05-01,,,,0.0,0.0,0.0,69.113,846.0,846.0,398.052,4884.0,4884.0,0.0,0.0,0.0
2007-06-01,,,,0.0,0.0,0.0,46.073,564.0,564.0,437.797,5371.0,5371.0,0.0,0.0,0.0
2007-07-01,,,,0.0,0.0,0.0,8.877,109.0,109.0,401.147,4922.0,4922.0,0.0,0.0,0.0
2007-08-01,,,,0.0,0.0,0.0,18.762,230.0,230.0,437.255,5365.0,5365.0,0.0,0.0,0.0
2007-09-01,,,,0.0,0.0,0.0,20.104,247.0,247.0,452.91,5557.0,5557.0,0.0,0.0,0.0
2007-10-01,,,,0.0,0.0,0.0,17.664,219.0,219.0,386.43100000000004,4741.0,4741.0,0.0,0.0,0.0
2007-11-01,,,,0.0,0.0,0.0,36.614000000000004,449.0,449.0,384.091,4712.0,4712.0,0.0,0.0,0.0
2007-12-01,,,,0.0,0.0,0.0,19.601000000000003,242.0,242.0,336.196,4125.0,4125.0,0.0,0.0,0.0
2008-01-01,,,,0.0,0.0,0.0,16.559,191.0,191.0,232.026,2692.0,2692.0,0.0,0.0,0.0
2008-02-01,,,,0.0,0.0,0.0,24.573,284.0,284.0,220.359,2557.0,2557.0,0.0,0.0,0.0
2008-03-01,,,,0.0,0.0,0.0,18.516000000000002,215.0,215.0,215.89200000000002,2505.0,2505.0,0.0,0.0,0.0
2008-04-01,,,,0.0,0.0,0.0,17.415,203.0,203.0,226.01,2622.0,2622.0,0.0,0.0,0.0
2008-05-01,,,,0.0,0.0,0.0,19.683,226.0,226.0,160.442,1861.0,1861.0,0.0,0.0,0.0
2008-06-01,,,,0.0,0.0,0.0,15.181000000000001,174.0,174.0,149.1,1730.0,1730.0,0.0,0.0,0.0
2008-07-01,,,,0.0,0.0,0.0,11.206000000000001,128.0,128.0,205.994,2390.0,2390.0,0.0,0.0,0.0
2008-08-01,,,,0.0,0.0,0.0,11.276,133.0,133.0,258.699,3001.0,3001.0,0.0,0.0,0.0
2008-09-01,,,,0.0,0.0,0.0,12.868,151.0,151.0,227.01700000000002,2634.0,2634.0,0.0,0.0,0.0
2008-10-01,,,,0.0,0.0,0.0,19.291,226.0,226.0,209.03400000000002,2425.0,2425.0,0.0,0.0,0.0
2008-11-01,,,,0.0,0.0,0.0,7.363,87.0,87.0,191.17600000000002,2218.0,2218.0,0.0,0.0,0.0
2008-12-01,,,,0.0,0.0,0.0,23.04,267.0,267.0,208.28,2416.0,2416.0,0.0,0.0,0.0
2009-01-01,,,,0.0,0.0,0.0,6.892,86.0,86.0,173.86100000000002,2210.0,2210.0,0.0,0.0,0.0
2009-02-01,,,,0.0,0.0,0.0,15.497,200.0,200.0,164.519,2090.0,2090.0,0.0,0.0,0.0
2009-03-01,,,,0.0,0.0,0.0,18.645,239.0,239.0,156.15900000000002,1984.0,1984.0,0.0,0.0,0.0
2009-04-01,,,,0.0,0.0,0.0,14.071000000000002,177.0,177.0,126.535,1608.0,1608.0,0.0,0.0,0.0
2009-05-01,,,,0.0,0.0,0.0,15.429,194.0,194.0,131.279,1668.0,1668.0,0.0,0.0,0.0
2009-06-01,,,,0.0,0.0,0.0,16.452,211.0,211.0,115.031,1462.0,1462.0,0.0,0.0,0.0
2009-07-01,,,,0.0,0.0,0.0,18.731,239.0,239.0,168.69400000000002,2143.0,2143.0,0.0,0.0,0.0
2009-08-01,,,,0.0,0.0,0.0,12.192,154.0,154.0,146.655,1863.0,1863.0,0.0,0.0,0.0
2009-09-01,,,,0.0,0.0,0.0,16.661,211.0,211.0,162.219,2061.0,2061.0,0.0,0.0,0.0
2009-10-01,,,,0.0,0.0,0.0,20.245,257.0,257.0,69.7,886.0,886.0,0.0,0.0,0.0
2009-11-01,,,,0.0,0.0,0.0,13.346,171.0,171.0,100.923,1282.0,1282.0,0.0,0.0,0.0
2009-12-01,,,,0.0,0.0,0.0,18.456,234.0,234.0,179.80800000000002,2285.0,2285.0,0.0,0.0,0.0
2010-01-01,,,,0.0,0.0,0.0,3.061,41.0,41.0,97.119,1209.0,1209.0,0.0,0.0,0.0
2010-02-01,,,,0.0,0.0,0.0,6.6370000000000005,81.0,81.0,84.01,1045.0,1045.0,0.0,0.0,0.0
2010-03-01,,,,0.0,0.0,0.0,5.001,64.0,64.0,88.995,1107.0,1107.0,0.0,0.0,0.0
2010-04-01,,,,0.0,0.0,0.0,6.751,81.0,81.0,77.607,965.0,965.0,0.0,0.0,0.0
2010-05-01,,,,0.0,0.0,0.0,7.455,93.0,93.0,68.94,858.0,858.0,0.0,0.0,0.0
2010-06-01,,,,0.0,0.0,0.0,4.165,52.0,52.0,65.22500000000001,811.0,811.0,0.0,0.0,0.0
2010-07-01,,,,0.0,0.0,0.0,4.575,58.0,58.0,93.649,1165.0,1165.0,0.0,0.0,0.0
2010-08-01,,,,0.0,0.0,0.0,4.353000000000001,52.0,52.0,95.673,1190.0,1190.0,0.0,0.0,0.0
2010-09-01,,,,0.0,0.0,0.0,5.655,70.0,70.0,84.753,1054.0,1054.0,0.0,0.0,0.0
2010-10-01,,,,0.0,0.0,0.0,5.077,64.0,64.0,79.163,985.0,985.0,0.0,0.0,0.0
2010-11-01,,,,0.0,0.0,0.0,8.557,104.0,104.0,87.61800000000001,1090.0,1090.0,0.0,0.0,0.0
2010-12-01,,,,0.0,0.0,0.0,8.18,104.0,104.0,77.781,968.0,968.0,0.0,0.0,0.0
2011-01-01,,,,0.0,0.0,0.0,6.181,108.0,108.0,55.654,884.0,884.0,0.0,0.0,0.0
2011-02-01,,,,0.0,0.0,0.0,5.782,90.0,90.0,53.265,846.0,846.0,0.0,0.0,0.0
2011-03-01,,,,0.0,0.0,0.0,7.297,114.0,114.0,46.719,742.0,742.0,0.0,0.0,0.0
2011-04-01,,,,0.0,0.0,0.0,7.45,120.0,120.0,46.445,738.0,738.0,0.0,0.0,0.0
2011-05-01,,,,0.0,0.0,0.0,10.162,162.0,162.0,48.416,769.0,769.0,0.0,0.0,0.0
2011-06-01,,,,0.0,0.0,0.0,7.546,120.0,120.0,33.368,530.0,530.0,0.0,0.0,0.0
2011-07-01,,,,0.0,0.0,0.0,5.441,84.0,84.0,64.945,1031.0,1031.0,0.0,0.0,0.0
2011-08-01,,,,0.0,0.0,0.0,2.802,42.0,42.0,66.761,1060.0,1060.0,0.0,0.0,0.0
2011-09-01,,,,0.0,0.0,0.0,6.052,96.0,96.0,58.471,928.0,928.0,0.0,0.0,0.0
2011-10-01,,,,0.0,0.0,0.0,2.576,42.0,42.0,53.038,842.0,842.0,0.0,0.0,0.0
2011-11-01,,,,0.0,0.0,0.0,9.99,156.0,156.0,49.584,787.0,787.0,0.0,0.0,0.0
2011-12-01,,,,0.0,0.0,0.0,9.581,150.0,150.0,63.474,1008.0,1008.0,0.0,0.0,0.0
2012-01-01,,,,0.0,0.0,0.0,8.631,126.0,126.0,56.004,796.0,796.0,0.0,0.0,0.0
2012-02-01,,,,0.0,0.0,0.0,5.976,84.0,84.0,56.743,806.0,806.0,0.0,0.0,0.0
2012-03-01,,,,0.0,0.0,0.0,3.827,54.0,54.0,58.99,838.0,838.0,0.0,0.0,0.0
2012-04-01,,,,0.0,0.0,0.0,14.982,210.0,210.0,49.637,705.0,705.0,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0,6.795,96.0,96.0,60.708,862.0,862.0,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0,8.548,120.0,120.0,62.159,883.0,883.0,0.0,0.0,0.0
2012-07-01,,,,0.0,0.0,0.0,8.178,114.0,114.0,64.206,912.0,912.0,0.0,0.0,0.0
2012-08-01,,,,0.0,0.0,0.0,13.048,186.0,186.0,66.892,950.0,950.0,0.0,0.0,0.0
2012-09-01,,,,0.0,0.0,0.0,8.753,126.0,126.0,56.344,800.0,800.0,0.0,0.0,0.0
2012-10-01,,,,0.0,0.0,0.0,9.836,138.0,138.0,37.788,537.0,537.0,0.0,0.0,0.0
2012-11-01,,,,0.0,0.0,0.0,9.612,138.0,138.0,46.098,655.0,655.0,0.0,0.0,0.0
2012-12-01,,,,0.0,0.0,0.0,9.529,138.0,138.0,50.716,720.0,720.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,,,,11.762,150.0,150.0,47.86,570.0,570.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,,,,8.506,102.0,102.0,41.414,492.0,492.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,,2.257,24.0,24.0,42.619,507.0,507.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,,9.741,114.0,114.0,42.997,511.0,511.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,,,,9.525,114.0,114.0,29.14,347.0,347.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,,,,5.716,66.0,66.0,36.446,433.0,433.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,,,,2.189,24.0,24.0,55.07,655.0,655.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,,,,8.099,96.0,96.0,58.891,700.0,700.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,,,,3.158,36.0,36.0,54.184,644.0,644.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,,,,4.222,48.0,48.0,50.396,599.0,599.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,,,,6.441,78.0,78.0,51.31,610.0,610.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,,,,1.547,18.0,18.0,60.51,720.0,720.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,,,,4.47,48.0,48.0,48.529,572.0,572.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,,,,8.458,102.0,102.0,42.219,496.0,496.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,,,,5.491,66.0,66.0,41.892,492.0,492.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,,,,16.8,198.0,198.0,36.066,424.0,424.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,,,,11.729,138.0,138.0,44.869,527.0,527.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,,,,6.032,72.0,72.0,65.051,765.0,765.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,,,,6.199,72.0,72.0,76.096,895.0,895.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,,,,2.599,30.0,30.0,69.018,811.0,811.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,,,,5.457,66.0,66.0,57.758,679.0,679.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,,,,5.668,66.0,66.0,54.555,641.0,641.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,,,,9.837,114.0,114.0,53.529,629.0,629.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,,,,7.093,84.0,84.0,51.585,606.0,606.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,,,,2.887,36.0,36.0,32.921,368.0,368.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,,,,2.16,24.0,24.0,27.422,307.0,307.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,,,,3.019,36.0,36.0,28.813,322.0,322.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,,,,9.895,108.0,108.0,32.719,366.0,366.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,,,,4.447,48.0,48.0,39.321,440.0,440.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,,,,3.091,36.0,36.0,45.202,506.0,506.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,,,,6.016,66.0,66.0,47.107,527.0,527.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,,,,4.931,54.0,54.0,50.142,561.0,561.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,,,,2.673,30.0,30.0,42.413,475.0,475.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,,,,5.633,66.0,66.0,36.307,406.0,406.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,,,,5.48,60.0,60.0,40.617,454.0,454.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,,,,3.396,36.0,36.0,44.388,497.0,497.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,,,,2.415,24.0,24.0,44.192,494.0,494.0,,,
2016-02-01,0.0,0.0,0.0,,,,3.2,36.0,36.0,38.343,429.0,429.0,,,
2016-03-01,0.0,0.0,0.0,,,,4.146,48.0,48.0,42.645,477.0,477.0,,,
2016-04-01,0.0,0.0,0.0,,,,8.629,96.0,96.0,47.647,533.0,533.0,,,
2016-05-01,0.0,0.0,0.0,,,,8.16,90.0,90.0,48.339,540.0,540.0,,,
2016-06-01,0.0,0.0,0.0,,,,5.11,60.0,60.0,56.174,628.0,628.0,,,
