measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed
2006-11-01,0.47300000000000003,32.0,32.0,0.0,0.0,0.0
2006-12-01,0.524,36.0,36.0,0.0,0.0,0.0
2007-01-01,63.868,589.0,589.0,305.30400000000003,3018.0,3018.0
2007-02-01,49.461000000000006,457.0,457.0,318.24100000000004,3145.0,3145.0
2007-03-01,97.80900000000001,902.0,902.0,329.802,3260.0,3260.0
2007-04-01,59.493,550.0,550.0,312.551,3089.0,3089.0
2007-05-01,54.888000000000005,506.0,506.0,295.19100000000003,2918.0,2918.0
2007-06-01,53.661,495.0,495.0,290.141,2868.0,2868.0
2007-07-01,79.236,732.0,732.0,293.148,2897.0,2897.0
2007-08-01,100.018,924.0,924.0,258.254,2553.0,2553.0
2007-09-01,83.084,770.0,770.0,193.172,1909.0,1909.0
2007-10-01,100.33800000000001,930.0,930.0,198.829,1965.0,1965.0
2007-11-01,73.60900000000001,682.0,682.0,211.816,2094.0,2094.0
2007-12-01,105.534,974.0,974.0,235.55100000000002,2328.0,2328.0
2008-01-01,350.492,3344.0,3344.0,288.19800000000004,2840.0,2840.0
2008-02-01,320.813,3066.0,3066.0,313.04400000000004,3085.0,3085.0
2008-03-01,214.668,2052.0,2052.0,302.298,2979.0,2979.0
2008-04-01,216.625,2069.0,2069.0,289.685,2855.0,2855.0
2008-05-01,226.60500000000002,2162.0,2162.0,214.208,2111.0,2111.0
2008-06-01,151.8,1449.0,1449.0,273.82,2698.0,2698.0
2008-07-01,157.731,1507.0,1507.0,198.17600000000002,1953.0,1953.0
2008-08-01,156.095,1490.0,1490.0,239.317,2358.0,2358.0
2008-09-01,162.87,1553.0,1553.0,260.54,2567.0,2567.0
2008-10-01,185.416,1774.0,1774.0,276.651,2726.0,2726.0
2008-11-01,226.126,2162.0,2162.0,230.0,2266.0,2266.0
2008-12-01,383.759,3663.0,3663.0,356.06300000000005,3509.0,3509.0
2009-01-01,151.792,1549.0,1549.0,236.887,2312.0,2312.0
2009-02-01,111.405,1130.0,1130.0,256.451,2503.0,2503.0
2009-03-01,115.712,1177.0,1177.0,271.052,2645.0,2645.0
2009-04-01,118.89200000000001,1206.0,1206.0,277.64,2710.0,2710.0
2009-05-01,71.278,722.0,722.0,209.46800000000002,2044.0,2044.0
2009-06-01,69.99600000000001,711.0,711.0,275.19100000000003,2686.0,2686.0
2009-07-01,78.914,804.0,804.0,272.935,2664.0,2664.0
2009-08-01,78.505,798.0,798.0,299.152,2920.0,2920.0
2009-09-01,52.294000000000004,530.0,530.0,224.375,2190.0,2190.0
2009-10-01,51.815,524.0,524.0,357.939,3493.0,3493.0
2009-11-01,98.491,1002.0,1002.0,334.09,3261.0,3261.0
2009-12-01,99.906,1014.0,1014.0,388.82,3795.0,3795.0
2010-01-01,-6.6930000000000005,70.0,70.0,325.79900000000004,3178.0,3178.0
2010-02-01,-5.319,47.0,47.0,233.351,2277.0,2277.0
2010-03-01,-4.708,41.0,41.0,290.934,2838.0,2838.0
2010-04-01,-4.168,41.0,41.0,322.927,3150.0,3150.0
2010-05-01,-3.466,29.0,29.0,262.827,2564.0,2564.0
2010-06-01,-2.721,23.0,23.0,307.96500000000003,3005.0,3005.0
2010-07-01,-3.121,29.0,29.0,334.38,3262.0,3262.0
2010-08-01,-3.182,29.0,29.0,308.752,3012.0,3012.0
2010-09-01,-2.914,29.0,29.0,263.814,2574.0,2574.0
2010-10-01,-3.4930000000000003,29.0,29.0,263.151,2567.0,2567.0
2010-11-01,-3.978,35.0,35.0,263.356,2569.0,2569.0
2010-12-01,-7.237,64.0,64.0,391.744,3822.0,3822.0
2011-01-01,11.393,250.0,250.0,300.213,2917.0,2917.0
2011-02-01,10.176,221.0,221.0,288.737,2805.0,2805.0
2011-03-01,8.909,192.0,192.0,333.865,3244.0,3244.0
2011-04-01,5.772,128.0,128.0,225.303,2189.0,2189.0
2011-05-01,6.05,134.0,134.0,224.039,2177.0,2177.0
2011-06-01,5.621,122.0,122.0,206.912,2010.0,2010.0
2011-07-01,5.939,128.0,128.0,194.073,1886.0,1886.0
2011-08-01,5.361,117.0,117.0,193.241,1878.0,1878.0
2011-09-01,5.941,128.0,128.0,204.58,1988.0,1988.0
2011-10-01,10.503,227.0,227.0,196.438,1909.0,1909.0
2011-11-01,9.724,210.0,210.0,297.801,2893.0,2893.0
2011-12-01,9.611,210.0,210.0,332.798,3233.0,3233.0
2012-01-01,-4.978,76.0,76.0,342.015,3255.0,3255.0
2012-02-01,-2.936,47.0,47.0,297.98,2836.0,2836.0
2012-03-01,-4.453,76.0,76.0,282.421,2688.0,2688.0
2012-04-01,-2.82,47.0,47.0,225.836,2149.0,2149.0
2012-05-01,-3.528,58.0,58.0,225.715,2148.0,2148.0
2012-06-01,-2.879,47.0,47.0,233.389,2221.0,2221.0
2012-07-01,-4.502,76.0,76.0,155.233,1477.0,1477.0
2012-08-01,-4.195,70.0,70.0,250.878,2387.0,2387.0
2012-09-01,-3.905,64.0,64.0,263.575,2508.0,2508.0
2012-10-01,-2.901,47.0,47.0,412.079,3921.0,3921.0
2012-11-01,-3.111,52.0,52.0,327.644,3118.0,3118.0
2012-12-01,-4.792,82.0,82.0,314.235,2990.0,2990.0
2013-01-01,15.965,291.0,291.0,285.733,2726.0,2726.0
2013-02-01,11.015,204.0,204.0,266.685,2544.0,2544.0
2013-03-01,11.142,204.0,204.0,245.806,2345.0,2345.0
2013-04-01,12.852,233.0,233.0,246.217,2349.0,2349.0
2013-05-01,12.952,239.0,239.0,223.99,2137.0,2137.0
2013-06-01,9.301,169.0,169.0,198.746,1896.0,1896.0
2013-07-01,8.807,163.0,163.0,206.573,1971.0,1971.0
2013-08-01,8.689,157.0,157.0,235.818,2250.0,2250.0
2013-09-01,10.198,186.0,186.0,197.993,1889.0,1889.0
2013-10-01,9.813,181.0,181.0,434.462,4145.0,4145.0
2013-11-01,12.791,233.0,233.0,284.62,2716.0,2716.0
2013-12-01,14.475,262.0,262.0,311.357,2971.0,2971.0
2014-01-01,5.909,64.0,64.0,270.584,2573.0,2573.0
2014-02-01,5.606,58.0,58.0,244.206,2322.0,2322.0
2014-03-01,5.473,52.0,52.0,220.903,2101.0,2101.0
2014-04-01,5.142,52.0,52.0,236.782,2252.0,2252.0
2014-05-01,4.342,41.0,41.0,207.033,1969.0,1969.0
2014-06-01,2.588,23.0,23.0,192.257,1828.0,1828.0
2014-07-01,4.575,47.0,47.0,181.811,1729.0,1729.0
2014-08-01,3.681,35.0,35.0,226.058,2150.0,2150.0
2014-09-01,4.331,41.0,41.0,349.577,3324.0,3324.0
2014-10-01,5.725,58.0,58.0,254.554,2421.0,2421.0
2014-11-01,4.185,41.0,41.0,262.113,2493.0,2493.0
2014-12-01,5.443,52.0,52.0,299.122,2845.0,2845.0
2015-01-01,-6.91,186.0,186.0,249.67,2327.0,2327.0
2015-02-01,-6.093,157.0,157.0,209.916,1956.0,1956.0
2015-03-01,-6.13,157.0,157.0,173.524,1617.0,1617.0
2015-04-01,-6.348,163.0,163.0,210.142,1958.0,1958.0
2015-05-01,-5.102,134.0,134.0,204.002,1901.0,1901.0
2015-06-01,-5.083,128.0,128.0,176.684,1647.0,1647.0
2015-07-01,-5.282,134.0,134.0,155.628,1450.0,1450.0
2015-08-01,-5.997,151.0,151.0,181.929,1695.0,1695.0
2015-09-01,-5.401,140.0,140.0,222.087,2070.0,2070.0
2015-10-01,-6.179,157.0,157.0,223.986,2087.0,2087.0
2015-11-01,-4.32,111.0,111.0,279.767,2607.0,2607.0
2015-12-01,-4.155,105.0,105.0,290.665,2709.0,2709.0
2016-01-01,6.567,151.0,151.0,256.104,2364.0,2364.0
2016-02-01,7.288,175.0,175.0,211.252,1950.0,1950.0
2016-03-01,6.897,163.0,163.0,269.825,2491.0,2491.0
2016-04-01,5.649,134.0,134.0,169.471,1565.0,1565.0
2016-05-01,5.153,122.0,122.0,112.368,1037.0,1037.0
2016-06-01,5.183,122.0,122.0,130.143,1201.0,1201.0
2016-07-01,4.336,105.0,105.0,168.729,1558.0,1558.0
2016-08-01,5.682,134.0,134.0,244.678,2259.0,2259.0
2016-09-01,5.79,140.0,140.0,320.269,2957.0,2957.0
2016-10-01,6.649,157.0,157.0,296.622,2738.0,2738.0
2016-11-01,9.278,221.0,221.0,247.471,2285.0,2285.0
2016-12-01,12.528,297.0,297.0,273.068,2521.0,2521.0
2017-01-01,62.616,687.0,687.0,184.086,1696.0,1696.0
2017-02-01,50.558,553.0,553.0,165.089,1521.0,1521.0
2017-03-01,58.213,635.0,635.0,207.676,1913.0,1913.0
2017-04-01,53.672,588.0,588.0,202.203,1863.0,1863.0
2017-05-01,53.614,588.0,588.0,217.545,2004.0,2004.0
2017-06-01,56.549,617.0,617.0,210.29,1937.0,1937.0
2017-07-01,57.627,629.0,629.0,173.122,1595.0,1595.0
2017-08-01,59.525,652.0,652.0,141.122,1300.0,1300.0
2017-09-01,59.207,647.0,647.0,128.81,1187.0,1187.0
2017-10-01,60.429,664.0,664.0,115.409,1063.0,1063.0
2017-11-01,53.523,588.0,588.0,132.213,1218.0,1218.0
2017-12-01,54.467,594.0,594.0,155.435,1432.0,1432.0
2018-01-01,-2.966,64.0,64.0,180.239,1641.0,1641.0
2018-02-01,-2.765,64.0,64.0,178.608,1626.0,1626.0
2018-03-01,-2.765,64.0,64.0,181.522,1653.0,1653.0
2018-04-01,-2.793,64.0,64.0,191.566,1744.0,1744.0
2018-05-01,-3.196,76.0,76.0,214.575,1953.0,1953.0
2018-06-01,-2.984,70.0,70.0,195.455,1779.0,1779.0
2018-07-01,-3.215,76.0,76.0,166.666,1517.0,1517.0
2018-08-01,-3.283,76.0,76.0,144.517,1316.0,1316.0
2018-09-01,-3.342,76.0,76.0,123.575,1125.0,1125.0
2018-10-01,-3.509,82.0,82.0,121.993,1111.0,1111.0
2018-11-01,-3.157,70.0,70.0,142.361,1296.0,1296.0
2018-12-01,-3.025,70.0,70.0,146.923,1338.0,1338.0
2019-01-01,44.414,483.0,483.0,160.319,1428.0,1428.0
2019-02-01,49.367,542.0,542.0,149.961,1335.0,1335.0
2019-03-01,48.923,536.0,536.0,175.592,1564.0,1564.0
2019-04-01,44.96,495.0,495.0,179.949,1602.0,1602.0
2019-05-01,48.931,536.0,536.0,214.972,1914.0,1914.0
2019-06-01,42.044,460.0,460.0,187.664,1671.0,1671.0
2019-07-01,47.889,524.0,524.0,162.105,1444.0,1444.0
2019-08-01,53.023,583.0,583.0,155.596,1386.0,1386.0
2019-09-01,62.961,693.0,693.0,124.698,1110.0,1110.0
2019-10-01,66.171,728.0,728.0,124.356,1107.0,1107.0
2019-11-01,50.264,553.0,553.0,144.775,1289.0,1289.0
2019-12-01,67.053,734.0,734.0,152.013,1354.0,1354.0
2020-01-01,161.712,1759.0,1759.0,182.098,1596.0,1596.0
2020-02-01,104.838,1142.0,1142.0,190.153,1667.0,1667.0
2020-03-01,105.844,1153.0,1153.0,166.819,1463.0,1463.0
2020-04-01,101.569,1107.0,1107.0,154.169,1352.0,1352.0
2020-05-01,86.002,938.0,938.0,226.153,1983.0,1983.0
2020-06-01,108.28,1177.0,1177.0,220.301,1931.0,1931.0
2020-07-01,141.145,1538.0,1538.0,207.338,1818.0,1818.0
2020-08-01,144.619,1573.0,1573.0,175.662,1540.0,1540.0
2020-09-01,91.96,1002.0,1002.0,140.741,1234.0,1234.0
2020-10-01,110.066,1200.0,1200.0,139.97,1227.0,1227.0
2020-11-01,85.355,932.0,932.0,161.07,1412.0,1412.0
2020-12-01,84.61,920.0,920.0,167.526,1469.0,1469.0
2021-01-01,109.205,1089.0,1089.0,253.68,2244.0,2244.0
2021-02-01,120.921,1206.0,1206.0,211.079,1867.0,1867.0
2021-03-01,130.777,1305.0,1305.0,202.436,1790.0,1790.0
2021-04-01,125.71,1252.0,1252.0,178.564,1579.0,1579.0
2021-05-01,65.103,647.0,647.0,221.223,1956.0,1956.0
2021-06-01,87.393,874.0,874.0,238.19,2107.0,2107.0
2021-07-01,85.405,850.0,850.0,212.078,1876.0,1876.0
2021-08-01,123.164,1229.0,1229.0,200.115,1770.0,1770.0
2021-09-01,159.522,1590.0,1590.0,164.138,1452.0,1452.0
2021-10-01,158.489,1579.0,1579.0,168.433,1490.0,1490.0
2021-11-01,123.747,1235.0,1235.0,197.407,1746.0,1746.0
2021-12-01,137.564,1375.0,1375.0,253.657,2243.0,2243.0
2022-01-01,124.138,1287.0,1287.0,247.248,844.0,844.0
2022-02-01,102.376,1066.0,1066.0,212.719,726.0,726.0
2022-03-01,118.555,1235.0,1235.0,231.729,791.0,791.0
2022-04-01,105.398,1095.0,1095.0,173.693,593.0,593.0
2022-05-01,98.772,1025.0,1025.0,218.662,746.0,746.0
2022-06-01,120.291,1252.0,1252.0,260.927,890.0,890.0
2022-07-01,109.562,1142.0,1142.0,249.245,850.0,850.0
2022-08-01,73.686,763.0,763.0,209.258,714.0,714.0
2022-09-01,86.319,897.0,897.0,160.608,548.0,548.0
2022-10-01,96.85,1008.0,1008.0,139.596,476.0,476.0
2022-11-01,91.95,955.0,955.0,176.101,601.0,601.0
2022-12-01,125.103,1299.0,1299.0,196.214,669.0,669.0
2023-01-01,216.066,2231.0,2231.0,28.0,96.0,96.0
2023-02-01,167.74,1724.0,1724.0,28.0,96.0,96.0
2023-03-01,158.299,1625.0,1625.0,19.0,65.0,65.0
2023-04-01,187.126,1922.0,1922.0,30.0,102.0,102.0
2023-05-01,184.905,1899.0,1899.0,178.0,607.0,607.0
2023-06-01,159.209,1637.0,1637.0,429.0,1464.0,1464.0
2023-07-01,150.756,1549.0,1549.0,337.0,1150.0,1150.0
2023-08-01,156.917,1614.0,1614.0,126.0,430.0,430.0
2023-09-01,136.095,1398.0,1398.0,127.0,433.0,433.0
2023-10-01,154.379,1584.0,1584.0,398.0,1358.0,1358.0
2023-11-01,194.691,2004.0,2004.0,156.0,532.0,532.0
2023-12-01,213.817,2196.0,2196.0,87.0,297.0,297.0
2024-01-01,167.173,1730.0,1730.0,76.0,259.0,259.0
2024-02-01,150.54,1567.0,1567.0,70.0,239.0,239.0
2024-03-01,181.439,1887.0,1887.0,28.0,96.0,96.0
2024-04-01,191.156,1986.0,1986.0,50.0,171.0,171.0
2024-05-01,112.059,1165.0,1165.0,222.0,757.0,757.0
2024-06-01,200.064,2080.0,2080.0,461.0,1573.0,1573.0
2024-07-01,117.359,1217.0,1217.0,486.0,1658.0,1658.0
2024-08-01,169.474,1759.0,1759.0,365.0,1245.0,1245.0
2024-09-01,112.552,1171.0,1171.0,226.0,771.0,771.0
2024-10-01,178.702,1858.0,1858.0,235.0,802.0,802.0
2024-11-01,174.816,1817.0,1817.0,161.0,549.0,549.0
2024-12-01,148.666,1544.0,1544.0,46.0,157.0,157.0
