measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2009-09-01,0.0,0.0,0.0,11.096,96.0,96.0
2009-10-01,0.0,0.0,0.0,9.04,78.0,78.0
2009-11-01,0.0,0.0,0.0,9.082,78.0,78.0
2009-12-01,0.0,0.0,0.0,10.273,88.0,88.0
2010-01-01,0.0,0.0,0.0,1455.438,17195.0,17195.0
2010-02-01,0.0,0.0,0.0,1344.279,15882.0,15882.0
2010-03-01,0.0,0.0,0.0,1359.117,16058.0,16058.0
2010-04-01,0.0,0.0,0.0,1175.213,13885.0,13885.0
2010-05-01,0.0,0.0,0.0,978.9720000000001,11566.0,11566.0
2010-06-01,0.0,0.0,0.0,1492.17,17630.0,17630.0
2010-07-01,0.0,0.0,0.0,1773.5430000000001,20954.0,20954.0
2010-08-01,0.0,0.0,0.0,1834.3500000000001,21673.0,21673.0
2010-09-01,0.0,0.0,0.0,1362.001,16092.0,16092.0
2010-10-01,0.0,0.0,0.0,1048.896,12393.0,12393.0
2010-11-01,0.0,0.0,0.0,1115.842,13184.0,13184.0
2010-12-01,0.0,0.0,0.0,1382.179,16330.0,16330.0
2011-01-01,0.0,0.0,0.0,63.263,692.0,692.0
2011-02-01,0.0,0.0,0.0,64.504,705.0,705.0
2011-03-01,0.0,0.0,0.0,59.998,655.0,655.0
2011-04-01,0.0,0.0,0.0,54.663,597.0,597.0
2011-05-01,0.0,0.0,0.0,64.633,706.0,706.0
2011-06-01,0.0,0.0,0.0,82.015,896.0,896.0
2011-07-01,0.0,0.0,0.0,103.585,1131.0,1131.0
2011-08-01,0.0,0.0,0.0,104.122,1138.0,1138.0
2011-09-01,0.0,0.0,0.0,72.78,795.0,795.0
2011-10-01,0.0,0.0,0.0,60.734,663.0,663.0
2011-11-01,0.0,0.0,0.0,64.233,701.0,701.0
2011-12-01,0.0,0.0,0.0,85.47,933.0,933.0
2012-01-01,0.0,0.0,0.0,41.236,467.0,467.0
2012-02-01,0.0,0.0,0.0,40.886,464.0,464.0
2012-03-01,0.0,0.0,0.0,46.899,532.0,532.0
2012-04-01,0.0,0.0,0.0,44.464,504.0,504.0
2012-05-01,0.0,0.0,0.0,47.408,538.0,538.0
2012-06-01,0.0,0.0,0.0,55.541,630.0,630.0
2012-07-01,0.0,0.0,0.0,64.565,732.0,732.0
2012-08-01,0.0,0.0,0.0,68.491,777.0,777.0
2012-09-01,0.0,0.0,0.0,45.08,511.0,511.0
2012-10-01,0.0,0.0,0.0,42.681,484.0,484.0
2012-11-01,0.0,0.0,0.0,33.525,380.0,380.0
2012-12-01,0.0,0.0,0.0,40.224,456.0,456.0
