measured_on,"Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-11-01,12299.281,78190.0,282111.0,0.0,0.0,0.0,42676.239,271306.0,978873.0,25688.48,163309.0,589222.0
2019-12-01,15304.062,98069.0,403412.0,0.0,0.0,0.0,27317.908,175055.0,720095.0,24706.03,158318.0,651246.0
2020-01-01,22144.832,143162.0,565519.0,0.0,0.0,0.0,29116.417,188231.0,743554.0,25011.751,161696.0,638732.0
2020-02-01,20248.784,130947.0,531349.0,0.0,0.0,0.0,29483.205,190665.0,773670.0,21274.011,137577.0,558252.0
2020-03-01,18570.299,118989.0,476496.0,0.0,0.0,0.0,32136.849,205916.0,824600.0,21680.852,138920.0,556310.0
2020-04-01,18997.82,120330.0,398395.0,0.0,0.0,0.0,42657.746,270189.0,894556.0,25329.434,160434.0,531172.0
2020-05-01,24116.06,152707.0,519114.0,0.0,0.0,0.0,42037.205,266187.0,904879.0,26566.735,168225.0,571866.0
2020-06-01,20548.606,130436.0,423335.0,0.0,0.0,0.0,35176.258,223288.0,724689.0,28653.136,181881.0,590302.0
2020-07-01,24354.41,154335.0,533305.0,0.0,0.0,0.0,34198.045,216715.0,748858.0,28499.545,180603.0,624074.0
2020-08-01,18558.888,117231.0,348054.0,0.0,0.0,0.0,50170.96,316916.0,940908.0,34227.152,216204.0,641897.0
2020-09-01,26544.953,167222.0,480153.0,0.0,0.0,0.0,45033.349,283691.0,814576.0,34317.698,216187.0,620748.0
2020-10-01,24517.837,156592.0,582254.0,0.0,0.0,0.0,18099.697,115600.0,429835.0,25215.466,161047.0,598822.0
2020-11-01,10454.458,66608.0,249126.0,0.0,0.0,0.0,30197.476,192395.0,719595.0,24219.066,154306.0,577131.0
2020-12-01,13817.429,87764.0,311000.0,0.0,0.0,0.0,41557.187,263960.0,935361.0,31924.384,202775.0,718548.0
2021-01-01,11643.202,74316.0,318173.0,0.0,0.0,0.0,34812.525,222200.0,951320.0,36122.273,230559.0,987112.0
2021-02-01,14962.166,96390.0,349126.0,0.0,0.0,0.0,32875.45,211793.0,767114.0,24074.384,155094.0,561750.0
2021-03-01,24614.737,157859.0,543225.0,0.0,0.0,0.0,31820.264,204069.0,702244.0,27580.999,176882.0,608687.0
2021-04-01,22458.396,142538.0,403620.0,0.0,0.0,0.0,36987.22,234748.0,664730.0,25437.384,161444.0,457158.0
2021-05-01,22643.384,145863.0,537399.0,0.0,0.0,0.0,18552.821,119513.0,440317.0,24518.795,157944.0,581909.0
2021-06-01,27592.888,175125.0,631543.0,0.0,0.0,0.0,32010.702,203164.0,732657.0,25279.41,160442.0,578592.0
2021-07-01,41329.632,262614.0,860541.0,0.0,0.0,0.0,16772.47,106575.0,349226.0,28785.898,182910.0,599363.0
2021-08-01,32092.133,207450.0,813474.0,0.0,0.0,0.0,12095.428,78187.0,306596.0,18686.439,120793.0,473665.0
2021-09-01,40041.272,256270.0,928674.0,0.0,0.0,0.0,11108.614,71097.0,257641.0,21737.114,139121.0,504147.0
2021-10-01,28763.487,181547.0,569361.0,0.0,0.0,0.0,27250.296,171997.0,539408.0,39691.217,250520.0,785671.0
2021-11-01,11123.952,70496.0,233205.0,0.0,0.0,0.0,35523.891,225126.0,744730.0,33733.157,213778.0,707188.0
2021-12-01,6308.733,40336.0,145026.0,0.0,0.0,0.0,32889.525,210283.0,756070.0,27286.742,174461.0,627273.0
2022-01-01,11087.051,67617.0,280791.0,0.0,0.0,0.0,26876.167,163911.0,680667.0,24074.782,146826.0,609719.0
2022-02-01,7209.56,43969.0,162271.0,0.0,0.0,0.0,31864.621,194332.0,717202.0,24883.819,151758.0,560079.0
2022-03-01,24838.532,151485.0,519634.0,0.0,0.0,0.0,35441.164,216148.0,741446.0,31369.304,191314.0,656260.0
2022-04-01,35075.304,213915.0,704151.0,0.0,0.0,0.0,25978.497,158436.0,521529.0,32419.199,197716.0,650829.0
2022-05-01,42971.24,262075.0,930221.0,0.0,0.0,0.0,21711.972,132418.0,470010.0,26993.788,164631.0,584349.0
2022-06-01,36220.804,220895.0,741192.0,0.0,0.0,0.0,22026.383,134329.0,450729.0,31323.813,191030.0,640984.0
2022-07-01,42737.629,260643.0,910297.0,0.0,0.0,0.0,15064.176,91871.0,320862.0,32388.195,197525.0,689858.0
2022-08-01,32249.421,196675.0,726318.0,0.0,0.0,0.0,16567.436,101038.0,373130.0,28042.143,171017.0,631562.0
2022-09-01,32490.57,198147.0,731225.0,0.0,0.0,0.0,12062.968,73567.0,271486.0,26606.462,162262.0,598799.0
2022-10-01,25859.935,157716.0,518393.0,0.0,0.0,0.0,36485.415,222519.0,731393.0,33147.65,202163.0,664484.0
2022-11-01,33634.159,205125.0,680163.0,0.0,0.0,0.0,35775.542,218185.0,723467.0,32666.299,199222.0,660591.0
2022-12-01,22137.656,135014.0,481008.0,0.0,0.0,0.0,38199.591,232973.0,830002.0,31433.753,191709.0,682994.0
2023-01-01,14248.151,91960.0,375649.0,0.0,0.0,0.0,28721.965,185377.0,757247.0,25723.884,166027.0,678203.0
2023-02-01,17438.216,111719.0,435472.0,0.0,0.0,0.0,29046.577,186088.0,725359.0,25500.207,163368.0,636798.0
2023-03-01,16201.967,103629.0,421875.0,0.0,0.0,0.0,31744.509,203040.0,826580.0,24597.524,157327.0,640483.0
2023-04-01,18022.255,114481.0,432867.0,0.0,0.0,0.0,25313.943,160799.0,608003.0,26183.802,166324.0,628895.0
2023-05-01,27701.395,189719.0,900595.0,0.0,0.0,0.0,7249.734,49651.0,235695.0,15750.871,107873.0,512074.0
2023-06-01,20552.534,133303.0,926394.0,0.0,0.0,0.0,14419.299,93523.0,649942.0,10317.167,66917.0,465040.0
2023-07-01,33529.75,215096.0,851198.0,0.0,0.0,0.0,11491.341,73718.0,291723.0,23785.909,152589.0,603837.0
2023-08-01,33571.015,215030.0,890872.0,0.0,0.0,0.0,7610.408,48746.0,201957.0,22369.577,143282.0,593620.0
2023-09-01,31450.276,197232.0,766604.0,0.0,0.0,0.0,7897.67,49528.0,192507.0,21007.054,131740.0,512050.0
2023-10-01,18056.366,114435.0,435813.0,0.0,0.0,0.0,16800.654,106477.0,405505.0,28382.98,179882.0,685059.0
2023-11-01,34802.824,219973.0,791867.0,0.0,0.0,0.0,20946.917,132396.0,476604.0,32071.259,202708.0,729716.0
2023-12-01,33597.698,212357.0,750269.0,0.0,0.0,0.0,30700.447,194045.0,685571.0,33460.855,211492.0,747214.0
2024-01-01,30974.675,196394.0,760465.0,0.0,0.0,0.0,27909.558,176960.0,685213.0,27458.767,174102.0,674145.0
2024-02-01,31012.335,196581.0,774533.0,0.0,0.0,0.0,23462.343,148723.0,585972.0,26362.322,167105.0,658399.0
2024-03-01,31978.45,202803.0,786120.0,0.0,0.0,0.0,22915.631,145328.0,563330.0,29594.919,187687.0,727526.0
2024-04-01,22887.736,145935.0,595631.0,0.0,0.0,0.0,17416.367,111049.0,453244.0,23839.897,152006.0,620410.0
2024-05-01,41734.716,266024.0,1008547.0,0.0,0.0,0.0,13034.148,83082.0,314979.0,24481.136,156047.0,591603.0
2024-06-01,42715.303,271512.0,980221.0,0.0,0.0,0.0,12392.138,78768.0,284372.0,27225.559,173054.0,624766.0
2024-07-01,47587.093,302608.0,1100315.0,0.0,0.0,0.0,16488.936,104854.0,381259.0,25403.971,161545.0,587394.0
2024-08-01,42964.815,274069.0,1003871.0,0.0,0.0,0.0,19270.435,122925.0,450253.0,25345.75,161679.0,592202.0
2024-09-01,39816.726,253506.0,914323.0,0.0,0.0,0.0,19920.08,126828.0,457431.0,25305.194,161114.0,581091.0
2024-10-01,24533.267,156749.0,596336.0,0.0,0.0,0.0,17852.041,114061.0,433934.0,25844.692,165128.0,628213.0
2024-11-01,17235.64,110801.0,461811.0,0.0,0.0,0.0,20258.286,130233.0,542800.0,21865.074,140562.0,585852.0
2024-12-01,19751.268,128151.0,577723.0,0.0,0.0,0.0,14097.91,91470.0,412363.0,21028.822,136440.0,615091.0
