measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2010-07-01,0.45,6.0,6.0,57.193000000000005,558.0,558.0,0.0,0.0,0.0
2010-08-01,0.559,6.0,6.0,30.548000000000002,298.0,298.0,0.0,0.0,0.0
2010-09-01,0.432,6.0,6.0,32.448,317.0,317.0,0.0,0.0,0.0
2010-10-01,0.227,0.0,0.0,41.628,406.0,406.0,0.0,0.0,0.0
2010-11-01,0.29,6.0,6.0,44.002,429.0,429.0,0.0,0.0,0.0
2010-12-01,0.537,6.0,6.0,62.416000000000004,609.0,609.0,0.448,6.0,6.0
2011-01-01,0.345,6.0,6.0,39.539,384.0,384.0,0.0,0.0,0.0
2011-02-01,0.245,6.0,6.0,48.222,469.0,469.0,0.0,0.0,0.0
2011-03-01,0.296,6.0,6.0,121.25,1178.0,1178.0,0.0,0.0,0.0
2011-04-01,0.878,6.0,6.0,187.321,1820.0,1820.0,0.0,0.0,0.0
2011-05-01,0.434,6.0,6.0,110.646,1075.0,1075.0,0.0,0.0,0.0
2011-06-01,0.487,6.0,6.0,72.789,707.0,707.0,0.0,0.0,0.0
2011-07-01,0.548,6.0,6.0,31.572,307.0,307.0,0.0,0.0,0.0
2011-08-01,0.498,6.0,6.0,29.029,282.0,282.0,0.0,0.0,0.0
2011-09-01,0.221,0.0,0.0,27.973,272.0,272.0,0.0,0.0,0.0
2011-10-01,0.309,6.0,6.0,47.214,459.0,459.0,0.0,0.0,0.0
2011-11-01,0.184,0.0,0.0,66.263,644.0,644.0,0.0,0.0,0.0
2011-12-01,0.252,6.0,6.0,68.182,662.0,662.0,0.303,4.0,4.0
2012-01-01,1.492,12.0,12.0,64.191,611.0,611.0,0.0,0.0,0.0
2012-02-01,1.453,12.0,12.0,64.776,616.0,616.0,0.0,0.0,0.0
2012-03-01,1.279,12.0,12.0,151.079,1438.0,1438.0,0.0,0.0,0.0
2012-04-01,4.134,37.0,37.0,68.672,653.0,653.0,0.0,0.0,0.0
2012-05-01,2.498,19.0,19.0,80.459,766.0,766.0,0.0,0.0,0.0
2012-06-01,2.03,19.0,19.0,49.093,467.0,467.0,0.0,0.0,0.0
2012-07-01,2.234,19.0,19.0,30.732,292.0,292.0,0.0,0.0,0.0
2012-08-01,1.663,12.0,12.0,34.921,332.0,332.0,0.0,0.0,0.0
2012-09-01,1.27,12.0,12.0,19.53,186.0,186.0,0.0,0.0,0.0
2012-10-01,2.227,19.0,19.0,41.155,392.0,392.0,0.0,0.0,0.0
2012-11-01,1.716,12.0,12.0,32.875,313.0,313.0,0.0,0.0,0.0
2012-12-01,1.53,12.0,12.0,74.517,709.0,709.0,0.474,4.0,4.0
2013-01-01,1.436,25.0,25.0,57.478,548.0,548.0,0.0,0.0,0.0
2013-02-01,0.893,12.0,12.0,55.726,532.0,532.0,0.0,0.0,0.0
2013-03-01,0.849,12.0,12.0,80.49,768.0,768.0,0.0,0.0,0.0
2013-04-01,1.027,12.0,12.0,130.253,1243.0,1243.0,0.0,0.0,0.0
2013-05-01,1.931,25.0,25.0,95.28,909.0,909.0,0.0,0.0,0.0
2013-06-01,2.03,25.0,25.0,63.442,605.0,605.0,0.0,0.0,0.0
2013-07-01,1.067,12.0,12.0,23.753,227.0,227.0,0.0,0.0,0.0
2013-08-01,1.042,12.0,12.0,22.742,217.0,217.0,0.0,0.0,0.0
2013-09-01,1.232,19.0,19.0,17.823,170.0,170.0,0.0,0.0,0.0
2013-10-01,0.855,12.0,12.0,29.143,278.0,278.0,0.0,0.0,0.0
2013-11-01,0.946,12.0,12.0,39.083,373.0,373.0,0.0,0.0,0.0
2013-12-01,1.396,19.0,19.0,45.787,437.0,437.0,0.296,4.0,4.0
2014-01-01,1.582,19.0,19.0,32.862,313.0,313.0,0.0,0.0,0.0
2014-02-01,1.452,19.0,19.0,25.659,244.0,244.0,0.0,0.0,0.0
2014-03-01,1.04,12.0,12.0,60.476,575.0,575.0,0.0,0.0,0.0
2014-04-01,0.936,12.0,12.0,130.935,1245.0,1245.0,0.0,0.0,0.0
2014-05-01,0.951,12.0,12.0,113.784,1082.0,1082.0,0.0,0.0,0.0
2014-06-01,1.175,12.0,12.0,33.72,321.0,321.0,0.0,0.0,0.0
2014-07-01,0.816,6.0,6.0,39.826,379.0,379.0,0.0,0.0,0.0
2014-08-01,1.201,12.0,12.0,23.326,222.0,222.0,0.0,0.0,0.0
2014-09-01,0.836,6.0,6.0,27.58,262.0,262.0,0.0,0.0,0.0
2014-10-01,0.76,6.0,6.0,39.243,373.0,373.0,0.0,0.0,0.0
2014-11-01,2.268,25.0,25.0,50.974,485.0,485.0,0.0,0.0,0.0
2014-12-01,0.983,12.0,12.0,73.615,700.0,700.0,0.0,0.0,0.0
2015-01-01,0.994,6.0,6.0,50.913,474.0,474.0,0.0,0.0,0.0
2015-02-01,1.062,12.0,12.0,29.621,276.0,276.0,0.0,0.0,0.0
2015-03-01,1.274,12.0,12.0,91.832,856.0,856.0,0.0,0.0,0.0
2015-04-01,1.771,19.0,19.0,126.138,1175.0,1175.0,0.0,0.0,0.0
2015-05-01,1.529,19.0,19.0,0.208,2.0,2.0,0.0,0.0,0.0
2015-06-01,1.223,12.0,12.0,100.265,934.0,934.0,0.0,0.0,0.0
2015-07-01,1.516,19.0,19.0,38.315,357.0,357.0,0.0,0.0,0.0
2015-08-01,1.652,19.0,19.0,33.942,316.0,316.0,0.0,0.0,0.0
2015-09-01,1.07,12.0,12.0,38.784,361.0,361.0,0.0,0.0,0.0
2015-10-01,0.831,12.0,12.0,36.806,343.0,343.0,0.0,0.0,0.0
2015-11-01,0.939,12.0,12.0,65.334,609.0,609.0,0.0,0.0,0.0
2015-12-01,1.05,12.0,12.0,114.842,1070.0,1070.0,0.089,1.0,1.0
2016-01-01,1.357,12.0,12.0,76.378,705.0,705.0,0.0,0.0,0.0
2016-02-01,1.199,12.0,12.0,110.298,1018.0,1018.0,0.0,0.0,0.0
2016-03-01,1.34,12.0,12.0,155.52,1436.0,1436.0,0.0,0.0,0.0
2016-04-01,1.147,12.0,12.0,126.537,1168.0,1168.0,0.0,0.0,0.0
2016-05-01,2.717,43.0,43.0,67.523,623.0,623.0,0.0,0.0,0.0
2016-06-01,1.614,19.0,19.0,29.294,270.0,270.0,0.0,0.0,0.0
2016-07-01,1.854,19.0,19.0,22.184,205.0,205.0,0.0,0.0,0.0
2016-08-01,1.327,12.0,12.0,26.924,249.0,249.0,0.0,0.0,0.0
2016-09-01,1.089,12.0,12.0,26.38,244.0,244.0,0.0,0.0,0.0
2016-10-01,0.84,6.0,6.0,48.525,448.0,448.0,0.0,0.0,0.0
2016-11-01,1.213,12.0,12.0,34.228,316.0,316.0,0.0,0.0,0.0
2016-12-01,1.122,12.0,12.0,59.209,547.0,547.0,0.181,2.0,2.0
2017-01-01,1.326,19.0,19.0,83.277,767.0,767.0,0.0,0.0,0.0
2017-02-01,0.856,12.0,12.0,77.848,717.0,717.0,0.0,0.0,0.0
2017-03-01,0.957,12.0,12.0,83.096,766.0,766.0,0.0,0.0,0.0
2017-04-01,1.123,12.0,12.0,66.331,611.0,611.0,0.0,0.0,0.0
2017-05-01,1.07,12.0,12.0,65.316,602.0,602.0,0.0,0.0,0.0
2017-06-01,1.009,12.0,12.0,66.671,614.0,614.0,0.0,0.0,0.0
2017-07-01,0.895,12.0,12.0,71.631,660.0,660.0,0.0,0.0,0.0
2017-08-01,1.422,19.0,19.0,70.248,647.0,647.0,0.0,0.0,0.0
2017-09-01,1.279,12.0,12.0,64.075,590.0,590.0,0.0,0.0,0.0
2017-10-01,1.216,12.0,12.0,66.146,609.0,609.0,0.0,0.0,0.0
2017-11-01,1.243,12.0,12.0,71.84,662.0,662.0,0.0,0.0,0.0
2017-12-01,2.521,31.0,31.0,65.521,604.0,604.0,0.083,1.0,1.0
2018-01-01,0.441,6.0,6.0,85.05,774.0,774.0,0.0,0.0,0.0
2018-02-01,0.318,6.0,6.0,73.42,668.0,668.0,0.0,0.0,0.0
2018-03-01,0.673,6.0,6.0,78.067,711.0,711.0,0.0,0.0,0.0
2018-04-01,0.702,12.0,12.0,84.674,771.0,771.0,0.0,0.0,0.0
2018-05-01,0.695,12.0,12.0,94.545,861.0,861.0,0.0,0.0,0.0
2018-06-01,0.474,6.0,6.0,85.899,782.0,782.0,0.0,0.0,0.0
2018-07-01,0.324,6.0,6.0,82.088,747.0,747.0,0.0,0.0,0.0
2018-08-01,0.411,6.0,6.0,79.051,720.0,720.0,0.0,0.0,0.0
2018-09-01,0.419,6.0,6.0,89.163,812.0,812.0,0.0,0.0,0.0
2018-10-01,0.559,6.0,6.0,92.406,841.0,841.0,0.0,0.0,0.0
2018-11-01,0.471,6.0,6.0,97.77,890.0,890.0,0.0,0.0,0.0
2018-12-01,0.513,6.0,6.0,97.867,891.0,891.0,0.0,0.0,0.0
2019-01-01,0.498,6.0,6.0,87.758,781.0,781.0,0.0,0.0,0.0
2019-02-01,0.334,6.0,6.0,77.106,687.0,687.0,0.0,0.0,0.0
2019-03-01,0.419,6.0,6.0,90.432,805.0,805.0,0.0,0.0,0.0
2019-04-01,0.403,6.0,6.0,78.854,702.0,702.0,0.0,0.0,0.0
2019-05-01,0.31,6.0,6.0,83.179,741.0,741.0,0.0,0.0,0.0
2019-06-01,0.404,6.0,6.0,77.397,689.0,689.0,0.0,0.0,0.0
2019-07-01,0.569,6.0,6.0,84.589,753.0,753.0,0.0,0.0,0.0
2019-08-01,0.466,6.0,6.0,85.026,757.0,757.0,0.0,0.0,0.0
2019-09-01,0.479,6.0,6.0,80.322,715.0,715.0,0.0,0.0,0.0
2019-10-01,0.463,6.0,6.0,86.249,768.0,768.0,0.0,0.0,0.0
2019-11-01,0.276,6.0,6.0,89.543,797.0,797.0,0.0,0.0,0.0
2019-12-01,0.379,6.0,6.0,86.545,771.0,771.0,0.0,0.0,0.0
2020-01-01,0.375,6.0,6.0,56.623,496.0,496.0,0.0,0.0,0.0
2020-02-01,0.161,0.0,0.0,54.837,481.0,481.0,0.0,0.0,0.0
2020-03-01,0.347,6.0,6.0,59.291,520.0,520.0,0.0,0.0,0.0
2020-04-01,0.193,6.0,6.0,59.615,523.0,523.0,0.0,0.0,0.0
2020-05-01,0.415,6.0,6.0,66.101,580.0,580.0,0.0,0.0,0.0
2020-06-01,0.393,6.0,6.0,58.227,510.0,510.0,0.0,0.0,0.0
2020-07-01,0.45,6.0,6.0,62.606,549.0,549.0,0.0,0.0,0.0
2020-08-01,0.655,19.0,19.0,55.847,490.0,490.0,0.0,0.0,0.0
2020-09-01,0.279,6.0,6.0,59.701,523.0,523.0,0.0,0.0,0.0
2020-10-01,0.115,0.0,0.0,58.968,517.0,517.0,0.0,0.0,0.0
2020-11-01,0.144,0.0,0.0,58.54,513.0,513.0,0.0,0.0,0.0
2020-12-01,0.473,6.0,6.0,65.644,576.0,576.0,0.0,0.0,0.0
2021-01-01,0.493,6.0,6.0,41.859,370.0,370.0,0.0,0.0,0.0
2021-02-01,0.689,6.0,6.0,33.216,294.0,294.0,0.0,0.0,0.0
2021-03-01,0.417,6.0,6.0,36.727,325.0,325.0,0.0,0.0,0.0
2021-04-01,0.495,6.0,6.0,37.905,335.0,335.0,0.0,0.0,0.0
2021-05-01,0.765,19.0,19.0,35.559,314.0,314.0,0.0,0.0,0.0
2021-06-01,0.631,6.0,6.0,34.611,306.0,306.0,0.0,0.0,0.0
2021-07-01,0.643,6.0,6.0,33.942,300.0,300.0,0.0,0.0,0.0
2021-08-01,0.502,6.0,6.0,36.548,323.0,323.0,0.0,0.0,0.0
2021-09-01,0.57,6.0,6.0,31.319,277.0,277.0,0.0,0.0,0.0
2021-10-01,0.49,6.0,6.0,33.744,298.0,298.0,0.0,0.0,0.0
2021-11-01,0.518,6.0,6.0,33.053,292.0,292.0,0.0,0.0,0.0
2021-12-01,0.787,12.0,12.0,36.517,323.0,323.0,0.0,0.0,0.0
2022-01-01,0.248,6.0,6.0,38.456,131.0,131.0,0.0,0.0,0.0
2022-02-01,0.4,6.0,6.0,31.751,108.0,108.0,0.0,0.0,0.0
2022-03-01,0.331,6.0,6.0,39.924,136.0,136.0,0.0,0.0,0.0
2022-04-01,0.678,12.0,12.0,38.968,133.0,133.0,0.0,0.0,0.0
2022-05-01,0.352,6.0,6.0,41.739,142.0,142.0,0.0,0.0,0.0
2022-06-01,0.349,6.0,6.0,42.026,143.0,143.0,0.0,0.0,0.0
2022-07-01,0.153,0.0,0.0,33.264,113.0,113.0,0.0,0.0,0.0
2022-08-01,0.283,6.0,6.0,37.385,128.0,128.0,0.0,0.0,0.0
2022-09-01,0.158,0.0,0.0,36.685,125.0,125.0,0.0,0.0,0.0
2022-10-01,0.289,6.0,6.0,30.604,104.0,104.0,0.0,0.0,0.0
2022-11-01,0.38,6.0,6.0,41.032,140.0,140.0,0.0,0.0,0.0
2022-12-01,0.379,6.0,6.0,40.166,137.0,137.0,0.0,0.0,0.0
2023-01-01,0.474,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.349,6.0,6.0,70.0,239.0,239.0,0.0,0.0,0.0
2023-03-01,0.802,12.0,12.0,44.0,150.0,150.0,0.0,0.0,0.0
2023-04-01,0.585,6.0,6.0,53.0,181.0,181.0,0.0,0.0,0.0
2023-05-01,1.013,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.725,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.722,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.529,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.642,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.995,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.555,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.609,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,0.696,12.0,12.0,9.0,31.0,31.0,0.0,0.0,0.0
2024-02-01,0.562,6.0,6.0,13.0,44.0,44.0,0.0,0.0,0.0
2024-03-01,0.945,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.488,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.796,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.39,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.318,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.483,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0.608,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,0.662,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,0.642,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0.41,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
