measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-02-01,,,,0.0,0.0,0.0,-12.338000000000001,372.0,372.0,0.0,0.0,0.0
2007-03-01,,,,0.0,0.0,0.0,-10.283000000000001,310.0,310.0,0.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0,-10.909,329.0,329.0,0.0,0.0,0.0
2007-05-01,,,,0.0,0.0,0.0,-11.234,341.0,341.0,0.0,0.0,0.0
2007-06-01,,,,0.0,0.0,0.0,-13.204,397.0,397.0,0.0,0.0,0.0
2007-07-01,,,,0.0,0.0,0.0,-10.325,310.0,310.0,0.0,0.0,0.0
2007-08-01,,,,0.0,0.0,0.0,-8.261000000000001,248.0,248.0,0.0,0.0,0.0
2007-09-01,,,,0.0,0.0,0.0,-7.8260000000000005,236.0,236.0,0.0,0.0,0.0
2007-10-01,,,,0.0,0.0,0.0,-11.242,341.0,341.0,0.0,0.0,0.0
2007-11-01,,,,0.0,0.0,0.0,-9.231,279.0,279.0,0.0,0.0,0.0
2007-12-01,,,,0.0,0.0,0.0,-16.313000000000002,490.0,490.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,,,,-40.0,0.0,0.0,,,
2008-02-01,0.0,0.0,0.0,,,,-37.0,0.0,0.0,,,
2008-03-01,0.0,0.0,0.0,,,,-23.0,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,,,,-10.0,242.0,242.0,,,
2008-05-01,0.0,0.0,0.0,,,,8.0,577.0,577.0,,,
2008-06-01,0.0,0.0,0.0,,,,-11.0,0.0,0.0,,,
2008-07-01,0.0,0.0,0.0,,,,-12.0,0.0,0.0,,,
2008-08-01,0.0,0.0,0.0,,,,-12.0,0.0,0.0,,,
2008-09-01,0.0,0.0,0.0,,,,-13.0,62.0,62.0,,,
2008-10-01,0.0,0.0,0.0,,,,-15.0,0.0,0.0,,,
2008-11-01,0.0,0.0,0.0,,,,-19.0,0.0,0.0,,,
2008-12-01,0.0,0.0,0.0,,,,-70.0,0.0,0.0,,,
2009-01-01,0.0,0.0,0.0,,,,-11.0,0.0,0.0,,,
2009-02-01,0.0,0.0,0.0,,,,-21.0,0.0,0.0,,,
2009-03-01,0.0,0.0,0.0,,,,-24.0,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,,,,5.0,657.0,657.0,,,
2009-05-01,0.0,0.0,0.0,,,,-15.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,,,,47.0,1073.0,1073.0,,,
2009-07-01,0.0,0.0,0.0,,,,-14.0,0.0,0.0,,,
2009-08-01,0.0,0.0,0.0,,,,-13.0,0.0,0.0,,,
2009-09-01,0.0,0.0,0.0,,,,-13.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,,,,-14.0,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,,,,-18.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,,,,-18.0,0.0,0.0,,,
2010-01-01,0.0,0.0,0.0,,,,-44.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,,,,-39.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,,,,-22.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,,,,-15.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,,,,-23.0,928.0,928.0,,,
2010-06-01,0.0,0.0,0.0,,,,36.0,1955.0,1955.0,,,
2010-07-01,0.0,0.0,0.0,,,,-15.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,,,,-16.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,,,,-14.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,,,,30.0,539.0,539.0,,,
2010-11-01,0.0,0.0,0.0,,,,-26.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,,,,-50.0,0.0,0.0,,,
2011-01-01,0.0,0.0,0.0,,,,-58.0,0.0,0.0,,,
2011-02-01,0.0,0.0,0.0,,,,-38.0,0.0,0.0,,,
2011-03-01,0.0,0.0,0.0,,,,-40.0,0.0,0.0,,,
2011-04-01,0.0,0.0,0.0,,,,-18.0,499.0,499.0,,,
2011-05-01,0.0,0.0,0.0,,,,-13.0,0.0,0.0,,,
2011-06-01,0.0,0.0,0.0,,,,36.0,1188.0,1188.0,,,
2011-07-01,0.0,0.0,0.0,,,,-10.0,0.0,0.0,,,
2011-08-01,0.0,0.0,0.0,,,,-9.0,0.0,0.0,,,
2011-09-01,0.0,0.0,0.0,,,,-10.0,0.0,0.0,,,
2011-10-01,0.0,0.0,0.0,,,,-11.0,0.0,0.0,,,
2011-11-01,0.0,0.0,0.0,,,,-10.0,0.0,0.0,,,
2011-12-01,0.0,0.0,0.0,,,,-7.0,986.0,986.0,,,
2012-01-01,0.0,0.0,0.0,,,,-38.0,0.0,0.0,,,
2012-02-01,0.0,0.0,0.0,,,,-32.0,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,,,,-20.0,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,,,,83.0,2674.0,2674.0,,,
2012-05-01,0.0,0.0,0.0,,,,-4.0,389.0,389.0,,,
2012-06-01,0.0,0.0,0.0,,,,38.0,893.0,893.0,,,
2012-07-01,0.0,0.0,0.0,,,,5.0,310.0,310.0,,,
2012-08-01,0.0,0.0,0.0,,,,2.0,248.0,248.0,,,
2012-09-01,0.0,0.0,0.0,,,,-7.0,211.0,211.0,,,
2012-10-01,0.0,0.0,0.0,,,,-15.0,331.0,331.0,,,
2012-11-01,0.0,0.0,0.0,,,,-28.0,0.0,0.0,,,
2012-12-01,0.0,0.0,0.0,,,,-26.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,,,,-55.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,,,,-44.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,,,,-24.0,244.0,244.0,,,
2013-04-01,0.0,0.0,0.0,,,,-19.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,,,,-11.0,0.0,0.0,,,
2013-06-01,0.0,0.0,0.0,,,,20.0,341.0,341.0,,,
2013-07-01,0.0,0.0,0.0,,,,-6.0,0.0,0.0,,,
2013-08-01,0.0,0.0,0.0,,,,40.0,887.0,887.0,,,
2013-09-01,0.0,0.0,0.0,,,,-6.0,0.0,0.0,,,
2013-10-01,0.0,0.0,0.0,,,,-9.0,0.0,0.0,,,
2013-11-01,0.0,0.0,0.0,,,,-17.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,,,,-55.0,0.0,0.0,,,
2014-01-01,0.0,0.0,0.0,,,,86.0,2089.0,2089.0,,,
2014-02-01,0.0,0.0,0.0,,,,-28.0,285.0,285.0,,,
2014-03-01,0.0,0.0,0.0,,,,-30.0,0.0,0.0,,,
2014-04-01,0.0,0.0,0.0,,,,-19.0,0.0,0.0,,,
2014-05-01,0.0,0.0,0.0,,,,-5.0,84.0,84.0,,,
2014-06-01,0.0,0.0,0.0,,,,63.0,1339.0,1339.0,,,
2014-07-01,0.0,0.0,0.0,,,,-6.0,0.0,0.0,,,
2014-08-01,0.0,0.0,0.0,,,,11.0,936.0,936.0,,,
2014-09-01,0.0,0.0,0.0,,,,45.0,930.0,930.0,,,
2014-10-01,0.0,0.0,0.0,,,,-10.0,0.0,0.0,,,
2014-11-01,0.0,0.0,0.0,,,,-6.0,506.0,506.0,,,
2014-12-01,0.0,0.0,0.0,,,,-19.0,360.0,360.0,,,
2015-01-01,0.0,0.0,0.0,,,,-46.0,0.0,0.0,,,
2015-02-01,0.0,0.0,0.0,,,,-48.0,0.0,0.0,,,
2015-03-01,0.0,0.0,0.0,,,,-23.0,0.0,0.0,,,
2015-04-01,0.0,0.0,0.0,,,,-18.0,0.0,0.0,,,
2015-05-01,0.0,0.0,0.0,,,,-7.0,0.0,0.0,,,
2015-06-01,0.0,0.0,0.0,,,,45.0,1357.0,1357.0,,,
2015-07-01,0.0,0.0,0.0,,,,63.0,1370.0,1370.0,,,
2015-08-01,0.0,0.0,0.0,,,,-8.0,0.0,0.0,,,
2015-09-01,0.0,0.0,0.0,,,,62.0,1352.0,1352.0,,,
2015-10-01,0.0,0.0,0.0,,,,-6.0,0.0,0.0,,,
2015-11-01,0.0,0.0,0.0,,,,-23.0,0.0,0.0,,,
2015-12-01,0.0,0.0,0.0,,,,-30.0,0.0,0.0,,,
2016-01-01,0.0,0.0,0.0,,,,-75.0,167.0,167.0,,,
2016-02-01,0.0,0.0,0.0,,,,-39.0,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,,,,-19.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,,,,-8.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,,,,20.0,25.0,25.0,,,
2016-06-01,0.0,0.0,0.0,,,,28.0,1060.0,1060.0,,,
2016-07-01,0.0,0.0,0.0,,,,271.0,5096.0,5096.0,,,
2016-08-01,0.0,0.0,0.0,,,,401.0,1984.0,1984.0,,,
2016-09-01,0.0,0.0,0.0,,,,93.0,1717.0,1717.0,,,
2016-10-01,0.0,0.0,0.0,,,,-13.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,,,,-51.0,198.0,198.0,,,
2016-12-01,0.0,0.0,0.0,,,,-50.0,0.0,0.0,,,
2017-01-01,0.0,0.0,0.0,,,,71.825,1891.0,1891.0,,,
2017-02-01,0.0,0.0,0.0,,,,56.609,1488.0,1488.0,,,
2017-03-01,0.0,0.0,0.0,,,,74.483,1959.0,1959.0,,,
2017-04-01,0.0,0.0,0.0,,,,56.709,1494.0,1494.0,,,
2017-05-01,0.0,0.0,0.0,,,,82.869,2182.0,2182.0,,,
2017-06-01,0.0,0.0,0.0,,,,83.189,2189.0,2189.0,,,
2017-07-01,0.0,0.0,0.0,,,,77.458,2040.0,2040.0,,,
2017-08-01,0.0,0.0,0.0,,,,64.551,1699.0,1699.0,,,
2017-09-01,0.0,0.0,0.0,,,,61.826,1624.0,1624.0,,,
2017-10-01,0.0,0.0,0.0,,,,57.559,1513.0,1513.0,,,
2017-11-01,0.0,0.0,0.0,,,,123.398,3249.0,3249.0,,,
2017-12-01,0.0,0.0,0.0,,,,70.524,1854.0,1854.0,,,
2018-01-01,0.0,0.0,0.0,,,,166.041,3491.0,3491.0,,,
2018-02-01,0.0,0.0,0.0,,,,99.633,2096.0,2096.0,,,
2018-03-01,0.0,0.0,0.0,,,,99.314,2089.0,2089.0,,,
2018-04-01,0.0,0.0,0.0,,,,139.414,2926.0,2926.0,,,
2018-05-01,0.0,0.0,0.0,,,,214.823,4514.0,4514.0,,,
2018-06-01,0.0,0.0,0.0,,,,134.298,2821.0,2821.0,,,
2018-07-01,0.0,0.0,0.0,,,,101.375,2127.0,2127.0,,,
2018-08-01,0.0,0.0,0.0,,,,115.262,2424.0,2424.0,,,
2018-09-01,0.0,0.0,0.0,,,,150.352,3156.0,3156.0,,,
2018-10-01,0.0,0.0,0.0,,,,129.058,2709.0,2709.0,,,
2018-11-01,0.0,0.0,0.0,,,,163.312,3429.0,3429.0,,,
2018-12-01,0.0,0.0,0.0,,,,158.118,3323.0,3323.0,,,
2019-01-01,0.0,0.0,0.0,,,,-20.707,68.0,68.0,,,
2019-02-01,0.0,0.0,0.0,,,,-24.783,74.0,74.0,,,
2019-03-01,0.0,0.0,0.0,,,,-25.428,74.0,74.0,,,
2019-04-01,0.0,0.0,0.0,,,,-26.344,81.0,81.0,,,
2019-05-01,0.0,0.0,0.0,,,,-15.263,43.0,43.0,,,
2019-06-01,0.0,0.0,0.0,,,,-27.81,87.0,87.0,,,
2019-07-01,0.0,0.0,0.0,,,,-24.004,74.0,74.0,,,
2019-08-01,0.0,0.0,0.0,,,,-13.716,43.0,43.0,,,
2019-09-01,0.0,0.0,0.0,,,,-12.937,37.0,37.0,,,
2019-10-01,0.0,0.0,0.0,,,,-11.775,37.0,37.0,,,
2019-11-01,0.0,0.0,0.0,,,,-36.828,112.0,112.0,,,
2019-12-01,0.0,0.0,0.0,,,,-21.405,62.0,62.0,,,
2020-01-01,0.0,0.0,0.0,,,,49.689,1246.0,1246.0,,,
2020-02-01,0.0,0.0,0.0,,,,62.971,1575.0,1575.0,,,
2020-03-01,0.0,0.0,0.0,,,,38.514,961.0,961.0,,,
2020-04-01,0.0,0.0,0.0,,,,42.708,1066.0,1066.0,,,
2020-05-01,0.0,0.0,0.0,,,,56.473,1414.0,1414.0,,,
2020-06-01,0.0,0.0,0.0,,,,61.872,1550.0,1550.0,,,
2020-07-01,0.0,0.0,0.0,,,,89.58,2244.0,2244.0,,,
2020-08-01,0.0,0.0,0.0,,,,53.446,1339.0,1339.0,,,
2020-09-01,0.0,0.0,0.0,,,,32.979,825.0,825.0,,,
2020-10-01,0.0,0.0,0.0,,,,72.387,1810.0,1810.0,,,
2020-11-01,0.0,0.0,0.0,,,,52.402,1314.0,1314.0,,,
2020-12-01,0.0,0.0,0.0,,,,41.979,1048.0,1048.0,,,
2021-01-01,0.0,0.0,0.0,,,,24.49,713.0,713.0,,,
2021-02-01,0.0,0.0,0.0,,,,30.457,893.0,893.0,,,
2021-03-01,0.0,0.0,0.0,,,,23.163,682.0,682.0,,,
2021-04-01,0.0,0.0,0.0,,,,26.349,775.0,775.0,,,
2021-05-01,0.0,0.0,0.0,,,,65.508,1922.0,1922.0,,,
2021-06-01,0.0,0.0,0.0,,,,58.023,1699.0,1699.0,,,
2021-07-01,0.0,0.0,0.0,,,,19.494,570.0,570.0,,,
2021-08-01,0.0,0.0,0.0,,,,28.953,849.0,849.0,,,
2021-09-01,0.0,0.0,0.0,,,,27.207,800.0,800.0,,,
2021-10-01,0.0,0.0,0.0,,,,36.401,1066.0,1066.0,,,
2021-11-01,0.0,0.0,0.0,,,,64.417,1891.0,1891.0,,,
2021-12-01,0.0,0.0,0.0,,,,37.538,1097.0,1097.0,,,
2022-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2023-01-01,0.0,0.0,0.0,,,,-19.098,322.0,322.0,,,
2023-02-01,0.0,0.0,0.0,,,,-7.438,130.0,130.0,,,
2023-03-01,0.0,0.0,0.0,,,,-15.683,273.0,273.0,,,
2023-04-01,0.0,0.0,0.0,,,,-19.056,329.0,329.0,,,
2023-05-01,0.0,0.0,0.0,,,,-34.556,601.0,601.0,,,
2023-06-01,0.0,0.0,0.0,,,,-21.432,372.0,372.0,,,
2023-07-01,0.0,0.0,0.0,,,,-20.981,366.0,366.0,,,
2023-08-01,0.0,0.0,0.0,,,,-13.452,236.0,236.0,,,
2023-09-01,0.0,0.0,0.0,,,,-16.503,285.0,285.0,,,
2023-10-01,0.0,0.0,0.0,,,,-27.412,477.0,477.0,,,
2023-11-01,0.0,0.0,0.0,,,,-17.714,304.0,304.0,,,
2023-12-01,0.0,0.0,0.0,,,,-28.675,496.0,496.0,,,
2024-01-01,0.0,0.0,0.0,,,,190.437,626.0,626.0,,,
2024-02-01,0.0,0.0,0.0,,,,115.579,378.0,378.0,,,
2024-03-01,0.0,0.0,0.0,,,,182.485,601.0,601.0,,,
2024-04-01,0.0,0.0,0.0,,,,306.514,1011.0,1011.0,,,
2024-05-01,0.0,0.0,0.0,,,,202.501,670.0,670.0,,,
2024-06-01,0.0,0.0,0.0,,,,212.097,701.0,701.0,,,
2024-07-01,0.0,0.0,0.0,,,,164.723,539.0,539.0,,,
2024-08-01,0.0,0.0,0.0,,,,239.073,787.0,787.0,,,
2024-09-01,0.0,0.0,0.0,,,,239.304,787.0,787.0,,,
2024-10-01,0.0,0.0,0.0,,,,163.086,539.0,539.0,,,
2024-11-01,0.0,0.0,0.0,,,,257.587,849.0,849.0,,,
2024-12-01,0.0,0.0,0.0,,,,326.614,1073.0,1073.0,,,
