measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2016-08-01,5610.619,48456.0,48456.0,1.099,12.0,12.0,,,,,,
2016-09-01,4647.405,40138.0,40138.0,1.039,12.0,12.0,,,,,,
2016-10-01,4877.081,42121.0,42121.0,0.998,12.0,12.0,,,,,,
2016-11-01,4883.041,42172.0,42172.0,0.931,12.0,12.0,,,,,,
2016-12-01,3621.795,31281.0,31281.0,1.012,12.0,12.0,,,,,,
2017-01-01,4241.491,74746.0,74746.0,62.823,800.0,800.0,,,,,,
2017-02-01,3876.93,68320.0,68320.0,51.423,655.0,655.0,,,,,,
2017-03-01,4186.051,73766.0,73766.0,59.574,760.0,760.0,,,,,,
2017-04-01,3913.334,68962.0,68962.0,56.894,725.0,725.0,,,,,,
2017-05-01,4119.028,72583.0,72583.0,56.919,725.0,725.0,,,,,,
2017-06-01,4049.897,71369.0,71369.0,60.067,766.0,766.0,,,,,,
2017-07-01,4151.682,73165.0,73165.0,60.377,771.0,771.0,,,,,,
2017-08-01,4171.035,73501.0,73501.0,62.514,795.0,795.0,,,,,,
2017-09-01,3859.061,68003.0,68003.0,62.791,800.0,800.0,,,,,,
2017-10-01,3950.483,69615.0,69615.0,64.187,818.0,818.0,,,,,,
2017-11-01,4113.909,72491.0,72491.0,55.899,713.0,713.0,,,,,,
2017-12-01,4280.099,75429.0,75429.0,56.532,719.0,719.0,,,,,,
2018-01-01,4348.609,68774.0,68774.0,0.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,4093.062,64733.0,64733.0,0.0,154.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,4417.604,69869.0,69869.0,0.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,4127.382,65270.0,65270.0,0.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,4152.383,65674.0,65674.0,0.0,187.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,4205.658,66509.0,66509.0,0.0,176.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,4327.575,68438.0,68438.0,0.0,187.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,4345.029,68717.0,68717.0,0.0,193.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,3929.412,62141.0,62141.0,0.0,198.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,4296.779,67958.0,67958.0,0.0,204.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,4267.732,67498.0,67498.0,0.0,182.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,4464.775,70608.0,70608.0,0.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,4471.908,65482.0,65482.0,14.531,155.0,155.0,,,,0.0,0.0,0.0
2019-02-01,4026.806,58954.0,58954.0,12.053,143.0,143.0,,,,0.0,0.0,0.0
2019-03-01,4328.241,63360.0,63360.0,12.642,149.0,149.0,,,,0.0,0.0,0.0
2019-04-01,4082.282,59760.0,59760.0,12.776,149.0,149.0,,,,0.0,0.0,0.0
2019-05-01,4221.041,61795.0,61795.0,14.891,174.0,174.0,,,,0.0,0.0,0.0
2019-06-01,4258.267,62342.0,62342.0,15.677,180.0,180.0,,,,0.0,0.0,0.0
2019-07-01,4386.129,64214.0,64214.0,15.881,186.0,186.0,,,,0.0,0.0,0.0
2019-08-01,4451.486,65165.0,65165.0,16.828,198.0,198.0,,,,0.0,0.0,0.0
2019-09-01,4176.673,61142.0,61142.0,16.329,192.0,192.0,,,,0.0,0.0,0.0
2019-10-01,4289.184,62794.0,62794.0,16.342,192.0,192.0,,,,0.0,0.0,0.0
2019-11-01,4218.72,61757.0,61757.0,15.225,180.0,180.0,,,,0.0,0.0,0.0
2019-12-01,4482.263,65616.0,65616.0,15.185,180.0,180.0,,,,0.0,0.0,0.0
2020-01-01,4273.869,58174.0,58174.0,13.054,180.0,180.0,,,,0.0,0.0,0.0
2020-02-01,3912.25,53253.0,53253.0,10.966,143.0,143.0,,,,0.0,0.0,0.0
2020-03-01,4304.189,58591.0,58591.0,10.865,143.0,143.0,,,,0.0,0.0,0.0
2020-04-01,4047.476,55097.0,55097.0,9.904,130.0,130.0,,,,0.0,0.0,0.0
2020-05-01,4172.566,56797.0,56797.0,10.385,136.0,136.0,,,,0.0,0.0,0.0
2020-06-01,3825.156,52071.0,52071.0,11.551,155.0,155.0,,,,0.0,0.0,0.0
2020-07-01,4104.918,55879.0,55879.0,11.878,155.0,155.0,,,,0.0,0.0,0.0
2020-08-01,4156.711,56585.0,56585.0,12.068,161.0,161.0,,,,0.0,0.0,0.0
2020-09-01,3903.056,53125.0,53125.0,11.938,161.0,161.0,,,,0.0,0.0,0.0
2020-10-01,3952.968,53805.0,53805.0,13.767,180.0,180.0,,,,0.0,0.0,0.0
2020-11-01,3874.965,52743.0,52743.0,11.841,155.0,155.0,,,,0.0,0.0,0.0
2020-12-01,4128.876,56202.0,56202.0,11.923,161.0,161.0,,,,0.0,0.0,0.0
2021-01-01,4282.777,63818.0,63818.0,13.109,167.0,167.0,,,,0.0,0.0,0.0
2021-02-01,3766.436,56126.0,56126.0,11.946,155.0,155.0,,,,0.0,0.0,0.0
2021-03-01,4279.932,63776.0,63776.0,13.192,167.0,167.0,,,,0.0,0.0,0.0
2021-04-01,4007.071,59713.0,59713.0,12.255,155.0,155.0,,,,0.0,0.0,0.0
2021-05-01,4112.739,61285.0,61285.0,13.563,174.0,174.0,,,,0.0,0.0,0.0
2021-06-01,3967.127,59118.0,59118.0,13.849,180.0,180.0,,,,0.0,0.0,0.0
2021-07-01,4063.408,60554.0,60554.0,14.117,180.0,180.0,,,,0.0,0.0,0.0
2021-08-01,4024.071,59968.0,59968.0,15.28,198.0,198.0,,,,0.0,0.0,0.0
2021-09-01,3931.524,58591.0,58591.0,14.032,180.0,180.0,,,,0.0,0.0,0.0
2021-10-01,3949.847,58863.0,58863.0,13.968,180.0,180.0,,,,0.0,0.0,0.0
2021-11-01,3805.943,56712.0,56712.0,14.502,186.0,186.0,,,,0.0,0.0,0.0
2021-12-01,4234.125,63096.0,63096.0,14.187,180.0,180.0,,,,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,15.029,322.0,322.0,,,,4373.784,60613.0,60613.0
2022-02-01,0.0,0.0,0.0,12.288,260.0,260.0,,,,4111.708,56980.0,56980.0
2022-03-01,0.0,0.0,0.0,14.597,304.0,304.0,,,,4250.229,58898.0,58898.0
2022-04-01,0.0,0.0,0.0,12.58,267.0,267.0,,,,4088.181,56651.0,56651.0
2022-05-01,0.0,0.0,0.0,13.858,291.0,291.0,,,,4266.68,59122.0,59122.0
2022-06-01,0.0,0.0,0.0,12.784,267.0,267.0,,,,4400.33,60977.0,60977.0
2022-07-01,0.0,0.0,0.0,13.918,291.0,291.0,,,,4673.888,64764.0,64764.0
2022-08-01,0.0,0.0,0.0,15.319,322.0,322.0,,,,4657.134,64533.0,64533.0
2022-09-01,0.0,0.0,0.0,17.816,372.0,372.0,,,,4260.239,59038.0,59038.0
2022-10-01,0.0,0.0,0.0,18.56,391.0,391.0,,,,3857.967,53459.0,53459.0
2022-11-01,0.0,0.0,0.0,16.019,335.0,335.0,,,,4227.322,58576.0,58576.0
2022-12-01,0.0,0.0,0.0,17.232,360.0,360.0,,,,4387.538,60802.0,60802.0
2023-01-01,3598.224,66070.0,66070.0,8.877,99.0,99.0,,,,10.21,190.0,190.0
2023-02-01,3200.005,58760.0,58760.0,7.21,83.0,83.0,,,,8.995,170.0,170.0
2023-03-01,3463.233,63590.0,63590.0,8.74,99.0,99.0,,,,9.842,180.0,180.0
2023-04-01,3213.143,59000.0,59000.0,8.243,94.0,94.0,,,,8.822,160.0,160.0
2023-05-01,3620.775,66480.0,66480.0,8.072,94.0,94.0,,,,9.884,180.0,180.0
2023-06-01,3508.182,64410.0,64410.0,8.001,94.0,94.0,,,,9.349,170.0,170.0
2023-07-01,3577.48,65690.0,65690.0,8.395,99.0,99.0,,,,9.896,180.0,180.0
2023-08-01,3575.141,65640.0,65640.0,8.647,99.0,99.0,,,,10.241,190.0,190.0
2023-09-01,3312.738,60830.0,60830.0,8.559,99.0,99.0,,,,9.337,170.0,170.0
2023-10-01,3555.547,65280.0,65280.0,9.337,110.0,110.0,,,,8.689,160.0,160.0
2023-11-01,3551.833,65220.0,65220.0,8.548,99.0,99.0,,,,9.767,180.0,180.0
2023-12-01,3814.239,70030.0,70030.0,8.371,99.0,99.0,,,,10.428,190.0,190.0
2024-01-01,560.211,10295.0,10295.0,0.0,0.0,0.0,,,,,,
2024-02-01,521.156,9585.0,9585.0,0.0,0.0,0.0,,,,,,
2024-03-01,541.975,9968.0,9968.0,0.0,0.0,0.0,,,,,,
2024-04-01,504.767,9280.0,9280.0,0.0,0.0,0.0,,,,,,
2024-05-01,554.437,10196.0,10196.0,0.0,0.0,0.0,,,,,,
2024-06-01,515.419,9479.0,9479.0,0.0,0.0,0.0,,,,,,
2024-07-01,543.361,9990.0,9990.0,0.0,0.0,0.0,,,,,,
2024-08-01,557.702,10252.0,10252.0,0.0,0.0,0.0,,,,,,
2024-09-01,525.71,9663.0,9663.0,0.0,0.0,0.0,,,,,,
2024-10-01,537.138,9876.0,9876.0,0.0,0.0,0.0,,,,,,
2024-11-01,528.116,9713.0,9713.0,0.0,0.0,0.0,,,,,,
2024-12-01,538.285,9897.0,9897.0,8.0,81.0,81.0,,,,7.723,142.0,142.0
