measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2019-07-01,0.0,0.0,0.0,4866.21,64645.0,64645.0,,,
2019-08-01,0.0,0.0,0.0,4534.885,60243.0,60243.0,,,
2019-09-01,0.0,0.0,0.0,3509.813,46626.0,46626.0,,,
2019-10-01,0.0,0.0,0.0,4277.438,56823.0,56823.0,,,
2019-11-01,0.0,0.0,0.0,4513.008,59953.0,59953.0,,,
2019-12-01,0.0,0.0,0.0,4777.21,63463.0,63463.0,,,
2020-01-01,0.0,0.0,0.0,5971.114,75316.0,75316.0,,,
2020-02-01,0.0,0.0,0.0,4913.548,61977.0,61977.0,,,
2020-03-01,0.0,0.0,0.0,4703.272,59324.0,59324.0,,,
2020-04-01,0.0,0.0,0.0,4029.355,50823.0,50823.0,,,
2020-05-01,0.0,0.0,0.0,4160.254,52475.0,52475.0,,,
2020-06-01,0.0,0.0,0.0,4125.313,52034.0,52034.0,,,
2020-07-01,0.0,0.0,0.0,4307.192,54328.0,54328.0,,,
2020-08-01,0.0,0.0,0.0,4148.463,52326.0,52326.0,,,
2020-09-01,0.0,0.0,0.0,3795.695,47876.0,47876.0,,,
2020-10-01,0.0,0.0,0.0,3227.462,40709.0,40709.0,,,
2020-11-01,0.0,0.0,0.0,5898.88,74405.0,74405.0,,,
2020-12-01,0.0,0.0,0.0,6674.452,84188.0,84188.0,,,
2021-01-01,0.0,0.0,0.0,4065.486,52882.0,52882.0,,,
2021-02-01,0.0,0.0,0.0,3493.406,45442.0,45442.0,,,
2021-03-01,0.0,0.0,0.0,3428.173,44594.0,44594.0,,,
2021-04-01,0.0,0.0,0.0,3379.42,43960.0,43960.0,,,
2021-05-01,0.0,0.0,0.0,3685.127,47935.0,47935.0,,,
2021-06-01,0.0,0.0,0.0,4639.847,60355.0,60355.0,,,
2021-07-01,0.0,0.0,0.0,5271.51,68571.0,68571.0,,,
2021-08-01,0.0,0.0,0.0,5345.201,69530.0,69530.0,,,
2021-09-01,0.0,0.0,0.0,4382.146,57002.0,57002.0,,,
2021-10-01,0.0,0.0,0.0,4132.876,53760.0,53760.0,,,
2021-11-01,0.0,0.0,0.0,3851.279,50097.0,50097.0,,,
2021-12-01,0.0,0.0,0.0,4020.529,52298.0,52298.0,,,
2022-01-01,0.0,0.0,0.0,3981.643,53597.0,53597.0,,,
2022-02-01,0.0,0.0,0.0,3403.709,45819.0,45819.0,,,
2022-03-01,0.0,0.0,0.0,3348.99,45083.0,45083.0,,,
2022-04-01,0.0,0.0,0.0,3147.273,42367.0,42367.0,,,
2022-05-01,0.0,0.0,0.0,3718.264,50054.0,50054.0,,,
2022-06-01,0.0,0.0,0.0,4493.1,60483.0,60483.0,,,
2022-07-01,0.0,0.0,0.0,5415.474,72900.0,72900.0,,,
2022-08-01,0.0,0.0,0.0,5441.295,73248.0,73248.0,,,
2022-09-01,0.0,0.0,0.0,4581.36,61671.0,61671.0,,,
2022-10-01,0.0,0.0,0.0,3958.61,53289.0,53289.0,,,
2022-11-01,0.0,0.0,0.0,3746.528,50434.0,50434.0,,,
2022-12-01,0.0,0.0,0.0,4141.754,55754.0,55754.0,,,
2023-01-01,0.0,0.0,0.0,3925.198,53220.0,53220.0,,,
2023-02-01,0.0,0.0,0.0,3577.248,48501.0,48501.0,,,
2023-03-01,0.0,0.0,0.0,3813.01,51697.0,51697.0,,,
2023-04-01,0.0,0.0,0.0,3422.938,46409.0,46409.0,,,
2023-05-01,0.0,0.0,0.0,3853.246,52243.0,52243.0,,,
2023-06-01,0.0,0.0,0.0,4497.595,60979.0,60979.0,,,
2023-07-01,0.0,0.0,0.0,5428.392,73599.0,73599.0,,,
2023-08-01,0.0,0.0,0.0,5438.8,73740.0,73740.0,,,
2023-09-01,0.0,0.0,0.0,4611.899,62529.0,62529.0,,,
2023-10-01,0.0,0.0,0.0,3879.746,52602.0,52602.0,,,
2023-11-01,0.0,0.0,0.0,3851.174,52215.0,52215.0,,,
2023-12-01,0.0,0.0,0.0,4176.754,56629.0,56629.0,,,
2024-01-01,0.0,0.0,0.0,4462.16,58205.0,58205.0,,,
2024-02-01,0.0,0.0,0.0,3691.285,48150.0,48150.0,,,
2024-03-01,0.0,0.0,0.0,3643.266,47524.0,47524.0,,,
2024-04-01,0.0,0.0,0.0,3339.312,43558.0,43558.0,,,
2024-05-01,0.0,0.0,0.0,3936.425,51348.0,51348.0,,,
2024-06-01,0.0,0.0,0.0,4627.328,60360.0,60360.0,,,
2024-07-01,0.0,0.0,0.0,5543.705,72313.0,72313.0,,,
2024-08-01,0.0,0.0,0.0,5466.582,71307.0,71307.0,,,
2024-09-01,0.0,0.0,0.0,4672.255,60946.0,60946.0,,,
2024-10-01,0.0,0.0,0.0,4034.035,52621.0,52621.0,,,
2024-11-01,0.0,0.0,0.0,3818.704,49812.0,49812.0,,,
2024-12-01,0.0,0.0,0.0,4080.943,53232.0,53232.0,,,
