measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Generation","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Quantity Consumed For Electricity","Solar - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Solar - Total Fuel Consumed"
2004-12-01,53.0,538.0,538.0,1054.0,10563.19,10563.19
2005-01-01,0.0,994.54,994.54,814.0,8139.19,8139.19
2005-02-01,0.0,276.9,276.9,1370.0,13698.63,13698.63
2005-03-01,0.0,0.0,0.0,3405.0,34046.6,34046.6
2005-04-01,37.0,594.8,594.8,5313.0,53124.69,53124.69
2005-05-01,0.0,0.0,0.0,6895.0,68943.11,68943.11
2005-06-01,2204.0,28842.46,28842.46,7817.0,78162.18,78162.18
2005-07-01,3120.0,39965.64,39965.64,3534.0,35336.47,35336.47
2005-08-01,1434.0,19369.48,19369.48,6674.0,66733.33,66733.33
2005-09-01,1704.0,22634.9,22634.9,5580.0,55794.42,55794.42
2005-10-01,0.0,0.0,0.0,3517.0,35166.48,35166.48
2005-11-01,0.0,0.0,0.0,1676.0,16758.32,16758.32
2005-12-01,359.0,4379.44,4379.44,33.0,329.97,329.97
2006-01-01,0.0,0.0,0.0,1305.0,12944.0,12944.0
2006-02-01,0.0,0.0,0.0,2050.0,20334.0,20334.0
2006-03-01,0.0,0.0,0.0,3049.0,30243.0,30243.0
2006-04-01,0.0,0.0,0.0,4603.0,45657.0,45657.0
2006-05-01,2193.0,28927.0,28927.0,4592.0,45548.0,45548.0
2006-06-01,3103.0,40905.0,40905.0,5961.0,59127.0,59127.0
2006-07-01,3690.0,47323.0,47323.0,4909.0,48692.0,48692.0
2006-08-01,1557.0,20661.0,20661.0,6981.0,69245.0,69245.0
2006-09-01,2546.0,32841.0,32841.0,4494.0,44576.0,44576.0
2006-10-01,0.0,0.0,0.0,2848.0,28249.0,28249.0
2006-11-01,0.0,0.0,0.0,1258.0,12478.0,12478.0
2006-12-01,395.0,5066.0,5066.0,0.0,0.0,0.0
2007-01-01,56.0,1209.0,1209.0,664.0,6563.0,6563.0
2007-02-01,0.0,0.0,0.0,2183.0,21577.0,21577.0
2007-03-01,0.0,0.0,0.0,5608.0,55429.0,55429.0
2007-04-01,0.0,0.0,0.0,6155.0,60836.0,60836.0
2007-05-01,58.0,1018.0,1018.0,8958.0,88541.0,88541.0
2007-06-01,760.0,10443.0,10443.0,8928.0,88244.0,88244.0
2007-07-01,3243.0,40727.0,40727.0,5935.0,58662.0,58662.0
2007-08-01,1140.0,15339.0,15339.0,6369.0,62951.0,62951.0
2007-09-01,2051.0,25807.0,25807.0,6328.0,62546.0,62546.0
2007-10-01,0.0,0.0,0.0,4590.0,45368.0,45368.0
2007-11-01,230.0,3088.0,3088.0,2401.0,23731.0,23731.0
2007-12-01,362.0,4614.0,4614.0,188.0,1858.0,1858.0
2008-01-01,0.0,0.0,0.0,1641.0,16170.0,16170.0
2008-02-01,0.0,0.0,0.0,3229.0,31819.0,31819.0
2008-03-01,0.0,0.0,0.0,6060.0,59715.0,59715.0
2008-04-01,0.0,0.0,0.0,7117.0,70131.0,70131.0
2008-05-01,194.0,2553.0,2553.0,7709.0,75964.0,75964.0
2008-06-01,415.0,6312.0,6312.0,9175.0,90410.0,90410.0
2008-07-01,642.0,9321.0,9321.0,8195.0,80754.0,80754.0
2008-08-01,1970.0,25437.0,25437.0,7447.0,73383.0,73383.0
2008-09-01,2971.0,37546.0,37546.0,6739.0,66406.0,66406.0
2008-10-01,0.0,0.0,0.0,4389.0,43249.0,43249.0
2008-11-01,0.0,0.0,0.0,2254.0,22211.0,22211.0
2008-12-01,3276.0,40730.0,40730.0,1230.0,12120.0,12120.0
2009-01-01,330.0,4250.0,4250.0,180.0,1757.0,1757.0
2009-02-01,4001.0,49011.0,49011.0,2154.0,21023.0,21023.0
2009-03-01,2195.0,27821.0,27821.0,5279.0,51523.0,51523.0
2009-04-01,0.0,0.0,0.0,6332.0,61800.0,61800.0
2009-05-01,135.0,1966.0,1966.0,7289.0,71141.0,71141.0
2009-06-01,4198.0,52953.0,52953.0,7401.0,72234.0,72234.0
2009-07-01,3329.0,42937.0,42937.0,8602.0,83956.0,83956.0
2009-08-01,2756.0,40828.0,40828.0,8021.0,78285.0,78285.0
2009-09-01,4171.0,52664.0,52664.0,6031.0,58863.0,58863.0
2009-10-01,1635.0,20674.0,20674.0,4218.0,41168.0,41168.0
2009-11-01,968.0,12490.0,12490.0,2354.0,22975.0,22975.0
2009-12-01,0.0,0.0,0.0,1089.0,10629.0,10629.0
2010-01-01,449.0,5560.0,5560.0,202.0,1971.0,1971.0
2010-02-01,1358.0,18016.0,18016.0,1853.0,18078.0,18078.0
2010-03-01,2018.0,25953.0,25953.0,4404.0,42965.0,42965.0
2010-04-01,306.0,4064.0,4064.0,5970.0,58243.0,58243.0
2010-05-01,73.0,1019.0,1019.0,8099.0,79014.0,79014.0
2010-06-01,2511.0,32714.0,32714.0,8520.0,83121.0,83121.0
2010-07-01,2194.0,28487.0,28487.0,8748.0,85345.0,85345.0
2010-08-01,2539.0,33260.0,33260.0,8341.0,81375.0,81375.0
2010-09-01,3316.0,42620.0,42620.0,6699.0,65355.0,65355.0
2010-10-01,1893.0,24057.0,24057.0,2672.0,26068.0,26068.0
2010-11-01,611.0,7847.0,7847.0,2413.0,23541.0,23541.0
2010-12-01,2360.0,29832.0,29832.0,915.0,8927.0,8927.0
2011-01-01,411.0,5781.0,5781.0,16.0,155.0,155.0
2011-02-01,2412.0,29906.0,29906.0,2710.0,26330.0,26330.0
2011-03-01,2508.0,33107.0,33107.0,3531.0,34307.0,34307.0
2011-04-01,856.0,11238.0,11238.0,6328.0,61483.0,61483.0
2011-05-01,222.0,3145.0,3145.0,7376.0,71665.0,71665.0
2011-06-01,2284.0,31436.0,31436.0,8987.0,87318.0,87318.0
2011-07-01,2756.0,35918.0,35918.0,7997.0,77699.0,77699.0
2011-08-01,3183.0,41491.0,41491.0,7919.0,76941.0,76941.0
2011-09-01,3964.0,49399.0,49399.0,5248.0,50990.0,50990.0
2011-10-01,2127.0,27679.0,27679.0,4313.0,41905.0,41905.0
2011-11-01,3049.0,39145.0,39145.0,1515.0,14720.0,14720.0
2011-12-01,558.0,7340.0,7340.0,1438.0,13972.0,13972.0
2012-01-01,465.0,5626.0,5626.0,138.0,1313.0,1313.0
2012-02-01,3098.0,38511.0,38511.0,2310.0,21982.0,21982.0
2012-03-01,2426.0,30675.0,30675.0,4156.0,39548.0,39548.0
2012-04-01,2467.0,31418.0,31418.0,6048.0,57553.0,57553.0
2012-05-01,56.0,786.0,786.0,7605.0,72369.0,72369.0
2012-06-01,2609.0,35651.0,35651.0,8626.0,82085.0,82085.0
2012-07-01,4284.0,55937.0,55937.0,7757.0,73816.0,73816.0
2012-08-01,4225.0,56348.0,56348.0,6091.0,57962.0,57962.0
2012-09-01,3753.0,50335.0,50335.0,5681.0,54060.0,54060.0
2012-10-01,0.0,0.0,0.0,3932.0,37417.0,37417.0
2012-11-01,0.0,0.0,0.0,1789.0,17024.0,17024.0
2012-12-01,432.0,5356.0,5356.0,14.0,133.0,133.0
2013-01-01,408.0,4906.0,4906.0,64.0,611.0,611.0
2013-02-01,0.0,0.0,0.0,2420.0,23089.0,23089.0
2013-03-01,0.0,0.0,0.0,4361.0,41608.0,41608.0
2013-04-01,0.0,0.0,0.0,5710.0,54479.0,54479.0
2013-05-01,55.0,902.0,902.0,5631.0,53725.0,53725.0
2013-06-01,975.0,14466.0,14466.0,7113.0,67865.0,67865.0
2013-07-01,2081.0,26567.0,26567.0,5058.0,48258.0,48258.0
2013-08-01,1101.0,18783.0,18783.0,6550.0,62494.0,62494.0
2013-09-01,1670.0,23569.0,23569.0,4943.0,47161.0,47161.0
2013-10-01,0.0,0.0,0.0,3602.0,34367.0,34367.0
2013-11-01,0.0,0.0,0.0,1406.0,13415.0,13415.0
2013-12-01,0.0,0.0,0.0,1325.0,12642.0,12642.0
2014-01-01,367.0,5897.0,5897.0,127.0,1208.0,1208.0
2014-02-01,53.0,831.0,831.0,783.0,7446.0,7446.0
2014-03-01,0.0,0.0,0.0,3408.0,32410.0,32410.0
2014-04-01,0.0,0.0,0.0,5337.0,50755.0,50755.0
2014-05-01,5.0,465.0,465.0,5423.0,51573.0,51573.0
2014-06-01,1166.0,21255.0,21255.0,7289.0,69318.0,69318.0
2014-07-01,1029.0,21097.0,21097.0,6693.0,63650.0,63650.0
2014-08-01,1117.0,21346.0,21346.0,6631.0,63061.0,63061.0
2014-09-01,1923.0,24789.0,24789.0,5183.0,49290.0,49290.0
2014-10-01,0.0,0.0,0.0,3557.0,33827.0,33827.0
2014-11-01,66.0,837.0,837.0,1675.0,15929.0,15929.0
2014-12-01,0.0,0.0,0.0,656.0,6239.0,6239.0
2015-01-01,414.0,5297.0,5297.0,131.0,1221.0,1221.0
2015-02-01,0.0,0.0,0.0,2296.0,21396.0,21396.0
2015-03-01,0.0,0.0,0.0,3879.0,36148.0,36148.0
2015-04-01,0.0,0.0,0.0,4314.0,40202.0,40202.0
2015-05-01,24.0,809.0,809.0,3922.0,36549.0,36549.0
2015-06-01,2151.0,33221.0,33221.0,4695.0,43753.0,43753.0
2015-07-01,2332.0,35194.0,35194.0,4772.0,44470.0,44470.0
2015-08-01,2387.0,35074.0,35074.0,5075.0,47294.0,47294.0
2015-09-01,2377.0,34815.0,34815.0,4136.0,38543.0,38543.0
2015-10-01,0.0,0.0,0.0,2205.0,20548.0,20548.0
2015-11-01,0.0,0.0,0.0,1667.0,15535.0,15535.0
2015-12-01,0.0,0.0,0.0,679.0,6328.0,6328.0
2016-01-01,500.0,6388.0,6388.0,50.0,462.0,462.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,114.0,1888.0,1888.0,1459.0,13469.0,13469.0
2016-04-01,0.0,0.0,0.0,3120.0,28804.0,28804.0
2016-05-01,0.0,0.0,0.0,4041.0,37307.0,37307.0
2016-06-01,2448.0,35217.0,35217.0,4617.0,42624.0,42624.0
2016-07-01,1600.0,26513.0,26513.0,5963.0,55050.0,55050.0
2016-08-01,3735.0,47686.0,47686.0,3648.0,33678.0,33678.0
2016-09-01,3049.0,40317.0,40317.0,3694.0,34103.0,34103.0
2016-10-01,0.0,0.0,0.0,2164.0,19978.0,19978.0
2016-11-01,0.0,0.0,0.0,1227.0,11328.0,11328.0
2016-12-01,0.0,0.0,0.0,497.0,4588.0,4588.0
2017-01-01,495.0,6479.0,6479.0,40.0,369.0,369.0
2017-02-01,0.0,0.0,0.0,997.0,9185.0,9185.0
2017-03-01,0.0,0.0,0.0,3178.0,29279.0,29279.0
2017-04-01,0.0,0.0,0.0,3300.0,30403.0,30403.0
2017-05-01,3.0,113.0,113.0,4474.0,41219.0,41219.0
2017-06-01,1741.0,26348.0,26348.0,5617.0,51749.0,51749.0
2017-07-01,2675.0,36551.0,36551.0,4559.0,42002.0,42002.0
2017-08-01,2914.0,40495.0,40495.0,4544.0,41864.0,41864.0
2017-09-01,3221.0,41142.0,41142.0,2659.0,24497.0,24497.0
2017-10-01,0.0,0.0,0.0,2180.0,20084.0,20084.0
2017-11-01,0.0,0.0,0.0,583.0,5371.0,5371.0
2017-12-01,0.0,0.0,0.0,470.0,4330.0,4330.0
2018-01-01,475.0,6199.0,6199.0,18.0,164.0,164.0
2018-02-01,0.0,0.0,0.0,1446.0,13164.0,13164.0
2018-03-01,0.0,0.0,0.0,1993.0,18144.0,18144.0
2018-04-01,0.0,0.0,0.0,3153.0,28705.0,28705.0
2018-05-01,22.0,848.0,848.0,4326.0,39384.0,39384.0
2018-06-01,2555.0,31725.0,31725.0,4657.0,42397.0,42397.0
2018-07-01,2962.0,38640.0,38640.0,3271.0,29779.0,29779.0
2018-08-01,3257.0,40780.0,40780.0,3646.0,33193.0,33193.0
2018-09-01,2435.0,30892.0,30892.0,3569.0,32492.0,32492.0
2018-10-01,0.0,0.0,0.0,1877.0,17088.0,17088.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0
