measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2004-01-01,14.196000000000002,374.0,374.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-02-01,1.919,51.0,51.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-03-01,2.0860000000000003,55.0,55.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-04-01,2.201,58.0,58.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-05-01,4.228000000000001,111.0,111.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-06-01,2.414,64.0,64.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-07-01,2.427,64.0,64.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-08-01,3.0290000000000004,80.0,80.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-09-01,1.04,27.0,27.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-10-01,0.369,10.0,10.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-11-01,0.636,17.0,17.0,36.583,367.0,367.0,0.0,0.0,0.0
2004-12-01,6.454000000000001,170.0,170.0,36.583,367.0,367.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,5.372,106.51,106.51,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,2.7270000000000003,54.06,54.06,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,3.3,65.42,65.42,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,3.439,68.17,68.17,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,4.0520000000000005,80.33,80.33,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,3.669,72.73,72.73,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,5.8740000000000006,116.46,116.46,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,6.501,128.88,128.88,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,6.456,127.99,127.99,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,3.8520000000000003,76.37,76.37,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,3.07,60.87,60.87,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,6.688000000000001,132.6,132.6,0.0,0.0,0.0
2009-01-01,,,,1.7870000000000001,81.0,81.0,,,
2009-02-01,,,,0.656,31.0,31.0,,,
2009-03-01,,,,0.519,25.0,25.0,,,
2009-04-01,,,,0.048,0.0,0.0,,,
2009-05-01,,,,0.136,6.0,6.0,,,
2009-06-01,,,,0.094,6.0,6.0,,,
2009-07-01,,,,0.169,6.0,6.0,,,
2009-08-01,,,,0.335,12.0,12.0,,,
2009-09-01,,,,0.043000000000000003,0.0,0.0,,,
2009-10-01,,,,0.055,0.0,0.0,,,
2009-11-01,,,,0.07100000000000001,6.0,6.0,,,
2009-12-01,,,,0.08700000000000001,6.0,6.0,,,
2013-01-01,,,,2.626,43.0,43.0,,,
2013-02-01,,,,0.52,6.0,6.0,,,
2013-03-01,,,,0.643,6.0,6.0,,,
2013-04-01,,,,0.458,6.0,6.0,,,
2013-05-01,,,,0.856,12.0,12.0,,,
2013-06-01,,,,1.984,25.0,25.0,,,
2013-07-01,,,,3.162,43.0,43.0,,,
2013-08-01,,,,2.926,37.0,37.0,,,
2013-09-01,,,,1.158,19.0,19.0,,,
2013-10-01,,,,0.594,6.0,6.0,,,
2013-11-01,,,,0.628,6.0,6.0,,,
2013-12-01,,,,0.445,6.0,6.0,,,
2014-01-01,,,,11.149,372.0,372.0,,,
2014-02-01,,,,1.226,37.0,37.0,,,
2014-03-01,,,,1.643,50.0,50.0,,,
2014-04-01,,,,0.185,6.0,6.0,,,
2014-05-01,,,,0.247,6.0,6.0,,,
2014-06-01,,,,0.218,6.0,6.0,,,
2014-07-01,,,,1.432,43.0,43.0,,,
2014-08-01,,,,0.794,25.0,25.0,,,
2014-09-01,,,,0.286,6.0,6.0,,,
2014-10-01,,,,0.468,12.0,12.0,,,
2014-11-01,,,,0.909,31.0,31.0,,,
2014-12-01,,,,0.443,12.0,12.0,,,
2015-01-01,,,,3.404,37.0,37.0,,,
2015-02-01,,,,21.282,198.0,198.0,,,
2015-03-01,,,,1.148,12.0,12.0,,,
2015-04-01,,,,0.248,0.0,0.0,,,
2015-05-01,,,,1.54,12.0,12.0,,,
2015-06-01,,,,1.437,12.0,12.0,,,
2015-07-01,,,,4.835,43.0,43.0,,,
2015-08-01,,,,2.379,25.0,25.0,,,
2015-09-01,,,,0.451,6.0,6.0,,,
2015-10-01,,,,0.514,6.0,6.0,,,
2015-11-01,,,,1.551,12.0,12.0,,,
2015-12-01,,,,1.211,12.0,12.0,,,
2016-01-01,,,,3.219,43.0,43.0,,,
2016-02-01,,,,1.081,12.0,12.0,,,
2016-03-01,,,,0.538,6.0,6.0,,,
2016-04-01,,,,0.262,6.0,6.0,,,
2016-05-01,,,,0.477,6.0,6.0,,,
2016-06-01,,,,0.825,12.0,12.0,,,
2016-07-01,,,,1.232,19.0,19.0,,,
2016-08-01,,,,1.093,19.0,19.0,,,
2016-09-01,,,,0.621,6.0,6.0,,,
2016-10-01,,,,0.218,6.0,6.0,,,
2016-11-01,,,,0.205,0.0,0.0,,,
2016-12-01,,,,0.229,6.0,6.0,,,
