measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed
2004-12-01,,,,3.0740000000000003,36.0,36.0,9.845,116.0,116.0,13006.648000000001,153345.0,153345.0
2005-01-01,,,,5.308,58.64,58.64,,,,13983.284,155054.51,155054.51
2005-02-01,,,,1.295,14.31,14.31,,,,11619.451000000001,128842.98,128842.98
2005-03-01,,,,1.851,20.45,20.45,,,,13962.592,154825.05,154825.05
2005-04-01,,,,1.52,16.79,16.79,,,,11009.67,122081.4,122081.4
2005-05-01,,,,1.572,17.36,17.36,,,,12969.957,143818.16,143818.16
2005-06-01,,,,1.375,15.19,15.19,,,,13262.761,147064.93,147064.93
2005-07-01,,,,4.011,44.31,44.31,,,,13854.747,153629.2,153629.2
2005-08-01,,,,4.855,53.64,53.64,,,,14941.264,165677.12,165677.12
2005-09-01,,,,4.008,44.28,44.28,,,,14938.721000000001,165648.92,165648.92
2005-10-01,,,,1.69,18.68,18.68,,,,14137.523000000001,156764.78,156764.78
2005-11-01,,,,1.6940000000000002,18.71,18.71,,,,13498.34,149677.16,149677.16
2005-12-01,,,,3.821,42.21,42.21,,,,14184.69,157287.82,157287.82
2006-01-01,0.0,0.0,0.0,1.61,18.0,18.0,5.371,60.0,60.0,15778.473,176123.0,176123.0
2006-02-01,0.0,0.0,0.0,1.594,17.0,17.0,6.373,71.0,71.0,13674.84,152641.0,152641.0
2006-03-01,0.0,0.0,0.0,1.397,15.0,15.0,7.269,81.0,81.0,12883.063,143803.0,143803.0
2006-04-01,0.0,0.0,0.0,1.8430000000000002,20.0,20.0,8.13,91.0,91.0,13861.036,154720.0,154720.0
2006-05-01,0.0,0.0,0.0,1.6660000000000001,18.0,18.0,9.417,105.0,105.0,12469.698,139189.0,139189.0
2006-06-01,0.0,0.0,0.0,1.992,22.0,22.0,11.999,134.0,134.0,14053.16,156864.0,156864.0
2006-07-01,0.0,0.0,0.0,1.933,21.0,21.0,15.086,168.0,168.0,15884.348,177304.0,177304.0
2006-08-01,0.0,0.0,0.0,2.08,23.0,23.0,15.276000000000002,170.0,170.0,14821.583999999999,165442.0,165442.0
2006-09-01,0.0,0.0,0.0,1.477,16.0,16.0,10.394,116.0,116.0,13320.511,148686.0,148686.0
2006-10-01,0.0,0.0,0.0,1.9020000000000001,21.0,21.0,9.411,105.0,105.0,13077.497,145974.0,145974.0
2006-11-01,0.0,0.0,0.0,1.66,18.0,18.0,6.989000000000001,78.0,78.0,11036.354,123190.0,123190.0
2006-12-01,0.0,0.0,0.0,1.8470000000000002,20.0,20.0,7.2860000000000005,81.0,81.0,11520.437,128593.0,128593.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14226.0,162114.0,162114.0
2007-02-01,0.0,0.0,0.0,5.546,65.0,65.0,90.459,1055.0,1055.0,12083.994999999999,140933.0,140933.0
2007-03-01,0.0,0.0,0.0,4.078,47.0,47.0,0.0,0.0,0.0,13460.922,155257.0,155257.0
2007-04-01,0.0,0.0,0.0,7.855,88.0,88.0,0.0,0.0,0.0,12581.145,141261.0,141261.0
2007-05-01,0.0,0.0,0.0,15.536000000000001,176.0,176.0,0.0,0.0,0.0,11344.464,128805.0,128805.0
2007-06-01,0.0,0.0,0.0,2.095,24.0,24.0,0.0,0.0,0.0,13736.905,154230.0,154230.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14343.0,160885.0,160885.0
2007-08-01,0.0,0.0,0.0,5.657,65.0,65.0,0.0,0.0,0.0,14010.343,160194.0,160194.0
2007-09-01,0.0,0.0,0.0,5.532,65.0,65.0,0.0,0.0,0.0,12879.468,150592.0,150592.0
2007-10-01,0.0,0.0,0.0,2.0140000000000002,24.0,24.0,0.0,0.0,0.0,13815.986,161376.0,161376.0
2007-11-01,0.0,0.0,0.0,4.071000000000001,47.0,47.0,0.0,0.0,0.0,13672.929,157994.0,157994.0
2007-12-01,0.0,0.0,0.0,15.261000000000001,153.0,153.0,0.0,0.0,0.0,13755.739,137804.0,137804.0
2008-01-01,0.0,0.0,0.0,48.619,564.0,564.0,67.405,783.0,783.0,9664.976,112213.0,112213.0
2008-02-01,0.0,0.0,0.0,9.081000000000001,100.0,100.0,0.0,0.0,0.0,12360.919,136070.0,136070.0
2008-03-01,0.0,0.0,0.0,31.564,335.0,335.0,0.0,0.0,0.0,13740.436,145900.0,145900.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13712.0,153655.0,153655.0
2008-05-01,0.0,0.0,0.0,19.888,212.0,212.0,3.9210000000000003,42.0,42.0,11108.19,118230.0,118230.0
2008-06-01,0.0,0.0,0.0,10.89,135.0,135.0,0.0,0.0,0.0,7894.110000000001,98035.0,98035.0
2008-07-01,0.0,0.0,0.0,32.405,370.0,370.0,69.601,796.0,796.0,12101.994,138344.0,138344.0
2008-08-01,0.0,0.0,0.0,7.78,88.0,88.0,0.0,0.0,0.0,13803.220000000001,156489.0,156489.0
2008-09-01,0.0,0.0,0.0,2.032,24.0,24.0,0.0,0.0,0.0,13220.968,153001.0,153001.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13488.0,156029.0,156029.0
2008-11-01,0.0,0.0,0.0,11.404,129.0,129.0,1.4360000000000002,16.0,16.0,13208.161,149830.0,149830.0
2008-12-01,0.0,0.0,0.0,6.691000000000001,76.0,76.0,0.0,0.0,0.0,13626.309000000001,155667.0,155667.0
2009-01-01,0.0,0.0,0.0,1.0230000000000001,12.0,12.0,0.266,3.0,3.0,14149.711,162676.0,162676.0
2009-02-01,0.0,0.0,0.0,1.038,12.0,12.0,0.0,0.0,0.0,12099.962,137101.0,137101.0
2009-03-01,0.0,0.0,0.0,1.01,12.0,12.0,0.0,0.0,0.0,13327.99,155131.0,155131.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12781.0,148673.0,148673.0
2009-05-01,0.0,0.0,0.0,24.699,276.0,276.0,71.349,798.0,798.0,7770.952,86951.0,86951.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13453.0,149680.0,149680.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13825.0,157679.0,157679.0
2009-08-01,0.0,0.0,0.0,24.655,288.0,288.0,0.0,0.0,0.0,11773.345,137587.0,137587.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,26.872,301.0,301.0,13238.128,148237.0,148237.0
2009-10-01,0.0,0.0,0.0,6.9030000000000005,76.0,76.0,0.0,0.0,0.0,13593.097,150527.0,150527.0
2009-11-01,0.0,0.0,0.0,1.0270000000000001,12.0,12.0,0.0,0.0,0.0,13316.973,152471.0,152471.0
2009-12-01,0.0,0.0,0.0,4.587000000000001,53.0,53.0,0.0,0.0,0.0,13374.413,154292.0,154292.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13356.0,164464.0,164464.0
2010-02-01,0.0,0.0,0.0,2.923,35.0,35.0,0.0,0.0,0.0,12021.077,145094.0,145094.0
2010-03-01,0.0,0.0,0.0,2.9330000000000003,35.0,35.0,0.0,0.0,0.0,13389.067,161069.0,161069.0
2010-04-01,0.0,0.0,0.0,2.5010000000000003,29.0,29.0,0.0,0.0,0.0,13083.499,153785.0,153785.0
2010-05-01,0.0,0.0,0.0,17.455000000000002,206.0,206.0,89.275,1053.0,1053.0,10405.27,122681.0,122681.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13014.0,156668.0,156668.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13320.0,161490.0,161490.0
2010-08-01,0.0,0.0,0.0,1.9080000000000001,24.0,24.0,0.0,0.0,0.0,13246.092,163278.0,163278.0
2010-09-01,0.0,0.0,0.0,18.113,218.0,218.0,45.468,546.0,546.0,11942.419,143445.0,143445.0
2010-10-01,0.0,0.0,0.0,5.453,65.0,65.0,0.0,0.0,0.0,13260.547,157298.0,157298.0
2010-11-01,0.0,0.0,0.0,10.248000000000001,123.0,123.0,0.0,0.0,0.0,12769.752,153860.0,153860.0
2010-12-01,0.0,0.0,0.0,9.719000000000001,118.0,118.0,175.50900000000001,2124.0,2124.0,12974.772,156993.0,156993.0
2011-01-01,0.0,0.0,0.0,13.678,165.0,165.0,136.133,1639.0,1639.0,12684.189,152680.0,152680.0
2011-02-01,0.0,0.0,0.0,2.862,35.0,35.0,0.0,0.0,0.0,11715.138,144434.0,144434.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13320.0,167508.0,167508.0
2011-04-01,0.0,0.0,0.0,8.663,106.0,106.0,2.087,26.0,26.0,12229.25,149404.0,149404.0
2011-05-01,0.0,0.0,0.0,2.427,29.0,29.0,0.0,0.0,0.0,13317.573,161304.0,161304.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,30.124,346.0,346.0,12569.876,144424.0,144424.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13302.0,158759.0,158759.0
2011-08-01,0.0,0.0,0.0,7.387,88.0,88.0,13.07,156.0,156.0,13263.543,158372.0,158372.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12834.0,156840.0,156840.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12870.0,155988.0,155988.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,924.444,10290.0,10290.0,11945.556,132963.0,132963.0
2011-12-01,0.0,0.0,0.0,24.405,329.0,329.0,45.812,618.0,618.0,6265.783,84542.0,84542.0
2012-01-01,0.0,0.0,0.0,24.629,329.0,329.0,45.317,606.0,606.0,11602.054,155117.0,155117.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5994.0,76502.0,76502.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
