measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2005-06-01,,,,3926.81898,38133.5,123740.3,97.90297,950.74,3085.08,,,,2.79542,27.15,88.09,11257.81673,109325.11,354751.68,24.173959999999997,234.75,761.76,56.07994,544.59,1767.17,,,
2005-07-01,,,,4158.26559,40381.08,131842.26,283.87485,2756.72,9000.56,,,,2.98492,28.99,94.64,12020.72887,116733.78,381130.08,29.72365,288.65,942.42,162.60413,1579.06,5155.54,,,
2005-08-01,,,,4085.13818,39670.94,129831.84,342.78604,3328.81,10894.26,,,,2.86821,27.85,91.16,11551.77537,112179.76,367132.8,33.26463,323.03,1057.2,196.34857,1906.75,6240.25,,,
2005-09-01,,,,3839.04811,37281.15,121822.5,283.44671,2752.56,8994.47,,,,2.73499,26.56,86.79,11015.06726,106967.75,349535.36,35.397800000000004,343.75,1123.26,162.35912,1576.68,5152.06,,,
2005-10-01,,,,3802.23926,36923.7,119985.38,120.18505,1167.12,3792.62,,,,2.37289,23.04,74.88,9558.91165,92826.98,301645.84,31.2392,303.37,985.8,68.84096,668.52,2172.38,,,
2005-11-01,,,,3775.2951000000003,36662.05,119092.97,120.48867,1170.07,3800.86,,,,2.6440699999999997,25.68,83.41,10647.57987,103399.09,335881.52,20.08347,195.03,633.54,69.01682,670.23,2177.16,,,
2005-12-01,,,,4064.2669,39468.26,128823.14,270.47798,2626.62,8573.21,,,,2.9448000000000003,28.6,93.34,11857.80203,115151.6,375851.12,22.384159999999998,217.37,709.5,154.93014,1504.53,4910.75,,,
2006-01-01,,,,3584.15434,34805.87,123024.78,77.94304,756.91,2675.37,,,,0.0,0.0,0.0,13341.74767,129562.25,457950.57,0.0,0.0,0.0,270.62295,2628.03,9289.03,,,
2006-02-01,,,,3345.72968,32490.52,114841.0,94.37579,916.49,3239.42,,,,0.0,0.0,0.0,11948.97254,116036.97,410144.3,0.0,0.0,0.0,327.67599,3182.08,11247.36,,,
2006-03-01,,,,3270.7606299999998,31762.49,112267.69,79.73582999999999,774.32,2736.9,,,,0.0,0.0,0.0,10727.51711,104175.35,368218.21,0.0,0.0,0.0,276.84943,2688.5,9502.76,,,
2006-04-01,,,,2948.84496,28636.35,101218.06,61.40206,596.28,2107.6,,,,0.0,0.0,0.0,9753.06891,94712.44,334770.65,0.0,0.0,0.0,213.19507,2070.35,7317.85,,,
2006-05-01,,,,3318.52854,32226.36,113907.28,108.49706,1053.62,3724.12,,,,0.0,0.0,0.0,11350.65009,110226.62,389606.91,0.0,0.0,0.0,376.7083,3658.23,12930.37,,,
2006-06-01,,,,3661.11905,35553.27,125666.61,102.08613,991.36,3504.07,,,,0.0,0.0,0.0,7719.82331,74967.52,264980.18,0.0,0.0,0.0,354.44651,3442.04,12166.25,,,
2006-07-01,,,,3855.2522000000004,37438.51,132330.12,107.80934,1046.94,3700.52,,,,0.0,0.0,0.0,10239.39622,99435.19,351463.53,0.0,0.0,0.0,374.32324,3635.07,12848.51,,,
2006-08-01,,,,3912.41409,37993.61,134292.21,169.62369,1647.22,5822.27,,,,0.0,0.0,0.0,10064.60556,97737.79,345463.97,0.0,0.0,0.0,588.94166,5719.24,20215.21,,,
2006-09-01,,,,3337.26999,32408.36,114550.6,110.6447,1074.48,3797.84,,,,0.0,0.0,0.0,9359.22881,90887.85,321252.2,0.0,0.0,0.0,384.16650000000004,3730.66,13186.38,,,
2006-10-01,,,,2817.97644,27365.48,96726.04,59.01614,573.11,2025.71,,,,0.0,0.0,0.0,10725.01719,104151.07,368132.41,0.0,0.0,0.0,204.90924,1989.88,7033.44,,,
2006-11-01,,,,2783.76674,27033.27,95551.76,47.76244,463.82,1639.43,,,,0.0,0.0,0.0,11780.21631,114398.15,404351.56,0.0,0.0,0.0,165.83551,1610.44,5692.24,,,
2006-12-01,,,,3383.91307,32861.32,116151.61,90.42349,878.11,3103.75,,,,0.0,0.0,0.0,12081.43739,117323.32,414691.04,0.0,0.0,0.0,313.95805,3048.86,10776.5,,,
2007-01-01,,,,4517.728,43874.0,161402.0,0.0,0.0,0.0,,,,,,,2166.147,21039.0,77388.0,0.0,0.0,0.0,382.973,3718.0,13682.0,,,
2007-02-01,,,,9950.941,96637.0,224648.0,65.76100000000001,640.0,1485.0,,,,,,,895.1210000000001,8692.0,20208.0,0.0,0.0,0.0,217.09300000000002,2105.0,4901.0,,,
2007-03-01,,,,3711.327,36030.0,152363.0,138.39100000000002,1342.0,5681.0,,,,,,,8157.863,79220.0,334909.0,0.0,0.0,0.0,502.247,4878.0,20619.0,,,
2007-04-01,,,,1176.144,11429.0,44422.0,3.931,40.0,148.0,,,,,,,12973.426,125987.0,489991.0,0.0,0.0,0.0,472.829,4594.0,17858.0,,,
2007-05-01,,,,2679.0170000000003,26021.0,150023.0,11.216000000000001,108.0,628.0,,,,,,,14166.373,137571.0,793304.0,47.012,456.0,2633.0,565.198,5487.0,31651.0,,,
2007-06-01,,,,3760.976,36528.0,118325.0,11.071,108.0,348.0,,,,,,,14735.126,143092.0,463585.0,0.0,0.0,0.0,498.125,4837.0,15672.0,,,
2007-07-01,,,,4748.937,46115.0,148429.0,52.432,508.0,1639.0,,,,,,,12309.289,119534.0,384729.0,0.0,0.0,0.0,253.488,2459.0,7923.0,,,
2007-08-01,,,,5646.687,54830.0,182318.0,9.55,91.0,308.0,,,,,,,12374.798,120170.0,399552.0,0.0,0.0,0.0,239.63400000000001,2326.0,7737.0,,,
2007-09-01,,,,9904.767,96189.0,483483.0,15.792000000000002,154.0,771.0,,,,,,,7248.44,70392.0,353820.0,0.0,0.0,0.0,97.195,945.0,4744.0,,,
2007-10-01,,,,2390.1710000000003,23207.0,83689.0,30.17,291.0,1056.0,,,,,,,12284.137999999999,119288.0,430114.0,0.0,0.0,0.0,476.904,4628.0,16698.0,,,
2007-11-01,,,,5240.795,50896.0,173404.0,90.946,885.0,3009.0,,,,,,,10841.149,105279.0,358704.0,0.0,0.0,0.0,386.523,3753.0,12789.0,,,
2007-12-01,,,,8108.892000000001,78734.0,215983.0,40.089,388.0,1068.0,,,,,,,1085.34,10541.0,28908.0,0.0,0.0,0.0,225.596,2192.0,6009.0,,,
2008-01-01,,,,7658.559,74373.0,173035.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,610.5840000000001,5929.0,13795.0,,,
2008-02-01,,,,6838.803,66412.0,149266.0,288.574,2802.0,6299.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,579.991,5632.0,12659.0,,,
2008-03-01,,,,5381.097000000001,52256.0,181940.0,0.0,0.0,0.0,,,,,,,12093.813,117444.0,408903.0,0.0,0.0,0.0,190.768,1853.0,6450.0,,,
2008-04-01,,,,6951.877,67510.0,256308.0,0.0,0.0,0.0,,,,,,,9636.601,93581.0,355291.0,0.0,0.0,0.0,89.052,865.0,3283.0,,,
2008-05-01,,,,5603.897,54420.0,185161.0,0.0,0.0,0.0,,,,,,,13118.407,127393.0,433453.0,0.0,0.0,0.0,188.88400000000001,1834.0,6241.0,,,
2008-06-01,,,,4528.921,43981.0,151084.0,0.0,0.0,0.0,,,,,,,14394.14,139782.0,480185.0,0.0,0.0,0.0,317.51,3083.0,10592.0,,,
2008-07-01,,,,5980.821,58080.0,205963.0,67.20100000000001,653.0,2314.0,,,,,,,12878.882,125067.0,443512.0,0.0,0.0,0.0,123.528,1200.0,4254.0,,,
2008-08-01,,,,4820.18,46809.0,182883.0,32.15,312.0,1220.0,,,,,,,13556.913,131652.0,514366.0,0.0,0.0,0.0,173.52200000000002,1685.0,6584.0,,,
2008-09-01,,,,5453.602,52960.0,193284.0,65.135,633.0,2309.0,,,,,,,11667.372,113302.0,413510.0,0.0,0.0,0.0,154.988,1505.0,5493.0,,,
2008-10-01,,,,4741.534000000001,46045.0,176211.0,101.229,983.0,3762.0,,,,,,,12646.225,122808.0,469974.0,0.0,0.0,0.0,449.416,4364.0,16702.0,,,
2008-11-01,,,,4532.563,44016.0,162819.0,662.001,6429.0,23780.0,,,,,,,12161.082,118097.0,436851.0,0.0,0.0,0.0,369.571,3589.0,13276.0,,,
2008-12-01,,,,9114.005000000001,88506.0,209207.0,644.8820000000001,6262.0,14803.0,,,,,,,119.155,1157.0,2735.0,0.0,0.0,0.0,669.893,6505.0,15377.0,,,
2009-01-01,,,,5806.375,56386.0,145332.0,262.343,2548.0,6566.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,589.042,5720.0,14744.0,,,
2009-02-01,,,,4914.091,47721.0,165978.0,369.413,3587.0,12477.0,,,,,,,2946.061,28609.0,99506.0,0.0,0.0,0.0,273.892,2660.0,9251.0,,,
2009-03-01,,,,4132.298,40129.0,177053.0,27.139000000000003,264.0,1163.0,,,,,,,7366.666,71538.0,315633.0,0.0,0.0,0.0,349.927,3398.0,14993.0,,,
2009-04-01,,,,3594.273,34904.0,151528.0,0.0,0.0,0.0,,,,,,,7939.968000000001,77105.0,334736.0,0.0,0.0,0.0,262.084,2545.0,11049.0,,,
2009-05-01,,,,6345.8640000000005,61625.0,218045.0,0.0,0.0,0.0,,,,,,,9618.017,93401.0,330476.0,0.0,0.0,0.0,536.9540000000001,5214.0,18450.0,,,
2009-06-01,,,,4825.724,46863.0,164476.0,8.362,81.0,285.0,,,,,,,13633.557,132396.0,464674.0,0.0,0.0,0.0,380.165,3692.0,12957.0,,,
2009-07-01,,,,5563.743,54030.0,191896.0,32.722,318.0,1129.0,,,,,,,12746.996,123787.0,439650.0,0.0,0.0,0.0,216.257,2100.0,7459.0,,,
2009-08-01,,,,4379.707,42532.0,157493.0,0.0,0.0,0.0,,,,,,,10569.801,102644.0,380088.0,0.0,0.0,0.0,140.64600000000002,1366.0,5058.0,,,
2009-09-01,,,,4707.283,45713.0,169932.0,0.0,0.0,0.0,,,,,,,13448.798999999999,130602.0,485499.0,0.0,0.0,0.0,164.52200000000002,1598.0,5939.0,,,
2009-10-01,,,,4442.755,43144.0,179712.0,0.0,0.0,0.0,,,,,,,11406.532,110769.0,461400.0,0.0,0.0,0.0,524.789,5096.0,21228.0,,,
2009-11-01,,,,4930.15,47877.0,145332.0,0.0,0.0,0.0,,,,,,,1030.03,10003.0,30364.0,0.0,0.0,0.0,499.75800000000004,4853.0,14732.0,,,
2009-12-01,,,,6460.917,62742.0,158233.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,386.022,3749.0,9454.0,,,
2010-01-01,,,,6340.844,63481.0,85998.0,16.765,168.0,227.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.734,8177.0,11077.0,0.0,0.0,0.0
2010-02-01,,,,9157.477,91679.0,208516.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.611,9447.0,21486.0,0.0,0.0,0.0
2010-03-01,,,,6146.703,61537.0,170035.0,0.0,0.0,0.0,,,,22.977,230.0,636.0,648.418,6492.0,17937.0,0.0,0.0,0.0,152.25,1524.0,4212.0,0.0,0.0,0.0
2010-04-01,,,,1100.347,11016.0,51650.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9939.405,99507.0,466555.0,0.0,0.0,0.0,238.741,2390.0,11206.0,0.0,0.0,0.0
2010-05-01,,,,2015.7740000000001,20181.0,66851.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,17323.013,173427.0,574500.0,0.0,0.0,0.0,424.658,4251.0,14083.0,0.0,0.0,0.0
2010-06-01,,,,1559.7620000000002,15615.0,56227.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,14432.088,144485.0,520253.0,0.0,0.0,0.0,330.66700000000003,3310.0,11920.0,0.0,0.0,0.0
2010-07-01,,,,1815.212,18173.0,71241.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,12439.029,124532.0,488189.0,0.0,0.0,0.0,285.402,2857.0,11201.0,0.0,0.0,0.0
2010-08-01,,,,2951.109,29545.0,88170.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,17758.564,177788.0,530568.0,0.0,0.0,0.0,182.739,1829.0,5460.0,0.0,0.0,0.0
2010-09-01,,,,3361.804,33656.0,116633.0,16.132,162.0,560.0,,,,0.0,0.0,0.0,11146.805,111595.0,386723.0,0.0,0.0,0.0,83.83200000000001,839.0,2908.0,0.0,0.0,0.0
2010-10-01,,,,3504.6620000000003,35087.0,104024.0,0.786,8.0,23.0,,,,0.0,0.0,0.0,17004.802,170242.0,504731.0,0.0,0.0,0.0,191.20600000000002,1914.0,5675.0,0.0,0.0,0.0
2010-11-01,,,,3937.7340000000004,39422.0,150234.0,22.31,223.0,851.0,,,,0.0,0.0,0.0,6698.555,67062.0,255566.0,0.0,0.0,0.0,85.37700000000001,855.0,3257.0,9.157,92.0,349.0
2010-12-01,,,,7483.075000000001,74916.0,175102.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.400000000000002,294.0,688.0,0.0,0.0,0.0
2011-01-01,,,,4847.576,48531.0,110243.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.545,1137.0,2582.0,0.0,0.0,0.0
2011-02-01,,,,7942.987,79520.0,179712.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.597,4251.0,9607.0,0.0,0.0,0.0
2011-03-01,,,,4282.389,42873.0,148896.0,237.855,2381.0,8270.0,,,,0.0,0.0,0.0,5362.019,53681.0,186435.0,0.0,0.0,0.0,234.661,2349.0,8159.0,0.0,0.0,0.0
2011-04-01,,,,2375.445,23781.0,84787.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,12559.373,125737.0,448283.0,0.0,0.0,0.0,35.173,352.0,1255.0,0.0,0.0,0.0
2011-05-01,,,,4619.077,46243.0,127192.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,14814.277,148311.0,407928.0,0.0,0.0,0.0,131.683,1318.0,3626.0,0.0,0.0,0.0
2011-06-01,,,,1260.366,12618.0,44660.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,13666.335,136819.0,484255.0,0.0,0.0,0.0,85.208,853.0,3019.0,0.0,0.0,0.0
2011-07-01,,,,1617.396,16192.0,58125.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,13515.619,135310.0,485716.0,0.0,0.0,0.0,85.685,858.0,3079.0,0.0,0.0,0.0
2011-08-01,,,,1375.709,13773.0,41400.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,16912.522,169318.0,508956.0,0.0,0.0,0.0,209.317,2096.0,6299.0,0.0,0.0,0.0
2011-09-01,,,,2431.474,24342.0,85770.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,13604.116,136196.0,479881.0,0.0,0.0,0.0,155.586,1558.0,5488.0,0.0,0.0,0.0
2011-10-01,,,,3093.551,30971.0,88337.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,17297.669,173174.0,493941.0,0.0,0.0,0.0,153.746,1539.0,4390.0,0.0,0.0,0.0
2011-11-01,,,,5563.794,55701.0,163724.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,4727.287,47327.0,139108.0,0.0,0.0,0.0,305.56,3059.0,8992.0,0.0,0.0,0.0
2011-12-01,,,,7823.761,78327.0,164527.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.898,1351.0,2837.0,0.0,0.0,0.0
2012-01-01,,,,8485.891,84955.0,146954.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.933,2322.0,4016.0,0.0,0.0,0.0
2012-02-01,,,,4229.379,42342.0,100098.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.95,5936.0,14034.0,0.0,0.0,0.0
