measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2007-05-01,512.0,8724.0,8724.0,36469.0,425223.0,425223.0,,,,0.0,0.0,0.0
2007-06-01,4191.0,57502.0,57502.0,26452.0,304146.0,304146.0,,,,0.0,0.0,0.0
2007-07-01,852.0,13336.0,13336.0,41711.0,481916.0,481916.0,,,,0.0,0.0,0.0
2007-08-01,2354.0,33705.0,33705.0,48888.0,552289.0,552289.0,,,,0.0,0.0,0.0
2007-09-01,-175.0,0.0,0.0,34664.0,413263.0,413263.0,,,,0.0,0.0,0.0
2007-10-01,-180.0,0.0,0.0,48390.0,543899.0,543899.0,,,,0.0,0.0,0.0
2007-11-01,146.0,4202.0,4202.0,36786.0,415114.0,415114.0,,,,0.0,0.0,0.0
2007-12-01,-175.0,11.0,11.0,38079.0,436245.0,436245.0,,,,0.0,0.0,0.0
2008-01-01,1090.0,15656.0,15656.0,46409.0,514114.0,514114.0,,,,0.0,0.0,0.0
2008-02-01,1073.0,15960.0,15960.0,49643.0,552182.0,552182.0,,,,0.0,0.0,0.0
2008-03-01,7705.0,102316.0,102316.0,12217.0,142433.0,142433.0,,,,0.0,0.0,0.0
2008-04-01,7722.0,102569.0,102569.0,-270.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,2641.0,37029.0,37029.0,33748.0,385444.0,385444.0,,,,0.0,0.0,0.0
2008-06-01,-154.0,0.0,0.0,41522.0,470770.0,470770.0,,,,0.0,0.0,0.0
2008-07-01,169.0,4563.0,4563.0,48745.0,545759.0,545759.0,,,,0.0,0.0,0.0
2008-08-01,489.0,8025.0,8025.0,59881.0,652157.0,652157.0,,,,0.0,0.0,0.0
2008-09-01,-13.0,1395.0,1395.0,57913.0,636788.0,636788.0,,,,0.0,0.0,0.0
2008-10-01,94.0,3685.0,3685.0,59151.0,647158.0,647158.0,,,,0.0,0.0,0.0
2008-11-01,725.0,11836.0,11836.0,56516.0,618792.0,618792.0,,,,0.0,0.0,0.0
2008-12-01,18.0,2577.0,2577.0,64745.0,698279.0,698279.0,,,,0.0,0.0,0.0
2009-01-01,441.0,8070.0,8070.0,45006.0,504036.0,504036.0,,,,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,36739.0,418958.0,418958.0,,,,0.0,0.0,0.0
2009-03-01,67.0,1360.0,1360.0,40427.0,462867.0,462867.0,,,,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,55853.0,612037.0,612037.0,,,,0.0,0.0,0.0
2009-05-01,600.0,10309.0,10309.0,4392.0,59254.0,59254.0,,,,0.0,0.0,0.0
2009-06-01,-116.0,0.0,0.0,48055.0,532580.0,532580.0,,,,0.0,0.0,0.0
2009-07-01,-186.0,0.0,0.0,77982.0,828047.0,828047.0,,,,0.0,0.0,0.0
2009-08-01,543.0,9569.0,9569.0,77410.0,824968.0,824968.0,,,,0.0,0.0,0.0
2009-09-01,1126.0,17369.0,17369.0,86394.0,916220.0,916220.0,,,,0.0,0.0,0.0
