measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2004-08-01,1.0,28.0,28.0,,,,11985.05,356458.85,356458.85,9805.95,291648.15,291648.15,,,,,,
2004-09-01,1.0,38.0,38.0,,,,9581.0,287761.65,287761.65,7839.0,235441.35,235441.35,,,,,,
2004-10-01,1.0,38.0,38.0,,,,10569.35,280749.15,280749.15,8647.65,229703.85,229703.85,,,,,,
2004-11-01,1.0,38.0,38.0,,,,12278.2,310819.3,310819.3,10045.8,254306.7,254306.7,,,,,,
2004-12-01,1.0,25.0,25.0,,,,12995.95,288259.4,288259.4,10633.05,235848.6,235848.6,,,,,,
2005-01-01,2.0,40.0,40.0,,,,11449.2,299138.11,299138.11,8995.8,235037.09,235037.09,,,,,,
2005-02-01,1.0,27.5,27.5,,,,5834.64,174591.87,174591.87,4584.36,137179.33,137179.33,,,,,,
2005-03-01,1.0,35.0,35.0,,,,8916.88,233740.42,233740.42,7006.12,183653.18,183653.18,,,,,,
2005-04-01,1.0,37.5,37.5,,,,8875.44,244095.49,244095.49,6973.56,191789.31,191789.31,,,,,,
2005-05-01,1.0,37.5,37.5,,,,12107.2,304734.98,304734.98,9512.8,239434.62,239434.62,,,,,,
2005-06-01,2.0,67.5,67.5,,,,9690.24,317670.08,317670.08,7613.76,249597.92,249597.92,,,,,,
2005-07-01,4.0,102.5,102.5,,,,12188.96,346434.82,346434.82,9577.04,272198.78,272198.78,,,,,,
2005-08-01,1.0,27.5,27.5,,,,12474.0,329254.02,329254.02,9801.0,258699.58,258699.58,,,,,,
2005-09-01,1.0,35.0,35.0,,,,12537.84,318252.48,318252.48,9851.16,250055.52,250055.52,,,,,,
2005-10-01,1.0,27.5,27.5,,,,9030.0,259016.58,259016.58,7095.0,203513.02,203513.02,,,,,,
2005-11-01,1.0,20.0,20.0,,,,13938.4,359824.19,359824.19,10951.6,282719.01,282719.01,,,,,,
2005-12-01,1.0,17.5,17.5,,,,13306.72,318648.51,318648.51,10455.28,250366.69,250366.69,,,,,,
2006-01-01,1.0,20.0,20.0,,,,,,,,,,,,,,,
2006-02-01,1.0,28.0,28.0,,,,,,,,,,,,,,,
2006-03-01,1.0,25.0,25.0,,,,,,,,,,,,,,,
2006-04-01,1.0,20.0,20.0,,,,,,,,,,,,,,,
2006-05-01,2.0,53.0,53.0,,,,,,,,,,,,,,,
2006-06-01,1.0,33.0,33.0,,,,,,,,,,,,,,,
2006-07-01,2.0,60.0,60.0,,,,,,,,,,,,,,,
2006-08-01,2.0,53.0,53.0,,,,,,,,,,,,,,,
2006-09-01,2.0,43.0,43.0,,,,,,,,,,,,,,,
2006-10-01,1.0,28.0,28.0,,,,,,,,,,,,,,,
2006-11-01,1.0,33.0,33.0,,,,,,,,,,,,,,,
2006-12-01,2.0,43.0,43.0,,,,,,,,,,,,,,,
2007-01-01,0.859,20.0,20.0,,,,,,,,,,,,,,,
2007-02-01,0.9630000000000001,25.0,25.0,,,,,,,,,,,,,,,
2007-03-01,2.084,55.0,55.0,,,,,,,,,,,,,,,
2007-04-01,0.9470000000000001,23.0,23.0,,,,,,,,,,,,,,,
2007-05-01,0.8470000000000001,23.0,23.0,,,,,,,,,,,,,,,
2007-06-01,1.766,48.0,48.0,,,,,,,,,,,,,,,
2007-07-01,2.201,58.0,58.0,,,,,,,,,,,,,,,
2007-08-01,3.2640000000000002,88.0,88.0,,,,,,,,,,,,,,,
2007-09-01,1.874,50.0,50.0,,,,,,,,,,,,,,,
2007-10-01,2.355,75.0,75.0,,,,,,,,,,,,,,,
2007-11-01,1.1880000000000002,30.0,30.0,,,,,,,,,,,,,,,
2007-12-01,1.058,25.0,25.0,,,,,,,,,,,,,,,
2008-01-01,1.247,30.0,30.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-02-01,1.282,38.0,38.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-03-01,1.588,38.0,38.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-04-01,1.5230000000000001,38.0,38.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-05-01,1.206,30.0,30.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-06-01,1.5030000000000001,38.0,38.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-07-01,2.21,53.0,53.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-08-01,1.999,55.0,55.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-09-01,1.401,35.0,35.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-10-01,2.1310000000000002,63.0,63.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-11-01,2.777,70.0,70.0,,,,,,,,,,,,,0.0,0.0,0.0
2008-12-01,1.102,28.0,28.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-01-01,1.685,43.0,43.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-02-01,0.878,23.0,23.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-03-01,0.642,18.0,18.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-04-01,0.744,20.0,20.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-05-01,1.411,38.0,38.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-06-01,1.286,43.0,43.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-07-01,1.346,40.0,40.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-08-01,1.496,48.0,48.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-09-01,1.494,45.0,45.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-10-01,0.8370000000000001,25.0,25.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-11-01,0.894,25.0,25.0,,,,,,,,,,,,,0.0,0.0,0.0
2009-12-01,0.654,18.0,18.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-01-01,0.5760000000000001,15.0,15.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-02-01,1.366,38.0,38.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-03-01,1.477,35.0,35.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-04-01,1.4140000000000001,38.0,38.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-05-01,1.487,38.0,38.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-06-01,1.197,30.0,30.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-07-01,2.244,60.0,60.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-08-01,2.811,75.0,75.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-09-01,2.798,65.0,65.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-10-01,2.169,58.0,58.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-11-01,1.665,40.0,40.0,,,,,,,,,,,,,0.0,0.0,0.0
2010-12-01,1.44,35.0,35.0,,,,,,,,,,,,,0.0,0.0,0.0
2011-01-01,,,,1.741,43.0,43.0,,,,,,,0.0,0.0,0.0,,,
2011-02-01,,,,1.377,35.0,35.0,,,,,,,0.0,0.0,0.0,,,
2011-03-01,,,,1.311,30.0,30.0,,,,,,,0.0,0.0,0.0,,,
2011-04-01,,,,1.043,25.0,25.0,,,,,,,0.0,0.0,0.0,,,
2011-05-01,,,,1.17,28.0,28.0,,,,,,,0.0,0.0,0.0,,,
2011-06-01,,,,2.107,53.0,53.0,,,,,,,0.0,0.0,0.0,,,
2011-07-01,,,,1.35,38.0,38.0,,,,,,,0.0,0.0,0.0,,,
2011-08-01,,,,0.718,20.0,20.0,,,,,,,0.0,0.0,0.0,,,
2011-09-01,,,,1.015,28.0,28.0,,,,,,,0.0,0.0,0.0,,,
2011-10-01,,,,0.78,28.0,28.0,,,,,,,0.0,0.0,0.0,,,
2011-11-01,,,,,,,,,,,,,211.978,5305.0,5305.0,,,
2011-12-01,,,,414.362,10590.0,10590.0,,,,,,,0.0,0.0,0.0,,,
2012-01-01,,,,,,,,,,,,,239.534,5731.0,5731.0,,,
2012-02-01,,,,,,,,,,,,,321.937,7951.0,7951.0,,,
2012-03-01,,,,,,,,,,,,,639.654,14881.0,14881.0,,,
2012-04-01,,,,,,,,,,,,,413.452,11577.0,11577.0,,,
2012-05-01,,,,,,,,,,,,,616.752,18243.0,18243.0,,,
2012-06-01,,,,,,,,,,,,,809.349,20697.0,20697.0,,,
2012-07-01,,,,,,,,,,,,,831.772,25390.0,25390.0,,,
2012-08-01,,,,,,,,,,,,,646.538,19292.0,19292.0,,,
2012-09-01,,,,,,,,,,,,,440.33,12825.0,12825.0,,,
2012-10-01,,,,,,,,,,,,,505.322,16000.0,16000.0,,,
2012-11-01,,,,,,,,,,,,,592.677,12656.0,12656.0,,,
2012-12-01,,,,,,,,,,,,,343.804,9142.0,9142.0,,,
2013-01-01,,,,,,,,,,,,,337.624,7866.0,7866.0,,,
2013-02-01,,,,,,,,,,,,,425.037,10941.0,10941.0,,,
2013-03-01,,,,,,,,,,,,,609.774,14384.0,14384.0,,,
2013-04-01,,,,,,,,,,,,,610.77,16099.0,16099.0,,,
2013-05-01,,,,,,,,,,,,,850.046,22034.0,22034.0,,,
2013-06-01,,,,,,,,,,,,,356.269,9631.0,9631.0,,,
2013-07-01,,,,,,,,,,,,,623.672,19640.0,19640.0,,,
2013-08-01,,,,,,,,,,,,,749.772,17573.0,17573.0,,,
2013-09-01,,,,,,,,,,,,,702.735,20137.0,20137.0,,,
2013-10-01,,,,,,,,,,,,,618.057,16617.0,16617.0,,,
2013-11-01,,,,,,,,,,,,,1025.053,27355.0,27355.0,,,
2013-12-01,,,,,,,,,,,,,839.921,20567.0,20567.0,,,
2014-01-01,,,,,,,,,,,,,911.665,20452.0,20452.0,,,
2014-02-01,,,,,,,,,,,,,774.077,19904.0,19904.0,,,
2014-03-01,,,,,,,,,,,,,705.535,16255.0,16255.0,,,
2014-04-01,,,,,,,,,,,,,1001.145,25668.0,25668.0,,,
2014-05-01,,,,,,,,,,,,,838.036,21707.0,21707.0,,,
2014-06-01,,,,,,,,,,,,,561.099,15078.0,15078.0,,,
2014-07-01,,,,,,,,,,,,,551.344,17059.0,17059.0,,,
2014-08-01,,,,,,,,,,,,,389.973,10726.0,10726.0,,,
2014-09-01,,,,,,,,,,,,,507.43,15597.0,15597.0,,,
2014-10-01,,,,,,,,,,,,,792.939,18466.0,18466.0,,,
2014-11-01,,,,,,,,,,,,,492.981,11431.0,11431.0,,,
2014-12-01,,,,,,,,,,,,,653.597,14982.0,14982.0,,,
2015-01-01,,,,,,,,,,,,,688.214,15511.0,15511.0,,,
2015-02-01,,,,,,,,,,,,,559.178,12307.0,12307.0,,,
2015-03-01,,,,,,,,,,,,,571.463,14406.0,14406.0,,,
2015-04-01,,,,,,,,,,,,,495.676,11299.0,11299.0,,,
2015-05-01,,,,,,,,,,,,,1449.873,34909.0,34909.0,,,
2015-06-01,,,,,,,,,,,,,828.738,21669.0,21669.0,,,
2015-07-01,,,,,,,,,,,,,930.786,23305.0,23305.0,,,
2015-08-01,,,,,,,,,,,,,1043.292,29090.0,29090.0,,,
2015-09-01,,,,,,,,,,,,,1666.754,45492.0,45492.0,,,
2015-10-01,,,,,,,,,,,,,886.715,20690.0,20690.0,,,
2015-11-01,,,,,,,,,,,,,595.852,14346.0,14346.0,,,
2015-12-01,,,,,,,,,,,,,758.103,20282.0,20282.0,,,
2016-01-01,,,,,,,,,,,,,809.305,17868.0,17868.0,,,
2016-02-01,,,,,,,,,,,,,660.429,17007.0,17007.0,,,
2016-03-01,,,,,,,,,,,,,543.901,11755.0,11755.0,,,
2016-04-01,,,,,,,,,,,,,500.284,12055.0,12055.0,,,
2016-05-01,,,,,,,,,,,,,783.878,18853.0,18853.0,,,
2016-06-01,,,,,,,,,,,,,619.426,15870.0,15870.0,,,
2016-07-01,,,,,,,,,,,,,745.48,20521.0,20521.0,,,
2016-08-01,,,,,,,,,,,,,890.091,27214.0,27214.0,,,
2016-09-01,,,,,,,,,,,,,778.448,26084.0,26084.0,,,
2016-10-01,,,,,,,,,,,,,918.478,24381.0,24381.0,,,
2016-11-01,,,,,,,,,,,,,424.892,10043.0,10043.0,,,
2016-12-01,,,,,,,,,,,,,447.377,11013.0,11013.0,,,
2017-01-01,,,,,,,,,,,,,507.541,12693.0,12693.0,,,
2017-02-01,,,,,,,,,,,,,555.06,13765.0,13765.0,,,
2017-03-01,,,,,,,,,,,,,609.756,15851.0,15851.0,,,
2017-04-01,,,,,,,,,,,,,661.193,17033.0,17033.0,,,
2017-05-01,,,,,,,,,,,,,975.693,27506.0,27506.0,,,
2017-06-01,,,,,,,,,,,,,1200.628,31827.0,31827.0,,,
2017-07-01,,,,,,,,,,,,,1037.764,29441.0,29441.0,,,
2017-08-01,,,,,,,,,,,,,1104.249,30291.0,30291.0,,,
2017-09-01,,,,,,,,,,,,,777.215,25127.0,25127.0,,,
2017-10-01,,,,,,,,,,,,,1243.255,36028.0,36028.0,,,
2017-11-01,,,,,,,,,,,,,919.002,25194.0,25194.0,,,
2017-12-01,,,,,,,,,,,,,1115.393,29581.0,29581.0,,,
2018-01-01,,,,,,,,,,,,,1067.971,27626.0,27626.0,,,
2018-02-01,,,,,,,,,,,,,1112.888,28190.0,28190.0,,,
2018-03-01,,,,,,,,,,,,,1235.632,27983.0,27983.0,,,
2018-04-01,,,,,,,,,,,,,989.561,24341.0,24341.0,,,
2018-05-01,,,,,,,,,,,,,929.861,40081.0,40081.0,,,
2018-06-01,,,,,,,,,,,,,1219.767,36931.0,36931.0,,,
2018-07-01,,,,,,,,,,,,,1125.369,31169.0,31169.0,,,
2018-08-01,,,,,,,,,,,,,1102.647,30653.0,30653.0,,,
2018-09-01,,,,,,,,,,,,,927.49,26561.0,26561.0,,,
2018-10-01,,,,,,,,,,,,,904.059,22231.0,22231.0,,,
2018-11-01,,,,,,,,,,,,,951.284,21672.0,21672.0,,,
2018-12-01,,,,,,,,,,,,,1588.702,32993.0,32993.0,,,
2019-01-01,,,,,,,,,,,,,1412.38,29428.0,29428.0,,,
2019-02-01,,,,,,,,,,,,,1096.858,24034.0,24034.0,,,
2019-03-01,,,,,,,,,,,,,2080.487,39399.0,39399.0,,,
2019-04-01,,,,,,,,,,,,,1839.051,33071.0,33071.0,,,
2019-05-01,,,,,,,,,,,,,1726.223,33795.0,33795.0,,,
2019-06-01,,,,,,,,,,,,,1329.787,36348.0,36348.0,,,
2019-07-01,,,,,,,,,,,,,934.586,26464.0,26464.0,,,
2019-08-01,,,,,,,,,,,,,1496.15,42073.0,42073.0,,,
2019-09-01,,,,,,,,,,,,,918.092,26142.0,26142.0,,,
2019-10-01,,,,,,,,,,,,,708.513,18690.0,18690.0,,,
2019-11-01,,,,,,,,,,,,,1016.929,28910.0,28910.0,,,
2019-12-01,,,,,,,,,,,,,1830.698,38545.0,38545.0,,,
2020-01-01,,,,,,,,,,,,,1291.051,33290.0,33290.0,,,
2020-02-01,,,,,,,,,,,,,1242.543,31626.0,31626.0,,,
2020-03-01,,,,,,,,,,,,,1627.427,43087.0,43087.0,,,
2020-04-01,,,,,,,,,,,,,2356.041,60706.0,60706.0,,,
2020-05-01,,,,,,,,,,,,,1994.092,53703.0,53703.0,,,
2020-06-01,,,,,,,,,,,,,1491.937,41020.0,41020.0,,,
2020-07-01,,,,,,,,,,,,,1107.668,35303.0,35303.0,,,
2020-08-01,,,,,,,,,,,,,1152.961,33262.0,33262.0,,,
2020-09-01,,,,,,,,,,,,,1254.038,32650.0,32650.0,,,
2020-10-01,,,,,,,,,,,,,1165.916,32885.0,32885.0,,,
2020-11-01,,,,,,,,,,,,,1309.576,33673.0,33673.0,,,
2020-12-01,,,,,,,,,,,,,1207.695,30002.0,30002.0,,,
2021-01-01,,,,,,,,,,,,,1229.754,30005.0,30005.0,,,
2021-02-01,,,,,,,,,,,,,653.246,17708.0,17708.0,,,
2021-03-01,,,,,,,,,,,,,1234.037,28363.0,28363.0,,,
2021-04-01,,,,,,,,,,,,,1342.099,28917.0,28917.0,,,
2021-05-01,,,,,,,,,,,,,780.855,18119.0,18119.0,,,
2021-06-01,,,,,,,,,,,,,673.3,18419.0,18419.0,,,
2021-07-01,,,,,,,,,,,,,853.441,24059.0,24059.0,,,
2021-08-01,,,,,,,,,,,,,1017.184,27752.0,27752.0,,,
2021-09-01,,,,,,,,,,,,,675.275,19872.0,19872.0,,,
2021-10-01,,,,,,,,,,,,,1476.665,34497.0,34497.0,,,
2021-11-01,,,,,,,,,,,,,1303.937,35652.0,35652.0,,,
2021-12-01,,,,,,,,,,,,,1523.794,39885.0,39885.0,,,
2022-01-01,,,,,,,,,,,,,1455.771,41838.0,41838.0,,,
2022-02-01,,,,,,,,,,,,,1110.348,36811.0,36811.0,,,
2022-03-01,,,,,,,,,,,,,2433.212,61371.0,61371.0,,,
2022-04-01,,,,,,,,,,,,,1837.611,43388.0,43388.0,,,
2022-05-01,,,,,,,,,,,,,1334.438,33450.0,33450.0,,,
2022-06-01,,,,,,,,,,,,,1242.679,33277.0,33277.0,,,
2022-07-01,,,,,,,,,,,,,520.306,13440.0,13440.0,,,
2022-08-01,,,,,,,,,,,,,717.578,18049.0,18049.0,,,
2022-09-01,,,,,,,,,,,,,644.66,18112.0,18112.0,,,
2022-10-01,,,,,,,,,,,,,734.588,20217.0,20217.0,,,
2022-11-01,,,,,,,,,,,,,474.515,12939.0,12939.0,,,
2022-12-01,,,,,,,,,,,,,388.912,9498.0,9498.0,,,
2023-01-01,,,,,,,,,,,,,546.426,13843.0,13843.0,,,
2023-02-01,,,,,,,,,,,,,308.889,7980.0,7980.0,,,
2023-03-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-04-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-05-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-06-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-07-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-08-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-09-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-10-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-11-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2023-12-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2024-01-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2024-02-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2024-03-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2024-04-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2024-05-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
2024-06-01,,,,,,,,,,,,,0.0,0.0,0.0,,,
