measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2005-04-01,9075.187,90742.79,90742.79,,,
2005-05-01,9636.943000000001,96359.79,96359.79,,,
2005-06-01,9516.438,95154.86,95154.86,,,
2005-07-01,9733.772,97327.99,97327.99,,,
2005-08-01,9614.382,96134.21,96134.21,,,
2005-09-01,9408.254,94073.13,94073.13,,,
2005-10-01,9636.39,96354.26,96354.26,,,
2005-11-01,9353.562,93526.27,93526.27,,,
2005-12-01,9615.204,96142.42,96142.42,,,
2006-01-01,8633.786,85638.52,85638.52,,,
2006-02-01,7825.549,77621.62,77621.62,,,
2006-03-01,8845.547,87738.98,87738.98,,,
2006-04-01,7914.061000000001,78499.57,78499.57,,,
2006-05-01,7698.112,76357.57,76357.57,,,
2006-06-01,8355.826000000001,82881.44,82881.44,,,
2006-07-01,8778.561,87074.55,87074.55,,,
2006-08-01,8963.794,88911.87,88911.87,,,
2006-09-01,8483.097,84143.84,84143.84,,,
2006-10-01,8841.201000000001,87695.87,87695.87,,,
2006-11-01,8563.089,84937.28,84937.28,,,
2006-12-01,8934.377,88620.09,88620.09,,,
2007-01-01,6508.732,64332.31,64332.31,,,
2007-02-01,5347.718,52856.84,52856.84,,,
2007-03-01,5953.604,58845.42,58845.42,,,
2007-04-01,5542.582,54782.88,54782.88,,,
2007-05-01,4696.637000000001,46421.56,46421.56,,,
2007-06-01,5441.2390000000005,53781.21,53781.21,,,
2007-07-01,5377.443,53150.65,53150.65,,,
2007-08-01,5499.472000000001,54356.78,54356.78,,,
2007-09-01,5312.518,52508.93,52508.93,,,
2007-10-01,5452.451,53892.03,53892.03,,,
2007-11-01,5402.736,53400.64,53400.64,,,
2007-12-01,5674.867,56090.39,56090.39,,,
2008-01-01,2533.406,24964.18,24964.18,,,
2008-02-01,2031.73,20020.670000000002,20020.670000000002,,,
2008-03-01,7403.929,72958.32,72958.32,,,
2008-04-01,8092.023,79738.79000000001,79738.79000000001,,,
2008-05-01,7938.451,78225.5,78225.5,,,
2008-06-01,7412.336,73041.16,73041.16,,,
2008-07-01,7329.5380000000005,72225.27,72225.27,,,
2008-08-01,7323.086,72161.69,72161.69,,,
2008-09-01,7052.013,69490.54000000001,69490.54000000001,,,
2008-10-01,7803.745000000001,76898.1,76898.1,,,
2008-11-01,7728.865000000001,76160.24,76160.24,,,
2008-12-01,8141.878000000001,80230.07,80230.07,,,
2009-01-01,9610.941,93802.78,93802.78,,,
2009-02-01,8785.166000000001,85743.22,85743.22,,,
2009-03-01,9928.379,96900.98,96900.98,,,
2009-04-01,9120.38,89014.91,89014.91,,,
2009-05-01,8519.086000000001,83146.28,83146.28,,,
2009-06-01,8960.732,87456.74,87456.74,,,
2009-07-01,8891.598,86782.0,86782.0,,,
2009-08-01,9011.159,87948.91,87948.91,,,
2009-09-01,8671.53,84634.13,84634.13,,,
2009-10-01,6770.628000000001,66081.33,66081.33,,,
2009-11-01,11642.212,113627.99,113627.99,,,
2009-12-01,12978.189,126667.12,126667.12,,,
2010-01-01,8701.097,84888.0,84888.0,,,
2010-02-01,6889.479,67214.0,67214.0,,,
2010-03-01,9739.197,95016.0,95016.0,,,
2010-04-01,9540.567000000001,93078.0,93078.0,,,
2010-05-01,10391.751,101382.0,101382.0,,,
2010-06-01,9603.306,93690.0,93690.0,,,
2010-07-01,8749.952000000001,85365.0,85365.0,,,
2010-08-01,9602.785,93685.0,93685.0,,,
2010-09-01,9026.246000000001,88060.0,88060.0,,,
2010-10-01,9681.143,94449.0,94449.0,,,
2010-11-01,9025.205,88050.0,88050.0,,,
2010-12-01,10329.272,100772.0,100772.0,,,
2011-01-01,10050.842,97654.0,97654.0,,,
2011-02-01,9207.691,89462.0,89462.0,,,
2011-03-01,9892.208,96113.0,96113.0,,,
2011-04-01,9548.87,92777.0,92777.0,,,
2011-05-01,9664.174,93897.0,93897.0,,,
2011-06-01,8964.466,87099.0,87099.0,,,
2011-07-01,8896.396,86437.0,86437.0,,,
2011-08-01,8927.027,86735.0,86735.0,,,
2011-09-01,8488.973,82479.0,82479.0,,,
2011-10-01,8516.865,82750.0,82750.0,,,
2011-11-01,9358.275,90925.0,90925.0,,,
2011-12-01,9826.213,95471.0,95471.0,,,
2012-01-01,7157.298,68109.0,68109.0,,,
2012-02-01,6761.644,64344.0,64344.0,,,
2012-03-01,7116.973,67725.0,67725.0,,,
2012-04-01,6725.427,63999.0,63999.0,,,
2012-05-01,6998.115,66594.0,66594.0,,,
2012-06-01,7861.484,74810.0,74810.0,,,
2012-07-01,7910.147,75273.0,75273.0,,,
2012-08-01,7919.855,75365.0,75365.0,,,
2012-09-01,8082.958,76917.0,76917.0,,,
2012-10-01,8299.267,78976.0,78976.0,,,
2012-11-01,8686.457,82660.0,82660.0,,,
2012-12-01,8820.375,83935.0,83935.0,,,
2013-01-01,7662.527,73108.0,73108.0,,,
2013-02-01,7009.411,66877.0,66877.0,,,
2013-03-01,7533.811,71880.0,71880.0,,,
2013-04-01,7152.447,68241.0,68241.0,,,
2013-05-01,7085.897,67607.0,67607.0,,,
2013-06-01,6600.428,62975.0,62975.0,,,
2013-07-01,6401.084,61073.0,61073.0,,,
2013-08-01,6504.629,62061.0,62061.0,,,
2013-09-01,6524.299,62248.0,62248.0,,,
2013-10-01,7315.969,69802.0,69802.0,,,
2013-11-01,7324.581,69884.0,69884.0,,,
2013-12-01,7842.917,74829.0,74829.0,,,
2014-01-01,7353.992,69936.0,69936.0,,,
2014-02-01,6182.49,58795.0,58795.0,,,
2014-03-01,6843.272,65080.0,65080.0,,,
2014-04-01,6264.204,59573.0,59573.0,,,
2014-05-01,6248.834,59426.0,59426.0,,,
2014-06-01,5771.877,54891.0,54891.0,,,
2014-07-01,5528.698,52578.0,52578.0,,,
2014-08-01,6005.328,57111.0,57111.0,,,
2014-09-01,6021.147,57261.0,57261.0,,,
2014-10-01,6061.289,57643.0,57643.0,,,
2014-11-01,6778.89,64467.0,64467.0,,,
2014-12-01,7043.979,66988.0,66988.0,,,
2015-01-01,5508.023,51329.0,51329.0,,,
2015-02-01,5614.637,52323.0,52323.0,,,
2015-03-01,6361.271,59281.0,59281.0,,,
2015-04-01,6160.074,57406.0,57406.0,,,
2015-05-01,6176.726,57561.0,57561.0,,,
2015-06-01,5154.407,48034.0,48034.0,,,
2015-07-01,5779.308,53857.0,53857.0,,,
2015-08-01,5568.477,51893.0,51893.0,,,
2015-09-01,6083.48,56692.0,56692.0,,,
2015-10-01,6401.976,59660.0,59660.0,,,
2015-11-01,7440.979,69342.0,69342.0,,,
2015-12-01,7623.642,71045.0,71045.0,,,
2016-01-01,6585.818,60800.0,60800.0,,,
2016-02-01,6062.975,55973.0,55973.0,,,
2016-03-01,6263.462,57824.0,57824.0,,,
2016-04-01,5968.744,55103.0,55103.0,,,
2016-05-01,6078.965,56121.0,56121.0,,,
2016-06-01,5234.149,48322.0,48322.0,,,
2016-07-01,5103.051,47111.0,47111.0,,,
2016-08-01,5141.384,47465.0,47465.0,,,
2016-09-01,5513.609,50902.0,50902.0,,,
2016-10-01,5923.57,54686.0,54686.0,,,
2016-11-01,6247.581,57678.0,57678.0,,,
2016-12-01,6733.692,62165.0,62165.0,,,
2017-01-01,5750.884,52983.0,52983.0,,,
2017-02-01,5065.847,46672.0,46672.0,,,
2017-03-01,5665.977,52201.0,52201.0,,,
2017-04-01,5489.34,50573.0,50573.0,,,
2017-05-01,5306.34,48887.0,48887.0,,,
2017-06-01,5206.892,47971.0,47971.0,,,
2017-07-01,5600.729,51600.0,51600.0,,,
2017-08-01,5563.63,51258.0,51258.0,,,
2017-09-01,5440.959,50128.0,50128.0,,,
2017-10-01,4955.491,45655.0,45655.0,,,
2017-11-01,5324.109,49051.0,49051.0,,,
2017-12-01,5535.802,51001.0,51001.0,,,
2018-01-01,5216.754,47493.0,47493.0,,,
2018-02-01,4959.034,45147.0,45147.0,,,
2018-03-01,5314.947,48387.0,48387.0,,,
2018-04-01,4623.342,42091.0,42091.0,,,
2018-05-01,5348.597,48694.0,48694.0,,,
2018-06-01,4990.46,45433.0,45433.0,,,
2018-07-01,5289.057,48152.0,48152.0,,,
2018-08-01,5279.052,48060.0,48060.0,,,
2018-09-01,5135.71,46756.0,46756.0,,,
2018-10-01,4943.9,45009.0,45009.0,,,
2018-11-01,5165.901,47030.0,47030.0,,,
2018-12-01,5479.246,49883.0,49883.0,,,
2019-01-01,5518.992,49147.0,49147.0,,,
2019-02-01,5140.826,45779.0,45779.0,,,
2019-03-01,5663.475,50433.0,50433.0,,,
2019-04-01,5007.848,44595.0,44595.0,,,
2019-05-01,5393.771,48032.0,48032.0,,,
2019-06-01,5236.578,46632.0,46632.0,,,
2019-07-01,5416.221,48231.0,48231.0,,,
2019-08-01,5468.747,48699.0,48699.0,,,
2019-09-01,5362.414,47752.0,47752.0,,,
2019-10-01,4575.328,40743.0,40743.0,,,
2019-11-01,4177.99,37205.0,37205.0,,,
2019-12-01,4920.81,43820.0,43820.0,,,
2020-01-01,4758.224,41715.0,41715.0,,,
2020-02-01,5065.406,44408.0,44408.0,,,
2020-03-01,5290.35,46380.0,46380.0,,,
2020-04-01,4999.861,43834.0,43834.0,,,
2020-05-01,4774.989,41862.0,41862.0,,,
2020-06-01,4395.447,38535.0,38535.0,,,
2020-07-01,4151.232,36394.0,36394.0,,,
2020-08-01,4038.673,35407.0,35407.0,,,
2020-09-01,4359.233,38217.0,38217.0,,,
2020-10-01,4839.157,42425.0,42425.0,,,
2020-11-01,5162.789,45262.0,45262.0,,,
2020-12-01,5410.639,47435.0,47435.0,,,
2021-01-01,4885.027,43203.0,43203.0,,,
2021-02-01,4280.189,37854.0,37854.0,,,
2021-03-01,3800.411,33611.0,33611.0,,,
2021-04-01,4358.51,38547.0,38547.0,,,
2021-05-01,4820.431,42632.0,42632.0,,,
2021-06-01,4181.437,36981.0,36981.0,,,
2021-07-01,4133.587,36557.0,36557.0,,,
2021-08-01,4197.96,37127.0,37127.0,,,
2021-09-01,4353.871,38506.0,38506.0,,,
2021-10-01,4761.238,42108.0,42108.0,,,
2021-11-01,4896.179,43302.0,43302.0,,,
2021-12-01,5483.16,48493.0,48493.0,,,
2022-01-01,4390.091,14979.0,14979.0,,,
2022-02-01,3848.075,13130.0,13130.0,,,
2022-03-01,3464.401,11821.0,11821.0,,,
2022-04-01,3210.949,10956.0,10956.0,,,
2022-05-01,3467.783,11832.0,11832.0,,,
2022-06-01,3398.217,11595.0,11595.0,,,
2022-07-01,3267.818,11150.0,11150.0,,,
2022-08-01,3452.159,11779.0,11779.0,,,
2022-09-01,3540.227,12079.0,12079.0,,,
2022-10-01,3079.01,10506.0,10506.0,,,
2022-11-01,4380.145,14945.0,14945.0,,,
2022-12-01,4605.125,15713.0,15713.0,,,
2023-01-01,4550.0,15525.0,15525.0,,,
2023-02-01,3145.0,10731.0,10731.0,,,
2023-03-01,1718.0,5862.0,5862.0,,,
2023-04-01,0.0,0.0,0.0,,,
2023-05-01,0.0,0.0,0.0,,,
2023-06-01,3605.0,12300.0,12300.0,,,
2023-07-01,3669.0,12519.0,12519.0,,,
2023-08-01,4325.0,14757.0,14757.0,,,
2023-09-01,4797.0,16367.0,16367.0,,,
2023-10-01,5696.0,19435.0,19435.0,,,
2023-11-01,6795.0,23185.0,23185.0,0.0,0.0,0.0
2023-12-01,7303.0,24918.0,24918.0,0.0,0.0,0.0
2024-01-01,6772.0,23106.0,23106.0,0.0,0.0,0.0
2024-02-01,6688.0,22819.0,22819.0,0.0,0.0,0.0
2024-03-01,7173.0,24474.0,24474.0,0.0,0.0,0.0
2024-04-01,4079.0,13918.0,13918.0,0.0,0.0,0.0
2024-05-01,5744.0,19599.0,19599.0,0.0,0.0,0.0
2024-06-01,4939.0,16852.0,16852.0,0.0,0.0,0.0
2024-07-01,4350.0,14842.0,14842.0,0.0,0.0,0.0
2024-08-01,5091.0,17370.0,17370.0,0.0,0.0,0.0
2024-09-01,5083.0,17343.0,17343.0,0.0,0.0,0.0
2024-10-01,6131.0,20919.0,20919.0,0.0,0.0,0.0
2024-11-01,6698.0,22854.0,22854.0,0.0,0.0,0.0
2024-12-01,6606.0,22540.0,22540.0,0.0,0.0,0.0
