measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed
2005-11-01,1099.4275,10853.05,10853.05,,,
2005-12-01,2394.9210000000003,23641.57,23641.57,,,
2006-01-01,1482.664,14798.0,14798.0,,,
2006-02-01,1467.2105000000001,14644.0,14644.0,,,
2006-03-01,1286.434,12839.5,12839.5,,,
2006-04-01,1697.0295,16937.5,16937.5,,,
2006-05-01,1533.6955,15307.5,15307.5,,,
2006-06-01,1834.235,18307.0,18307.0,,,
2006-07-01,1779.34,17759.0,17759.0,,,
2006-08-01,1914.9345,19112.5,19112.5,,,
2006-09-01,1360.3865,13577.5,13577.5,,,
2006-10-01,1750.9730000000002,17476.0,17476.0,,,
2006-11-01,1528.3265000000001,15254.0,15254.0,,,
2006-12-01,1700.2710000000002,16970.0,16970.0,,,
2007-01-01,1575.99,15657.0,15657.0,,,
2007-02-01,1392.3310000000001,13832.0,13832.0,,,
2007-03-01,1602.3825000000002,15918.0,15918.0,,,
2007-04-01,1509.382,14995.5,14995.5,,,
2007-05-01,1652.0375000000001,16410.5,16410.5,,,
2007-06-01,1625.4555,16147.0,16147.0,,,
2007-07-01,1725.5735000000002,17141.5,17141.5,,,
2007-08-01,1799.1035000000002,17872.0,17872.0,,,
2007-09-01,1708.1295,16969.5,16969.5,,,
2007-10-01,1820.8490000000002,18089.5,18089.5,,,
2007-11-01,1582.3965,15720.5,15720.5,,,
2007-12-01,1556.3690000000001,15462.5,15462.5,,,
2008-01-01,1449.008,14470.5,14470.5,,,
2008-02-01,1414.2495000000001,14126.0,14126.0,,,
2008-03-01,1566.5520000000001,15647.0,15647.0,,,
2008-04-01,1480.442,14786.0,14786.0,,,
2008-05-01,1570.161,15681.5,15681.5,,,
2008-06-01,1531.9745,15300.0,15300.0,,,
2008-07-01,1633.1505,16310.0,16310.0,,,
2008-08-01,1564.81,15630.0,15630.0,,,
2008-09-01,1584.682,15828.0,15828.0,,,
2008-10-01,1630.4405000000002,16284.5,16284.5,,,
2008-11-01,1480.602,14789.0,14789.0,,,
2008-12-01,1474.928,14752.0,14752.0,,,
2009-01-01,1415.7155,14310.5,14310.5,,,
2009-02-01,1287.727,13015.5,13015.5,,,
2009-03-01,1331.0545,13454.0,13454.0,,,
2009-04-01,1308.0004999999999,13219.0,13219.0,,,
2009-05-01,1538.9535,15557.0,15557.0,,,
2009-06-01,1470.4605,14863.5,14863.5,,,
2009-07-01,1559.1190000000001,15760.0,15760.0,,,
2009-08-01,1564.0330000000001,15812.0,15812.0,,,
2009-09-01,1498.173,15144.5,15144.5,,,
2009-10-01,1619.5805,16370.5,16370.5,,,
2009-11-01,1414.8345,14302.0,14302.0,,,
2009-12-01,1433.8485,14494.0,14494.0,,,
2010-01-01,1452.507,14479.5,14479.5,,,
2010-02-01,1280.387,12770.0,12770.0,,,
2010-03-01,1386.6160000000002,13831.5,13831.5,,,
2010-04-01,1356.669,13530.5,13530.5,,,
2010-05-01,1485.1745,14812.5,14812.5,,,
2010-06-01,1425.9495000000002,14218.5,14218.5,,,
2010-07-01,1509.135,15051.0,15051.0,,,
2010-08-01,1515.15,15111.0,15111.0,,,
2010-09-01,1479.1845,14752.5,14752.5,,,
2010-10-01,1510.9115,15068.0,15068.0,,,
2010-11-01,1433.6755,14299.0,14299.0,,,
2010-12-01,1437.6405,14339.0,14339.0,,,
2011-01-01,1379.649,13801.5,13801.5,,,
2011-02-01,1301.2259999999999,13016.5,13016.5,,,
2011-03-01,1427.491,14276.5,14276.5,,,
2011-04-01,1401.8075000000001,14022.0,14022.0,,,
2011-05-01,1360.8145000000002,13609.0,13609.0,,,
2011-06-01,1322.66,13228.5,13228.5,,,
2011-07-01,1421.1755,14213.5,14213.5,,,
2011-08-01,1461.971,14623.5,14623.5,,,
2011-09-01,1472.511,14726.5,14726.5,,,
2011-10-01,1442.7604999999999,14431.5,14431.5,,,
2011-11-01,1360.3115,13606.5,13606.5,,,
2011-12-01,1464.6225,14649.0,14649.0,,,
2012-01-01,1422.651,14200.5,14200.5,,,
2012-02-01,1265.0030000000002,12626.0,12626.0,,,
2012-03-01,1313.403,13107.0,13107.0,,,
2012-04-01,1265.6184999999998,12631.5,12631.5,,,
2012-05-01,1299.973,12975.5,12975.5,,,
2012-06-01,1302.1335,12995.5,12995.5,,,
2012-07-01,1302.4395,12998.0,12998.0,,,
2012-08-01,1412.0210000000002,14094.5,14094.5,,,
2012-09-01,1295.2469999999998,12926.5,12926.5,,,
2012-10-01,1429.614,14269.0,14269.0,,,
2012-11-01,1300.178,12978.0,12978.0,,,
2012-12-01,1896.2185,18927.5,18927.5,,,
2013-01-01,1409.7715,14228.5,14228.5,,,
2013-02-01,1174.0739999999998,11846.5,11846.5,,,
2013-03-01,1372.9495,13857.5,13857.5,,,
2013-04-01,1300.6055,13124.5,13124.5,,,
2013-05-01,1335.0149999999999,13472.0,13472.0,,,
2013-06-01,1267.4415,12790.5,12790.5,,,
2013-07-01,1371.121,13834.5,13834.5,,,
2013-08-01,1386.5665,13991.5,13991.5,,,
2013-09-01,1321.4805,13335.5,13335.5,,,
2013-10-01,1459.5114999999998,14730.5,14730.5,,,
2013-11-01,1326.5130000000001,13387.0,13387.0,,,
2013-12-01,1337.9505000000001,13500.5,13500.5,,,
2014-01-01,1306.2845,13291.5,13291.5,,,
2014-02-01,1330.2975000000001,13536.0,13536.0,,,
2014-03-01,1282.5545,13047.0,13047.0,,,
2014-04-01,1166.505,11869.0,11869.0,,,
2014-05-01,1323.2575000000002,13465.0,13465.0,,,
2014-06-01,1263.5715,12856.0,12856.0,,,
2014-07-01,1329.7315,13530.5,13530.5,,,
2014-08-01,1433.3485,14580.0,14580.0,,,
2014-09-01,1493.97,15200.5,15200.5,,,
2014-10-01,1448.9345,14739.5,14739.5,,,
2014-11-01,1265.6995,12876.0,12876.0,,,
2014-12-01,1270.8455000000001,12930.0,12930.0,,,
2015-01-01,1273.1875,12828.0,12828.0,,,
2015-02-01,1137.4075,11460.5,11460.5,,,
2015-03-01,1147.6255,11563.5,11563.5,,,
2015-04-01,1262.033,12716.5,12716.5,,,
2015-05-01,1258.5445,12679.5,12679.5,,,
2015-06-01,1292.1435,13020.0,13020.0,,,
2015-07-01,1446.8615,14576.5,14576.5,,,
2015-08-01,1490.078,15014.5,15014.5,,,
2015-09-01,1401.7535,14124.5,14124.5,,,
2015-10-01,1430.5445,14413.5,14413.5,,,
2015-11-01,1295.1335,13048.5,13048.5,,,
2015-12-01,1291.1875,13014.0,13014.0,,,
2016-01-01,1367.8585,13871.0,13871.0,,,
2016-02-01,1217.9715,12355.0,12355.0,,,
2016-03-01,1249.205,12671.0,12671.0,,,
2016-04-01,1174.162,11910.0,11910.0,,,
2016-05-01,1314.242,13329.5,13329.5,,,
2016-06-01,1253.5115,12714.0,12714.0,,,
2016-07-01,1391.1965,14110.5,14110.5,,,
2016-08-01,1424.264,14446.5,14446.5,,,
2016-09-01,1346.158,13654.5,13654.5,,,
2016-10-01,1293.191,13115.5,13115.5,,,
2016-11-01,1206.7325,12241.0,12241.0,,,
2016-12-01,1311.0075,13298.0,13298.0,,,
2017-01-01,1375.2895,13909.0,13909.0,0.0,0.0,0.0
2017-02-01,1125.724,11386.0,11386.0,0.0,0.0,0.0
2017-03-01,1304.1625,13188.5,13188.5,0.0,0.0,0.0
2017-04-01,1245.507,12595.5,12595.5,0.0,0.0,0.0
2017-05-01,1246.041,12601.0,12601.0,0.0,0.0,0.0
2017-06-01,1314.9545,13298.5,13298.5,0.0,0.0,0.0
2017-07-01,1321.75,13368.0,13368.0,0.0,0.0,0.0
2017-08-01,1368.5215,13839.5,13839.5,0.0,0.0,0.0
2017-09-01,1374.586,13900.5,13900.5,0.0,0.0,0.0
2017-10-01,1405.1565,14210.0,14210.0,0.0,0.0,0.0
2017-11-01,1223.724,12375.5,12375.5,0.0,0.0,0.0
2017-12-01,1237.5835,12517.5,12517.5,0.0,0.0,0.0
2018-01-01,1237.001,12626.5,12626.5,0.0,0.0,0.0
2018-02-01,1168.9175,11931.0,11931.0,0.0,0.0,0.0
2018-03-01,1183.12,12076.0,12076.0,0.0,0.0,0.0
2018-04-01,1200.468,12252.5,12252.5,0.0,0.0,0.0
2018-05-01,1389.8665,14185.5,14185.5,0.0,0.0,0.0
2018-06-01,1313.9685,13412.0,13412.0,0.0,0.0,0.0
2018-07-01,1404.6865,14336.5,14336.5,0.0,0.0,0.0
2018-08-01,1430.3715,14600.0,14600.0,0.0,0.0,0.0
2018-09-01,1457.098,14872.5,14872.5,0.0,0.0,0.0
2018-10-01,1530.7475,15623.0,15623.0,0.0,0.0,0.0
2018-11-01,1373.8465,14023.5,14023.5,0.0,0.0,0.0
2018-12-01,1267.4085,12939.5,12939.5,0.0,0.0,0.0
