measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2004-10-01,,,,0.0,0.0,0.0,40.98,822.0,822.0,3825.221,75834.0,75834.0,,,
2004-11-01,,,,0.0,0.0,0.0,36.46,731.0,731.0,3473.592,68863.0,68863.0,,,
2004-12-01,,,,0.0,0.0,0.0,51.952000000000005,1042.0,1042.0,3763.3740000000003,74608.0,74608.0,,,
2005-01-01,,,,,,,139.308,1867.23,1867.23,3492.0280000000002,71498.69,71498.69,,,
2005-02-01,,,,,,,111.44800000000001,1493.8,1493.8,3040.39,62251.48,62251.48,,,
2005-03-01,,,,,,,154.654,2072.92,2072.92,3154.396,64585.74,64585.74,,,
2005-04-01,,,,,,,146.80700000000002,1967.74,1967.74,2811.188,57558.6,57558.6,,,
2005-05-01,,,,,,,140.382,1881.62,1881.62,3086.119,63187.78,63187.78,,,
2005-06-01,,,,,,,265.00100000000003,3551.97,3551.97,3437.2960000000003,70378.08,70378.08,,,
2005-07-01,,,,,,,348.861,4676.0,4676.0,3633.5860000000002,74397.07,74397.07,,,
2005-08-01,,,,,,,346.559,4645.14,4645.14,3674.0130000000004,75224.81,75224.81,,,
2005-09-01,,,,,,,209.81900000000002,2812.33,2812.33,3366.927,68937.26,68937.26,,,
2005-10-01,,,,,,,148.774,1994.11,1994.11,3179.4320000000002,65098.34,65098.34,,,
2005-11-01,,,,,,,130.389,1747.68,1747.68,3099.799,63467.87,63467.87,,,
2005-12-01,,,,,,,162.997,2184.75,2184.75,3461.826,70880.31,70880.31,,,
2006-01-01,,,,,,,85.373,1241.0,1241.0,3140.703,63850.0,63850.0,,,
2006-02-01,,,,,,,96.506,1403.0,1403.0,2991.175,60810.0,60810.0,,,
2006-03-01,,,,,,,127.17200000000001,1848.0,1848.0,3056.4280000000003,62137.0,62137.0,,,
2006-04-01,,,,,,,105.24,1530.0,1530.0,2600.339,52865.0,52865.0,,,
2006-05-01,,,,,,,138.627,2015.0,2015.0,2778.93,56495.0,56495.0,,,
2006-06-01,,,,,,,178.568,2595.0,2595.0,3010.554,61204.0,61204.0,,,
2006-07-01,,,,,,,319.541,4644.0,4644.0,3424.4990000000003,69620.0,69620.0,,,
2006-08-01,,,,,,,283.94100000000003,4127.0,4127.0,3449.2090000000003,70122.0,70122.0,,,
2006-09-01,,,,,,,167.02,2427.0,2427.0,2865.877,58263.0,58263.0,,,
2006-10-01,,,,,,,180.915,2629.0,2629.0,2964.2980000000002,60264.0,60264.0,,,
2006-11-01,,,,,,,121.628,1768.0,1768.0,2930.969,59586.0,59586.0,,,
2006-12-01,,,,,,,123.468,1794.0,1794.0,3173.0190000000002,64507.0,64507.0,,,
2007-01-01,,,,,,,23.116,532.0,532.0,3225.884,74281.0,74281.0,,,
2007-02-01,,,,,,,127.736,2744.0,2744.0,3527.264,75777.0,75777.0,,,
2007-03-01,,,,,,,5.244000000000001,116.0,116.0,3429.7560000000003,75968.0,75968.0,,,
2007-04-01,,,,,,,0.381,8.0,8.0,3465.619,73411.0,73411.0,,,
2007-05-01,,,,,,,48.699000000000005,1145.0,1145.0,815.301,19175.0,19175.0,,,
2007-06-01,,,,,,,302.875,5950.0,5950.0,3332.125,65459.0,65459.0,,,
2007-07-01,,,,,,,552.0930000000001,10790.0,10790.0,3393.907,66329.0,66329.0,,,
2007-08-01,,,,,,,411.103,7869.0,7869.0,3778.8970000000004,72332.0,72332.0,,,
2007-09-01,,,,,,,156.479,3166.0,3166.0,2838.521,57437.0,57437.0,,,
2007-10-01,,,,,,,70.443,1471.0,1471.0,2885.5570000000002,60239.0,60239.0,,,
2007-11-01,,,,,,,21.06,462.0,462.0,3320.94,72784.0,72784.0,,,
2007-12-01,,,,,,,129.053,2913.0,2913.0,3657.947,82563.0,82563.0,,,
2008-01-01,,,,,,,27.251,594.0,594.0,3694.7490000000003,80527.0,80527.0,,,
2008-02-01,,,,,,,34.221000000000004,745.0,745.0,3587.779,78109.0,78109.0,,,
2008-03-01,,,,,,,0.0,0.0,0.0,4005.0,82832.0,82832.0,,,
2008-04-01,,,,,,,0.0,0.0,0.0,634.0,15927.0,15927.0,,,
2008-05-01,,,,,,,39.097,856.0,856.0,2801.9030000000002,61370.0,61370.0,,,
2008-06-01,,,,,,,112.53500000000001,2441.0,2441.0,2890.465,62685.0,62685.0,,,
2008-07-01,,,,,,,80.113,1584.0,1584.0,3554.887,70290.0,70290.0,,,
2008-08-01,,,,,,,122.56200000000001,2513.0,2513.0,3532.438,72442.0,72442.0,,,
2008-09-01,,,,,,,16.546,337.0,337.0,2922.454,59453.0,59453.0,,,
2008-10-01,,,,,,,0.0,0.0,0.0,3118.0,70540.0,70540.0,,,
2008-11-01,,,,,,,37.907000000000004,865.0,865.0,3162.0930000000003,72123.0,72123.0,,,
2008-12-01,,,,,,,8.494,199.0,199.0,3554.5060000000003,83155.0,83155.0,,,
2009-01-01,,,,,,,2.468,55.0,55.0,3218.532,71985.0,71985.0,184.047,1796.0,1796.0
2009-02-01,,,,,,,0.185,4.0,4.0,2816.815,62591.0,62591.0,185.779,1813.0,1813.0
2009-03-01,,,,,,,0.0,0.0,0.0,3045.0,72193.0,72193.0,202.579,1977.0,1977.0
2009-04-01,,,,,,,0.248,8.0,8.0,379.752,12250.0,12250.0,203.781,1989.0,1989.0
2009-05-01,,,,,,,0.0,545.0,545.0,0.0,122.0,122.0,179.465,1752.0,1752.0
2009-06-01,,,,,,,87.694,1898.0,1898.0,2986.306,64627.0,64627.0,108.956,1063.0,1063.0
2009-07-01,,,,,,,1.6660000000000001,36.0,36.0,2916.3340000000003,63719.0,63719.0,97.91900000000001,956.0,956.0
2009-08-01,,,,,,,7.248,163.0,163.0,2954.752,66518.0,66518.0,116.32700000000001,1135.0,1135.0
2009-09-01,,,,,,,1318.169,27608.0,27608.0,1615.8310000000001,33842.0,33842.0,95.055,928.0,928.0
2009-10-01,,,,,,,1197.5320000000002,27369.0,27369.0,1826.468,41743.0,41743.0,152.336,1487.0,1487.0
2009-11-01,,,,,,,28.687,657.0,657.0,2878.313,65965.0,65965.0,149.576,1460.0,1460.0
2009-12-01,,,,,,,17.138,415.0,415.0,3152.862,76369.0,76369.0,167.18,1632.0,1632.0
2010-01-01,,,,,,,0.0,0.0,0.0,3237.0,77279.0,77279.0,573.3580000000001,5594.0,5594.0
2010-02-01,,,,,,,30.043000000000003,735.0,735.0,2547.9570000000003,62362.0,62362.0,357.34000000000003,3486.0,3486.0
2010-03-01,,,,,,,12.747,307.0,307.0,2664.253,64173.0,64173.0,584.596,5703.0,5703.0
2010-04-01,,,,,,,12.501000000000001,278.0,278.0,1166.499,25918.0,25918.0,628.073,6127.0,6127.0
2010-05-01,,,,,,,34.974000000000004,819.0,819.0,1617.026,37870.0,37870.0,573.13,5591.0,5591.0
2010-06-01,,,,,,,6.4350000000000005,143.0,143.0,2786.565,62109.0,62109.0,382.87100000000004,3735.0,3735.0
2010-07-01,,,,,,,380.363,8536.0,8536.0,2625.637,58925.0,58925.0,349.23400000000004,3407.0,3407.0
2010-08-01,,,,,,,596.4970000000001,12815.0,12815.0,2571.503,55245.0,55245.0,428.173,4177.0,4177.0
2010-09-01,,,,,,,0.0,0.0,0.0,2711.0,61125.0,61125.0,447.875,4369.0,4369.0
2010-10-01,,,,,,,994.774,22946.0,22946.0,1780.226,41064.0,41064.0,562.7080000000001,5490.0,5490.0
2010-11-01,,,,,,,1358.296,32113.0,32113.0,1410.7040000000002,33352.0,33352.0,657.9490000000001,6419.0,6419.0
2010-12-01,,,,,,,751.4970000000001,17562.0,17562.0,2036.5030000000002,47590.0,47590.0,596.693,5821.0,5821.0
2011-01-01,,,,,,,1271.568,32579.0,32579.0,1550.432,39723.0,39723.0,486.184,4724.0,4724.0
2011-02-01,,,,,,,676.861,16124.0,16124.0,2129.139,50719.0,50719.0,717.085,6967.0,6967.0
2011-03-01,,,,,,,0.0,0.0,0.0,2870.0,69581.0,69581.0,556.475,5407.0,5407.0
2011-04-01,,,,,,,48.327,1134.0,1134.0,954.673,22406.0,22406.0,657.015,6384.0,6384.0
2011-05-01,,,,,,,1.251,31.0,31.0,877.749,21468.0,21468.0,722.477,7020.0,7020.0
2011-06-01,,,,,,,133.424,7109.0,7109.0,186.576,9942.0,9942.0,491.974,4780.0,4780.0
2011-07-01,,,,,,,398.554,9898.0,9898.0,2328.446,57826.0,57826.0,302.077,2935.0,2935.0
2011-08-01,,,,,,,70.042,1650.0,1650.0,2727.958,64277.0,64277.0,276.467,2686.0,2686.0
2011-09-01,,,,,,,51.512,1250.0,1250.0,2363.488,57371.0,57371.0,364.242,3539.0,3539.0
2011-10-01,,,,,,,0.0,0.0,0.0,2435.0,60569.0,60569.0,740.254,7192.0,7192.0
2011-11-01,,,,,,,3.479,97.0,97.0,2495.521,69546.0,69546.0,815.256,7921.0,7921.0
2011-12-01,,,,,,,0.0,0.0,0.0,2734.0,69546.0,69546.0,740.494,7195.0,7195.0
2012-01-01,,,,,,,0.0,0.0,0.0,3177.0,77418.0,77418.0,806.049,7670.0,7670.0
2012-02-01,,,,,,,8.405,204.0,204.0,2690.595,65308.0,65308.0,586.044,5577.0,5577.0
2012-03-01,,,,,,,8.156,190.0,190.0,2517.844,58568.0,58568.0,691.338,6579.0,6579.0
2012-04-01,,,,,,,8.33,218.0,218.0,717.67,18813.0,18813.0,756.583,7200.0,7200.0
2012-05-01,,,,,,,873.085,6086.0,6086.0,220.915,1540.0,1540.0,737.112,7014.0,7014.0
2012-06-01,,,,,,,976.595,24199.0,24199.0,995.405,24665.0,24665.0,574.828,5470.0,5470.0
2012-07-01,,,,,,,621.563,15165.0,15165.0,2674.437,65250.0,65250.0,377.154,3589.0,3589.0
2012-08-01,,,,,,,783.573,18197.0,18197.0,2329.427,54097.0,54097.0,401.145,3817.0,3817.0
2012-09-01,,,,,,,187.534,2992.0,2992.0,3657.466,58356.0,58356.0,492.996,4691.0,4691.0
2012-10-01,,,,,,,189.415,4445.0,4445.0,2668.585,62626.0,62626.0,788.763,7506.0,7506.0
2012-11-01,,,,,,,30.258,728.0,728.0,1688.742,40647.0,40647.0,735.004,6994.0,6994.0
2012-12-01,,,,,,,110.18,2615.0,2615.0,3087.82,73291.0,73291.0,611.984,5824.0,5824.0
2013-01-01,0.0,0.0,0.0,,,,3.444,80.0,80.0,3341.556,77945.0,77945.0,536.409,5118.0,5118.0
2013-02-01,0.0,0.0,0.0,,,,62.305,1477.0,1477.0,2961.695,70210.0,70210.0,410.321,3915.0,3915.0
2013-03-01,0.0,0.0,0.0,,,,532.645,12807.0,12807.0,2485.355,59758.0,59758.0,438.161,4180.0,4180.0
2013-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,475.424,4536.0,4536.0
2013-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,465.623,4443.0,4443.0
2013-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,330.418,3153.0,3153.0
2013-07-01,0.0,0.0,0.0,,,,0.0,1078.0,1078.0,0.0,845.0,845.0,302.427,2885.0,2885.0
2013-08-01,0.0,0.0,0.0,,,,216.376,5095.0,5095.0,125.624,2958.0,2958.0,221.74,2116.0,2116.0
2013-09-01,0.0,0.0,0.0,,,,1108.596,28391.0,28391.0,1764.404,45186.0,45186.0,360.641,3441.0,3441.0
2013-10-01,0.0,0.0,0.0,,,,353.146,8416.0,8416.0,2690.854,64128.0,64128.0,411.784,3929.0,3929.0
2013-11-01,0.0,0.0,0.0,,,,759.174,17626.0,17626.0,1883.826,43737.0,43737.0,552.224,5269.0,5269.0
2013-12-01,0.0,0.0,0.0,,,,244.188,5701.0,5701.0,3179.812,74239.0,74239.0,403.828,3853.0,3853.0
2014-01-01,0.0,0.0,0.0,,,,483.472,6256.0,12006.0,2566.528,33210.0,63733.0,821.897,7816.0,7816.0
2014-02-01,0.0,0.0,0.0,,,,826.234,10549.0,19372.0,2142.766,27358.0,50240.0,680.781,6474.0,6474.0
2014-03-01,0.0,0.0,0.0,,,,39.147,503.0,899.0,2751.853,35391.0,63210.0,718.21,6830.0,6830.0
2014-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,64.0,830.0,1300.0,750.831,7140.0,7140.0
2014-05-01,0.0,0.0,0.0,,,,11.183,164.0,258.0,312.817,4579.0,7225.0,572.158,5441.0,5441.0
2014-06-01,0.0,0.0,0.0,,,,517.083,6945.0,11429.0,1062.917,14277.0,23494.0,464.247,4415.0,4415.0
2014-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,3045.0,40842.0,66946.0,466.15,4433.0,4433.0
2014-08-01,0.0,0.0,0.0,,,,21.355,288.0,475.0,2990.645,40292.0,66504.0,222.218,2113.0,2113.0
2014-09-01,0.0,0.0,0.0,,,,1112.715,14764.0,24941.0,1732.285,22984.0,38828.0,480.313,4568.0,4568.0
2014-10-01,0.0,0.0,0.0,,,,1454.772,18905.0,31617.0,1644.228,21368.0,35734.0,641.914,6105.0,6105.0
2014-11-01,0.0,0.0,0.0,,,,1548.156,20024.0,35786.0,1548.844,20033.0,35802.0,804.178,7648.0,7648.0
2014-12-01,0.0,0.0,0.0,,,,1152.078,14892.0,26600.0,2041.922,26394.0,47145.0,632.103,6011.0,6011.0
2015-01-01,0.0,0.0,0.0,,,,54.848,727.0,1304.0,3160.152,41889.0,75137.0,758.08,7065.0,7065.0
2015-02-01,0.0,0.0,0.0,,,,96.532,1286.0,2408.0,2685.468,35780.0,66998.0,691.334,6443.0,6443.0
2015-03-01,0.0,0.0,0.0,,,,40.874,542.0,937.0,3144.126,41710.0,72045.0,755.733,7043.0,7043.0
2015-04-01,0.0,0.0,0.0,,,,61.437,972.0,1591.0,436.563,6909.0,11306.0,784.327,7309.0,7309.0
2015-05-01,0.0,0.0,0.0,,,,217.754,4258.0,15871.0,3.246,63.0,237.0,720.205,6712.0,6712.0
2015-06-01,0.0,0.0,0.0,,,,726.986,9993.0,16417.0,1363.014,18736.0,30780.0,402.467,3751.0,3751.0
2015-07-01,0.0,0.0,0.0,,,,1332.145,17970.0,30108.0,1790.855,24157.0,40476.0,356.748,3325.0,3325.0
2015-08-01,0.0,0.0,0.0,,,,1004.972,14341.0,22664.0,55.028,785.0,1241.0,473.564,4413.0,4413.0
2015-09-01,0.0,0.0,0.0,,,,158.093,2597.0,4260.0,264.907,4352.0,7138.0,535.877,4994.0,4994.0
2015-10-01,0.0,0.0,0.0,,,,105.235,1966.0,3083.0,129.765,2424.0,3801.0,723.231,6740.0,6740.0
2015-11-01,0.0,0.0,0.0,,,,116.83,1525.0,2493.0,2971.17,38782.0,63392.0,879.985,8201.0,8201.0
2015-12-01,0.0,0.0,0.0,,,,23.493,310.0,513.0,2121.507,27987.0,46284.0,724.449,6751.0,6751.0
2016-01-01,0.0,0.0,0.0,,,,17.35,110.0,447.0,1950.65,12409.0,50291.0,637.916,5889.0,5889.0
2016-02-01,0.0,0.0,0.0,,,,20.846,127.0,509.0,2650.154,16198.0,64685.0,687.157,6344.0,6344.0
2016-03-01,0.0,0.0,0.0,,,,13.534,82.0,317.0,3173.466,19319.0,74436.0,656.876,6064.0,6064.0
2016-04-01,0.0,0.0,0.0,,,,64.531,412.0,1333.0,1096.469,7000.0,22658.0,830.207,7664.0,7664.0
2016-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,506.362,4675.0,4675.0
2016-06-01,0.0,0.0,0.0,,,,1606.491,10159.0,36299.0,362.509,2292.0,8191.0,488.586,4511.0,4511.0
2016-07-01,0.0,0.0,0.0,,,,1865.149,11628.0,41255.0,1363.851,8503.0,30167.0,385.592,3560.0,3560.0
2016-08-01,0.0,0.0,0.0,,,,2507.862,15795.0,55228.0,39.138,247.0,862.0,320.185,2956.0,2956.0
2016-09-01,0.0,0.0,0.0,,,,1065.748,6500.0,23047.0,2059.252,12560.0,44531.0,607.648,5610.0,5610.0
2016-10-01,0.0,0.0,0.0,,,,49.196,299.0,1070.0,3197.804,19443.0,69548.0,694.794,6414.0,6414.0
2016-11-01,0.0,0.0,0.0,,,,50.152,303.0,1120.0,3167.848,19161.0,70771.0,723.38,6678.0,6678.0
2016-12-01,0.0,0.0,0.0,,,,20.57,125.0,508.0,3016.43,18389.0,74522.0,966.297,8921.0,8921.0
2017-01-01,0.0,0.0,0.0,,,,35.413,215.0,862.0,3235.587,19638.0,78763.0,541.125,4985.0,4985.0
2017-02-01,0.0,0.0,0.0,,,,0.66,4.0,16.0,2903.34,17644.0,69309.0,639.213,5889.0,5889.0
2017-03-01,0.0,0.0,0.0,,,,37.205,226.0,898.0,3235.795,19622.0,78079.0,645.419,5946.0,5946.0
2017-04-01,0.0,0.0,0.0,,,,3.194,21.0,71.0,926.806,6068.0,20606.0,579.538,5339.0,5339.0
2017-05-01,0.0,0.0,0.0,,,,21.927,154.0,569.0,550.073,3857.0,14280.0,532.11,4902.0,4902.0
2017-06-01,0.0,0.0,0.0,,,,27.614,170.0,622.0,2951.386,18140.0,66503.0,419.973,3869.0,3869.0
2017-07-01,0.0,0.0,0.0,,,,184.521,1144.0,4273.0,3032.479,18808.0,70222.0,284.961,2625.0,2625.0
2017-08-01,0.0,0.0,0.0,,,,192.085,1219.0,4441.0,2908.915,18465.0,67260.0,241.199,2222.0,2222.0
2017-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,449.853,4144.0,4144.0
2017-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,658.829,6070.0,6070.0
2017-11-01,0.0,0.0,0.0,,,,942.0,6142.0,23046.0,0.0,0.0,0.0,637.366,5872.0,5872.0
2017-12-01,0.0,0.0,0.0,,,,1911.0,11806.0,47794.0,0.0,0.0,0.0,633.414,5836.0,5836.0
2018-01-01,0.0,0.0,0.0,,,,3137.639,18868.0,74068.0,193.361,1163.0,4565.0,579.136,5272.0,5272.0
2018-02-01,0.0,0.0,0.0,,,,2871.399,17385.0,74614.0,55.601,337.0,1445.0,495.635,4512.0,4512.0
2018-03-01,0.0,0.0,0.0,,,,1491.634,9419.0,36924.0,75.366,476.0,1866.0,535.068,4871.0,4871.0
2018-04-01,0.0,0.0,0.0,,,,84.0,530.0,2367.0,0.0,0.0,0.0,480.264,4372.0,4372.0
2018-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,379.188,3452.0,3452.0
2018-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,443.847,4041.0,4041.0
2018-07-01,0.0,0.0,0.0,,,,165.0,1045.0,3477.0,0.0,0.0,0.0,299.712,2729.0,2729.0
2018-08-01,0.0,0.0,0.0,,,,104.0,656.0,1457.0,0.0,0.0,0.0,305.925,2785.0,2785.0
2018-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,443.957,4042.0,4042.0
2018-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,474.187,4317.0,4317.0
2018-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,469.769,4277.0,4277.0
2018-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,467.312,4254.0,4254.0
2019-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,590.92,5262.0,5262.0
2019-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,480.179,4276.0,4276.0
2019-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,602.733,5367.0,5367.0
2019-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,496.029,4417.0,4417.0
2019-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,538.543,4796.0,4796.0
2019-06-01,0.0,0.0,0.0,,,,0.0,0.0,281.0,0.0,0.0,0.0,395.499,3522.0,3522.0
2019-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,350.515,3121.0,3121.0
2019-08-01,0.0,0.0,0.0,,,,0.0,0.0,763.0,0.0,0.0,0.0,317.528,2828.0,2828.0
2019-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,550.675,4904.0,4904.0
2019-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,709.44,6318.0,6318.0
2019-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,623.396,5551.0,5551.0
2019-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,552.543,4920.0,4920.0
2020-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,581.988,5102.0,5102.0
2020-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,751.025,6584.0,6584.0
2020-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,746.487,6544.0,6544.0
2020-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,623.136,5463.0,5463.0
2020-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,536.811,4706.0,4706.0
2020-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,583.432,5115.0,5115.0
2020-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,395.504,3467.0,3467.0
2020-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,529.517,4642.0,4642.0
2020-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,558.184,4894.0,4894.0
2020-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,568.271,4982.0,4982.0
2020-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,670.856,5881.0,5881.0
2020-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,612.789,5372.0,5372.0
2021-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,457.514,4046.0,4046.0
2021-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,362.75,3208.0,3208.0
2021-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,562.671,4976.0,4976.0
2021-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,605.944,5359.0,5359.0
2021-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,500.513,4427.0,4427.0
2021-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,387.866,3430.0,3430.0
2021-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,314.552,2782.0,2782.0
