measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-07-01,0.0,0.0,0.0,1391.0080600000001,12857.44,16578.42,238.01869,2200.07,2836.77,71263.46825,658706.09,849337.85
2004-08-01,0.0,0.0,0.0,718.4563,6640.87,8562.75,217.21199000000001,2007.74,2588.79,71249.12471,658573.51,849166.11
2004-09-01,0.0,0.0,0.0,742.56117,6863.68,8850.06,258.18953,2386.51,3077.18,71151.9393,657675.19,848009.18
2004-10-01,0.0,0.0,0.0,945.19343,8736.66,11265.08,241.49854,2232.23,2878.25,73639.58503,680669.13,877656.87
2004-11-01,0.0,0.0,0.0,899.3492,8312.91,10718.69,214.86181,1986.02,2560.78,66870.36299,618099.52,796979.16
2004-12-01,0.0,0.0,0.0,524.9653000000001,4852.39,6256.7,306.15558,2829.87,3648.86,72448.75212,669661.96,863466.47
2005-01-01,,,,1764.87046,16313.14,20833.08,323.35253,2988.83,3816.95,67290.19701,621980.14,794314.35
2005-02-01,,,,406.24079,3754.99,4795.39,286.66089,2649.68,3383.83,61096.44532,564729.75,721201.29
2005-03-01,,,,348.60414000000003,3222.24,4115.03,342.0792,3161.92,4038.01,65491.46266,605354.0,773081.48
2005-04-01,,,,348.79706,3224.02,4117.31,350.71542,3241.75,4139.95,53878.73252,498014.62,636001.15
2005-05-01,,,,351.67539,3250.62,4151.29,284.51389,2629.83,3358.49,51186.20471,473126.9,604217.78
2005-06-01,,,,426.00856,3937.7,5028.74,484.04196,4474.12,5713.78,65609.87648,606448.53,774479.22
2005-07-01,,,,806.80893,7457.54,9523.82,623.75606,5765.53,7363.01,73201.469,676619.52,864092.7
2005-08-01,,,,714.59728,6605.2,8435.33,666.88872,6164.22,7872.16,72504.93,670181.23,855870.5
2005-09-01,,,,397.62052,3675.31,4693.64,441.15314,4077.69,5207.51,65315.76134,603729.94,771007.4
2005-10-01,,,,557.46891,5152.82,6580.54,305.08082,2819.94,3601.27,61165.36928,565366.83,722014.91
2005-11-01,,,,375.37499,3469.69,4431.04,273.84449,2531.21,3232.54,60066.68453,555211.42,709045.65
2005-12-01,,,,1028.23554,9504.24,12137.61,295.87083,2734.81,3492.55,69285.82563,640426.24,817871.34
2006-01-01,,,,9.22091,85.23,103.22,371.9782,3438.29,4163.8,64147.29689,592929.54,718043.71
2006-02-01,,,,11.56246,106.87,129.43,370.88725999999997,3428.2,4151.66,60311.79928,557477.07,675121.57
2006-03-01,,,,21.0485,194.56,235.62,404.60505,3739.87,4529.24,58893.57145,544368.03,659267.9
2006-04-01,,,,9.98238,92.27,111.74,340.19501,3144.51,3808.02,58952.6926,544914.51,659895.87
2006-05-01,,,,6.894979999999999,63.73,77.18,330.01997,3050.46,3694.05,62001.71504,573097.38,694010.66
2006-06-01,,,,6.63898,61.37,74.32,422.13096,3901.86,4725.4,63421.98806,586225.32,709955.5
2006-07-01,,,,8.22326,76.01,92.07,632.07827,5842.46,7076.57,66592.18248,615528.22,745547.37
2006-08-01,,,,8.75537,80.93,98.02,595.10157,5500.67,6662.41,66564.84806,615275.56,745220.95
2006-09-01,,,,5.11604,47.29,57.27,422.14501,3901.99,4725.64,60120.72596,555710.93,673013.03
2006-10-01,,,,5.09493,47.09,57.04,470.77291,4351.47,5270.26,58858.83116,544046.91,658918.86
2006-11-01,,,,8.28172,76.55,92.71,404.95230000000004,3743.08,4533.12,59676.16598,551601.75,668028.11
2006-12-01,,,,9.22593,85.28,103.27,395.70671,3657.62,4429.5,63607.93036,587944.04,712021.05
2007-01-01,,,,0.0,0.0,0.0,773.05,7583.0,10033.0,43881.95,430442.0,569522.0
2007-02-01,,,,0.0,0.0,0.0,283.208,2746.0,3372.0,53750.792,521353.0,639930.0
2007-03-01,,,,0.0,0.0,0.0,491.77700000000004,4753.0,6259.0,67785.223,655140.0,862782.0
2007-04-01,,,,0.0,0.0,0.0,345.233,3333.0,4317.0,66942.767,646347.0,837089.0
2007-05-01,,,,0.0,0.0,0.0,166.269,1602.0,2051.0,71880.731,692338.0,886815.0
2007-06-01,,,,0.0,0.0,0.0,1012.5310000000001,9810.0,12680.0,55929.469,541886.0,700428.0
2007-07-01,,,,0.0,0.0,0.0,191.602,2010.0,2509.0,65539.398,687670.0,858200.0
2007-08-01,,,,0.0,0.0,0.0,503.437,4842.0,5905.0,72626.563,698595.0,851796.0
2007-09-01,,,,0.0,0.0,0.0,368.35400000000004,3583.0,4404.0,50349.646,489736.0,601922.0
2007-10-01,,,,0.0,0.0,0.0,622.379,6006.0,7592.0,69636.621,672018.0,849454.0
2007-11-01,,,,0.0,0.0,0.0,309.021,2993.0,3862.0,64188.979,621873.0,802112.0
2007-12-01,,,,0.0,0.0,0.0,441.978,4272.0,5484.0,69735.022,674023.0,865338.0
2008-01-01,,,,0.0,0.0,0.0,394.96700000000004,3820.0,4831.0,70584.033,682717.0,863348.0
2008-02-01,,,,0.0,0.0,0.0,268.67400000000004,2606.0,3330.0,63677.326,617652.0,789293.0
2008-03-01,,,,0.0,0.0,0.0,470.877,4571.0,5764.0,66308.123,643674.0,811687.0
2008-04-01,,,,0.0,0.0,0.0,518.55,5050.0,6342.0,53291.450000000004,518997.0,651815.0
2008-05-01,,,,0.0,0.0,0.0,409.368,3953.0,4945.0,70133.632,677196.0,847132.0
2008-06-01,,,,0.0,0.0,0.0,333.48400000000004,3218.0,3947.0,67180.516,648240.0,795072.0
2008-07-01,,,,0.0,0.0,0.0,147.423,1422.0,1786.0,70465.577,679718.0,853824.0
2008-08-01,,,,0.0,0.0,0.0,165.65200000000002,1601.0,2005.0,69050.348,667414.0,835928.0
2008-09-01,,,,0.0,0.0,0.0,717.2470000000001,6991.0,9003.0,47382.753,461846.0,594769.0
2008-10-01,,,,0.0,0.0,0.0,2397.338,23330.0,29017.0,52533.662,511227.0,635855.0
2008-11-01,,,,0.0,0.0,0.0,12.603,122.0,159.0,65264.397,633769.0,822313.0
2008-12-01,,,,0.0,0.0,0.0,234.455,2283.0,2968.0,65578.545,638453.0,830164.0
2009-01-01,,,,2.39,23.0,29.0,121.77,1185.0,1498.0,66239.84,644427.0,814836.0
2009-02-01,,,,4.248,41.0,53.0,5.878,57.0,73.0,35668.874,346450.0,444301.0
2009-03-01,,,,13.859,138.0,188.0,2367.3160000000003,23564.0,32140.0,34540.825,343821.0,468941.0
2009-04-01,,,,13.458,142.0,218.0,2433.382,25762.0,39339.0,13857.16,146704.0,224017.0
2009-05-01,,,,20.09,216.0,323.0,1452.4080000000001,15604.0,23380.0,12447.502,133728.0,200371.0
2009-06-01,,,,2.125,22.0,29.0,66.376,680.0,918.0,20748.499,212604.0,287068.0
2009-07-01,,,,26.995,264.0,341.0,823.904,8058.0,10409.0,51791.101,506503.0,654291.0
2009-08-01,,,,0.0,0.0,0.0,138.006,1357.0,1751.0,62685.994,616344.0,795462.0
2009-09-01,,,,6.19,62.0,82.0,154.9,1563.0,2060.0,46899.91,473106.0,623751.0
2009-10-01,,,,8.618,84.0,106.0,175.358,1712.0,2154.0,61422.024,599821.0,754374.0
2009-11-01,,,,10.305,102.0,135.0,229.50900000000001,2267.0,3012.0,62993.186,622185.0,826702.0
2009-12-01,,,,17.967000000000002,177.0,241.0,112.79700000000001,1114.0,1514.0,65204.236,644024.0,874915.0
2010-01-01,,,,18.632,181.0,247.0,288.759,2811.0,3827.0,65146.609,634095.0,863506.0
2010-02-01,,,,83.358,822.0,1117.0,13.334000000000001,132.0,179.0,57580.308,568087.0,771714.0
2010-03-01,,,,9.375,93.0,123.0,457.511,4521.0,6026.0,67002.114,662032.0,882503.0
2010-04-01,,,,6.515000000000001,63.0,82.0,75.94200000000001,735.0,960.0,67064.543,649266.0,847440.0
2010-05-01,,,,8.591000000000001,84.0,106.0,817.259,8006.0,10068.0,62902.15,616232.0,774912.0
2010-06-01,,,,2.422,30.0,53.0,365.94300000000004,4572.0,7995.0,2793.635,34906.0,61033.0
2010-07-01,,,,13.185,129.0,165.0,2823.532,27563.0,35257.0,61903.283,604300.0,772986.0
2010-08-01,,,,6.936,68.0,82.0,109.254,1075.0,1297.0,67374.81,663016.0,799672.0
2010-09-01,,,,19.094,187.0,241.0,474.60400000000004,4658.0,5992.0,63822.302,626445.0,805817.0
2010-10-01,,,,70.929,699.0,900.0,179.104,1765.0,2272.0,69319.967,683035.0,879237.0
2010-11-01,,,,4.057,40.0,53.0,325.462,3237.0,4246.0,65470.481,651234.0,854033.0
2010-12-01,,,,4.079000000000001,40.0,53.0,277.402,2730.0,3599.0,69018.519,679160.0,895419.0
2011-01-01,,,,6.108,60.0,82.0,187.565,1846.0,2528.0,63320.327,623295.0,853458.0
2011-02-01,,,,65.454,661.0,888.0,680.895,6881.0,9236.0,40092.651,405161.0,543855.0
2011-03-01,,,,7.966,79.0,106.0,1113.717,11055.0,14798.0,66206.317,657206.0,879678.0
2011-04-01,,,,2.285,23.0,29.0,224.485,2216.0,2888.0,62728.23,619164.0,807019.0
2011-05-01,,,,26.965,268.0,353.0,198.019,1965.0,2591.0,65121.016,646190.0,852016.0
2011-06-01,,,,0.0,0.0,0.0,79.87,785.0,1022.0,68074.13,669330.0,871148.0
2011-07-01,,,,4.355,42.0,53.0,113.829,1100.0,1383.0,62525.816,604443.0,759863.0
2011-08-01,,,,8.377,82.0,106.0,194.369,1905.0,2456.0,60134.254,589245.0,759814.0
2011-09-01,,,,6.38,66.0,82.0,916.477,9444.0,11825.0,27346.143,281792.0,352841.0
2011-10-01,,,,0.0,0.0,0.0,1016.163,10790.0,15902.0,26178.837,277982.0,409670.0
2011-11-01,,,,5.996,61.0,82.0,437.101,4415.0,6001.0,45364.903,458219.0,622863.0
2011-12-01,,,,3.975,39.0,53.0,28.348,280.0,377.0,61447.677,607387.0,817997.0
2012-01-01,,,,9.825,100.0,135.0,2058.04,21013.0,28330.0,39973.135,408127.0,550250.0
2012-02-01,,,,0.0,0.0,0.0,85.498,852.0,1151.0,44875.502,447338.0,604195.0
2012-03-01,,,,11.087,112.0,147.0,220.569,2236.0,2925.0,42994.344,435856.0,570062.0
2012-04-01,,,,2.127,22.0,29.0,72.68,754.0,1005.0,34013.193,352988.0,470229.0
2012-05-01,,,,0.0,0.0,0.0,439.102,4378.0,5584.0,36918.898,368089.0,469475.0
2012-06-01,,,,0.0,0.0,0.0,3169.325,32344.0,41593.0,20457.675,208780.0,268476.0
2012-07-01,,,,0.0,0.0,0.0,2637.38,26174.0,33221.0,36851.62,365723.0,464190.0
2012-08-01,,,,4.117,41.0,53.0,612.439,6170.0,7872.0,39310.444,396027.0,505310.0
2012-09-01,,,,4.034,40.0,53.0,5673.058,56488.0,74418.0,37023.908,368655.0,485675.0
2012-10-01,,,,6.529,65.0,82.0,817.03,8104.0,10302.0,38974.441,386604.0,491435.0
2012-11-01,,,,4.009,40.0,53.0,773.824,7719.0,10215.0,55783.167,556480.0,736368.0
2012-12-01,,,,0.0,0.0,0.0,9.463,95.0,128.0,56380.537,563408.0,764109.0
2013-01-01,,,,2.184,22.0,29.0,153.465,1528.0,2065.0,52284.351,520492.0,703688.0
2013-02-01,,,,6.232,63.0,82.0,645.908,6521.0,8532.0,40113.86,404974.0,529874.0
2013-03-01,,,,2.262,22.0,29.0,101.812,1011.0,1323.0,52930.926,525358.0,687954.0
2013-04-01,,,,8.198,82.0,106.0,22.591,226.0,292.0,51670.211,516257.0,667112.0
2013-05-01,,,,5.856,58.0,82.0,248.665,2451.0,3496.0,54176.479,534054.0,761565.0
2013-06-01,,,,7.426,77.0,106.0,1422.791,14715.0,20278.0,24794.783,256432.0,353378.0
2013-07-01,,,,8.12,81.0,106.0,102.132,1025.0,1331.0,49865.748,500386.0,649992.0
2013-08-01,,,,8.243,84.0,106.0,761.546,7793.0,9778.0,48549.211,496811.0,623380.0
2013-09-01,,,,6.022,63.0,82.0,515.233,5365.0,7043.0,38063.745,396340.0,520301.0
2013-10-01,,,,21.635,221.0,294.0,358.881,3663.0,4877.0,51723.484,527913.0,702870.0
2013-11-01,,,,2.147,22.0,29.0,96.853,996.0,1326.0,48618.0,499995.0,665683.0
2013-12-01,,,,5.912,61.0,82.0,147.71,1519.0,2057.0,50574.378,519921.0,704219.0
2014-01-01,,,,3.584,36.0,53.0,34.851,355.0,515.0,55800.565,568242.0,823877.0
2014-02-01,,,,7.253,75.0,106.0,12.843,134.0,187.0,32986.904,343330.0,481356.0
2014-03-01,,,,8.376,87.0,135.0,249.172,2592.0,4023.0,36816.452,382916.0,594446.0
2014-04-01,,,,17.755,175.0,241.0,218.944,2155.0,2973.0,56895.301,560054.0,772526.0
2014-05-01,,,,0.0,0.0,0.0,3802.621,37699.0,51014.0,49599.379,491727.0,665399.0
2014-06-01,,,,21.287,212.0,294.0,1205.443,12013.0,16649.0,46261.27,461041.0,638934.0
2014-07-01,,,,8.335,82.0,106.0,208.855,2055.0,2652.0,58981.81,580317.0,748955.0
2014-08-01,,,,6.385,63.0,82.0,151.691,1496.0,1956.0,58117.924,573261.0,749295.0
2014-09-01,,,,0.0,0.0,0.0,89.157,891.0,1202.0,43335.843,433292.0,584117.0
2014-10-01,,,,2.257,22.0,29.0,162.997,1612.0,2123.0,56675.746,560501.0,738300.0
2014-11-01,,,,7.939,79.0,106.0,98.575,976.0,1314.0,56890.486,563220.0,758410.0
2014-12-01,,,,7.538,75.0,106.0,5600.915,55992.0,78642.0,41094.547,410817.0,577008.0
2015-01-01,,,,0.0,0.0,0.0,15040.696,152561.0,209583.0,20579.304,208740.0,286760.0
2015-02-01,,,,2.087,22.0,29.0,13.668,141.0,193.0,31476.245,325562.0,443329.0
2015-03-01,,,,2.096,21.0,29.0,2990.034,30203.0,41934.0,39498.87,398989.0,553953.0
2015-04-01,,,,2.177,22.0,29.0,112.937,1129.0,1525.0,50865.886,508597.0,686860.0
2015-05-01,,,,0.0,0.0,0.0,202.917,2027.0,2679.0,51504.083,514573.0,680017.0
2015-06-01,,,,7.879,79.0,106.0,48.769,487.0,655.0,50299.352,502791.0,675691.0
2015-07-01,,,,2.314,23.0,29.0,185.518,1850.0,2357.0,53249.168,530971.0,676528.0
2015-08-01,,,,10.464,109.0,135.0,23.502,246.0,304.0,28418.034,297019.0,367281.0
2015-09-01,,,,2.349,24.0,29.0,0.0,0.0,0.0,38073.651,386015.0,476438.0
2015-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,36019.0,367629.0,479298.0
2015-11-01,,,,2.452,25.0,29.0,0.0,0.0,0.0,40713.548,414471.0,488113.0
2015-12-01,,,,0.0,0.0,0.0,18089.0,178342.0,279760.0,0.0,0.0,0.0
2016-01-01,,,,0.0,0.0,0.0,19706.0,190547.0,287158.0,0.0,0.0,0.0
2016-02-01,,,,0.0,0.0,0.0,17186.0,167162.0,299188.0,0.0,0.0,0.0
2016-03-01,,,,0.0,0.0,0.0,17025.0,165718.0,256978.0,0.0,0.0,0.0
2016-04-01,,,,0.0,0.0,0.0,16057.0,156593.0,231129.0,0.0,0.0,0.0
2016-05-01,,,,0.0,0.0,0.0,1979.584,19165.0,26733.0,37450.416,362576.0,505736.0
2016-06-01,,,,4.077,40.0,53.0,1719.828,16839.0,22322.0,29465.095,288503.0,382437.0
2016-07-01,,,,6.613,64.0,82.0,268.271,2606.0,3340.0,33452.116,324969.0,416444.0
2016-08-01,,,,0.0,0.0,0.0,323.246,3197.0,4481.0,24312.754,240455.0,337016.0
2016-09-01,,,,34.276,339.0,488.0,252.086,2492.0,3589.0,21812.638,215607.0,310584.0
2016-10-01,,,,16.723,167.0,229.0,199.923,1997.0,2742.0,27434.354,273981.0,376210.0
2016-11-01,,,,5.891,59.0,82.0,0.073,1.0,1.0,26707.036,266899.0,373173.0
2016-12-01,,,,0.0,0.0,0.0,819.529,8027.0,11292.0,41487.471,406339.0,571645.0
2017-01-01,,,,7.433,72.0,106.0,406.11,3950.0,5782.0,52751.457,513088.0,751099.0
2017-02-01,,,,3.676,36.0,53.0,941.071,9157.0,13549.0,47174.253,459030.0,679170.0
2017-03-01,,,,13.497,131.0,188.0,1664.821,16204.0,23209.0,48880.682,475763.0,681449.0
2017-04-01,,,,1.145,11.0,18.0,73.978,728.0,1140.0,32615.877,321108.0,502515.0
2017-05-01,,,,8.591,96.0,135.0,850.707,9474.0,13392.0,18585.702,206979.0,292581.0
2017-06-01,,,,2.102,21.0,29.0,850.58,8638.0,11898.0,18864.318,191573.0,263884.0
2017-07-01,,,,2.094,21.0,29.0,2649.17,26620.0,37188.0,16638.736,167195.0,233568.0
2017-08-01,,,,1.983,20.0,29.0,65.429,672.0,970.0,18107.588,186110.0,268437.0
2017-09-01,,,,2.176,22.0,29.0,516.055,5158.0,6972.0,25207.769,251954.0,340566.0
2017-10-01,,,,4.463,44.0,53.0,62.995,628.0,747.0,31537.542,314325.0,373938.0
2017-11-01,,,,0.0,0.0,0.0,1907.552,19048.0,26214.0,30762.448,307175.0,422744.0
2017-12-01,,,,7.726,76.0,106.0,259.358,2537.0,3553.0,49178.916,481025.0,673753.0
2018-01-01,,,,7.626,74.0,106.0,150.428,1466.0,2088.0,54030.946,526454.0,749903.0
2018-02-01,,,,0.0,0.0,0.0,90.035,878.0,1227.0,48706.965,475192.0,663721.0
2018-03-01,,,,0.0,0.0,0.0,859.763,8480.0,12033.0,39893.237,393480.0,558325.0
2018-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,23704.0,241517.0,367797.0
2018-05-01,,,,0.0,0.0,0.0,10.667,109.0,158.0,22558.333,229878.0,334955.0
2018-06-01,,,,6.06,60.0,82.0,730.647,7290.0,9926.0,32282.293,322083.0,438545.0
2018-07-01,,,,4.128,41.0,53.0,1109.879,11097.0,14230.0,31900.993,318968.0,409010.0
2018-08-01,,,,0.0,0.0,0.0,203.781,2072.0,2909.0,20296.219,206349.0,289755.0
2018-09-01,,,,7.292,76.0,106.0,2239.323,23371.0,32503.0,15061.385,157188.0,218608.0
2018-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,19485.0,203478.0,303924.0
2018-11-01,,,,8.228,85.0,135.0,361.4,3754.0,5940.0,20360.372,211518.0,334666.0
2018-12-01,,,,5.597,58.0,82.0,44.488,458.0,654.0,22045.915,226942.0,324275.0
2019-01-01,,,,31.94,331.0,512.0,933.256,9672.0,14947.0,19773.804,204935.0,316701.0
2019-02-01,,,,0.0,0.0,0.0,693.806,7223.0,10527.0,19117.194,199028.0,290053.0
2019-03-01,,,,25.595,266.0,382.0,561.068,5829.0,8378.0,19695.337,204626.0,294099.0
2019-04-01,,,,3.547,37.0,53.0,60.046,628.0,896.0,18010.407,188508.0,268721.0
2019-05-01,,,,4.11,43.0,53.0,122.171,1273.0,1573.0,18592.719,193798.0,239426.0
2019-06-01,,,,0.807,8.0,12.0,1150.685,12105.0,16769.0,17480.508,183893.0,254742.0
2019-07-01,,,,0.0,0.0,0.0,285.399,2906.0,3699.0,27191.601,276904.0,352430.0
2019-08-01,,,,0.0,0.0,0.0,583.081,5951.0,7751.0,26634.919,271838.0,354060.0
2019-09-01,,,,0.0,0.0,0.0,1247.135,13914.0,17199.0,10239.865,114246.0,141218.0
2019-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
