measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Sludge Waste Generation,Sludge Waste Quantity Consumed For Electricity,Sludge Waste Total Fuel Consumed
2015-03-01,0.0,0.0,0.0,0.0,0.0,14113.0,0.0,0.0,8256.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,126636.0,0.0,0.0,6644.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,33163.0,0.0,0.0,1238.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,4067.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,4610.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,12870.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,9546.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,92598.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,6071.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,1863.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,13798.0,0.0,0.0,6106.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,24875.0,0.0,0.0,4813.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,13081.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,28175.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,82384.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,86211.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,4108.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,8833.0,0.0,0.0,8181.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,20864.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,11644.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,27553.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,4007.0,0.0,0.0,2175.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,18015.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,7762.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,67860.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,32741.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,134551.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,128327.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,3266.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,10054.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,2834.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,1751.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,43176.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,99903.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,106188.0,0.0,0.0,181.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,34177.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,29154.0,0.0,0.0,5438.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,88742.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,163452.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,90260.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,26220.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,47728.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,79436.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,50415.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,71491.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,44259.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,62959.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,69819.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,93550.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,118204.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,99464.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0,0.0,18226.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,0.0,0.0,52302.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,31995.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,145271.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,152901.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,109969.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,,,,0.0,0.0,41907.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,,,,0.0,0.0,156132.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,,,,0.0,0.0,75186.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,,,,0.0,0.0,131020.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,,,,0.0,0.0,101220.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,,,,0.0,0.0,106102.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,,,,0.0,0.0,61351.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,,,,0.0,0.0,61645.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,,,,0.0,0.0,29018.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,,,,0.0,0.0,128396.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,,,,0.0,0.0,143493.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,,,,0.0,0.0,75810.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,,,,0.0,0.0,54563.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,,,,0.0,0.0,35185.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,,,,0.0,0.0,41686.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,,,,0.0,0.0,5977.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,,,,0.0,0.0,31356.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,,,,0.0,0.0,36715.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,,,,0.0,0.0,1979.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,,,,0.0,0.0,68140.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,,,,0.0,0.0,109615.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,,,,0.0,0.0,148593.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,,,,0.0,0.0,67041.0,0.0,0.0,0.0,0.0,0.0,0.0
