measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2013-01-01,,,,0.0,0.0,0.0,,,,1137.83,10856.0,10856.0
2013-02-01,,,,0.0,0.0,0.0,,,,1246.274,11891.0,11891.0
2013-03-01,,,,0.0,0.0,0.0,,,,519.867,4960.0,4960.0
2013-04-01,,,,0.0,0.0,0.0,,,,218.543,2085.0,2085.0
2013-05-01,,,,0.0,0.0,0.0,,,,696.606,6646.0,6646.0
2013-06-01,,,,0.0,0.0,0.0,,,,540.977,5161.0,5161.0
2013-07-01,,,,0.0,0.0,0.0,,,,270.695,2583.0,2583.0
2013-08-01,,,,0.0,0.0,0.0,,,,740.894,7069.0,7069.0
2013-09-01,,,,0.0,0.0,0.0,,,,92.301,881.0,881.0
2013-10-01,,,,0.0,0.0,0.0,,,,278.559,2658.0,2658.0
2013-11-01,,,,0.0,0.0,0.0,,,,326.159,3112.0,3112.0
2013-12-01,,,,3.0,6.0,6.0,,,,193.295,1844.0,1844.0
2014-01-01,,,,0.0,0.0,0.0,,,,530.635,5046.0,5046.0
2014-02-01,,,,0.0,0.0,0.0,,,,474.986,4517.0,4517.0
2014-03-01,,,,0.0,0.0,0.0,,,,448.397,4264.0,4264.0
2014-04-01,,,,0.0,0.0,0.0,,,,465.623,4428.0,4428.0
2014-05-01,,,,0.0,0.0,0.0,,,,402.514,3828.0,3828.0
2014-06-01,,,,0.0,0.0,0.0,,,,373.972,3556.0,3556.0
2014-07-01,,,,0.0,0.0,0.0,,,,376.7,3582.0,3582.0
2014-08-01,,,,0.0,0.0,0.0,,,,451.338,4292.0,4292.0
2014-09-01,,,,0.0,0.0,0.0,,,,685.737,6521.0,6521.0
2014-10-01,,,,0.0,0.0,0.0,,,,516.166,4909.0,4909.0
2014-11-01,,,,0.0,0.0,0.0,,,,537.91,5116.0,5116.0
2014-12-01,,,,0.0,0.0,0.0,,,,590.882,5619.0,5619.0
2015-01-01,,,,0.0,0.0,0.0,,,,4.604,43.0,43.0
2015-02-01,,,,0.0,0.0,0.0,,,,5.793,54.0,54.0
2015-03-01,,,,0.0,0.0,0.0,,,,162.49,1514.0,1514.0
2015-04-01,,,,0.0,0.0,0.0,,,,753.783,7025.0,7025.0
2015-05-01,,,,0.0,0.0,0.0,,,,757.942,7063.0,7063.0
2015-06-01,,,,0.0,0.0,0.0,,,,269.282,2509.0,2509.0
2015-07-01,,,,0.0,0.0,0.0,,,,143.479,1337.0,1337.0
2015-08-01,,,,0.0,0.0,0.0,,,,811.561,7563.0,7563.0
2015-09-01,,,,0.0,0.0,0.0,,,,820.918,7650.0,7650.0
2015-10-01,,,,0.0,0.0,0.0,,,,662.586,6175.0,6175.0
2015-11-01,,,,0.0,0.0,0.0,,,,934.839,8712.0,8712.0
2015-12-01,,,,0.0,0.0,0.0,,,,744.723,6940.0,6940.0
2016-01-01,,,,0.0,0.0,0.0,,,,670.397,6189.0,6189.0
2016-02-01,,,,0.0,0.0,0.0,,,,548.992,5068.0,5068.0
2016-03-01,,,,0.0,0.0,0.0,,,,707.0,6527.0,6527.0
2016-04-01,,,,0.0,0.0,0.0,,,,470.976,4348.0,4348.0
2016-05-01,,,,0.0,0.0,0.0,,,,311.931,2880.0,2880.0
2016-06-01,,,,0.0,0.0,0.0,,,,368.798,3405.0,3405.0
2016-07-01,,,,0.0,0.0,0.0,,,,457.371,4222.0,4222.0
2016-08-01,,,,0.0,0.0,0.0,,,,662.083,6112.0,6112.0
2016-09-01,,,,0.0,0.0,0.0,,,,876.235,8089.0,8089.0
2016-10-01,,,,0.0,0.0,0.0,,,,830.71,7669.0,7669.0
2016-11-01,,,,0.0,0.0,0.0,,,,680.783,6285.0,6285.0
2016-12-01,,,,0.0,0.0,0.0,,,,755.724,6977.0,6977.0
2017-01-01,,,,0.0,0.0,0.0,,,,593.373,5467.0,5467.0
2017-02-01,,,,0.0,0.0,0.0,,,,532.133,4903.0,4903.0
2017-03-01,,,,0.0,0.0,0.0,,,,669.404,6167.0,6167.0
2017-04-01,,,,0.0,0.0,0.0,,,,651.764,6005.0,6005.0
2017-05-01,,,,0.0,0.0,0.0,,,,701.217,6460.0,6460.0
2017-06-01,,,,0.0,0.0,0.0,,,,677.83,6245.0,6245.0
2017-07-01,,,,0.0,0.0,0.0,,,,558.025,5141.0,5141.0
2017-08-01,,,,0.0,0.0,0.0,,,,454.882,4191.0,4191.0
2017-09-01,,,,0.0,0.0,0.0,,,,415.195,3825.0,3825.0
2017-10-01,,,,0.0,0.0,0.0,,,,371.998,3427.0,3427.0
2017-11-01,,,,0.0,0.0,0.0,,,,426.165,3926.0,3926.0
2017-12-01,,,,0.0,0.0,0.0,,,,501.014,4616.0,4616.0
2018-01-01,,,,0.0,0.0,0.0,,,,412.335,3754.0,3754.0
2018-02-01,,,,0.0,0.0,0.0,,,,408.606,3720.0,3720.0
2018-03-01,,,,0.0,0.0,0.0,,,,415.274,3781.0,3781.0
2018-04-01,,,,0.0,0.0,0.0,,,,438.252,3990.0,3990.0
2018-05-01,,,,0.0,0.0,0.0,,,,490.888,4469.0,4469.0
2018-06-01,,,,0.0,0.0,0.0,,,,447.148,4071.0,4071.0
2018-07-01,,,,0.0,0.0,0.0,,,,381.287,3471.0,3471.0
2018-08-01,,,,0.0,0.0,0.0,,,,330.616,3010.0,3010.0
2018-09-01,,,,0.0,0.0,0.0,,,,282.705,2574.0,2574.0
2018-10-01,,,,0.0,0.0,0.0,,,,279.087,2541.0,2541.0
2018-11-01,,,,0.0,0.0,0.0,,,,325.683,2965.0,2965.0
2018-12-01,,,,0.0,0.0,0.0,,,,336.119,3060.0,3060.0
2019-01-01,,,,0.0,0.0,0.0,,,,2764.328,24616.0,24616.0
2019-02-01,,,,0.0,0.0,0.0,,,,2585.739,23026.0,23026.0
2019-03-01,,,,0.0,0.0,0.0,,,,3027.696,26962.0,26962.0
2019-04-01,,,,0.0,0.0,0.0,,,,3102.817,27631.0,27631.0
2019-05-01,,,,0.0,0.0,0.0,,,,3706.713,33008.0,33008.0
2019-06-01,,,,0.0,0.0,0.0,,,,3235.846,28815.0,28815.0
2019-07-01,,,,0.0,0.0,0.0,,,,2795.142,24891.0,24891.0
2019-08-01,,,,0.0,0.0,0.0,,,,2682.901,23891.0,23891.0
2019-09-01,,,,0.0,0.0,0.0,,,,2150.132,19147.0,19147.0
2019-10-01,,,,0.0,0.0,0.0,,,,2144.237,19094.0,19094.0
2019-11-01,,,,0.0,0.0,0.0,,,,2496.32,22230.0,22230.0
2019-12-01,,,,0.0,0.0,0.0,,,,2621.129,23341.0,23341.0
2020-01-01,,,,0.0,0.0,0.0,,,,3639.656,31909.0,31909.0
2020-02-01,,,,0.0,0.0,0.0,,,,3800.656,33320.0,33320.0
2020-03-01,,,,0.0,0.0,0.0,,,,3334.259,29231.0,29231.0
2020-04-01,,,,0.0,0.0,0.0,,,,3081.428,27015.0,27015.0
2020-05-01,,,,0.0,0.0,0.0,,,,4520.191,39629.0,39629.0
2020-06-01,,,,0.0,0.0,0.0,,,,4403.239,38603.0,38603.0
2020-07-01,,,,0.0,0.0,0.0,,,,4144.137,36332.0,36332.0
2020-08-01,,,,0.0,0.0,0.0,,,,3511.024,30781.0,30781.0
2020-09-01,,,,0.0,0.0,0.0,,,,2813.028,24662.0,24662.0
2020-10-01,,,,0.0,0.0,0.0,,,,2797.63,24527.0,24527.0
2020-11-01,,,,0.0,0.0,0.0,,,,3219.353,28224.0,28224.0
2020-12-01,,,,0.0,0.0,0.0,,,,3348.399,29355.0,29355.0
2021-01-01,,,,0.0,0.0,0.0,,,,4627.689,40927.0,40927.0
2021-02-01,,,,0.0,0.0,0.0,,,,3850.576,34054.0,34054.0
2021-03-01,,,,0.0,0.0,0.0,,,,3692.9,32660.0,32660.0
2021-04-01,,,,0.0,0.0,0.0,,,,3257.417,28809.0,28809.0
2021-05-01,,,,0.0,0.0,0.0,,,,4035.622,35691.0,35691.0
2021-06-01,,,,0.0,0.0,0.0,,,,4345.132,38428.0,38428.0
2021-07-01,,,,0.0,0.0,0.0,,,,3868.8,34216.0,34216.0
2021-08-01,,,,0.0,0.0,0.0,,,,3650.554,32285.0,32285.0
2021-09-01,,,,0.0,0.0,0.0,,,,2994.259,26481.0,26481.0
2021-10-01,,,,0.0,0.0,0.0,,,,3072.61,27174.0,27174.0
2021-11-01,,,,0.0,0.0,0.0,,,,3601.16,31849.0,31849.0
2021-12-01,,,,0.0,0.0,0.0,,,,4627.281,40924.0,40924.0
2022-01-01,,,,0.0,0.0,0.0,,,,3512.186,11984.0,11984.0
2022-02-01,,,,0.0,0.0,0.0,,,,3021.706,10310.0,10310.0
2022-03-01,,,,0.0,0.0,0.0,,,,3291.752,11231.0,11231.0
2022-04-01,,,,0.0,0.0,0.0,,,,2467.341,8419.0,8419.0
2022-05-01,,,,0.0,0.0,0.0,,,,3106.133,10598.0,10598.0
2022-06-01,,,,0.0,0.0,0.0,,,,3706.513,12647.0,12647.0
2022-07-01,,,,0.0,0.0,0.0,,,,3540.573,12080.0,12080.0
2022-08-01,,,,0.0,0.0,0.0,,,,2972.542,10142.0,10142.0
2022-09-01,,,,0.0,0.0,0.0,,,,2281.463,7784.0,7784.0
2022-10-01,,,,0.0,0.0,0.0,,,,1982.983,6766.0,6766.0
2022-11-01,,,,0.0,0.0,0.0,,,,2501.551,8535.0,8535.0
2022-12-01,,,,0.0,0.0,0.0,,,,2787.257,9510.0,9510.0
2023-01-01,,,,0.0,0.0,0.0,,,,2271.0,7749.0,7749.0
2023-02-01,,,,0.0,0.0,0.0,,,,4392.0,14986.0,14986.0
2023-03-01,,,,0.0,0.0,0.0,,,,4270.0,14569.0,14569.0
2023-04-01,,,,0.0,0.0,0.0,,,,4133.0,14102.0,14102.0
2023-05-01,,,,0.0,0.0,0.0,,,,4252.0,14508.0,14508.0
2023-06-01,,,,0.0,0.0,0.0,,,,3984.0,13593.0,13593.0
2023-07-01,,,,0.0,0.0,0.0,,,,3781.0,12901.0,12901.0
2023-08-01,,,,0.0,0.0,0.0,,,,3133.0,10690.0,10690.0
2023-09-01,,,,0.0,0.0,0.0,,,,2542.0,8673.0,8673.0
2023-10-01,,,,0.0,0.0,0.0,,,,3114.0,10625.0,10625.0
2023-11-01,,,,0.0,0.0,0.0,,,,4152.0,14167.0,14167.0
2023-12-01,,,,0.0,0.0,0.0,,,,3501.0,11945.0,11945.0
2024-01-01,,,,0.0,0.0,0.0,,,,4067.0,13877.0,13877.0
2024-02-01,,,,0.0,0.0,0.0,,,,3761.0,12833.0,12833.0
2024-03-01,,,,0.0,0.0,0.0,,,,3399.0,11597.0,11597.0
