measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed
2005-04-01,147560.0,1541809.37,1541809.37,391.0,6100.5,6100.5,114655.0,1390788.56,1390788.56,,,
2005-05-01,159250.0,1718308.35,1718308.35,1759.0,21828.17,21828.17,119519.0,1476802.08,1476802.08,,,
2005-06-01,133863.0,1426435.92,1426435.92,1139.0,13368.81,13368.81,158154.0,2303207.17,2303207.17,,,
2005-07-01,170029.0,1809006.84,1809006.84,647.0,8134.0,8134.0,164572.0,2474421.68,2474421.68,,,
2005-08-01,168398.0,1740702.15,1740702.15,436.0,4990.79,4990.79,167124.0,2651728.82,2651728.82,,,
2005-09-01,160764.0,1663273.58,1663273.58,567.0,6542.06,6542.06,123852.0,1973522.01,1973522.01,,,
2005-10-01,171712.0,1811460.0,1811460.0,438.0,5095.37,5095.37,111671.0,1936060.42,1936060.42,,,
2005-11-01,153891.0,1596333.83,1596333.83,1744.0,21613.2,21613.2,126700.0,2190472.2,2190472.2,,,
2005-12-01,155378.0,1593382.5,1593382.5,1011.0,11986.03,11986.03,135660.0,2021024.23,2021024.23,,,
2006-01-01,133822.0,1511091.0,1511091.0,722.0,8349.0,8349.0,149102.0,1825273.0,1825273.0,,,
2006-02-01,97085.0,1119660.0,1119660.0,449.0,5479.0,5479.0,145036.0,1830028.0,1830028.0,,,
2006-03-01,125970.0,1473062.0,1473062.0,1412.0,17360.0,17360.0,127813.0,1636077.0,1636077.0,,,
2006-04-01,139795.0,1624757.0,1624757.0,678.0,7925.0,7925.0,102415.0,1258539.0,1258539.0,,,
2006-05-01,179494.0,2017908.0,2017908.0,1428.0,15321.0,15321.0,120175.0,1494701.0,1494701.0,,,
2006-06-01,146502.0,1682307.0,1682307.0,792.0,9406.0,9406.0,121211.0,1455684.0,1455684.0,,,
2006-07-01,147834.0,1705399.0,1705399.0,643.0,7448.0,7448.0,166065.0,2018477.0,2018477.0,,,
2006-08-01,141340.0,1658992.0,1658992.0,479.0,5705.0,5705.0,162347.0,1955593.0,1955593.0,,,
2006-09-01,108470.0,1296351.0,1296351.0,575.0,6548.0,6548.0,162801.0,1976389.0,1976389.0,,,
2006-10-01,129417.0,1524780.0,1524780.0,1148.0,14031.0,14031.0,155060.0,1898109.0,1898109.0,,,
2006-11-01,146395.0,1710781.0,1710781.0,260.0,3103.0,3103.0,146445.0,1769691.0,1769691.0,,,
2006-12-01,132433.0,1583027.0,1583027.0,815.0,10022.0,10022.0,138535.0,1708220.0,1708220.0,,,
2007-01-01,110007.097,1368926.0,1368926.0,523.3860000000001,6513.0,6513.0,148572.517,1848833.0,1848833.0,,,
2007-02-01,131718.489,1563611.0,1563611.0,671.993,7977.0,7977.0,109842.518,1303924.0,1303924.0,,,
2007-03-01,157731.448,1896155.0,1896155.0,683.392,8215.0,8215.0,108077.159,1299240.0,1299240.0,,,
2007-04-01,163473.855,1943001.0,1943001.0,672.1310000000001,7989.0,7989.0,105553.014,1254571.0,1254571.0,,,
2007-05-01,166657.521,1943653.0,1943653.0,921.1260000000001,10743.0,10743.0,92215.352,1075467.0,1075467.0,,,
2007-06-01,140643.586,1637371.0,1637371.0,787.51,9168.0,9168.0,145420.904,1692989.0,1692989.0,,,
2007-07-01,162589.596,1898695.0,1898695.0,547.2760000000001,6391.0,6391.0,163761.127,1912376.0,1912376.0,,,
2007-08-01,160960.465,1906026.0,1906026.0,2910.5,34465.0,34465.0,171149.035,2026675.0,2026675.0,,,
2007-09-01,142226.633,1684308.0,1684308.0,783.993,9284.0,9284.0,152510.374,1806092.0,1806092.0,,,
2007-10-01,115818.303,1409089.0,1409089.0,530.076,6449.0,6449.0,166387.62,2024334.0,2024334.0,,,
2007-11-01,154449.266,1837277.0,1837277.0,711.13,8459.0,8459.0,162115.605,1928473.0,1928473.0,,,
2007-12-01,149587.078,1755640.0,1755640.0,510.38,5990.0,5990.0,153424.543,1800679.0,1800679.0,,,
2008-01-01,156140.312,1833588.0,1833588.0,957.844,11248.0,11248.0,123071.844,1445258.0,1445258.0,0.0,0.0,0.0
2008-02-01,93417.409,1121503.0,1121503.0,612.201,7350.0,7350.0,163850.391,1967072.0,1967072.0,0.0,0.0,0.0
2008-03-01,173960.376,2031274.0,2031274.0,472.696,5520.0,5520.0,153314.928,1790204.0,1790204.0,0.0,0.0,0.0
2008-04-01,156180.217,1812393.0,1812393.0,289.386,3358.0,3358.0,116344.397,1350119.0,1350119.0,0.0,0.0,0.0
2008-05-01,137012.394,1601339.0,1601339.0,980.301,11457.0,11457.0,113831.305,1330409.0,1330409.0,0.0,0.0,0.0
2008-06-01,152566.64,1777893.0,1777893.0,1061.4650000000001,12369.0,12369.0,144902.895,1688585.0,1688585.0,0.0,0.0,0.0
2008-07-01,143607.823,1663162.0,1663162.0,588.461,6815.0,6815.0,171462.716,1985758.0,1985758.0,0.0,0.0,0.0
2008-08-01,168385.434,1950905.0,1950905.0,870.551,10086.0,10086.0,156512.015,1813340.0,1813340.0,0.0,0.0,0.0
2008-09-01,111541.529,1307497.0,1307497.0,666.149,7809.0,7809.0,165586.323,1941014.0,1941014.0,0.0,0.0,0.0
2008-10-01,105231.029,1214877.0,1214877.0,916.9290000000001,10586.0,10586.0,169623.041,1958274.0,1958274.0,0.0,0.0,0.0
2008-11-01,125467.761,1451627.0,1451627.0,1732.998,20050.0,20050.0,129886.241,1502748.0,1502748.0,0.0,0.0,0.0
2008-12-01,145791.001,1702656.0,1702656.0,1161.13,13561.0,13561.0,92508.868,1080387.0,1080387.0,0.0,0.0,0.0
2009-01-01,151988.632,1796230.0,1796230.0,711.859,8413.0,8413.0,157069.509,1856277.0,1856277.0,0.0,0.0,0.0
2009-02-01,109239.537,1298250.0,1298250.0,367.634,4369.0,4369.0,142851.829,1697713.0,1697713.0,0.0,0.0,0.0
2009-03-01,82923.989,976309.0,976309.0,272.401,3207.0,3207.0,105133.61,1237795.0,1237795.0,0.0,0.0,0.0
2009-04-01,80172.263,954652.0,954652.0,688.466,8198.0,8198.0,99983.27100000001,1190551.0,1190551.0,0.0,0.0,0.0
2009-05-01,84762.77100000001,1008793.0,1008793.0,1283.911,15280.0,15280.0,118056.318,1405032.0,1405032.0,0.0,0.0,0.0
2009-06-01,84837.234,993027.0,993027.0,207.977,2434.0,2434.0,154003.789,1802628.0,1802628.0,0.0,0.0,0.0
2009-07-01,94052.00200000001,1117471.0,1117471.0,120.29400000000001,1429.0,1429.0,158649.704,1884983.0,1884983.0,0.0,0.0,0.0
2009-08-01,88832.716,1059404.0,1059404.0,870.586,10382.0,10382.0,141990.698,1693358.0,1693358.0,0.0,0.0,0.0
2009-09-01,54977.955,643379.0,643379.0,358.952,4201.0,4201.0,141021.093,1650297.0,1650297.0,0.0,0.0,0.0
2009-10-01,46243.699,562203.0,562203.0,648.03,7878.0,7878.0,154827.271,1882298.0,1882298.0,0.0,0.0,0.0
2009-11-01,29299.545,352544.0,352544.0,424.91900000000004,5113.0,5113.0,138696.536,1668855.0,1668855.0,0.0,0.0,0.0
2009-12-01,64291.538,763496.0,763496.0,712.335,8459.0,8459.0,130508.127,1549854.0,1549854.0,0.0,0.0,0.0
2010-01-01,94565.697,1130439.0,1130439.0,408.75100000000003,4886.0,4886.0,125357.552,1498525.0,1498525.0,0.0,0.0,0.0
2010-02-01,78805.268,938243.0,938243.0,211.30200000000002,2516.0,2516.0,117960.43000000001,1404418.0,1404418.0,0.0,0.0,0.0
2010-03-01,76640.864,927507.0,927507.0,634.1940000000001,7675.0,7675.0,111981.942,1355204.0,1355204.0,0.0,0.0,0.0
2010-04-01,59577.138,717180.0,717180.0,800.225,9633.0,9633.0,111040.637,1336689.0,1336689.0,0.0,0.0,0.0
2010-05-01,56576.046,676242.0,676242.0,571.143,6827.0,6827.0,137422.811,1642586.0,1642586.0,0.0,0.0,0.0
2010-06-01,38890.320999999996,463242.0,463242.0,79.018,941.0,941.0,153043.661,1822978.0,1822978.0,0.0,0.0,0.0
2010-07-01,48265.996,578819.0,578819.0,841.54,10092.0,10092.0,153828.464,1844752.0,1844752.0,0.0,0.0,0.0
2010-08-01,66121.131,802510.0,802510.0,775.9770000000001,9418.0,9418.0,146783.892,1781511.0,1781511.0,0.0,0.0,0.0
2010-09-01,38332.347,466011.0,466011.0,364.16700000000003,4427.0,4427.0,150864.486,1834079.0,1834079.0,0.0,0.0,0.0
2010-10-01,52759.919,634184.0,634184.0,551.5070000000001,6629.0,6629.0,161121.574,1936711.0,1936711.0,0.0,0.0,0.0
2010-11-01,83297.292,960615.0,960615.0,360.216,4154.0,4154.0,122396.492,1411522.0,1411522.0,0.0,0.0,0.0
2010-12-01,97902.582,1123875.0,1123875.0,600.2570000000001,6891.0,6891.0,107916.161,1238826.0,1238826.0,0.0,0.0,0.0
2011-01-01,30386.746,360006.0,360006.0,830.739,9842.0,9842.0,165872.52,1965167.0,1965167.0,0.0,0.0,0.0
2011-02-01,9394.548,112407.0,112407.0,347.189,4154.0,4154.0,175138.26,2095546.0,2095546.0,0.0,0.0,0.0
2011-03-01,76942.439,902173.0,902173.0,445.463,5223.0,5223.0,106451.1,1248170.0,1248170.0,0.0,0.0,0.0
2011-04-01,56676.147,678202.0,678202.0,753.059,9011.0,9011.0,127107.79,1521006.0,1521006.0,0.0,0.0,0.0
2011-05-01,64453.231,766353.0,766353.0,991.457,11788.0,11788.0,115537.31,1373746.0,1373746.0,0.0,0.0,0.0
2011-06-01,57480.958,688672.0,688672.0,794.331,9517.0,9517.0,143167.71,1715273.0,1715273.0,0.0,0.0,0.0
2011-07-01,60991.178,712182.0,712182.0,470.201,5490.0,5490.0,152492.62,1780627.0,1780627.0,0.0,0.0,0.0
2011-08-01,58664.853,695196.0,695196.0,788.375,9342.0,9342.0,141076.77,1671803.0,1671803.0,0.0,0.0,0.0
2011-09-01,37661.733,449516.0,449516.0,681.976,8140.0,8140.0,134334.29,1603363.0,1603363.0,0.0,0.0,0.0
2011-10-01,34167.054,409342.0,409342.0,475.737,5700.0,5700.0,141806.21,1698922.0,1698922.0,0.0,0.0,0.0
2011-11-01,10528.364,125989.0,125989.0,596.215,7135.0,7135.0,175708.42,2102636.0,2102636.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,857.725,10371.0,10371.0,167173.28,2021311.0,2021311.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,789.216,9395.0,9395.0,167787.78,1997335.0,1997335.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,498.354,5984.0,5984.0,152887.65,1835895.0,1835895.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,491.122,6008.0,6008.0,149190.88,1824943.0,1824943.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,364.857,4369.0,4369.0,141777.14,1697767.0,1697767.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,700.575,8349.0,8349.0,176622.43,2104865.0,2104865.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,959.012,11608.0,11608.0,121532.99,1471099.0,1471099.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,429.46,5171.0,5171.0,208661.54,2512384.0,2512384.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,337.917,4079.0,4079.0,128308.08,1548666.0,1548666.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,801.917,9726.0,9726.0,130082.08,1577683.0,1577683.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,671.78,7936.0,7936.0,178983.22,2114521.0,2114521.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,311.424,3689.0,3689.0,177801.58,2106366.0,2106366.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,336.067,3962.0,3962.0,160172.93,1888532.0,1888532.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,294.202,3480.0,3480.0,162087.8,1917377.0,1917377.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,166.739,2022.0,2022.0,149397.26,1811598.0,1811598.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,501.146,6019.0,6019.0,175225.85,2104603.0,2104603.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,69.391,842.0,842.0,121971.61,1480804.0,1480804.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,831.911,9825.0,9825.0,135637.09,1601847.0,1601847.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,468.662,5578.0,5578.0,121083.34,1441025.0,1441025.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,515.256,6048.0,6048.0,152778.74,1793357.0,1793357.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,505.658,5955.0,5955.0,175354.34,2065188.0,2065188.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,399.667,4706.0,4706.0,160411.33,1888854.0,1888854.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,406.873,4846.0,4846.0,175782.13,2093429.0,2093429.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,159.729,1865.0,1865.0,167095.27,1951025.0,1951025.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,285.806,3376.0,3376.0,186079.19,2197754.0,2197754.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,374.413,4456.0,4456.0,200936.59,2391552.0,2391552.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,293.853,3579.0,3579.0,170923.15,2081743.0,2081743.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,693.49,8483.0,8483.0,177296.51,2168647.0,2168647.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,222.124,2713.0,2713.0,117013.88,1429337.0,1429337.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,392.931,4689.0,4689.0,172706.07,2060822.0,2060822.0,,,
2014-06-01,0.0,0.0,0.0,314.341,3707.0,3707.0,198987.66,2346504.0,2346504.0,,,
2014-07-01,0.0,0.0,0.0,760.947,9174.0,9174.0,147312.05,1775997.0,1775997.0,,,
2014-08-01,0.0,0.0,0.0,482.451,5880.0,5880.0,134802.55,1642863.0,1642863.0,,,
2014-09-01,0.0,0.0,0.0,1048.513,12782.0,12782.0,130118.49,1586222.0,1586222.0,,,
2014-10-01,0.0,0.0,0.0,306.965,3678.0,3678.0,145720.04,1745863.0,1745863.0,,,
2014-11-01,0.0,0.0,0.0,207.364,2498.0,2498.0,144387.64,1739567.0,1739567.0,,,
2014-12-01,45313.591,551307.0,551307.0,619.849,7541.0,7541.0,101487.56,1234746.0,1234746.0,,,
2015-01-01,58035.002,693183.0,693183.0,401.789,4799.0,4799.0,84098.209,1004488.0,1004488.0,,,
2015-02-01,48642.448,593248.0,593248.0,605.958,7390.0,7390.0,88860.594,1083752.0,1083752.0,,,
2015-03-01,39807.152,490555.0,490555.0,485.609,5984.0,5984.0,114000.24,1404857.0,1404857.0,,,
2015-04-01,3683.203,44519.0,44519.0,179.294,2167.0,2167.0,133903.5,1618492.0,1618492.0,,,
2015-05-01,0.0,0.0,0.0,1054.837,12538.0,12538.0,147734.16,1755995.0,1755995.0,,,
2015-06-01,0.0,0.0,0.0,358.7,4235.0,4235.0,152021.3,1795053.0,1795053.0,,,
2015-07-01,0.0,0.0,0.0,536.243,6257.0,6257.0,145852.76,1701943.0,1701943.0,,,
2015-08-01,0.0,0.0,0.0,492.296,5920.0,5920.0,136007.7,1635641.0,1635641.0,,,
2015-09-01,0.0,0.0,0.0,990.927,12056.0,12056.0,121639.07,1479877.0,1479877.0,,,
2015-10-01,0.0,0.0,0.0,361.883,4340.0,4340.0,159652.12,1914713.0,1914713.0,,,
2015-11-01,0.0,0.0,0.0,796.647,9670.0,9670.0,152122.35,1846579.0,1846579.0,,,
2015-12-01,0.0,0.0,0.0,524.273,6368.0,6368.0,146150.73,1775129.0,1775129.0,,,
2016-01-01,0.0,0.0,0.0,422.564,5153.0,5153.0,156058.44,1903245.0,1903245.0,,,
2016-02-01,0.0,0.0,0.0,478.064,5990.0,5990.0,139400.94,1746683.0,1746683.0,,,
2016-03-01,0.0,0.0,0.0,727.826,9098.0,9098.0,144638.17,1808103.0,1808103.0,,,
2016-04-01,0.0,0.0,0.0,449.729,5473.0,5473.0,151522.27,1843966.0,1843966.0,,,
2016-05-01,0.0,0.0,0.0,351.114,4137.0,4137.0,154686.89,1822472.0,1822472.0,,,
2016-06-01,0.0,0.0,0.0,459.606,5397.0,5397.0,154002.39,1808565.0,1808565.0,,,
2016-07-01,0.0,0.0,0.0,929.19,11033.0,11033.0,202540.81,2404968.0,2404968.0,,,
2016-08-01,0.0,0.0,0.0,696.59,8180.0,8180.0,173049.41,2032225.0,2032225.0,,,
2016-09-01,0.0,0.0,0.0,325.212,3916.0,3916.0,147143.79,1771788.0,1771788.0,,,
2016-10-01,0.0,0.0,0.0,390.06,4654.0,4654.0,126197.94,1505668.0,1505668.0,,,
2016-11-01,0.0,0.0,0.0,595.306,7158.0,7158.0,118250.69,1421839.0,1421839.0,,,
2016-12-01,0.0,0.0,0.0,810.591,9604.0,9604.0,150682.41,1785294.0,1785294.0,,,
2017-01-01,0.0,0.0,0.0,244.218,2893.0,2893.0,147035.78,1742013.0,1742013.0,,,
2017-02-01,0.0,0.0,0.0,391.437,4729.0,4729.0,114190.56,1379651.0,1379651.0,,,
2017-03-01,0.0,0.0,0.0,67.122,813.0,813.0,115635.88,1401309.0,1401309.0,,,
2017-04-01,0.0,0.0,0.0,511.109,6118.0,6118.0,116139.89,1390185.0,1390185.0,,,
2017-05-01,0.0,0.0,0.0,226.032,2702.0,2702.0,131858.97,1576047.0,1576047.0,,,
2017-06-01,0.0,0.0,0.0,465.705,5537.0,5537.0,133799.3,1590788.0,1590788.0,,,
2017-07-01,0.0,0.0,0.0,564.441,6716.0,6716.0,130410.56,1551772.0,1551772.0,,,
2017-08-01,0.0,0.0,0.0,409.069,4108.0,4108.0,110251.93,1107096.0,1107096.0,,,
2017-09-01,0.0,0.0,0.0,179.509,2132.0,2132.0,122900.49,1459853.0,1459853.0,,,
2017-10-01,0.0,0.0,0.0,616.891,7402.0,7402.0,133628.11,1603374.0,1603374.0,,,
2017-11-01,0.0,0.0,0.0,230.124,2783.0,2783.0,144199.88,1743871.0,1743871.0,,,
2017-12-01,0.0,0.0,0.0,170.25,2068.0,2068.0,116983.75,1421229.0,1421229.0,,,
2018-01-01,0.0,0.0,0.0,586.722,7274.0,7274.0,131678.28,1632534.0,1632534.0,,,
2018-02-01,0.0,0.0,0.0,287.464,3608.0,3608.0,111170.54,1395321.0,1395321.0,,,
2018-03-01,0.0,0.0,0.0,471.555,5909.0,5909.0,100921.45,1264586.0,1264586.0,,,
2018-04-01,0.0,0.0,0.0,615.103,7643.0,7643.0,99115.897,1231498.0,1231498.0,,,
2018-05-01,0.0,0.0,0.0,661.456,8012.0,8012.0,117624.54,1424746.0,1424746.0,,,
2018-06-01,0.0,0.0,0.0,178.803,2126.0,2126.0,133439.2,1586982.0,1586982.0,,,
2018-07-01,0.0,0.0,0.0,384.075,4596.0,4596.0,127197.93,1522008.0,1522008.0,,,
2018-08-01,0.0,0.0,0.0,460.838,5578.0,5578.0,147251.16,1782204.0,1782204.0,,,
2018-09-01,0.0,0.0,0.0,324.283,3974.0,3974.0,132195.72,1620040.0,1620040.0,,,
2018-10-01,0.0,0.0,0.0,330.233,4090.0,4090.0,100882.77,1249526.0,1249526.0,,,
2018-11-01,0.0,0.0,0.0,407.815,4956.0,4956.0,131794.19,1601615.0,1601615.0,,,
2018-12-01,0.0,0.0,0.0,300.968,3899.0,3899.0,68713.032,890056.0,890056.0,,,
2019-01-01,0.0,0.0,0.0,197.475,2539.0,2539.0,69348.525,891625.0,891625.0,,,
2019-02-01,0.0,0.0,0.0,543.443,7094.0,7094.0,70296.557,917639.0,917639.0,,,
2019-03-01,0.0,0.0,0.0,168.943,2092.0,2092.0,101068.06,1251274.0,1251274.0,,,
2019-04-01,0.0,0.0,0.0,-8.503,0.0,0.0,-2370.497,0.0,0.0,,,
2019-05-01,0.0,0.0,0.0,-1.337,0.0,0.0,-372.663,0.0,0.0,,,
