measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2003-07-01,668821.5,5973214.5,5973214.5,181.481,2164.2,2164.2,11.14,114.08499999999998,114.08499999999998,71.52850000000001,1687.3333333333333,1687.3333333333333,,,,0.0,0.0,0.0
2003-08-01,681977.5,6230020.5,6230020.5,104.832,1342.0,1342.0,10.679000000000002,109.36000000000001,109.36000000000001,295.72275,4275.75,4275.75,,,,26.0,503.0,503.0
2003-09-01,696793.0,6248178.0,6248178.0,16.075,424.6,424.6,7.470500000000001,76.505,76.505,82.988,1789.0,1789.0,,,,-26.0,0.0,0.0
2003-10-01,627231.0,5576403.5,5576403.5,171.11433333333332,2037.2,2037.2,6.474,66.29999999999998,66.29999999999998,-14.37075,330.0,330.0,,,,0.0,0.0,0.0
2003-11-01,628319.0,5538702.0,5538702.0,163.93783333333332,2037.2,2037.2,5.944000000000003,60.875,60.875,-12.114749999999999,315.0,315.0,,,,0.0,0.0,0.0
2003-12-01,764019.0,6715984.5,6715984.5,72.824,1030.4,1030.4,312.66700000000003,3202.025,3202.025,-19.64725,355.5,355.5,,,,0.0,0.0,0.0
2004-01-01,738296.5,6650401.0,6650401.0,79.82366666666667,1021.0,1021.0,403.856,4047.445,4047.445,-33.0,220.0,220.0,,,,0.0,0.0,0.0
2004-02-01,610166.5,5427053.0,5427053.0,576.7035000000001,6180.8,6180.8,388.62800000000004,3894.83,3894.83,-31.25,220.0,220.0,,,,0.0,0.0,0.0
2004-03-01,643219.5,5750171.5,5750171.5,231.30983333333336,2588.2,2588.2,264.0325,2646.135,2646.135,33.0,910.25,910.25,,,,0.0,0.0,0.0
2004-04-01,557306.5,5009243.5,5009243.5,135.81983333333332,1960.0,1960.0,222.70550000000003,2231.955,2231.955,-17.5,220.0,220.0,,,,0.0,0.0,0.0
2004-05-01,556845.5,5023990.5,5023990.5,278.5986666666667,3854.75,3854.75,225.3685,2258.645,2258.645,-22.25,220.0,220.0,,,,0.0,0.0,0.0
2004-06-01,669121.0,6188417.5,6188417.5,243.1543333333333,3523.25,3523.25,201.5765,2020.2,2020.2,112.0,1822.0,1822.0,,,,0.0,0.0,0.0
2004-07-01,673105.0,6127768.0,6127768.0,133.378,1333.8333333333333,1333.8333333333333,241.9995,2425.315,2425.315,91.25,1841.3333333333333,1841.3333333333333,,,,38.0,552.0,552.0
2004-08-01,682742.0,6328126.5,6328126.5,114.56399999999998,1316.6,1316.6,309.05699999999996,3097.37,3097.37,47.0,1312.25,1312.25,,,,154.0,3013.0,3013.0
2004-09-01,584360.5,5424318.0,5424318.0,155.83433333333332,1834.6,1834.6,580.394,5816.71,5816.71,50.25,1237.0,1237.0,,,,0.0,0.0,0.0
2004-10-01,565858.5,5105193.5,5105193.5,218.18533333333335,3092.5,3092.5,457.583,4585.900000000001,4585.900000000001,-16.25,220.0,220.0,,,,0.0,0.0,0.0
2004-11-01,559753.0,4990978.0,4990978.0,476.19939999999997,5422.25,5422.25,482.41949999999997,4834.81,4834.81,-26.25,220.0,220.0,,,,0.0,0.0,0.0
2004-12-01,659699.5,5870912.5,5870912.5,224.79549999999998,3198.75,3198.75,647.8810000000001,6493.065,6493.065,-28.5,220.0,220.0,,,,0.0,0.0,0.0
2005-01-01,721584.5,6462873.91,6462873.91,89.17750000000001,1034.5466666666669,1034.5466666666666,26.9185,269.155,269.155,-29.2185,215.13,215.13,,,,0.0,0.0,0.0
2005-02-01,632715.5,5715395.6,5715395.6,131.2835,1307.9066666666665,1307.9066666666665,538.2735,5382.195,5382.195,-25.47475,172.105,172.105,,,,0.0,0.0,0.0
2005-03-01,679197.0,6043217.55,6043217.55,75.88333333333334,943.818,943.818,374.995,3749.5750000000003,3749.5750000000003,-25.91425,238.825,238.825,,,,0.0,0.0,0.0
2005-04-01,629080.0,5711072.19,5711072.19,271.6406666666667,3077.904,3077.9040000000005,9.353000000000002,243.505,243.505,-19.94775,226.705,226.705,,,,0.0,0.0,0.0
2005-05-01,600857.5,5421989.555000001,5421989.555000001,414.15966666666674,4678.878,4678.878,98.0295,980.1999999999999,980.1999999999999,33.82025,594.2475,594.2475,,,,0.0,0.0,0.0
2005-06-01,651054.0,5995507.1899999995,5995507.1899999995,162.49900000000002,1603.3483333333331,1603.3483333333334,592.314,5922.555,5922.555,279.071,3532.0075,3532.0075000000006,,,,0.0,0.0,0.0
2005-07-01,672946.0,6212274.34,6212274.34,166.14866666666668,1644.6866666666665,1644.6866666666667,544.635,5445.804999999999,5445.804999999999,219.09975,3772.9424999999997,3772.9425,,,,0.0,0.0,0.0
2005-08-01,721110.5,6486663.95,6486663.95,200.77783333333332,1995.8616666666665,1995.8616666666667,525.0365,5249.845,5249.845,355.51675,5115.5525,5115.5525,,,,0.0,0.0,0.0
2005-09-01,646553.5,6059167.03,6059167.03,43.439166666666665,645.4,645.4,604.6475,6045.875,6045.875,161.828,2455.1875,2455.1875,,,,0.0,0.0,0.0
2005-10-01,603391.0,5626222.875,5626222.875,363.2488333333334,4251.683999999999,4251.683999999999,608.4155,6083.55,6083.55,-14.62675,229.745,229.745,,,,0.0,0.0,0.0
2005-11-01,586150.5,5353930.595,5353930.595,190.22266666666667,2284.3,2284.3,354.533,3544.975,3544.975,-18.54075,201.355,201.355,,,,0.0,0.0,0.0
2005-12-01,622156.5,5670313.74,5670313.74,120.85199999999999,1580.492,1580.492,16.8485,208.465,208.465,-20.863,251.71,251.71,,,,0.0,0.0,0.0
2006-01-01,690018.5,6363105.0,6363105.0,135.26383333333334,1666.4,1666.4,460.2455,4565.5,4565.5,-28.631,88.33333333333333,88.33333333333333,,,,0.0,0.0,0.0
2006-02-01,639513.0,5771369.0,5771369.0,91.6675,1125.4,1125.4,598.9775,5941.5,5941.5,74.428,1612.3333333333333,1612.3333333333333,,,,0.0,0.0,0.0
2006-03-01,471955.5,4343271.0,4343271.0,76.87416666666668,801.5,801.5,10.911000000000001,262.0,262.0,72.529,1440.0,1440.0,,,,0.0,0.0,0.0
2006-04-01,373976.0,3568254.0,3568254.0,185.86033333333333,2242.6,2242.6,13.747499999999999,285.0,285.0,-22.82975,107.0,107.0,,,,0.0,0.0,0.0
2006-05-01,554002.5,5160984.5,5160984.5,599.9593333333333,5739.333333333333,5739.333333333333,18.489000000000004,337.0,337.0,34.34675,702.75,702.75,,,,0.0,0.0,0.0
2006-06-01,614432.0,5681646.0,5681646.0,162.9,1938.4,1938.4,320.3965,3178.5,3178.5,73.205,1732.3333333333333,1732.3333333333333,,,,0.0,0.0,0.0
2006-07-01,651825.0,6034117.0,6034117.0,298.63433333333336,2873.1666666666665,2873.1666666666665,359.02049999999997,3561.5,3561.5,745.367,9746.25,9746.25,,,,0.0,0.0,0.0
2006-08-01,672506.0,6167356.5,6167356.5,173.36350000000002,1694.6666666666667,1694.6666666666667,19.2675,345.0,345.0,454.129,5665.0,5665.0,,,,0.0,0.0,0.0
2006-09-01,550129.5,5164182.0,5164182.0,180.767,1776.4,1776.4,7.568000000000001,224.0,224.0,116.846,1546.0,1546.0,,,,0.0,0.0,0.0
2006-10-01,379475.0,3464738.0,3464738.0,140.31116666666665,1344.8333333333333,1344.8333333333333,55.3955,549.5,549.5,49.026999999999994,552.6666666666666,552.6666666666666,,,,0.0,0.0,0.0
2006-11-01,347504.0,3181439.0,3181439.0,262.59260000000006,2500.4,2500.4,545.304,5408.5,5408.5,9.166666666666666,164.33333333333334,164.33333333333334,,,,0.0,0.0,0.0
2006-12-01,567827.5,4832627.0,4832627.0,872.0391999999999,7492.0,7492.0,615.1775,6102.0,6102.0,35.23466666666667,625.0,625.0,,,,96.0,1690.0,1690.0
2007-01-01,595440.7694999999,5509533.5,5509533.5,365.30649999999997,3409.5,3409.5,349.821,3458.0,3458.0,110.23566666666666,1661.3333333333333,1661.3333333333333,,,,119.975,1775.0,1775.0
2007-02-01,675431.213,6198655.5,6198655.5,62.090999999999994,710.0,710.0,281.5425,2783.0,2783.0,95.71500000000002,1458.6666666666667,1458.6666666666667,,,,0.0,0.0,0.0
2007-03-01,633407.0525,5804497.5,5804497.5,287.4095,2655.0,2655.0,9.405000000000001,93.0,93.0,136.31825,1710.5,1710.5,,,,0.0,0.0,0.0
2007-04-01,579651.415,5395787.0,5395787.0,391.9234,3667.2,3667.2,11.104500000000002,109.5,109.5,1.9085,76.0,76.0,,,,0.0,0.0,0.0
2007-05-01,606306.0719999999,5639064.0,5639064.0,209.26233333333332,1971.1666666666667,1971.1666666666667,-0.532,-5.0,-5.0,107.64975,1346.75,1346.75,,,,0.0,0.0,0.0
2007-06-01,648424.487,6127902.5,6127902.5,143.29749999999999,1378.5,1378.5,-10.523499999999999,-104.5,-104.5,154.315,1904.5,1904.5,,,,0.0,0.0,0.0
2007-07-01,539371.6094999999,5139017.5,5139017.5,575.1655,5486.0,5486.0,-10.916,-107.5,-107.5,318.50575,3604.0,3604.0,,,,0.0,0.0,0.0
2007-08-01,680713.606,6460604.0,6460604.0,304.9416666666667,2921.1666666666665,2921.1666666666665,-10.0225,-99.0,-99.0,528.455,5876.5,5876.5,,,,0.0,0.0,0.0
2007-09-01,508093.6035,5016056.0,5016056.0,175.7366,1744.2,1744.2,-11.4585,-113.5,-113.5,110.44900000000001,1569.0,1569.0,,,,0.0,0.0,0.0
2007-10-01,670915.6955,6262063.5,6262063.5,296.80940000000004,2795.6,2795.6,-9.286,-91.5,-91.5,2.4035,96.0,96.0,,,,0.0,0.0,0.0
2007-11-01,654886.9995,6159830.5,6159830.5,317.7486,3008.8,3008.8,-10.466000000000001,-103.5,-103.5,1.5525,62.0,62.0,,,,0.0,0.0,0.0
2007-12-01,683863.5260000001,6327219.5,6327219.5,221.06080000000003,2073.6,2073.6,-0.16799999999999926,-1.5,-1.5,94.95966666666668,1320.0,1320.0,,,,0.0,0.0,0.0
2008-01-01,675543.6449999999,6301273.0,6301273.0,421.3438,3964.2,3964.2,138.4225,1364.0,1364.0,116.572,1619.6666666666667,1619.6666666666667,,,,,,
2008-02-01,528438.3635,4964154.0,4964154.0,340.0706,3247.4,3247.4,156.434,1541.5,1541.5,104.70533333333333,1394.0,1394.0,,,,,,
2008-03-01,490719.2565,4695347.0,4695347.0,309.2116,2980.8,2980.8,172.592,1701.0,1701.0,113.19833333333332,1487.3333333333333,1487.3333333333333,,,,,,
2008-04-01,527606.7725,4838288.0,4838288.0,241.67140000000003,2241.0,2241.0,171.3365,1688.0,1688.0,111.08166666666666,1441.3333333333333,1441.3333333333333,,,,,,
2008-05-01,640942.0085,6095027.5,6095027.5,528.4118000000001,5040.6,5040.6,126.8005,1249.5,1249.5,0.8420000000000001,27.0,27.0,,,,,,
2008-06-01,634446.3645,5936098.5,5936098.5,371.38550000000004,3491.1666666666665,3491.1666666666665,116.33800000000001,1146.5,1146.5,354.78925,3842.75,3842.75,,,,,,
2008-07-01,632886.8319999999,6068829.0,6068829.0,215.36316666666664,2062.8333333333335,2062.8333333333335,106.0015,1044.5,1044.5,344.158,3668.75,3668.75,,,,,,
2008-08-01,622549.798,6020817.5,6020817.5,194.98600000000002,1886.5,1886.5,163.425,1610.0,1610.0,89.81200000000001,1215.25,1215.25,,,,,,
2008-09-01,532576.2435000001,5095873.5,5095873.5,368.9334,3530.6,3530.6,126.46900000000001,1246.0,1246.0,86.90666666666668,1200.6666666666667,1200.6666666666667,,,,,,
2008-10-01,361838.49,3498304.0,3498304.0,386.0638,3740.0,3740.0,108.5295,1069.5,1069.5,0.8725,27.5,27.5,,,,,,
2008-11-01,401293.309,3866667.5,3866667.5,209.13766666666666,2037.0,2037.0,56.904,561.0,561.0,0.9195000000000001,64.33333333333333,64.33333333333333,,,,,,
2008-12-01,397878.1295,3744574.0,3744574.0,626.1221666666667,5917.833333333333,5917.833333333333,218.74750000000003,2155.5,2155.5,155.09475,2179.75,2179.75,,,,,,
2009-01-01,639926.917,5961665.5,5961665.5,132.49883333333335,1337.6666666666667,1337.6666666666667,597.1460000000001,5828.0,5828.0,100.75025000000001,1279.75,1279.75,,,,,,
2009-02-01,490381.098,4609344.5,4609344.5,390.873,3683.8,3683.8,266.34200000000004,2599.5,2599.5,75.34633333333333,1013.0,1013.0,,,,,,
2009-03-01,556643.4305,5225578.0,5225578.0,283.94800000000004,2672.8333333333335,2672.8333333333335,458.24750000000006,4472.5,4472.5,47.88075,689.75,689.75,,,,,,
2009-04-01,404907.945,3770630.5,3770630.5,209.12949999999998,1966.3333333333333,1966.3333333333333,419.278,4092.0,4092.0,26.2685,408.75,408.75,,,,,,
2009-05-01,492541.8365,4597675.0,4597675.0,315.04800000000006,2962.2,2962.2,575.6665,5618.5,5618.5,1.3815000000000002,33.0,33.0,,,,,,
2009-06-01,517169.1,4842645.0,4842645.0,459.1458333333333,4318.833333333333,4318.833333333333,661.9540000000001,6461.0,6461.0,76.56266666666666,589.75,589.75,,,,,,
2009-07-01,580265.9275000001,5559264.5,5559264.5,314.949,3024.4,3024.4,301.927,2946.5,2946.5,85.232,1156.0,1156.0,,,,,,
2009-08-01,617677.4865,5888283.0,5888283.0,214.40700000000004,2052.8333333333335,2052.8333333333335,332.7105,3247.5,3247.5,114.1685,1415.0,1415.0,,,,,,
2009-09-01,411364.5195,3937140.5,3937140.5,472.1061666666667,4527.833333333333,4527.833333333333,483.4445,4718.0,4718.0,15.718250000000001,264.75,264.75,,,,,,
2009-10-01,415009.3165,3852745.5,3852745.5,430.1388,3344.6666666666665,3344.6666666666665,578.1965,5643.0,5643.0,3.12,74.5,74.5,,,,,,
2009-11-01,575882.751,5211421.5,5211421.5,533.9826,4844.0,4844.0,834.8660000000001,8148.5,8148.5,1.8940000000000001,45.0,45.0,,,,,,
2009-12-01,653430.2445,6090594.5,6090594.5,166.14033333333333,1568.1666666666667,1568.1666666666667,820.2215,8005.5,8005.5,8.57125,145.0,145.0,,,,,,
2010-01-01,629937.5075,5932700.5,5932700.5,206.73983333333334,1988.6666666666667,1988.6666666666667,910.4870000000001,8883.0,8883.0,85.61266666666667,961.75,961.75,,,,,,
2010-02-01,569334.5455,5354972.0,5354972.0,299.1862,2373.0,2373.0,956.7250000000001,9334.0,9334.0,1.3925,169.0,169.0,,,,,,
2010-03-01,582372.4859999999,5422025.5,5422025.5,410.77250000000004,3834.5,3834.5,713.8775,6964.5,6964.5,46.426500000000004,673.5,673.5,,,,,,
2010-04-01,573192.642,5271303.5,5271303.5,31.21,313.8,313.8,484.6035,4727.5,4727.5,98.03066666666666,1324.0,1324.0,,,,,,
2010-05-01,542878.199,5062393.5,5062393.5,364.80616666666674,3436.3333333333335,3436.3333333333335,455.227,4441.0,4441.0,14.648666666666669,167.66666666666666,167.66666666666666,,,,,,
2010-06-01,633929.3435,5829688.0,5829688.0,71.998,685.5,685.5,468.4775,4570.5,4570.5,25.6825,331.0,331.0,,,,,,
2010-07-01,619144.993,5786153.5,5786153.5,261.5663333333334,2460.6666666666665,2460.6666666666665,297.148,2899.0,2899.0,89.32325,1183.75,1183.75,,,,,,
2010-08-01,620608.714,5856277.5,5856277.5,264.586,2517.2,2517.2,380.803,3715.5,3715.5,61.782666666666664,869.0,869.0,,,,,,
2010-09-01,448444.011,4329303.0,4329303.0,307.0792,2990.8,2990.8,368.98600000000005,3600.0,3600.0,1.9425000000000001,42.5,42.5,,,,,,
2010-10-01,251021.689,2364035.0,2364035.0,292.3086666666667,2784.3333333333335,2784.3333333333335,367.39200000000005,3584.5,3584.5,9.630500000000001,156.5,156.5,,,,,,
2010-11-01,315811.8525,2949705.0,2949705.0,424.4812,3985.0,3985.0,395.403,3858.0,3858.0,2.0340000000000003,44.5,44.5,,,,,,
2010-12-01,605814.072,5648218.0,5648218.0,209.48499999999999,1978.6,1978.6,560.3705,5467.0,5467.0,3.6950000000000003,81.0,81.0,,,,,,
2011-01-01,584461.7155,5448152.5,5448152.5,381.1986,3580.8,3580.8,623.539,6058.0,6058.0,13.182666666666668,251.33333333333334,251.33333333333334,,,,,,
2011-02-01,379727.715,3592686.0,3592686.0,322.324,3069.2,3069.2,536.453,5212.5,5212.5,11.0565,192.0,192.0,,,,,,
2011-03-01,483151.95,4601900.5,4601900.5,191.04333333333332,1846.5,1846.5,1040.5140000000001,10109.5,10109.5,15.2455,247.75,247.75,,,,,,
2011-04-01,509812.65,4895292.0,4895292.0,636.8896,6167.8,6167.8,952.268,9252.5,9252.5,8.857,154.0,154.0,,,,,,
2011-05-01,534856.85,5086527.5,5086527.5,463.19960000000003,4440.2,4440.2,598.6614999999999,5816.5,5816.5,11.754,204.0,204.0,,,,,,
2011-06-01,598681.65,5363845.0,5363845.0,85.52900000000001,800.6666666666666,800.6666666666666,600.502,5834.5,5834.5,47.982,581.25,581.25,,,,,,
2011-07-01,644715.3065000001,6200151.5,6200151.5,158.71300000000002,1557.0,1557.0,498.4745,4843.0,4843.0,156.42925000000002,1919.75,1919.75,,,,,,
2011-08-01,550549.0584999999,5321137.0,5321137.0,413.27583333333337,4006.6666666666665,4006.6666666666665,510.3145,4958.5,4958.5,163.37275,1970.5,1970.5,,,,,,
2011-09-01,457576.3,4397551.0,4397551.0,229.71733333333336,2226.6666666666665,2226.6666666666665,474.61249999999995,4611.5,4611.5,13.502666666666668,171.33333333333334,171.33333333333334,,,,,,
2011-10-01,376865.115,3647723.5,3647723.5,62.440666666666665,626.5,626.5,490.1145,4762.0,4762.0,12.73975,222.5,222.5,,,,,,
2011-11-01,320408.48,3056143.5,3056143.5,356.308,3425.6,3425.6,575.1329999999999,5588.0,5588.0,13.692,238.0,238.0,,,,,,
2011-12-01,240941.85,2273101.5,2273101.5,356.0106666666666,3437.8333333333335,3437.8333333333335,1102.9135,10716.0,10716.0,37.00866666666666,455.3333333333333,455.3333333333333,,,,,,
2015-01-01,,,,152.519,1503.0,1503.0,,,,,,,,,,,,
2015-02-01,,,,134.511,1330.0,1330.0,,,,,,,,,,,,
2015-03-01,,,,135.315,1335.0,1335.0,,,,,,,,,,,,
2015-04-01,,,,140.137,1380.0,1380.0,,,,,,,,,,,,
2015-05-01,,,,112.623,1111.0,1111.0,,,,,,,,,,,,
2015-06-01,,,,112.204,1105.0,1105.0,,,,,,,,,,,,
2015-07-01,,,,116.6,1150.0,1150.0,,,,,,,,,,,,
2015-08-01,,,,132.378,1307.0,1307.0,,,,,,,,,,,,
2015-09-01,,,,119.223,1178.0,1178.0,,,,,,,,,,,,
2015-10-01,,,,136.399,1346.0,1346.0,,,,,,,,,,,,
2015-11-01,,,,95.372,942.0,942.0,,,,,,,,,,,,
2015-12-01,,,,91.719,903.0,903.0,,,,,,,,,,,,
2016-01-01,,,,119.516,1139.0,1139.0,,,,,,,,,,,,
2016-02-01,,,,132.631,1279.0,1279.0,,,,,,,,,,,,
2016-03-01,,,,125.515,1212.0,1212.0,,,,,,,,,,,,
2016-04-01,,,,102.79,993.0,993.0,,,,,,,,,,,,
2016-05-01,,,,93.763,903.0,903.0,,,,,,,,,,,,
2016-06-01,,,,94.315,909.0,909.0,,,,,,,,,,,,
2016-07-01,,,,78.899,763.0,763.0,,,,,,,,,,,,
2016-08-01,,,,103.403,999.0,999.0,,,,,,,,,,,,
2016-09-01,,,,105.361,1015.0,1015.0,,,,,,,,,,,,
2016-10-01,,,,120.99,1167.0,1167.0,,,,,,,,,,,,
2016-11-01,,,,168.833,1627.0,1627.0,,,,,,,,,,,,
2016-12-01,,,,227.984,2199.0,2199.0,,,,,,,,,,,,
2017-01-01,,,,132.229,1391.0,1391.0,,,,,,,,,,,,
2017-02-01,,,,106.767,1122.0,1122.0,,,,,,,,,,,,
2017-03-01,,,,122.933,1290.0,1290.0,,,,,,,,,,,,
2017-04-01,,,,113.343,1189.0,1189.0,,,,,,,,,,,,
2017-05-01,,,,113.221,1189.0,1189.0,,,,,,,,,,,,
2017-06-01,,,,119.419,1257.0,1257.0,,,,,,,,,,,,
2017-07-01,,,,121.694,1279.0,1279.0,,,,,,,,,,,,
2017-08-01,,,,125.702,1324.0,1324.0,,,,,,,,,,,,
2017-09-01,,,,125.031,1313.0,1313.0,,,,,,,,,,,,
2017-10-01,,,,127.612,1341.0,1341.0,,,,,,,,,,,,
2017-11-01,,,,113.028,1189.0,1189.0,,,,,,,,,,,,
2017-12-01,,,,115.021,1212.0,1212.0,,,,,,,,,,,,
2018-01-01,,,,117.462,1133.0,1133.0,,,,,,,,,,,,
2018-02-01,,,,109.548,1049.0,1049.0,,,,,,,,,,,,
2018-03-01,,,,109.564,1049.0,1049.0,,,,,,,,,,,,
2018-04-01,,,,110.673,1060.0,1060.0,,,,,,,,,,,,
2018-05-01,,,,126.632,1212.0,1212.0,,,,,,,,,,,,
2018-06-01,,,,118.225,1133.0,1133.0,,,,,,,,,,,,
2018-07-01,,,,127.393,1223.0,1223.0,,,,,,,,,,,,
2018-08-01,,,,130.09,1245.0,1245.0,,,,,,,,,,,,
2018-09-01,,,,132.423,1268.0,1268.0,,,,,,,,,,,,
2018-10-01,,,,139.042,1335.0,1335.0,,,,,,,,,,,,
2018-11-01,,,,125.104,1201.0,1201.0,,,,,,,,,,,,
2018-12-01,,,,119.844,1150.0,1150.0,,,,,,,,,,,,
2019-01-01,,,,100.89,1105.0,1105.0,,,,,,,,,,,,
