measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2006-02-01,0.10300000000000001,1.29,1.87,615.119,7398.76,8063.54,263.085,0.0,0.0
2006-03-01,0.187,2.34,3.33,671.062,8071.65,8796.89,287.011,0.0,0.0
2006-04-01,0.08900000000000001,1.11,1.58,564.205,6786.35,7396.11,241.309,0.0,0.0
2006-05-01,0.061000000000000006,0.77,1.11,547.318,6583.24,7174.73,234.086,0.0,0.0
2006-06-01,0.059000000000000004,0.74,1.05,700.125,8421.22,9177.87,299.44100000000003,0.0,0.0
2006-07-01,0.07300000000000001,0.92,1.29,1048.481,12611.31,13744.44,448.432,0.0,0.0
2006-08-01,0.078,0.98,1.4,987.1170000000001,11873.21,12940.01,422.187,0.0,0.0
2006-09-01,0.046,0.58,0.82,700.162,8421.67,9178.35,299.457,0.0,0.0
2006-10-01,0.045,0.56,0.82,780.8530000000001,9392.24,10236.12,333.969,0.0,0.0
2006-11-01,0.07400000000000001,0.92,1.35,671.638,8078.58,8804.43,287.25800000000004,0.0,0.0
2006-12-01,0.082,1.03,1.46,656.285,7893.92,8603.18,280.69100000000003,0.0,0.0
2007-01-01,0.0,0.0,0.0,287.81,3907.0,3907.0,186.935,0.0,0.0
2007-02-01,0.0,0.0,6.0,263.683,3579.0,3579.0,181.89600000000002,0.0,0.0
2007-03-01,0.0,0.0,0.0,381.405,4695.0,5177.0,175.81900000000002,0.0,0.0
2007-04-01,0.0,0.0,0.0,312.083,3954.0,4236.0,157.204,0.0,0.0
2007-05-01,0.0,0.0,0.0,374.92900000000003,4612.0,5089.0,172.496,0.0,0.0
2007-06-01,0.0,0.0,0.0,462.50800000000004,5460.0,6278.0,185.56400000000002,0.0,0.0
2007-07-01,0.0,0.0,0.0,536.924,6191.0,7288.0,197.882,0.0,0.0
2007-08-01,0.0,0.0,0.0,629.305,7078.0,8542.0,210.83700000000002,0.0,0.0
2007-09-01,0.0,0.0,0.0,461.204,5352.0,6261.0,174.148,0.0,0.0
2007-10-01,0.0,0.0,0.0,375.77,4530.0,5101.0,161.90300000000002,0.0,0.0
2007-11-01,0.0,0.0,0.0,301.598,3769.0,4094.0,145.794,0.0,0.0
2007-12-01,0.0,0.0,0.0,322.13300000000004,4162.0,4372.0,171.883,0.0,0.0
2008-01-01,0.0,0.0,0.0,165.89100000000002,1950.0,2259.0,70.544,0.0,0.0
2008-02-01,0.0,0.0,0.0,151.34900000000002,1779.0,2062.0,64.358,0.0,0.0
2008-03-01,0.0,0.0,0.0,175.549,2064.0,2392.0,74.649,0.0,0.0
2008-04-01,0.0,0.0,0.0,163.082,1917.0,2222.0,69.348,0.0,0.0
2008-05-01,0.0,0.0,0.0,159.203,1871.0,2169.0,67.69800000000001,0.0,0.0
2008-06-01,0.0,0.0,0.0,233.547,2745.0,3183.0,99.31200000000001,0.0,0.0
2008-07-01,0.0,0.0,0.0,297.777,3500.0,4057.0,126.625,0.0,0.0
2008-08-01,0.0,0.0,0.0,239.85,2819.0,3269.0,101.992,0.0,0.0
2008-09-01,0.0,0.0,0.0,223.328,2625.0,3043.0,94.96600000000001,0.0,0.0
2008-10-01,0.0,0.0,0.0,203.642,2394.0,2775.0,86.596,0.0,0.0
2008-11-01,0.0,0.0,0.0,176.58200000000002,2076.0,2406.0,75.089,0.0,0.0
2008-12-01,5.0,29.0,29.0,164.20000000000002,1930.0,2237.0,69.82300000000001,0.0,0.0
2009-01-01,0.0,0.0,18.0,429.023,5099.0,5597.0,188.86,0.0,0.0
2009-02-01,0.0,0.0,0.0,408.04900000000004,4850.0,5321.0,179.62800000000001,0.0,0.0
2009-03-01,0.0,0.0,0.0,485.843,5775.0,6335.0,213.87300000000002,0.0,0.0
2009-04-01,0.0,0.0,0.0,481.517,5723.0,6280.0,211.96900000000002,0.0,0.0
2009-05-01,0.0,0.0,0.0,456.16700000000003,5422.0,5948.0,200.81,0.0,0.0
2009-06-01,0.0,0.0,0.0,485.29200000000003,5768.0,6328.0,213.631,0.0,0.0
2009-07-01,0.0,0.0,0.0,587.542,6984.0,7662.0,258.642,0.0,0.0
2009-08-01,0.0,0.0,0.0,715.529,8505.0,9331.0,314.98400000000004,0.0,0.0
2009-09-01,0.0,0.0,0.0,491.242,5839.0,6406.0,216.25,0.0,0.0
2009-10-01,0.0,0.0,0.0,440.072,5231.0,5739.0,193.725,0.0,0.0
2009-11-01,0.0,0.0,0.0,439.844,5228.0,5736.0,193.624,0.0,0.0
2009-12-01,0.0,0.0,0.0,458.88,5455.0,5984.0,202.00400000000002,0.0,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,153.52800000000002,1869.0,2012.0,70.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,2752.8430000000003,33516.0,36095.0,1263.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,2000.1290000000001,24351.0,26226.0,917.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,833.743,10151.0,10932.0,382.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,2509.757,30557.0,32908.0,1151.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,173.93,2070.0,2506.0,74.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,2888.145,34377.0,41605.0,1238.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,54.925,654.0,791.0,23.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,161.149,1947.0,2001.0,72.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,1082.31,13076.0,13439.0,486.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,5111.031,61749.0,63459.0,2291.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,11356.638,137206.0,141006.0,5099.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,7513.02,90769.0,93283.0,3375.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,892.852,10787.0,11085.0,400.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,2778.0,34743.0,34743.0,1070.88,0.0,0.0
2013-02-01,0.0,0.0,0.0,6833.0,84081.0,84081.0,2683.02,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,2269.0,29228.0,29228.0,1007.83,0.0,0.0
2013-07-01,0.0,0.0,0.0,671.0,9048.0,9048.0,298.76,0.0,0.0
2013-08-01,0.0,0.0,0.0,4845.0,60323.0,60323.0,2122.36,0.0,0.0
2013-09-01,0.0,0.0,0.0,327.0,4448.0,4448.0,142.59,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,1350.0,15756.0,15756.0,530.59,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,9531.0,119655.0,119655.0,3492.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,2997.0,37959.0,37959.0,1110.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,1688.0,22419.0,22419.0,630.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,245.0,3325.0,3325.0,101.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,318.0,4384.0,4384.0,143.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,770.0,10520.0,10520.0,342.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,247.0,3364.0,3364.0,105.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,531.0,7226.0,7226.0,233.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,2406.0,30851.0,30851.0,891.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,6068.0,77432.0,77432.0,2257.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,654.0,8273.0,8273.0,238.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,513.0,6973.0,6973.0,214.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,2873.0,38571.0,38571.0,1259.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,1741.0,23840.0,23840.0,808.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,1070.0,14651.0,14651.0,468.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,147.0,2064.0,2064.0,58.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,278.0,3699.0,3699.0,100.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,202.0,2605.0,2605.0,73.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,203.0,2667.0,2667.0,79.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,250.0,3163.0,3163.0,91.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,279.0,3667.0,3667.0,116.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,3577.0,47505.0,47505.0,1563.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,2293.0,30322.0,30322.0,1010.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,468.0,6325.0,6325.0,200.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,210.0,2799.0,2799.0,87.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,198.0,2574.0,2574.0,73.0,0.0,0.0
2016-12-01,1.0,17.0,17.0,207.0,2610.0,2610.0,73.0,0.0,0.0
2017-01-01,0.1,0.0,0.0,231.0,3714.0,3714.0,96.0,0.0,0.0
2017-02-01,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,0.127,6.0,6.0,45.0,895.0,895.0,18.0,0.0,0.0
2017-04-01,0.12,0.0,0.0,180.0,2701.0,2701.0,74.0,0.0,0.0
2017-05-01,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,0.048,0.0,0.0,1437.0,20079.0,20079.0,594.0,0.0,0.0
2017-07-01,0.045,0.0,0.0,1669.0,24100.0,24100.0,691.0,0.0,0.0
2017-08-01,0.034,0.0,0.0,2463.0,34230.0,34230.0,1019.0,0.0,0.0
2017-09-01,0.037,0.0,0.0,1029.0,14942.0,14942.0,426.0,0.0,0.0
2017-10-01,0.067,0.0,0.0,242.0,4365.0,4365.0,100.0,0.0,0.0
2017-11-01,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,1.199,40.0,40.0,1456.0,19819.0,19819.0,602.0,0.0,0.0
2018-01-01,0.0,34.0,34.0,2274.0,30215.0,30215.0,941.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,1705.0,23912.0,23912.0,705.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,1851.0,31608.0,31608.0,765.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,6456.0,88337.0,88337.0,2670.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,4409.0,59266.0,59266.0,1824.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,1160.0,16066.0,16066.0,480.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,1170.0,13736.0,13736.0,484.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,2000.0,24947.0,24947.0,827.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,845.0,12196.0,12196.0,350.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,555.0,9640.0,9640.0,230.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,672.0,7373.0,7373.0,278.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,188.0,2300.0,2300.0,78.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,1788.0,24700.0,24700.0,740.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,516.0,7000.0,7000.0,213.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,169.0,2362.0,2362.0,70.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,240.0,3256.0,3256.0,99.0,0.0,0.0
2021-01-01,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.293,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,0.349,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.012,0.0,0.0,708.0,9420.0,9420.0,293.0,0.0,0.0
2021-07-01,0.011,0.0,0.0,3003.0,42351.0,42351.0,1242.0,0.0,0.0
2021-08-01,0.002,0.0,0.0,6817.0,91700.0,91700.0,2820.0,0.0,0.0
2021-09-01,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,0.032,0.0,0.0,203.0,2964.0,2964.0,84.0,0.0,0.0
2021-11-01,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,6.677,74.0,74.0,863.0,12231.0,12231.0,357.0,0.0,0.0
2022-02-01,0.754,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.016,0.0,0.0,675.0,9400.0,9400.0,279.0,0.0,0.0
2022-08-01,0.011,0.0,0.0,670.0,8500.0,8500.0,277.0,0.0,0.0
2022-09-01,0.017,0.0,0.0,168.0,2200.0,2200.0,69.0,0.0,0.0
2022-10-01,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,4.163,40.0,40.0,297.0,3999.0,3999.0,123.0,0.0,0.0
2023-01-01,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,3.325,40.0,40.0,3.0,33.0,33.0,0.0,0.0,0.0
2023-03-01,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.021,0.0,0.0,476.0,6014.0,6014.0,197.0,0.0,0.0
2023-08-01,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.047,0.0,0.0,865.0,11110.0,11110.0,358.0,0.0,0.0
2023-10-01,0.082,0.0,0.0,161.0,2318.0,2318.0,67.0,0.0,0.0
2023-11-01,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,4.06,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.192,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,1.21,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.292,6.0,6.0,231.0,3429.0,3429.0,96.0,0.0,0.0
2024-05-01,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.119,0.0,0.0,1555.0,16700.0,16700.0,643.0,0.0,0.0
2024-07-01,0.237,6.0,6.0,668.0,9200.0,9200.0,277.0,0.0,0.0
2024-08-01,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,0.266,6.0,6.0,171.0,1800.0,1800.0,71.0,0.0,0.0
2024-11-01,0.373,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,2.8,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
